DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,H2O_1_6_2,H2O_1_6_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_4_1,CH4_1_6_1
1,0.25,6.29699692232584,6.82761822431909,0.333534110288792,2.45144036623508,0.618774564417809,2.24776927360549,13.0644886301891,13.2384164842443,1.15622757212417,10.0020097107674,19.0428373046424,1.97576876231793,5.099,1.313,0.643999999999999,6.89116999999999,6.74404999999999,7.28668,7.17844499999998,6.313015,6.73575,-1.464645,98.965962,98.386,2.12625,5.81899999999998,4.37799999999995,3.67399999999997,4.00899999999995,3.69699999999996,2.16,0.123,3.7,-0.367,1.08,353.24,348.8675,345.25,334.77,3.053,0.253,0.35,3.66299999999998,0.123,0.647999999999999,2.155,0.61,1.245,0.01,2.04359999999999,2.30249999999999,2.5136,2.8992,3.7109,4.1069,4.1655,4.770075,1.63559999999999,1.9986,2.7639,3.31955,3.970425,2.7096,3.2351,4.06309999999999,4.0131,3.626925,4.929175,2.1126,2.35725,3.7906,4.30159999999999,4.5805,3.3814,5.723,1.5726,1.8247,2.6728,3.66029999999999,3.8506,4.7772,4.9509,5.6003,-1.383625,-0.553550000000001,-0.1268,8.41724999999999,10.0943692891594,10.567222517476,7.70495890413518,11.1744661018015,7.06394425227042,11.0842912134621,5.55586232617406,10.6813499015146,8.38615187352461,10.9989395324136,9.35767625248868,9.96240541230059,7.57386453677694,440.45672195877,443.972936877316,435.870656755,444.579209438878,429.882066607333,444.827711672454,426.61150278487,444.350263767143,430.515670766077,446.376838756602,431.018798112825,453.998844771045,440.033667716899,2080.83548667377,2063.90419959854,2059.63809534064
1,0.75,6.35954213090211,6.83674085932364,0.355575371303766,2.31718995737066,2.57939046941898,7.32053515626753,14.0491464649601,14.0229779754313,1.24776014509246,1.38443690457632,13.7881986773113,2.07016874812868,5.353,1.322,0.603999999999999,6.97597249999999,6.95994999999999,7.5427,7.35666000000001,6.2982625,6.851,-1.4411575,98.961506,98.536,2.15275,5.93499999999998,4.41999999999995,3.65399999999997,4.01799999999995,3.71599999999997,2.3,0.0632499999999999,3.86,-0.387,1.024,354.28,349.5075,345.44,334.91,2.936,0.24,0.343,3.66299999999997,0.13,0.622999999999998,1.81399999999999,0.598999999999999,1.243,0.00299999999999983,2.19849999999998,2.3638,2.504925,2.8927,3.71465,4.1049,4.1644,4.7673,1.56999999999999,2.0357,2.7538,3.3151,3.9668,2.61805,3.239,4.06839999999999,4.0092,3.623925,4.9262,2.16415,2.3587,3.7668,4.31145,4.5736,3.3824,5.7219,1.5118,1.8293,2.6764,3.66179999999999,3.84955,4.7786,4.9496,5.5991,-1.2897,-0.507,-0.4862,8.22399999999998,10.1957092754064,10.7510088281662,7.92152414737156,11.3854577887284,9.99082475610104,11.5695678318923,10.3969693715807,10.7426976118965,10.1471348245743,11.3753331946731,7.19179487546526,10.3359489286576,7.40962673985886,437.209594726293,443.320293444071,441.985989015631,444.656045601837,447.942911464586,444.737584690684,450.211222370975,443.683770670552,434.524532839569,446.415598409626,425.636443433672,452.622637988046,443.471497306193,2079.03222617065,2058.8945260466,2055.93942776138
1,1.25,6.51184192538459,6.47396498933481,0.425577939590889,2.21596649030411,2.78086056513667,2.51585467672734,13.9014316445164,6.03238819752589,1.15079485278556,5.36722608043935,14.1090690644309,2.08108261558794,5.289,1.35,0.407,6.94959999999998,6.98909999999999,7.5497,7.37638500000001,6.98672499999999,6.972625,-1.5143475,98.975548,98.69375,2.170285,5.96499999999998,4.42799999999995,3.76999999999997,4.07899999999995,3.76099999999997,2.23,0.0764999999999998,3.73,-0.377,1.074,354.39,349.365,344.04,335.07,2.901,0.233,0.353,3.87299999999998,0.12,0.629999999999998,1.81199999999999,0.597999999999999,1.225,0.01,2.19109999999998,2.3711,2.49795,2.8869,3.714825,4.1029,4.1624,4.76375,1.50649999999999,2.0353,2.7453,3.3106,3.9625,2.6283,3.2474,4.07934999999999,4.006,3.6212,4.9219,2.0852,2.3588,3.7339,4.30845,4.5659,3.382825,5.7178,1.5632,1.8349,2.6793,3.66299999999999,3.84945,4.7803,4.9483,5.5972,-1.4162,-1.664875,-0.868175000000001,7.14599999999997,10.2473124585635,10.7346903671189,7.57555679554597,11.4460484763454,7.07553895417754,11.4122146438702,7.15337770470967,10.7345272666662,8.79912715205296,11.2882464054741,8.29687566295894,10.0679584355365,7.98105393203396,441.322376998664,443.055408163857,438.904843970511,445.406029180155,433.082834120643,445.672339904494,445.450459392717,443.800541961997,434.515045491609,446.617107532166,435.618010554864,456.033031030359,444.612056948193,2074.24584643472,2060.34230562793,2059.42534956253
1,1.75,6.50448288991737,7.08468878032437,0.604753611208323,3.5956056065891,0.463354234610289,3.08104359758627,19.3413784711716,14.6808916625382,1.15480371375313,16.629587171425,13.4435830879641,2.28184691338597,5.232,1.322,0.41275,7.2372125,7.18644999999999,7.7787375,7.59067000000001,7.17680499999998,6.93685,-1.46644,99.013989,98.89625,2.3069475,5.99199999999998,4.44399999999996,4.07999999999996,4.16599999999995,3.84399999999997,2.1,0.142499999999999,3.63,-0.39,1.115,354.24,349.3775,343.78,335.4,2.8,0.223,0.35,4.24599999999999,0.12,0.7,1.80899999999999,0.593999999999999,1.19,0.00299999999999983,2.18789999999998,2.331,2.50165,2.8811,3.72,4.1009,4.16045,4.7612,1.45359999999999,2.0239,2.73815,3.3073,3.958875,2.63925,3.2562,4.08697499999999,4.0021,3.6182,4.9176,2.0151,2.35955,3.7076,4.29312499999999,4.5631,3.383825,5.7224,1.6352,1.8411,2.6822,3.66419999999999,3.84935,4.7817,4.9473,5.596,-1.6246,-1.72355000000001,-1.5335,7.82799999999998,10.4018017121112,11.1259961221632,9.55831467899384,11.751915921001,10.1460747535975,11.763134079631,10.5838177386503,11.0437213762427,10.5959364147427,11.6835455578916,7.57169393273369,9.96912170834431,7.51123060544874,444.99781837395,443.740223631785,437.884890655674,448.44824053988,437.877627252903,447.47894456264,440.381069272038,447.200869985229,434.305800796515,446.914620549104,425.528356925463,453.060219940625,439.961561288579,2071.89479161665,2065.09506369809,2056.92137136809
1,2.25,6.51065682621352,7.14322540155007,0.441522058299203,2.99366906793791,2.60301859660167,1.66047393142044,22.1238148859856,15.0260115252011,1.14424830126163,19.4806521685331,29.4044010816618,1.97359583445861,5.39,1.295,0.437,7.56428000000001,7.56374999999999,8.0245375,7.59979500000001,6.72038,6.86617999999999,-1.47504,99.021764,98.7225,2.211175,6.15199999999999,4.51299999999996,4.36799999999995,4.25599999999996,3.92299999999997,2.38999999999999,0.158999999999998,3.93,-0.394,1.066,356.12,350.9175,344.1,335.76,2.838,0.23,0.35,4.42599999999999,0.123,0.629999999999998,1.81799999999999,0.578999999999999,1.165,0.01,2.24159999999998,2.3198,2.5045,2.8756,3.715175,4.0989,4.15935,4.758425,1.52129999999999,1.9849,2.7268,3.3092,3.955575,2.65195,3.2632,4.09249999999999,3.9985,3.6162,4.913075,1.95655,2.3616,3.684,4.3155,4.5549,3.38465,5.7178,1.7268,1.9084,2.6851,3.65789999999999,3.84825,4.787275,4.946,5.5944,-1.818375,-0.423774999999999,-0.0308000000000003,8.41674999999998,10.1848128959827,11.4439083305023,6.45780186971974,12.1460258751444,6.05423472011879,12.2650614551183,6.07690936839186,11.4182072860556,8.48053864837774,11.9433726259721,8.47143317109176,10.2205526729554,7.50319219809706,442.002404392174,445.8647028863,440.584162199502,447.191208000706,432.387410473142,448.074611080042,430.509041816768,447.592818101841,434.429570613049,445.758754092842,440.205680939315,453.871735089255,445.08717408928,2073.34749838098,2092.28008789177,2082.25785036695
1,2.75,6.2697030213571,7.32252135784971,0.382255861852328,5.11482908140249,2.38389730811965,2.05455652168564,28.0443802574868,9.14477014847919,1.17723919018453,6.68647649767942,13.1326800156974,2.15415416517636,5.15375,1.273,0.44125,7.80422,7.77585,7.97648499999999,7.69194,7.5842875,7.38235,-1.43832,99.012021,98.91,2.0653175,6.20299999999999,4.55299999999996,4.51799999999995,4.41999999999996,4.07699999999998,2.36,0.108249999999998,3.9,-0.344,1.01,356.1,352.55,340,336.49,2.76,0.23,0.343,3.84699999999999,0.12,0.671999999999999,1.83299999999999,0.561999999999999,1.172,0.01,2.37109999999998,2.3565,2.5065,2.8705,3.7213,4.0969,4.1583,4.754875,1.79479999999999,1.9446,2.7158,3.3141,3.95195,2.66885,3.2528,4.09724999999999,3.9953,3.6132,4.908775,1.9003,2.4531,3.6607,4.29115,4.557175,3.3864,5.7195,1.9102,1.9443,2.6877,3.65069999999999,3.84815,4.7841,4.9482,5.5932,-1.977875,-0.417150000000002,-0.347825000000001,6.66749999999998,10.1531351405016,11.5096499192432,9.82736513956803,12.0804885185257,11.2548297032358,12.1249985186965,11.006272498546,11.4149924809913,9.04683351751777,11.9734697272353,8.06238202954395,10.4902732635728,7.43921386334014,441.137198349841,442.844690169004,445.160095960423,448.330795995859,439.312870959325,449.165390794848,441.579485218879,448.482614145448,435.287491593713,446.676174643713,429.600318818072,456.769818906366,440.20945109019,2078.64777535655,2065.36456283965,2068.55515784039
1,3.25,6.4680464172281,7.53435931164216,0.48101021787465,3.43959880215769,1.53293529559134,1.81186494576655,24.6045024941998,9.80177415843823,1.14922624052523,31.2587983080728,17.4984456522347,1.9669304690961,4.8725,1.265,0.41,7.89638,7.82975,7.99411999999999,7.7056375,7.6459125,7.373975,-1.58302,98.990461,98.92625,2.1508675,6.25899999999999,4.61799999999996,4.57899999999996,4.49399999999996,4.18099999999998,2.23,0.0922499999999985,3.83,-0.351,0.968999999999999,358.33,354.8125,342.52,336.98,2.664,0.23,0.35,4.463,0.12,0.620999999999999,1.79899999999999,0.616,1.41499999999999,0.01,2.43379999999998,2.453925,2.5084,2.864,3.715525,4.09735,4.1571,4.7521,1.9698,1.9079,2.7041,3.3087,3.9479,2.6889,3.2438,4.09867499999999,3.9914,3.610475,4.90425,1.87385,2.5225,3.637,4.2797,4.553375,3.3872,5.7174,2.0886,1.9311,2.69,3.64349999999999,3.84805,4.7858,4.9521,5.59365,-2.3232,-1.68760000000001,-1.1356,7.52799999999998,10.83720689868,11.6633266280684,6.50890944668137,12.3518059836005,6.55770611690804,12.2866936264239,8.88764666805704,11.6253924747494,11.4764676019072,12.0387044331011,11.3144821495378,10.4330294250049,7.81506419101442,440.040530462946,442.511522170961,440.672415021301,443.755357622945,435.430224353851,444.870539601586,434.723895810433,447.66558122234,435.929369131102,447.936053180725,441.294059674928,458.868088903091,444.852961478061,2077.43370582615,2074.11213351225,2066.42793693113
1,3.75,6.35088964960505,4.75987594598677,0.539848414661981,4.01234589697413,0.939881855603974,3.99577626798269,16.5025020158581,10.8288937287287,1.1999126395937,16.9597889725934,19.9630702710231,2.08017997122919,5.00125,1.369,0.45425,8.07636,7.96935,8.28549499999999,7.84294749999999,8.063975,7.88553749999998,-3.6835875,98.984201,98.64175,2.169815,6.499,4.73399999999996,4.62099999999996,4.54299999999996,4.23299999999998,2.33,0.00499999999999915,3.93,-0.354,1.082,360.53,355.79,343.58,337.09,2.576,0.22,0.35,3.54099999999997,0.12,0.584999999999997,1.78299999999999,0.613,1.56999999999998,0.01,2.47639999999998,2.52637499999999,2.5113,2.8582,3.7088,4.09535,4.15435,4.74955,2.0614,1.87269999999999,2.6938,3.3088,3.9436,2.72005,3.2129,4.10652499999999,3.9875,3.607475,4.89995,1.86845,2.4834,3.6143,4.24179999999999,4.55025,3.388125,5.719,2.23,1.8918,2.6923,3.6454,3.8479,4.7872,4.956,5.5904,-1.7834,-1.0168,-0.89475,5.93049999999997,10.865270557269,12.0211698376949,10.3512814791001,12.539292290045,11.9708365441326,12.6705048912948,12.3061873914169,11.981135411171,9.80554062425353,12.2698270558245,6.01702220713869,10.9151379123273,7.45650138804136,441.407313039856,443.398006229106,446.928350094216,441.239872898267,442.76357032799,447.154520459759,445.067176463799,448.998859637224,436.414818601884,451.989683708107,451.527906001855,460.778603018906,454.555596483253,2077.32096045147,2065.77083418973,2066.73358307888
1,4.25,6.39542126525633,4.47548494110496,0.472442126064175,3.09637490914536,3.27687493594354,1.5762151740363,17.6274658159177,9.17255550520558,1.13449052051763,21.7567938488858,10.4637910299072,1.90546470018673,5.543,1.312,0.41275,8.30296,8.221,8.44152499999999,7.99889999999999,8.3168875,8.15583999999999,-3.99715,98.95211,98.30625,2.0609025,6.608,4.84999999999997,4.65699999999996,4.57899999999996,4.29899999999998,2.3,0.0789999999999995,3.9,-0.375000000000001,0.988999999999999,361.03,355.84,349.67,337.29,2.549,0.223,0.36,3.74399999999997,0.12,0.694999999999999,1.676,0.584999999999999,1.40599999999999,0,2.51259999999998,2.56944999999999,2.51555,2.8544,3.7044,4.0942,4.155025,4.746,2.1043,1.83659999999999,2.6841,3.3086,3.9388,2.74365,3.1783,4.1298,3.9846,3.605475,4.8978,1.85145,2.44525,3.6028,4.23139999999999,4.5408,3.3891,5.71935,2.3366,1.8925,2.6946,3.638175,3.84635,4.7896,4.9578,5.5895,-1.8792,-0.459199999999999,-0.0136750000000004,5.44224999999997,10.8745277350132,12.1935695062078,8.70951965825923,12.8788584969485,6.67906065274924,12.8052369925335,6.79685601532449,12.1508187645195,12.1245644244352,12.6825548838293,12.0457405512764,10.707745508423,8.15040177961272,437.380789266426,444.339863135637,444.340381558753,440.326208868469,434.448611424102,445.471209971109,434.451175368131,447.418163196641,436.885194656076,452.107799952484,440.991490767125,463.32609682241,445.894601249046,2117.00354870718,2073.20082787443,2065.58113428675
1,4.75,6.33998837648048,5.92030490952985,0.488119527246975,2.23275272103571,8.03899192737989,10.1117119352958,20.6119740893155,12.8586691835732,1.15643331780414,15.8936329894497,17.0239756281938,2.07372872718932,5.5,1.323,0.42275,8.34128,8.3038,8.47376499999999,8.05974999999999,8.4316,8.65177999999999,-3.97034,98.927877,98.52875,2.044345,6.65699999999999,4.91699999999997,4.65999999999996,4.58499999999996,4.32599999999998,2.53,0.0849999999999991,4.23,-0.327,1.074,362.02,356.24,349.34,337.45,2.537,0.23,0.34,4.343,0.12,0.733,1.648,0.581999999999999,1.267,0.00299999999999983,2.54459999999998,2.58619999999999,2.53735,2.8559,3.6981,4.0898,4.1523,4.743775,2.1902,1.80479999999999,2.687,3.3083,3.9333,2.77615,3.2781,4.11114999999999,3.9807,3.602475,4.89035,1.8361,2.40875,3.6,4.23432499999999,4.5373,3.38925,5.71735,2.43699999999999,1.9041,2.6962,3.63095,3.8306,4.791,4.9577,5.5879,-2.0543,-1.87470000000001,-0.532800000000002,5.19299999999999,10.3161230498808,12.406196235284,8.43984532880893,13.0777875267896,11.1405322908085,13.1811931675227,11.9261109713798,12.5327582884394,10.5546298254023,12.7766510302273,6.26921258148297,11.7399716800284,7.44661035874281,439.109196438336,445.419422795383,446.425214543834,441.512208167707,440.558336541343,444.194422739049,442.720122181005,447.9030185068,437.990614052654,449.267883911971,429.406592858072,455.906042384228,444.148917114637,2106.55054445464,2057.74021249166,2066.78468393024
