DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,-0.210481143361997,-0.183568948704178,-3.59464797361047,-1.63029266475378,0.0401438106602822,-187.781145919123,-5.30129150423466,0.311455344991576,415.726119308271,0.633556695311841,407.927928366599,0.288087865558149,411.653396219979,408.398974796538,0.274326514518722,411.763126751875,408.355283763812,0.268546399424005,411.657841396882,409.066726929372,0.162865664144069,411.917194715574,0.966815695852262,-30.7004643972278,0.142389354462214,0.61,0.54325,-32.16828,-33.0155,-32.0518,-32.75439,-35.7873475,89.804474,35.96,0.10847,-33.36425,-30.6025,-31.907,0,-4.07275,0.2,-1.66325,138.9875,172.895,150.38,172.66,0.05,-0.27,-0.03,-0.04,0.2,-0.98,-0.23,-0.44,-28.8275,-28.133,-27.384725,-18.9773,-9.786725,-4.586175,-0.003,-0.149,-21.480575,-18.866825,-12.302875,-7.429825,-3.7571,-1.439025,0.06,-0.279025,-4.6721,-21.6055,-13.16005,-8.566225,-4.766625,-3.075025,-1.48845,0.138975,-0.08105,-19.042775,-16.47555,-11.784975,-7.4945,-4.532175,-0.21825,-0.054025,-0.229,-21.8655,-21.5206,-20.5423,-11.18445,-5.76135,-3.632,-1.8084,-0.193,-0.065025,-6.65685,-26.91875,-75.25975
1,0.75,-0.0357628041828639,-0.279184268606949,-4.98381919852193,-1.39084696369825,0.0597332671985432,-122.495538404896,-16.5848282374598,0.302981377735319,415.612995753817,0.63043374788294,406.966505254772,0.283887008749424,411.821281991452,406.8945399484,0.274339296409172,411.469917663137,406.925736309052,0.268295241341173,411.827552299814,408.211004368087,0.194067311492467,411.832468808499,0.966851878281568,-30.0612057912955,0.0819864734152785,0.64725,0.61325,-31.84233,-33.302,-31.8137,-32.31245,-36.00603,89.8375825,37.30625,0.10711,-32.31025,-30.49475,-30.16675,0,-3.935,0.3,-1.3825,145.8325,175.97,152.7475,181.255,0.05,-0.27,-0.03,-0.04,0.19,-0.97025,-0.23,-0.44075,-28.53405,-27.9971,-27.6406,-19.0726,-9.7643,-4.5612,-0.003525,-0.149,-21.693925,-18.869125,-12.2403,-7.385575,-3.7543,-1.43835,0.06,-0.279025,-4.67375,-21.6168,-13.200025,-8.523425,-4.74535,-3.069325,-1.4973,0.13895,-0.081075,-19.070975,-16.428975,-11.59545,-7.549125,-4.497875,-0.216325,-0.054125,-0.229,-21.6292,-21.0431,-20.538175,-11.379075,-5.7568,-3.6293,-1.7997,-0.193,-0.0651,-6.7962,-26.927825,-78.1275
1,1.25,-0.261425294703647,-0.256822756665737,-11.8017788528178,-0.790061705389189,0.0586636585251651,-97.0131198920881,-6.38871479419125,0.288144208518509,415.632977204064,0.625813817044528,405.79529375309,0.290084346228497,411.517336728155,405.66301936964,0.272841299435101,411.518885408656,406.212270693764,0.2654077533641,411.58721830173,407.837158499937,0.171232534756276,411.624690171413,0.884404664073994,-29.1292205937617,0.0965618808927832,0.695,0.635,-31.8696075,-32.9855,-31.8783,-31.97436,-34.83983,89.81266625,35.6185,0.1100725,-30.18075,-29.046,-30.49725,0,-3.95975,0.1975,-1.22675,146.5025,177.6925,150.725,182.3875,0.05,-0.28,-0.03,-0.043,0.19,-0.98025,-0.23,-0.45,-28.677675,-28.3794,-27.7343,-19.337275,-9.74495,-4.5524,-0.003,-0.149,-21.73725,-18.782825,-12.1699,-7.39955,-3.749775,-1.4414,0.06,-0.279,-4.661675,-21.6844,-13.30055,-8.5145,-4.76225,-3.0632,-1.497825,0.138975,-0.081025,-18.77425,-16.66825,-11.835425,-7.601475,-4.49795,-0.2168,-0.054125,-0.229,-21.17625,-21.8313,-20.51615,-11.5388,-5.7695,-3.615,-1.787275,-0.193,-0.0651,-6.8613,-27.0144,-76.57775
1,1.75,-0.0398890436080937,-0.212012538219551,-10.744838413272,-1.44102816033148,0.0437148389041982,-114.779117150964,-11.5624177404248,0.221867039583777,415.753754407617,0.618480973180532,404.555673095864,0.267497465978522,411.583277566957,404.794495531452,0.280925126228174,411.673658861029,405.503812125307,0.243608895578908,411.645863712867,406.772927854263,0.177782019592152,411.765953248766,0.522109952977263,-28.7295487119032,0.124656651509957,0.437,0.59025,-32.26449,-33.09235,-32.2312975,-32.62339,-33.8666675,89.816321,35.484,0.1169875,-30.2485,-28.5265,-29.31875,0,-3.90275,0.3975,-1.441,146.3775,179.3225,149.84,185.875,0.05,-0.28,-0.03,-0.04,0.19,-0.98025,-0.23,-0.45,-28.42615,-28.3255,-28.12725,-19.1789,-9.7558,-4.551875,-0.003,-0.149,-21.776675,-18.7586,-12.1894,-7.37735,-3.74685,-1.44345,0.06,-0.279,-4.658475,-21.570325,-13.278,-8.51035,-4.75285,-3.06485,-1.5051,0.138975,-0.08105,-18.681875,-16.735825,-11.959375,-7.561675,-4.45025,-0.216425,-0.05415,-0.23,-21.7586,-22.185725,-20.4879,-11.687075,-5.774825,-3.6006,-1.77945,-0.193,-0.0651,-6.869275,-27.1609,-74.0075
1,2.25,-1.51875949913167,-0.214971182882306,-5.68914505155191,-1.85815247099535,0.0460306402368753,-87.1292616578269,-10.1729253492984,0.20305988780875,415.630811921762,0.634598879794971,403.846949072382,0.261294718054392,411.494231968184,403.94255063056,0.254447652705816,411.814532792729,404.141199575157,0.241066580689489,411.643066732141,404.628856994547,0.204059813691811,411.692301153978,0.833152013306972,-30.5254004299396,0.15556881690924,0.5145,0.6805,-31.42165,-32.8181,-32.61656,-32.22889,-33.39518,89.83854525,36.60125,0.10989,-28.962,-27.77275,-29.2735,0,-3.876,0.2975,-1.412,145.8725,183.07,149.665,187.335,0.05,-0.28,-0.03,-0.04,0.19,-0.98025,-0.23,-0.44,-28.92825,-28.417,-27.69415,-18.88675,-9.781525,-4.54955,-0.003525,-0.149,-21.829975,-18.725975,-12.217325,-7.39135,-3.74295,-1.44645,0.060875,-0.279,-4.672975,-21.460025,-13.28165,-8.506925,-4.776825,-3.0751,-1.50855,0.138975,-0.081075,-18.742725,-16.82195,-12.062325,-7.50525,-4.43405,-0.21565,-0.055,-0.229075,-21.5647,-21.825425,-20.3888,-11.8489,-5.78715,-3.586,-1.76935,-0.193,-0.065075,-6.8615,-27.2113,-71.382
1,2.75,0.0911437131511424,-0.286897218761433,-5.19051916941818,-0.866838656492033,0.0525013181189482,-118.016318442678,-10.071802284564,0.33048569210951,415.578779472622,0.611360031284738,403.651194089392,0.272076674251211,411.629803025,403.784444685018,0.261760392729176,411.667215827551,403.942714874385,0.259483024904851,411.89619069872,404.506355984383,0.230489623918618,412.074600548286,1.0072496403829,-30.3346269407275,0.10584085605985,0.69325,0.672,-32.1482,-32.5889,-32.3249,-31.961725,-33.044905,89.8385755,38.2335,0.115705,-29.1335,-27.8915,-28.301,0,-4.131,0.1975,-1.35425,145.1625,183.195,149.95,187.07,0.05,-0.27,-0.02025,-0.04,0.2,-0.98,-0.23,-0.44025,-28.49275,-28.48525,-26.9341,-19.205225,-9.810375,-4.55535,-0.003525,-0.149125,-21.655175,-18.72295,-12.323875,-7.423875,-3.737125,-1.44945,0.06,-0.279025,-4.70135,-21.4444,-13.2824,-8.486,-4.79395,-3.086,-1.5148,0.138975,-0.081,-18.78205,-16.896925,-12.1592,-7.5141,-4.4422,-0.2142,-0.054075,-0.23,-21.9225,-25.54805,-20.339925,-11.946,-5.79265,-3.5614,-1.762875,-0.193,-0.065075,-6.6693,-27.2439,-71.963
1,3.25,-0.104174299894278,-0.338523326854443,-5.47689574662708,-0.905373012658505,0.0485567482508376,-99.0924413778829,-6.16577965274568,0.350750682490013,415.648594644229,0.625638584187665,403.356633780166,0.281593928276364,411.608844474195,403.446770661264,0.28039363886985,411.768858619906,403.593685296571,0.285261861636343,411.693237198196,404.206735869407,0.281136284934172,413.135450525211,0.830505331726034,-30.8523965477572,0.167177583255763,0.56175,0.561,-31.85975,-32.4113,-31.6994075,-31.6742425,-32.6152425,89.81935,33.875,0.117125,-28.99525,-27.80575,-28.1485,0,-3.994,0.3,-1.291,143.465,183.14,149.16,188.225,0.05,-0.28,-0.03,-0.04,0.19,-0.97,-0.23,-0.44,-28.740525,-29.1346,-27.675575,-18.863325,-9.8465,-4.552025,-0.003,-0.149,-21.5613,-18.616175,-12.342775,-7.450575,-3.73225,-1.448725,0.060925,-0.27905,-4.70655,-21.4381,-13.2274,-8.44175,-4.80935,-3.1012,-1.52015,0.13895,-0.081,-18.81565,-16.94205,-12.231325,-7.51535,-4.432625,-0.2126,-0.05405,-0.229,-22.9521,-25.584975,-20.3977,-11.8329,-5.8033,-3.552375,-1.75585,-0.193,-0.06505,-6.8369,-27.2985,-73.0715
1,3.75,0.0503353103160052,-0.249699062743898,-11.0970754115225,-1.80052810522629,0.0481671688837585,-94.2689147371537,-9.06280445530911,0.197097321812726,415.605636349338,0.668638715153493,403.26152876806,0.282688918379932,411.689164816896,403.528276413987,0.272350942072167,411.691438418393,403.661050742998,0.271498067428356,412.432975412954,404.124897179516,0.269657340863489,412.750836037551,0.936967053073788,-31.0094174305342,0.0816722989434876,0.65,0.68125,-31.623775,-32.0034,-31.6698,-31.463225,-32.90568,89.835231,32.504,0.118,-28.927,-27.97925,-28.477,0,-4.29975,0.2,-1.5705,145.275,181.295,150.1625,188.355,0.05,-0.28,-0.03,-0.04325,0.19975,-0.9605,-0.23,-0.44,-29.05315,-28.9012,-26.88005,-18.26305,-9.87915,-4.54205,-0.003,-0.149,-21.517925,-18.4301,-12.29995,-7.4617,-3.72705,-1.451725,0.061925,-0.27905,-4.7201,-21.3601,-13.2457,-8.47325,-4.81945,-3.1152,-1.52225,0.138975,-0.08105,-18.76275,-16.86155,-12.17675,-7.52555,-4.47165,-0.213625,-0.054025,-0.22905,-21.6817,-25.29585,-19.8165,-11.5721,-5.81135,-3.53265,-1.7521,-0.193,-0.065,-6.8014,-27.3338,-75.12925
1,4.25,-0.128323245478625,-0.216282369263648,-1.19967181218263,-2.18407460376088,0.0389144433868236,-117.578166306373,-17.8052127829381,0.244659801092021,415.206455515423,0.757267809300523,403.196054856781,0.270099876771403,411.754922187371,403.365093294215,0.271941589841657,412.409019882265,403.394903898062,0.270470758820688,411.847489215109,403.964260148656,0.258087467161068,412.196210208087,0.700231214603225,-30.6849604768736,0.0659784174397339,0.6675,0.66,-31.7469225,-32.080275,-31.8436525,-31.6398425,-33.40255,89.856487,35.081,0.11754,-29.301,-27.959,-28.0665,0,-4.1485,0.2975,-1.51125,144.22,180.7975,149.87,184.2925,0.04975,-0.27,-0.03,-0.04,0.19,-0.97025,-0.2305,-0.4405,-29.487,-29.51585,-27.0102,-18.095525,-9.913625,-4.5401,-0.003,-0.149,-21.3521,-18.247675,-12.319525,-7.45055,-3.7208,-1.454725,0.0619,-0.27905,-4.681525,-21.31755,-13.231725,-8.516375,-4.8366,-3.1313,-1.527925,0.138975,-0.081025,-18.70635,-16.852275,-12.214725,-7.47685,-4.472425,-0.21465,-0.054,-0.229,-26.3557,-23.83235,-19.0568,-11.257925,-5.81665,-3.52265,-1.75425,-0.193,-0.065125,-6.883475,-27.44025,-73.221
1,4.75,-0.752484670506324,-0.213016730652346,-4.79972338832731,-1.81654661613347,0.0184490645858942,-129.135588505351,-5.46227703426951,0.189714709707374,415.546519056422,0.73226457146363,407.349258396505,0.318912332006853,411.798294621853,407.196671797813,0.290087275317997,411.44455014136,407.349318136892,0.289554918928575,411.95908738241,407.781915766657,0.268691625071921,412.556745072417,0.624872124659323,-31.2035246834419,0.165421728029234,0.56975,0.5645,-31.85734,-32.499525,-32.10829,-31.5173875,-33.39413,89.879114,29.833,0.1186,-29.28,-27.56675,-28.044,0,-3.9745,0.1,-1.6335,142.0425,183.1825,150.63,187.785,0.05,-0.28,-0.03,-0.04,0.19,-0.97025,-0.23,-0.44,-29.525,-29.2516,-27.4301,-18.0897,-9.9291,-4.54115,-0.003,-0.149,-21.236125,-18.178275,-12.337775,-7.44195,-3.713575,-1.456725,0.06,-0.27905,-4.68265,-21.24355,-13.2611,-8.53675,-4.8526,-3.1498,-1.5336,0.138975,-0.081025,-18.69835,-16.883425,-12.248325,-7.45745,-4.467775,-0.2166,-0.054,-0.23,-24.23825,-23.7832,-18.619275,-11.0402,-5.81295,-3.4977,-1.75985,-0.193,-0.065,-6.813625,-27.4774,-76.10675
