DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.273967691594671,-0.0232403973115122,6.73252181604004,0.151377301154601,0.179872312256698,-34.207137431047,1.75671419642384,0.855678236265115,416.987815455543,2.81074026822304,420.043814110298,1.69671991271017,415.870319194805,419.991751418904,1.68793929035591,417.156990188925,420.779058581886,1.68358657350808,417.021038307692,420.971042969619,1.62655913437403,417.947500185185,2.84461043129436,-4.03456692028084,0.463884564180931,2.16,2.03,-10.2402,-15.726,-12.0482,-9.6207,-19.05135,92.410725,72.63,0.7809,-15.69,-14.5,-14.93,0.8,-2.285,1.6,-0.135,216.85,240.85,218.9,240.25,0.08,-0.085,0.03,0.16,0.265,-0.03,0.02,-0.32,-15.954,-8.966,-11.253,-8.0395,-4.854,-2.381,0.042,-0.013,-9.35,-10.667,-6.015,-3.7115,-1.053,-0.057,0.14,-0.0865,-2.586,-7.54,-5.451,-3.942,-2.4255,-1.4155,-0.1485,0.466,0.066,-6.602,-6.253,-5.2675,-3.772,-2.1985,0.202,0.116,-0.196,-8.701,-7.888,-6.271,-4.128,-2.386,-1.127,0.0725,-0.1785,-0.0585,-2.462,-12.953,-23.675
1,0.75,0.315362397044954,0.00557781075437083,2.31408214538072,-0.0385061593480824,0.160725408796316,-31.4555390459675,-0.0318253879259023,0.707562337722726,417.304688093682,2.88606915127685,419.59233519133,1.61128311520521,416.23077616388,420.040122721551,1.58683397381789,418.124515690476,420.306253734334,1.60266081396236,417.379788526208,421.10850913241,1.51059120951848,418.493092840909,2.589647295775,-3.49605813501852,0.472214709172618,2.14,1.78,-9.8335,-16.0255,-12.0565,-9.1364,-19.1391,92.40739,72.425,0.8444,-16.09,-14.405,-14.965,0.8,-2.07,1.6,-0.135,217.5,242.95,219,239.8,0.08,-0.09,0.03,0.16,0.27,-0.035,0.02,-0.32,-15.887,-8.948,-10.7545,-8.24,-4.8295,-2.3945,0.0415,-0.013,-9.3015,-10.551,-6.0875,-3.7475,-1.066,-0.066,0.109,-0.0865,-2.6165,-7.534,-5.4685,-3.9455,-2.4265,-1.415,-0.148,0.439,0.0485,-6.556,-6.1815,-5.292,-3.732,-2.1945,0.2025,0.149,-0.196,-8.901,-8.0465,-6.315,-4.197,-2.3625,-1.119,0.073,-0.178,-0.06,-2.6235,-13.501,-19.42
1,1.25,0.258662849193136,0.00650286453552484,2.94573856189422,0.089394655550661,0.172021332019147,-24.1587359861337,0.704953561788508,0.809556030658268,417.552419867229,2.91117678389832,419.517768328955,1.70970255225865,415.940631872,419.918431786211,1.72543950847337,416.234919428677,420.31374427137,1.79962921803629,417.307857214286,420.946327149903,1.70568024265522,419.336503454839,3.39251895126295,-4.13268518876294,0.481077110540035,2.36,2.04,-9.8632,-15.8055,-12.7226,-9.2314,-19.5247,92.39844,73.49,0.91335,-16.425,-14.2,-14.51,0.8,-2.265,1.7,-0.13,219.25,242.75,218.85,243.55,0.08,-0.085,0.02,0.16,0.275,-0.03,0.02,-0.32,-15.886,-8.769,-10.168,-8.2335,-4.8235,-2.4125,0.0415,0.01,-9.2185,-10.555,-6.1155,-3.7615,-1.064,-0.067,0.109,-0.072,-2.6135,-7.462,-5.442,-3.943,-2.414,-1.393,-0.148,0.466,0.0485,-6.5615,-6.158,-5.327,-3.695,-2.191,0.2,0.1485,-0.196,-8.864,-8.064,-6.295,-4.182,-2.362,-1.13,0.072,-0.178,-0.057,-2.503,-13.564,-24.07
1,1.75,0.345402307121688,-0.0368804498492939,1.05086089361795,0.0823721640176149,0.196901151798455,-47.0530514052309,-0.0483856383384585,0.845140332521163,417.695571174096,2.92753238637444,419.920993812631,1.75303024043372,416.139115349332,419.993273700724,1.68581555000012,417.019051610456,420.601629590901,1.64783684768958,416.902980611111,420.954036383201,1.51686313130403,417.524775053898,2.71536774345839,-3.55719417101062,0.495317202868237,2.17,1.7,-9.12215,-16.1345,-12.15435,-9.0158,-18.87175,92.39618,73.51,0.966,-16.435,-13.975,-14.985,0.8,-2.2,1.6,-0.14,217,240.85,216.9,243.65,0.08,-0.09,0.03,0.16,0.25,-0.035,0.085,-0.32,-15.906,-8.994,-10.361,-8.1745,-4.836,-2.4145,0.0415,0.01,-9.2855,-10.5455,-6.0215,-3.7765,-1.071,-0.065,0.109,-0.072,-2.653,-7.4005,-5.488,-3.963,-2.427,-1.411,-0.149,0.466,0.066,-6.58,-6.138,-5.3115,-3.7145,-2.17,0.193,0.149,-0.196,-8.831,-8.0175,-6.346,-4.2215,-2.3625,-1.126,0.072,-0.1785,-0.06,-3.389,-13.566,-23.1
1,2.25,0.373672566411938,0.00643320204835186,1.68182076310414,0.104548979215295,0.191737611058092,-22.3338412675229,-0.391409076106704,0.794497525290035,417.731489631331,2.92055716349284,420.057875870198,1.68439959663103,416.683873418182,419.938577013261,1.7040633519944,417.101587719236,420.460727589722,1.69174518656836,416.87906570551,421.005663580755,1.56146130632951,417.284633,2.79066802922631,-3.91398278961594,0.468066876392396,1.885,1.725,-9.0262,-15.931,-12.99965,-8.547,-19.0409,92.360555,72.9,0.97055,-16.485,-14.235,-16.31,0.8,-2.25,1.7,-0.175,216.8,242.7,215.5,235.9,0.08,-0.09,0.03,0.16,0.27,-0.035,0.15,-0.32,-15.875,-9.024,-10.232,-7.8455,-4.844,-2.4135,0.0415,0.01,-9.4695,-10.5815,-6.0265,-3.795,-1.0775,-0.068,0.14,-0.072,-2.701,-7.339,-5.503,-3.963,-2.4265,-1.4095,-0.15,0.4665,0.0665,-6.6185,-6.1675,-5.247,-3.722,-2.1385,0.193,0.1485,-0.213,-8.535,-7.685,-6.3425,-4.2165,-2.362,-1.126,0.073,-0.178,-0.06,-2.437,-13.5135,-23.95
1,2.75,0.455418861742125,-0.0330831887765989,4.2100689055931,-0.0152041738065694,0.162824546676709,-54.8473634956512,0.0933352467478564,0.840055928618384,417.511533690561,2.9871378337925,419.89802327428,1.73307275189057,415.68224198366,419.970266690023,1.70071717750239,417.178298679612,420.389963768899,1.69681326076841,417.800494580728,421.129713799445,1.53069800743893,417.885212019934,2.26067768521163,-3.74422761861928,0.515640891815063,2.075,1.835,-9.805,-15.9195,-13.5793,-9.5358,-18.94035,92.35507,73.92,0.9983,-16.53,-14.635,-15.83,0.8,-2.025,1.7,-0.125,215.05,240.5,214.4,237.8,0.09,-0.09,0.03,0.16,0.28,-0.03,0.085,-0.32,-16.431,-9.195,-9.912,-7.979,-4.8235,-2.4115,0.0415,0.01,-9.6625,-10.6245,-6.028,-3.804,-1.0855,-0.069,0.14,-0.0855,-2.7515,-7.341,-5.451,-3.974,-2.387,-1.388,-0.149,0.4665,0.067,-6.6445,-6.167,-5.2055,-3.7665,-2.1505,0.2,0.149,-0.213,-8.554,-7.879,-6.3275,-4.184,-2.3605,-1.12,0.075,0.049,-0.0585,-2.457,-13.754,-19.115
1,3.25,0.299013071910024,8.3218564620445e-05,6.67155527636888,0.114688151315322,0.199511980420319,-55.6106697191558,-0.0519656630455496,1.0188600097812,417.549672204605,3.17647022101345,419.372661144933,2.01505645449538,415.803306242001,419.498374813913,1.86516914023518,416.602017773752,419.791335660334,1.75589794254051,416.428144879643,420.589840900934,1.61102082369997,418.262311378247,2.90945212460648,-3.48777237465572,0.441264021850123,1.95,1.745,-11.5859,-15.4565,-13.7399,-8.6095,-19.21625,92.375585,73.89,0.7096,-16.72,-14.77,-16.46,0.7,-2.05,1.5,-0.12,215.5,238.1,214.5,235.2,0.08,-0.09,0.025,0.16,0.275,-0.025,0.085,-0.32,-17.195,-9.264,-10.6385,-7.671,-4.805,-2.412,0.0415,0.01,-9.6295,-10.6675,-6.0485,-3.8035,-1.09,-0.0655,0.14,-0.071,-2.757,-7.458,-5.498,-4.007,-2.389,-1.387,-0.149,0.439,0.049,-6.675,-6.174,-5.1955,-3.7785,-2.147,0.2005,0.148,-0.2045,-8.577,-7.8915,-6.287,-4.16,-2.385,-1.133,0.073,-0.0645,-0.057,-2.419,-13.529,-22.63
1,3.75,0.364572671225619,-0.00730169457961605,9.02735366233,-0.283906159682161,0.153530139574056,-43.5935958501452,-0.517964020870095,0.876484694054072,417.886198238158,3.16440849267197,419.588111419654,1.75912006986553,415.865484055601,419.344659318758,1.69796751472164,416.661429098125,420.122921981692,1.75200877944152,417.090789003257,420.908781069075,1.74035389147553,418.253604509434,2.68482893290253,-3.38793673820331,0.434079433341392,2.06,1.9,-10.7258,-15.766,-12.976,-8.5983,-18.9251,92.35068,73.23,0.8441,-16.535,-14.995,-16.14,0.8,-2.03,1.65,-0.07,217.6,238,217.75,237.2,0.08,-0.09,0.03,0.16,0.265,-0.035,0.02,-0.31,-17.5155,-9.431,-9.906,-7.6385,-4.767,-2.4115,0.0415,0.009,-9.638,-10.6965,-6.0565,-3.7785,-1.091,-0.067,0.1715,-0.072,-2.776,-7.561,-5.585,-4.0205,-2.443,-1.406,-0.1495,0.466,0.066,-6.7375,-6.221,-5.2,-3.7615,-2.1505,0.2,0.116,-0.196,-8.608,-7.954,-6.277,-4.156,-2.392,-1.124,0.0715,-0.0645,-0.06,-3.301,-13.7,-18.44
1,4.25,0.338964249689916,-0.00844567232634741,10.8383015150853,-0.0581306777258413,0.239666943189742,-46.5379229049426,-1.25347982713196,0.998973351011335,417.804130531614,3.06041462506112,420.037705054257,1.57686315329474,416.478350200519,419.954403150463,1.56541693958376,417.430647846926,420.456139469771,1.56482424515921,417.278693400991,420.829583977345,1.47536570111812,418.104969642234,2.79326049873068,-3.9784748358247,0.489992083405315,2.31,1.925,-10.5644,-15.9695,-11.42855,-8.3774,-18.7097,92.36053,73.01,0.8732,-16.565,-15.175,-15.9,0.9,-1.88,1.8,-0.16,217,238.2,216.8,237.05,0.08,-0.09,0.025,0.155,0.265,-0.04,0.02,-0.32,-17.525,-9.346,-10.409,-7.538,-4.729,-2.411,0.0415,0.01,-9.637,-10.753,-6.0255,-3.76,-1.0925,-0.068,0.172,-0.072,-2.8235,-7.5835,-5.596,-3.9955,-2.4505,-1.4055,-0.15,0.4665,0.049,-6.789,-6.2925,-5.172,-3.7755,-2.1545,0.1995,0.116,-0.196,-8.633,-7.807,-6.3045,-4.2025,-2.402,-1.1325,0.071,-0.0645,-0.0585,-2.643,-13.617,-19.08
1,4.75,0.324489764188753,-0.00738238652354407,5.47746664331335,0.131808628774452,0.172615396429364,-33.3997418481352,0.444711572198058,1.00130750842409,417.541720013663,2.86146635845669,420.029257335937,1.8905350802959,416.315327051724,420.238076844739,1.77199463073317,416.738581151101,420.567565290933,1.98637849465762,417.019481727869,421.149080634011,1.54857921186757,418.473494618033,3.10757300575486,-3.90297919007168,0.571942372943276,2.21,1.9,-11.06565,-15.197,-11.8679,-8.2346,-18.8405,92.35937,73.01,0.9645,-16.355,-14.57,-15.71,0.7,-1.995,1.6,-0.205,220.1,238.6,217.6,238.8,0.08,-0.09,0.03,0.16,0.28,-0.04,0.025,-0.32,-17.812,-8.961,-10.6815,-7.282,-4.7465,-2.398,0.0415,0.01,-9.5665,-10.741,-5.878,-3.731,-1.094,-0.0695,0.1725,-0.072,-2.8645,-7.204,-5.5905,-3.958,-2.425,-1.386,-0.15,0.4665,0.049,-6.7715,-6.2925,-5.194,-3.6865,-2.157,0.1995,0.1485,-0.196,-8.453,-7.84,-6.317,-4.2055,-2.404,-1.124,0.074,0.049,-0.057,-2.622,-13.647,-19.875
