DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_5_1
1,0.25,3.8903309889764,14.7468903363703,0.26853788632299,2.1474119766195,2.01271895776769,2.1601252078943,6.88271024489073,4.89288497457825,0.463718124942619,-2.30332247376635,-0.982563039481588,0.895067390510216,2.8025,1.965,1.2225,0.97,0.225,14.4586,13.6645,13.5711,13.29685,13.7946,13.7271,12.713525,101.762625,86.855,4.6433,13.4425,13.1425,12.91,12.875,13.325,1.3,-1.0825,2.2,0.71,365.25,388.1,374,379.85,0.1,0.065,0.18,0.05,-0.03,0.21,2.785,0.13,0.085,0.16,13.58725,13.7615,13.5475,14.27125,14.706,15.46975,15.735,16.8625,17.45775,13.57075,13.822,14.025,14.73375,14.96575,15.777,16.167,17.162,17.75075,13.4465,13.8805,14.13825,14.4755,15.101,15.8355,16.11875,17.0505,17.726,13.24975,13.5265,13.90225,14.39325,14.6745,15.306,16.47375,17.11825,17.508,12.911,12.7485,13.5695,14.1775,14.793,15.295,15.91075,16.784,17.541,-4.07,-3.683,-5.04225,-14.2575,13.0361255564281,11.3581019517402,11.4247822105377,10.959303198835,11.0495944588281,11.7691357377973,11.6794280907038,424.659554323992,429.26478710599,428.190606225773,431.018726644053,430.447813981999,432.02238240626,431.149448182611,432.80020897011,440.624584765033,436.631708025829,477.731787687337,466.069455778544,2047.00641399869,2036.52818700273,2064.57523928484,2061.88888493028
1,0.75,3.90232223275056,14.6686164761696,0.300413576328868,1.96772369288878,1.18656907441517,2.2487533705807,7.86947203553441,4.55633356239783,0.470966430325104,-2.24608071344681,-1.28591677533182,0.895493108382757,2.8175,1.9475,1.265,0.97,0.205,14.218025,13.46625,13.33705,12.9846,13.7048,13.232275,12.7591,101.7553625,88.165,4.391225,13.3,12.9625,12.93,12.87,13.23,1.3,-1.16,2.375,0.71,368.175,386.35,370.55,379,0.1,0.1025,0.18,0.05,-0.04,0.21,2.735,0.09,0.08,0.15,13.3485,13.58075,13.541,14.26975,14.7155,15.47475,15.732,16.86475,17.45675,13.4545,13.678,13.89025,14.712,14.9685,15.789,16.17325,17.1625,17.7515,13.2725,13.722,14.102,14.48525,15.074,15.828,16.12225,17.0475,17.72375,13.02725,13.33875,13.774,14.2855,14.6665,15.31,16.47025,17.1145,17.506,12.8495,12.778,13.522,14.1365,14.7645,15.293,15.908,16.7825,17.539,-4.609,-4.6315,-5.29125,-12.455,13.2711975539862,10.7422161633044,10.9135547375402,10.5203457063279,10.6914680940904,11.0144989635375,11.4362503405729,424.848525493481,429.888120726212,426.773551102838,431.313829911693,428.635029116547,431.604776460913,428.339700471706,432.863824351121,445.963419673317,438.959081967012,479.787630320654,483.165249473522,2056.53539115792,2033.77761458687,2063.83603143771,2058.33294383434
1,1.25,3.77326502506191,14.320995380962,0.299022310396384,2.49260432338727,1.51485518724506,2.5756022001019,5.67625562911053,3.72212120270708,0.455608625070667,-2.82552207534336,-1.18742928271907,0.879086871656193,2.8375,1.9025,1.1925,0.98,0.22,13.976475,13.371,12.7254,12.676925,13.6394,13.3542,12.795425,101.7305475,88.8775,4.157375,13.125,12.5875,12.7,12.495,12.635,1.2,-1.04,2.275,0.66,364.2,384.675,365.95,377.15,0.1,0.1875,0.18,0.05,-0.04,0.21,2.7825,0.09,0.08,0.15,13.2055,13.4285,13.522,14.225,14.69775,15.481,15.72925,16.86525,17.4555,13.306,13.6345,13.76975,14.686,14.96875,15.8,16.17375,17.1645,17.75075,13.07925,13.5415,14.06375,14.47125,15.046,15.8235,16.12575,17.04525,17.72225,12.819,13.124,13.68325,14.248,14.65575,15.31275,16.467,17.1115,17.50425,12.626,12.8075,13.528,14.0665,14.736,15.284,15.90475,16.781,17.538,-4.45,-4.0495,-5.05775,-12.515,13.2013844208888,10.458775230968,10.5808671077473,10.1350841960072,10.3614164302324,10.8671044919447,11.1317991182055,425.828608202065,431.648678708662,431.190914249142,432.569055981574,428.283407621161,434.00949831911,429.712854424964,433.922887805141,448.694895833627,439.515526492102,476.469213981222,463.904533811922,2062.04295851125,2036.1793907559,2062.15290758213,2058.52009854998
1,1.75,3.86473187339426,13.9922698722542,0.322477869675708,2.16396324957226,0.921422369726024,2.16569335346033,5.38907853903977,2.51201856010898,0.44874770877004,-1.75879291911816,-0.425031179790451,0.829310299504637,2.7475,1.9125,1.1975,0.97,0.225,13.496425,13.12125,12.552225,12.49365,13.39325,13.67095,12.159875,101.7377725,88.44,3.9688,13.0375,12.5025,12.43,12.345,12.59,1.275,-1.1275,2.3,0.69,363.775,383.525,363.75,376.5,0.1,0.1275,0.18,0.05,-0.04,0.21,2.8875,0.09,0.08,0.15,12.8955,13.23,13.47475,14.18725,14.66175,15.48025,15.72725,16.862,17.45425,13.1435,13.5785,13.73,14.662,14.96925,15.78275,16.1695,17.1645,17.751,12.77225,13.46525,14.05625,14.4025,15.029,15.819,16.12775,17.04225,17.721,12.4625,12.95275,13.6245,14.16075,14.64425,15.3135,16.4635,17.10875,17.5035,12.408,12.7065,13.538,13.989,14.7195,15.2755,15.906,16.7795,17.536,-5.1535,-5.473,-7.224,-13.51,12.6143859723531,10.8667956919997,10.8709291054497,10.6614565578984,10.8723982383398,11.3081745775919,11.6013088261068,426.105043117036,431.506463484105,427.724707776695,433.098745452747,429.900661218246,435.436438564665,429.25927995196,435.005259034062,446.39417758753,445.905104533909,472.643399061406,479.061713951712,2059.85255225833,2038.87873935468,2071.91224063403,2059.46002930083
1,2.25,3.89117670299265,13.74696859275,0.294880151456194,2.49119442369453,0.813049151888855,2.29755075120281,6.79655149889271,4.78869537325377,0.45701843397881,-2.32143111972523,-0.14681018144433,0.876734015446884,2.86,1.925,1.2625,0.98,0.22,13.340425,12.69775,12.3324,12.407825,12.91925,13.4237,12.2082,101.7280725,88.8125,3.688775,12.8875,12.5,12.54,12.455,12.645,1.3,-1.195,2.2,0.6375,363.275,382.4,365.4,374.2,0.1,0.155,0.18,0.05,-0.04,0.21,2.8775,0.09,0.09,0.15,12.781,13.07725,13.47075,14.14375,14.6265,15.48025,15.647,16.85875,17.45075,13.0055,13.60125,13.70825,14.6175,14.9445,15.776,16.1655,17.1635,17.751,12.80575,13.30975,13.987,14.3725,14.99675,15.8145,16.117,17.03975,17.7195,12.3315,12.80425,13.58375,14.0745,14.7025,15.3205,16.46075,17.105,17.5035,12.291,12.543,13.5055,13.92,14.6995,15.2665,15.907,16.77975,17.53475,-5.36175,-5.597,-6.945,-11.34,12.1968041650654,10.8567870305729,10.9100225429822,10.7063026101335,10.8552855290664,11.0298867712545,11.6941536606367,426.887490144556,431.574752201401,429.288729151293,433.978109593528,431.632623956726,434.28747669389,434.890523695063,437.422317345993,444.137660679908,454.263666250984,473.453506728816,459.623692993292,2059.43873775456,2041.99757525349,2051.86964924746,2053.06163469749
1,2.75,3.8872544215773,13.5998922429144,0.250095230056942,2.60491180153495,1.6367169642389,2.60997810487323,5.8594591070587,5.08469076489397,0.468732141672066,-2.30754917179082,1.25258999511578,0.896180854627066,2.86,1.9725,1.1825,0.96,0.23,12.889075,12.43025,12.130225,12.2205,12.52125,13.56625,12.40375,101.726875,90.23,3.46265,12.73,12.46,12.69,12.585,12.73,1.3,-1.005,2.175,0.6725,364.7,381.025,364.95,373.4,0.1,0.21,0.18,0.05,-0.04,0.215,2.9,0.09,0.08,0.155,12.72425,13.01175,13.44025,14.088,14.58975,15.47975,15.655,16.8565,17.448,12.7915,13.534,13.71925,14.5505,14.91025,15.76825,16.16175,17.1615,17.75075,12.59325,13.30475,13.916,14.38,14.963,15.812,16.1055,17.03675,17.71925,12.32675,12.66425,13.557,14.056,14.72375,15.32775,16.46425,17.102,17.5045,12.07,12.406,13.389,13.891,14.6685,15.2655,15.908,16.78125,17.53275,-5.86725,-6.82475,-8.1255,-10.965,13.4029288369466,11.0810882811123,11.084877120595,10.7871218319794,11.0349183686868,11.3961500270247,11.7968653145251,427.639391088955,432.586577170866,429.54553491542,435.201805766143,433.481265526856,436.846133314963,433.08903179515,437.526420226361,447.515466945854,458.009783328365,473.978062516529,471.41843823495,2053.41409556816,2049.07517114327,2060.0408431411,2056.74202364433
1,3.25,3.76315436657282,13.4211980430398,0.308443097186237,2.26238552796305,0.942665672257817,4.03285574657022,4.9838185507328,6.98195274858359,0.464876486277913,-2.50332086197692,-0.205345382430297,0.899771017754662,2.7575,1.89,1.24,0.93,0.225,12.788475,12.256,11.895575,11.717875,12.6109,13.496,12.250875,101.7417525,90.26,3.2662,12.3375,12.295,12.41,12.235,12.42,1.4,-0.8925,2.3,0.69,366.575,380.625,364.75,371.1,0.1,0.2225,0.18,0.05,-0.04,0.21,2.885,0.09,0.085,0.15,12.4065,12.77525,13.405,14.03175,14.55225,15.473,15.663,16.85325,17.4455,12.53875,13.301,13.73225,14.48025,14.892,15.7615,16.15775,17.15675,17.7515,12.40475,13.11275,13.85075,14.361,14.9375,15.81525,16.09425,17.0345,17.719,12.32325,12.53925,13.515,14.0755,14.7225,15.33375,16.46875,17.09975,17.5045,11.9275,12.154,13.2545,13.88,14.638,15.2655,15.9095,16.782,17.5315,-6.09,-6.264,-7.439,-10.3,13.9043189828431,10.9729856180464,11.002076276379,10.6745385071039,10.9762493429173,11.1598089216713,11.6678766305403,426.696521090195,433.690268818615,431.78027451872,435.600587205462,435.681206937249,437.763351287768,433.767299113936,438.172920880277,451.235012929539,442.941977227003,478.706798384908,479.319248139944,2054.33549797048,2054.12487757567,2061.89348795774,2051.27329743146
1,3.75,3.7702680065142,13.209845514419,0.255623702482347,2.58518650267036,0.929882143506882,2.08049337452737,11.3060653389807,4.83847370918277,0.457649107764203,-1.59740878240862,-0.595971979063425,0.863370101801489,2.6975,1.9075,1.2025,0.93,0.215,12.8413,11.9775,11.5456,11.556325,12.31295,13.15225,12.4291,101.7557875,90.265,3.1377,12.325,12.3075,12.34,12.365,12.535,1.3,-1.0425,2.275,0.7,362.65,380.075,365.45,372.25,0.1,0.2575,0.18,0.04,-0.04,0.205,2.885,0.085,0.085,0.15,12.16475,12.61575,13.2655,13.9725,14.5145,15.46175,15.69725,16.85,17.44425,12.36375,13.0015,13.74575,14.4155,14.87825,15.755,16.154,17.15375,17.7515,12.29025,12.94375,13.83575,14.31,14.93175,15.81875,16.0835,17.03225,17.72,12.3015,12.49,13.39125,14.07825,14.70125,15.3405,16.47225,17.09675,17.5045,11.8405,11.989,13.165,13.8795,14.606,15.2655,15.91125,16.7805,17.5305,-6.41,-8.0355,-7.7315,-10.7225,13.168735714083,10.5819028531472,10.7134712376062,10.6716915361987,10.5272000650385,10.964260736037,11.3295034275495,426.99384367274,436.011062326617,431.77860035039,436.964703566238,435.10257015022,438.389394977757,436.515056693092,438.262859082135,449.349954310374,444.331784068234,475.988212972809,455.746908214522,2064.70615003469,2057.9865919315,2060.68896780749,2060.2291406032
1,4.25,3.80014997402988,13.0910166206324,0.268206346960584,2.48531230667575,1.14328834365046,2.57197862189008,8.37874395139008,5.60287259456539,0.442708902000741,-1.97835085877388,-1.06097164620067,0.856592499680032,2.6475,1.9075,1.1675,0.95,0.2,12.75895,12.07,11.8954,11.725775,12.14485,13.574975,12.519525,101.7583975,90.8675,2.9999,12.31,12.39,12.49,12.48,12.625,1.275,-1.025,2.1,0.69,361.2,380.575,360.6,372.75,0.1,0.2375,0.18,0.05,-0.04,0.21,2.8875,0.1,0.08,0.16,12.103,12.47275,13.10775,13.91425,14.475,15.45075,15.688,16.847,17.44425,12.3645,12.844,13.7515,14.372,14.863,15.74925,16.151,17.1505,17.752,12.21525,12.829,13.81075,14.25525,14.90475,15.822,16.07225,17.03025,17.719,12.1515,12.435,13.30225,14.0745,14.6775,15.34675,16.48025,17.0935,17.5015,11.7225,11.926,13.086,13.855,14.573,15.2655,15.90625,16.778,17.53075,-6.5785,-6.916,-7.70725,-11.7775,12.4478285164989,10.6515368371451,10.839849014416,10.5120196575422,10.5557358267168,11.0729990996066,11.5369177459015,427.862354679767,435.538028612321,431.960001220349,437.873912572675,434.7194101808,439.046924549668,428.595635137756,438.461739855583,449.305387721155,443.985580736463,467.846991840115,470.744091084185,2059.2509893333,2039.48939013375,2086.93509181149,2064.25803920413
1,4.75,3.66063213580666,13.01123973283,0.293740359201263,2.5408012362218,0.512099956114036,1.89752280708943,5.78085340488192,4.69399902484498,0.441954643728242,-2.0693584373353,0.676569719444889,0.830507094946656,2.6175,1.83,1.1925,0.93,0.21,12.763875,11.98125,12.163275,11.8998,12.23465,13.272675,12.5726,101.759725,90.7,2.966025,12.21,12.305,12.36,12.285,12.465,1.2,-0.94,2.275,0.68,363,379.55,360.8,373.35,0.1,0.1875,0.18,0.05,-0.04,0.205,2.9975,0.105,0.085,0.15,12.11475,12.421,12.96625,13.85925,14.43625,15.44025,15.68525,16.84375,17.4445,12.265,12.7155,13.75,14.35275,14.8605,15.7425,16.14725,17.14675,17.753,12.204,12.786,13.74025,14.22925,14.877,15.826,16.0635,17.02875,17.71875,12.08375,12.4795,13.2385,14.06975,14.65475,15.35275,16.48725,17.09175,17.4985,11.7475,11.935,13.0345,13.832,14.539,15.2645,15.905,16.77675,17.531,-6.672,-7.827,-7.585,-11.5325,12.3990017504149,10.3944545291454,10.6800139402791,10.415495784348,10.4322353375282,11.2710161023774,11.3974820741423,428.518117082505,434.765131647819,429.495338649073,438.502564772385,433.069267760268,440.195359175638,435.855520564487,440.328207881156,448.028417517442,467.949242252292,468.958703967218,451.025602807572,2062.52802095085,2042.48628245794,2061.2727771368,2060.69303913313
