DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_9_1,TS_3_1_1,TS_3_3_1,TS_3_4_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_4_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.0502224716423783,-0.0256428958795135,0.00556868887354617,-0.348039628270175,-0.0256166097703766,0.0891491396038619,-6.29073084825458,-1.59430711176372,0.436611091776443,410.185160622182,3.57954233993249,420.058459960559,2.7732774489848,415.365031482428,420.232114728325,2.70788918809849,414.797401672064,420.664778438804,2.59528577324365,415.109810414286,417.182766769793,2.67908894232836,413.501981083333,1.84828457187303,2.1165267816998,0.403055771751286,1.355,0.825,0.295,2.2815,1.8405,1.18465,0.1866,-1.4988,87.108975,46.88,3.1304,-2.415,-0.865,-0.91,2,-3.385,3.7,0.35,237.45,306.9,236.75,304.05,0.01,-0.245,0.05,0.3,-0.03,-0.09,-0.15,-0.355,1.5145,3.272,6.823,7.911,8.744,13.83,13.711,2.2835,4.311,15.5695,3.5825,8.051,8.34,11.627,17.028,2.3675,4.135,6.8345,7.605,10.1535,15.6805,3.0945,4.612,9.6255,-38.112,-25.684,-22.262,-64.955
1,0.75,0.0152668646080613,-0.00836990110440349,0.019559645526698,-0.175326476832171,-0.17727539607727,0.0904463956623122,-4.94951412690983,-1.71792090407791,0.492257860008656,410.043561713943,3.44217067254848,420.395362971438,2.83099451256242,414.756282483019,420.351921890405,2.70766856546612,414.520776759717,420.53344821096,2.66126218691588,414.918169875,418.958244933153,2.49921266522726,413.699085322034,2.06079639370867,1.85741523213864,0.415709300352128,1.365,0.805,0.32,2.1588,1.5795,1.02805,0.17105,-1.29715,87.100055,47.68,2.9673,-2.845,-1.205,-1.055,2,-3.38,3.7,0.3,236.9,305.8,235.4,301.75,0.01,-0.24,0.06,0.31,-0.025,-0.09,-0.15,-0.33,1.3905,3.066,6.561,7.8315,8.7615,13.829,13.708,2.152,4.204,15.5675,3.214,7.8845,8.2625,11.632,17.0265,2.1555,3.8845,6.6495,7.5495,10.1635,15.6785,2.7725,4.2945,9.5815,-38.678,-25.661,-22.144,-66.05
1,1.25,0.0470661885691892,0.00294339369831678,-0.0272204255607333,0.198910710719827,-0.225564851459644,0.0898435174695271,-4.66194935474097,-1.37037762794189,0.467736250101141,409.986185757003,3.46356067451905,419.310663011521,2.87432518131561,415.195921555195,419.524328404672,2.78594047653365,414.877408353698,419.185559080302,2.50661748290235,414.401248466238,418.66017798909,2.65884823706389,413.44870787931,1.9363413703356,1.10527987089671,0.409483158470749,1.235,0.8,0.28,1.5545,1.067,0.52765,-0.34335,-1.8911,87.10486,48.57,2.74835,-2.99,-1.42,-1.5,1.9,-3.185,3.6,0.285,236.7,306.55,235.25,302.05,0.01,-0.245,0.055,0.31,-0.025,-0.09,-0.145,-0.325,1.1995,2.7295,6.3095,7.7475,8.7785,13.828,13.7205,1.915,4.0055,15.5655,3.1275,7.7275,8.15,11.629,17.0255,1.8605,3.617,6.4645,7.4655,10.17,15.6755,2.5535,4.011,9.4905,-39.5,-26.734,-22.376,-63.39
1,1.75,0.00940120841710941,0.0100215169387999,0.000796081808774995,-0.284034158132717,-0.186015675931559,0.0972221596424296,-6.1418795591176,-1.18042144966167,0.438390141456462,409.770102973032,3.55563881582106,419.382554254653,2.72906649904084,414.942130978875,419.050674933736,2.64749567000135,414.887916029221,418.857408700853,2.54061736687289,414.690077529221,414.2660543855,2.67764660617504,413.761891224808,1.76460935676848,0.804226483941477,0.373705752184766,1.31,0.84,0.31,1.127,0.5985,0.10675,-0.6338,-2.0751,87.1092,49.315,2.58895,-3.31,-1.62,-1.98,1.95,-3.3,3.7,0.25,234.95,303.85,233.7,299.95,0.01,-0.235,0.05,0.31,-0.025,-0.09,-0.145,-0.27,0.885,2.429,6.137,7.6515,8.794,13.827,13.701,1.6045,3.6315,15.5635,2.9765,7.568,8.032,11.627,17.024,1.688,3.3405,6.26,7.376,10.176,15.6735,2.256,3.705,9.4005,-37.686,-26.36,-22.41,-62.76
1,2.25,0.0345168334162786,-0.00888847366767856,0.0457642933924634,-0.00255081654960925,0.0704013082678002,0.0834091540797748,-6.9074781717275,-0.804627441812336,0.471142431999073,409.003419548534,3.6164982869481,419.693722617207,2.70140814272076,414.57795005,419.109454474308,2.66295258164721,414.916591061802,418.822094922557,2.57856147737342,414.731781825936,414.218357989233,2.59825869894608,413.476571429671,1.75837254209944,0.345351292079897,0.379081402750501,1.29,0.81,0.28,1.0738,0.106,-0.23895,-1.19585,-2.93185,87.11008,51.695,2.55525,-3.48,-1.8,-2.365,1.9,-3.14,3.6,0.305,234.6,300.55,233.95,296.8,0.01,-0.235,0.05,0.3,-0.03,-0.085,-0.145,-0.28,0.641,2.236,5.9965,7.5345,8.8075,13.826,13.699,1.376,3.3055,15.552,2.7165,7.4165,7.911,11.649,17.0225,1.5,3.1095,6.0975,7.283,10.185,15.6715,2.039,3.4495,9.284,-39.616,-26.697,-22.6895,-62.03
1,2.75,0.0316572451470516,0.00576457915016294,0.0907325049761518,-0.251734312341916,0.00404758058565247,0.0915315499855418,-6.14487806899541,-2.35494102272264,0.441618515438743,408.974155066923,3.54062959683261,419.569412266243,2.64409147612442,414.655444286941,419.54085372846,2.54147739396395,414.569318174546,419.401267632375,2.56123001715234,414.356105226315,414.262555748623,2.36467441013127,412.978455551181,1.73360761087322,0.317325543847289,0.400130008266148,1.19,0.795,0.28,0.65725,-0.0275,-0.25605,-1.531,-2.71065,87.10684,51.46,2.57555,-3.775,-2.105,-2.59,1.9,-3.03,3.7,0.345,234.35,299.7,233.55,296.1,0.01,-0.245,0.05,0.31,-0.03,-0.09,-0.145,-0.275,0.403,2.08,5.786,7.4155,8.8205,13.825,13.658,1.135,3.0555,15.559,2.33,7.296,7.789,11.6475,17.0215,1.294,2.897,5.955,7.1875,10.196,15.67,1.793,3.238,9.1795,-39.987,-26.2295,-22.98,-62.795
1,3.25,0.0396141378025771,-0.0309353573699186,0.0398580421141366,-0.238795663554732,-0.189209044690033,0.0952621583165861,-10.8397871466531,-0.932219582778165,0.439250386817479,409.003968850414,3.42430053909633,419.356222935657,2.7082540620956,414.868683848448,419.254952041269,2.65165516961647,414.607962852459,419.287742079816,2.59844072787693,414.704290196774,414.596943939628,2.40191828327375,413.127492709838,1.5981606746424,-0.221321010686665,0.429755053589471,1.12,0.795,0.29,0.03765,-0.1765,-0.64455,-2.0244,-3.42125,87.095165,51.655,2.363,-3.855,-2.28,-2.675,1.9,-3.11,3.65,0.34,231.9,299,231.75,296.3,0.01,-0.25,0.05,0.3,-0.02,-0.09,-0.15,-0.285,0.2345,1.8765,5.5965,7.297,8.8345,13.824,13.6945,0.9395,2.861,15.5575,2.0545,7.1325,7.6645,11.6475,17.02,1.1425,2.763,5.814,7.09,10.205,15.6685,1.475,2.9725,9.087,-40.579,-27.007,-23.729,-62.47
1,3.75,0.0139195188143188,-0.0141869243608748,-0.0110164207478787,0.372838525633034,-0.169340856458373,0.0875795128645116,-5.35158485724628,-0.0383396082728958,0.444953359142027,408.741977649595,3.51071949413208,420.640370756247,2.66185136710516,414.708227982316,420.507786340586,2.59596002499658,413.680454470779,420.683498482146,2.53724446321251,414.023417003929,417.582176345095,2.2591640347021,413.391807187097,1.5959453564262,-0.326471389366645,0.428158309907384,1.17,0.79,0.28,-0.00215,-0.2925,-0.6912,-1.86425,-3.50955,87.097275,52.17,2.3074,-3.98,-2.25,-2.84,1.8,-3.035,3.6,0.475,232.3,298,232.5,296.25,0.01,-0.25,0.05,0.31,-0.03,-0.09,-0.145,-0.28,0.0745,1.6795,5.443,7.1765,8.843,13.824,13.694,0.854,2.6745,15.555,1.806,6.9545,7.5835,11.6475,17.019,0.925,2.5935,5.663,6.991,10.214,15.666,1.3345,2.6745,8.9815,-38.893,-26.995,-23.288,-62.635
1,4.25,0.0518706705141493,-0.0331957361417082,-0.0155461037351706,0.746599165652984,-0.011992335887992,0.099022794354799,-9.34318147386045,-1.63404659975173,0.529977623347039,408.813158655618,3.62123638928264,417.07054645935,2.78122995987335,414.774942044872,417.169847306164,2.7484506400426,413.855050616667,417.687926677266,2.60611590894257,413.750494621514,412.858620312252,2.4898754630852,412.325415272727,1.74514000466497,-0.384579627973523,0.407949988083615,1.265,0.815,0.295,-0.0397,-0.414,-1.2043,-2.62495,-3.84655,87.091125,52.965,2.27985,-4.395,-2.655,-3.24,1.85,-3.16,3.6,0.36,230.75,297.95,230.3,294.5,0.01,-0.25,0.05,0.305,-0.025,-0.09,-0.15,-0.33,-0.135,1.369,5.2565,7.054,8.846,13.823,13.687,0.6555,2.515,15.553,1.577,6.7775,7.506,11.6375,17.0175,0.5675,2.3935,5.5495,6.89,10.223,15.664,1.099,2.5035,8.865,-41.185,-27.137,-24.095,-62.25
1,4.75,0.0165307067119543,0.0211796098122774,0.010124463298396,-0.206323883801084,0.154103901138399,0.0813645032144566,-5.01388054360226,-0.542175315028491,0.458938447462579,408.761854659465,3.57787392070778,419.619688827267,2.80581573041962,414.240186179611,420.170494579604,2.72857477669416,413.431343644013,419.218404939512,2.63536740501447,413.957148840909,413.958903209017,2.38230107516274,412.069996409639,1.67284135604571,-0.361888375311878,0.372378603670881,1.17,0.79,0.31,-0.56185,-0.7785,-1.2198,-2.48475,-4.18845,87.098,54.255,2.3625,-4.45,-2.64,-3.16,1.8,-3.17,3.6,0.345,230,297.45,229.35,294.4,0.01,-0.25,0.05,0.3,-0.025,-0.08,-0.15,-0.28,-0.3935,1.281,5.105,6.9295,8.845,13.822,13.6875,0.449,2.3415,15.5505,1.146,6.5985,7.3755,11.6325,17.0165,0.2995,2.138,5.406,6.7855,10.232,15.6615,0.904,2.309,8.749,-40.744,-26.987,-23.794,-60.9
