DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,424.95875,3.28525,424.19975,2.85975,2035.3325,425.2825,3.308,424.2255,2.802,2036.4185,425.6,3.37025,425.222,3.0925,2042.375,425.4625,3.2335,424.348,2.949,2036.404,1.005,-6.2695,0.118,421.402,2.631,0.1245,-0.05125,0.2345,0.4635,-0.6985,0.09125,-19.26025,-2.3695,0.359,1.02,0.91,0.615,-5.6765,-6.20925,-6.557,-6.8445,-6.92325,97.5485,64.4,0.4,-4.4425,-3.86,-4.1675,0,-3.6825,0.6,-0.195,227.2,288.4,-68.8775,226,286.2,-0.07,-0.13,-0.22,-0.05,-0.05,-0.07,-0.14,-0.03,-1.706,-0.362,0.69275,1.90475,2.9335,4.46075,5.8805,7.73525,10.025,-1.27,-0.28375,0.95625,1.6675,2.616,4.73725,6.36425,7.461,9.665,-0.345,0.19725,1.23775,1.93975,3.244,4.75525,6.4075,7.596,9.60275,-0.4005,0.05725,1.44225,1.969,3.2485,4.8505,6.352,8.08,9.8765,0.038,0.518,1.54725,2.5495,3.759,5.536,6.665,8.153,10.30775,-17.598,-15.526,-15.366
1,0.75,425.156,2.845,424.39,2.986,2039.131,425.503,3.08125,424.347,3.137,2040.2,425.72875,3.127,425.237,3.177,2043.5905,425.59975,2.96175,424.4555,2.762,2039.94,1.03275,-6.397,0.12125,421.555,2.5385,0.19475,-0.061,0.207,-0.4055,-0.71275,0.08575,-21.6855,-2.12625,0.32575,0.92,0.8875,0.58,-5.75675,-6.39475,-6.78525,-7.011,-7.0565,97.5265,64.785,0.3635,-4.455,-4.11,-4.265,0.1,-3.6475,0.6,-0.1875,227.925,287.525,-67.425,226.025,285.725,-0.07,-0.13,-0.22,-0.05,-0.05,-0.07,-0.14,-0.04,-1.71325,-0.379,0.68525,1.90325,2.93,4.46525,5.86475,7.74775,10,-1.373,-0.31,0.95075,1.6635,2.614,4.735,6.363,7.46025,9.658,-0.3665,0.17475,1.237,1.94675,3.242,4.75325,6.4065,7.593,9.60175,-0.44025,0.021,1.421,1.969,3.2515,4.8485,6.352,8.08,9.874,0.0185,0.50875,1.54525,2.544,3.756,5.53425,6.659,8.152,10.30675,-17.44,-15.92625,-15.63925
1,1.25,424.808,3.119,424.647,2.859,2041.3105,424.8595,3.30475,425.1915,2.93175,2039.898,425.397,3.16725,425.27075,3.14225,2044.78375,425.2475,3.13925,424.454,2.871,2043.408,0.9155,-6.398,0.103,422.40375,2.5355,0.15625,-0.084,0.22175,-0.601,-0.734,0.0875,-28.37125,-2.1885,0.323,0.9075,0.8675,0.62,-6.13075,-6.5395,-7.137,-7.1015,-7.01825,97.51725,65.7275,0.3675,-4.5175,-3.8875,-4.33,0,-3.6325,0.6,-0.17,229.7,287.275,-66.81,226.125,285.525,-0.0775,-0.135,-0.23,-0.05,-0.0475,-0.07,-0.15,-0.03,-1.77775,-0.379,0.67825,1.902,2.9275,4.47075,5.862,7.73475,9.999,-1.516,-0.329,0.94975,1.65825,2.6115,4.731,6.36175,7.46025,9.65625,-0.471,0.15175,1.2415,1.941,3.24075,4.751,6.40525,7.59125,9.6,-0.478,0.01325,1.4355,1.95975,3.24975,4.84675,6.353,8.079,9.873,0.01075,0.485,1.53775,2.541,3.755,5.53175,6.663,8.15175,10.3055,-17.297,-15.717,-15.59725
1,1.75,424.99375,2.966,424.9345,2.99325,2039.432,424.919,3.233,425.25075,2.97475,2038.833,425.322,3.243,425.6265,3.155,2042.6355,425.3965,3.0045,425.448,2.865,2041.6275,0.9695,-6.4,0.117,422.163,2.4965,0.128,-0.0645,0.195,-0.50175,-0.74675,0.089,-23.9725,-1.971,0.315,0.9,0.835,0.585,-5.9415,-6.5915,-6.975,-7.2295,-7.0475,97.517,65.685,0.39875,-4.52,-3.82,-4.38,0.1,-3.63,0.6,-0.1875,229.4,287.825,-66,226.6,284.725,-0.07,-0.1375,-0.23,-0.05,-0.04,-0.07,-0.15,-0.04,-1.9915,-0.38025,0.6735,1.90175,2.92475,4.46925,5.866,7.7335,9.99775,-1.511,-0.36775,0.94625,1.657,2.6095,4.731,6.36025,7.45925,9.65525,-0.529,0.13125,1.24125,1.9325,3.23925,4.7485,6.40475,7.5895,9.59875,-0.51,0,1.429,1.95725,3.25225,4.845,6.355,8.079,9.871,0.0025,0.48475,1.52325,2.535,3.751,5.52975,6.662,8.151,10.3045,-17.372,-16.232,-15.9525
1,2.25,424.534,3.15675,424.48,2.865,2039.2695,425.043,3.248,424.4125,2.87175,2041.308,425.109,3.186,426.033,2.9985,2047.62375,425.126,2.931,424.8025,3.0865,2043.385,1.043,-6.31675,0.123,422.3575,2.468,0.149,-0.1045,0.209,-0.186,-0.651,0.09,-21.80275,-2.28475,0.3445,0.965,0.8775,0.57,-6.216,-6.63975,-6.9535,-7.09875,-7.087,97.514,65.4775,0.3795,-4.9075,-3.905,-4.5,0.1,-3.5975,0.6,-0.19,229.7,287.05,-66.895,229.4,285.1,-0.07,-0.13,-0.22,-0.05,-0.04,-0.07,-0.14,-0.03,-2.046,-0.4415,0.6655,1.90075,2.921,4.467,5.865,7.727,9.989,-1.642,-0.437,0.94625,1.655,2.60775,4.73,6.35875,7.45875,9.6535,-0.52875,0.10025,1.23375,1.92375,3.2375,4.74575,6.403,7.5885,9.597,-0.53725,-0.04175,1.41725,1.96425,3.247,4.844,6.356,8.079,9.869,-0.03975,0.493,1.5075,2.53025,3.75075,5.52725,6.66075,8.15075,10.3035,-17.473,-17.2105,-16.455
1,2.75,425.05975,3.1175,424.743,2.728,2046.919,425.2045,3.2325,424.6425,2.83825,2046.31,425.45675,3.153,425.4725,3.116,2049.28,425.4385,2.9365,424.63,2.899,2041.01275,0.981,-6.2255,0.106,422.5445,2.43525,0.106,-0.09,0.06,0.222,-0.758,0.0855,-23.726,-2.802,0.34225,0.93,0.86,0.6,-6.083,-6.57025,-6.9355,-7.1745,-7.179,97.49875,65.755,0.3715,-4.835,-4.125,-4.595,0.1,-3.635,0.6,-0.1875,228.675,286.775,-67.9375,226.2,284.1,-0.07,-0.13,-0.22,-0.05,-0.0475,-0.07,-0.14,-0.0375,-2.0425,-0.4475,0.6595,1.8995,2.9205,4.46575,5.865,7.75225,9.99875,-1.64575,-0.5045,0.94375,1.65125,2.6025,4.729,6.3575,7.4585,9.6525,-0.475,0.07425,1.21925,1.945,3.235,4.743,6.40175,7.5885,9.596,-0.5745,-0.05525,1.407,1.96125,3.255,4.84425,6.356,8.078,9.867,-0.05225,0.47325,1.49175,2.52425,3.75025,5.5255,6.674,8.14975,10.30225,-17.832,-16.439,-15.874
1,3.25,425.0355,2.9905,424.74975,2.8045,2046.3125,425.29,3.003,425.409,2.927,2044.405,425.428,3.022,425.828,2.92825,2049.46125,425.753,2.974,424.6885,2.649,2047.202,0.96875,-6.42475,0.11275,422.2685,2.46025,0.146,-0.1265,0.067,0.088,-1.01675,0.07375,-19.0535,-2.47925,0.30725,0.94,0.89,0.615,-6.044,-6.54075,-6.933,-7.3385,-7.21125,97.50175,65.84,0.341,-4.9275,-4.3375,-4.8625,0,-3.705,0.6,-0.2,228.025,286.15,-68.155,223.8,283.6,-0.07,-0.13,-0.22,-0.05,-0.0375,-0.0725,-0.14,-0.04,-2.14475,-0.50125,0.64525,1.8935,2.93175,4.46425,5.86575,7.75475,10.01825,-1.68725,-0.5405,0.9375,1.6465,2.601,4.72725,6.35675,7.45775,9.65075,-0.4945,0.05625,1.2085,1.913,3.2335,4.74025,6.4015,7.58825,9.59425,-0.6235,-0.06075,1.399,1.958,3.264,4.84425,6.355,8.078,9.866,-0.076,0.44925,1.47825,2.528,3.74975,5.5235,6.65875,8.1495,10.3005,-17.69075,-16.3185,-15.476
1,3.75,425.014,3.047,425.03275,2.73025,2048.306,425.2345,3.0855,425.063,2.64,2046.89975,425.694,3.069,425.8595,2.928,2049.68675,425.5435,3.03725,425.133,2.7585,2045.47625,1.09875,-7.04575,0.1145,422.34575,2.35025,0.1575,-0.106,0.122,-0.123,-0.775,0.083,-22.962,-2.12225,0.3135,0.9875,0.84,0.5825,-6.45325,-6.816,-7.03375,-7.3305,-7.294,97.488,67.7375,0.3715,-4.75,-4.4,-4.61,0.025,-3.63,0.6,-0.23,228.5,286.075,-69.5525,224.7,284.125,-0.07,-0.13,-0.23,-0.05,-0.0375,-0.07,-0.14,-0.03,-2.16375,-0.562,0.6205,1.888,2.93275,4.463,5.8615,7.74925,10.017,-1.7705,-0.58475,0.932,1.64125,2.598,4.7245,6.3555,7.45775,9.6495,-0.54075,0.04475,1.2105,1.90775,3.23175,4.7375,6.40025,7.5875,9.59325,-0.6665,-0.06875,1.392,1.9585,3.27575,4.84325,6.354,8.078,9.865,-0.088,0.4435,1.466,2.511,3.75025,5.521,6.65775,8.1485,10.29925,-18.159,-17.236,-15.905
1,4.25,424.672,3.047,424.633,2.54425,2046.917,424.844,3.133,424.06075,2.579,2045.7845,425.897,3.13925,425.09,2.5995,2051.2,425.489,2.9715,425.022,2.53675,2047.145,1.056,-7.0705,0.103,422.206,2.399,0.118,-0.10925,0.147,0.199,-0.67275,0.086,-22.414,-1.80975,0.327,0.965,0.8975,0.6325,-6.67125,-6.90125,-6.908,-7.251,-7.3065,97.484,68.43,0.346,-4.8675,-4.38,-4.96,0,-3.62,0.6,-0.2075,228.475,285.175,-68.49,224.7,283.5,-0.07,-0.13,-0.22,-0.05,-0.04,-0.08,-0.14,-0.04,-2.2335,-0.61,0.60125,1.88575,2.93025,4.46225,5.86875,7.748,10.015,-1.812,-0.63475,0.92425,1.63625,2.6,4.721,6.354,7.45675,9.64775,-0.59575,0.04275,1.20225,1.90325,3.23025,4.73475,6.395,7.5855,9.588,-0.7035,-0.071,1.3835,1.95875,3.28125,4.84475,6.35375,8.077,9.863,-0.1065,0.43975,1.46075,2.505,3.74975,5.519,6.6565,8.14825,10.29825,-18.15325,-18.26525,-16.66625
1,4.75,424.7875,2.9675,425.004,2.75725,2047.209,424.9545,3.0355,425.181,2.732,2050.024,425.158,3.067,425.6815,2.889,2048.758,425.2955,2.9855,425.134,2.5895,2047.18525,1.16725,-7.97475,0.10825,422.737,2.32375,0.058,-0.076,0.185,0.1795,-0.778,0.09125,-19.991,-2.45025,0.344,1,0.87,0.6,-6.59925,-6.94475,-6.94125,-7.416,-7.33975,97.461,67.025,0.374,-4.89,-4.5,-4.895,0,-3.66,0.6,-0.27,228.225,284.45,-66.62,224.8,283.45,-0.07,-0.13,-0.23,-0.05,-0.0475,-0.07,-0.14,-0.03,-2.31725,-0.67975,0.58475,1.8835,2.92775,4.46375,5.87,7.746,10.0135,-1.83675,-0.6315,0.915,1.6305,2.5975,4.718,6.3515,7.4565,9.647,-0.614,0.0385,1.19675,1.89975,3.2285,4.7425,6.39475,7.585,9.5865,-0.72425,-0.11575,1.38075,1.9585,3.28625,4.8455,6.354,8.075,9.862,-0.11825,0.43525,1.4565,2.499,3.7495,5.52175,6.6545,8.14725,10.29725,-18.65425,-18.039,-16.7585
1,5.25,424.6045,2.768,424.905,2.613,2045.857,425.01925,2.65675,425.1335,2.5685,2043,425.174,2.955,425.27275,2.569,2050.82075,425.571,2.7385,425.563,2.6575,2048.58,1.19425,-7.6735,0.108,422.546,2.44,0.1335,-0.087,0.1425,-0.016,-0.6315,0.0925,-19.4555,-2.2905,0.341,1.0675,0.9,0.62,-6.695,-7.003,-7.13875,-7.5445,-7.439,97.461,68.18,0.32775,-4.775,-4.5675,-4.7225,0.1,-3.59,0.6,-0.215,228.025,286.25,-66.225,225.1,284.1,-0.07,-0.13,-0.23,-0.05,-0.04,-0.07,-0.14,-0.04,-2.3035,-0.71775,0.58,1.88025,2.9335,4.4655,5.85575,7.74475,10.011,-1.842,-0.6365,0.8945,1.6265,2.60325,4.71425,6.34975,7.45525,9.644,-0.6185,0.02175,1.18925,1.89925,3.22625,4.74675,6.394,7.585,9.5855,-0.7215,-0.1485,1.38275,1.95825,3.287,4.843,6.355,8.077,9.86,-0.1185,0.414,1.45525,2.49775,3.74975,5.524,6.65325,8.141,10.296,-18.844,-18.17525,-16.891
1,5.75,424.4975,2.88325,424.7985,2.64375,2049.806,424.81925,2.94025,424.8935,2.576,2046.982,425.005,2.98575,425.16825,2.941,2051.741,425.423,2.7905,425.152,2.561,2047.21225,1.1945,-7.232,0.098,422.858,2.345,0.1105,-0.065,0.125,0.1875,-0.71075,0.0965,-15.722,-2.13,0.3435,1.07,0.9375,0.64,-6.60825,-7.05825,-7.235,-7.571,-7.566,97.4535,68.955,0.3185,-5.1,-4.705,-5.1,0,-3.61,0.6,-0.23,227.225,283.85,-67.0025,223.8,282.325,-0.07,-0.13,-0.22,-0.05,-0.05,-0.07,-0.14,-0.04,-2.291,-0.69975,0.57,1.878,2.93,4.46225,5.86075,7.73025,9.99025,-1.89375,-0.6815,0.86975,1.62275,2.6095,4.7105,6.34725,7.45625,9.63425,-0.6465,0.015,1.19225,1.899,3.2245,4.74775,6.395,7.585,9.5845,-0.72925,-0.13225,1.36875,1.95675,3.28675,4.8425,6.352,8.077,9.859,-0.148,0.38025,1.454,2.49225,3.74775,5.524,6.652,8.147,10.295,-19.483,-18.545,-17.05
1,6.25,424.5395,3.0405,425.00825,2.5425,2047.529,425.287,2.9705,424.945,2.506,2045.193,425.44975,3.02125,425.10325,2.4295,2053.339,425.3115,2.887,425.11525,2.443,2048.982,1.202,-7.094,0.095,422.647,2.2955,0.118,-0.068,0.127,-0.0255,-0.398,0.091,-20.647,-1.67475,0.362,1.0475,0.95,0.67,-6.916,-7.248,-7.286,-7.597,-7.619,97.452,67.775,0.3265,-5.23,-4.7275,-5.21,0,-3.6175,0.6,-0.145,227.45,285.75,-64.88,224.525,282.2,-0.07,-0.13,-0.22,-0.0575,-0.04,-0.07,-0.14,-0.04,-2.2965,-0.714,0.5685,1.8755,2.93475,4.4595,5.86175,7.742,10.008,-1.93475,-0.7045,0.84575,1.61725,2.6055,4.709,6.34575,7.45575,9.624,-0.6705,0.00925,1.18675,1.89775,3.223,4.739,6.39575,7.586,9.58,-0.78175,-0.13825,1.37,1.95025,3.28425,4.84,6.351,8.077,9.857,-0.15,0.3805,1.447,2.48625,3.74825,5.52425,6.65075,8.146,10.294,-19.111,-17.659,-17.186
1,6.75,425.16,2.847,425.0585,2.641,2045.674,425.49325,2.832,425.09775,2.48075,2047.87,425.96275,2.858,425.2265,2.71825,2055.186,425.8895,2.7595,425.165,2.448,2048.08225,1.232,-7.10425,0.10975,422.286,2.291,0.128,-0.09,0.17,-0.001,-0.492,0.1035,-20.3595,-2.0095,0.33575,1.05,0.975,0.69,-6.84675,-7.3985,-7.435,-7.784,-7.827,97.458,67.32,0.349,-5.27,-4.92,-5.42,0,-3.56,0.6,-0.15,228.3,284.8,-64.54,225.3,280.6,-0.07,-0.13,-0.22,-0.05,-0.05,-0.07,-0.15,-0.04,-2.374,-0.7765,0.563,1.8635,2.932,4.457,5.8625,7.739,10.005,-2.122,-0.754,0.811,1.609,2.60125,4.707,6.341,7.453,9.615,-0.76,-0.00125,1.183,1.886,3.216,4.7475,6.396,7.58525,9.57875,-0.8125,-0.148,1.37,1.938,3.281,4.8395,6.35525,8.07325,9.8535,-0.153,0.373,1.437,2.473,3.753,5.519,6.646,8.14,10.29,-19.56525,-17.371,-16.79075
1,7.25,425.1225,2.818,425.1435,2.39275,2046.43,425.0565,2.85875,425.31425,2.42375,2045.551,425.3825,2.84,425.686,2.463,2054.7845,425.2345,2.746,425.17825,2.2855,2047.74925,1.0515,-7.36075,0.08925,422.0365,2.09,0.161,-0.08025,0.161,-0.075,-0.47375,0.09975,-22.938,-1.7235,0.3605,0.9325,0.8625,0.63,-6.85825,-7.208,-7.608,-7.97575,-7.998,97.478,68.48,0.343,-5.28,-4.89,-5.57,0.1,-3.29,0.7,-0.1,227.7,282.1,-66.05,225.2,279.8,0.19,0.03,0.04,0.13,0.03,0.0975,0.11,0.1425,-2.55,-0.804,0.557,1.862,2.926,4.4545,5.8775,7.737,10.003,-2.167,-0.818,0.795,1.604,2.59675,4.706,6.349,7.452,9.614,-0.75925,-0.02125,1.177,1.883,3.213,4.7525,6.394,7.58525,9.577,-0.859,-0.166,1.366,1.931,3.28,4.83825,6.35425,8.073,9.85175,-0.181,0.359,1.435,2.467,3.754,5.518,6.645,8.14,10.289,-19.226,-18.159,-16.876
1,7.75,425.0265,3.0215,425.1125,2.662,2043.38,424.934,2.96,424.838,2.42725,2044.686,425.21125,3.0135,425.48125,2.726,2050.2335,425.2685,2.881,425.6055,2.426,2047.48975,1.131,-7.595,0.101,422.3365,2.1,0.158,-0.085,0.2355,-0.163,-0.3805,0.091,-17.037,-0.84975,0.359,1.08,0.98,0.6975,-6.96625,-7.2775,-7.486,-7.926,-7.954,97.5415,69.81,0.331,-5.35,-4.86,-5.4875,2.4,1.89,3.525,0.66,228.4,283.4,-55.44,226.3,280.8,7.4,6.7,6.62,6.42,1.17,3.8475,4.69,6.0075,-2.601,-0.78225,0.55875,1.8615,2.9275,4.455,5.875,7.71525,9.991,-2.294,-0.867,0.788,1.60075,2.5905,4.704,6.345,7.4495,9.6075,-0.81575,-0.0405,1.1945,1.92975,3.234,4.75125,6.39175,7.584,9.5685,-0.93375,-0.16375,1.3695,1.948,3.27875,4.86975,6.34975,8.0695,9.84825,-0.1875,0.3645,1.437,2.4745,3.768,5.531,6.64075,8.1315,10.292,-19.396,-18.04325,-16.821
