DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,429.4595,4.4135,428.9695,4.172,2060.204,429.432,4.38,428.957,4.124,2056,430.686,4.316,430.875,4.142,2064.547,430.547,4.157,429.961,4.119,2061.294,1.972,-1.6285,0.2075,427.026,4.014,0.306,0.041,0.376,1.882,-0.135,0.174,-7.9345,-1.044,0.5335,1.72,1.515,1.075,-1.3395,-1.569,-2.449,-2.722,-2.9075,98.073,80.17,0.9,-0.805,-0.54,-0.745,0.2,-2.75,0.9,0.085,264.95,305.35,-48.69,261.8,303,0.13,-0.08,-0.01,-0.01,0.135,0.035,0.24,0.11,-0.0565,0.2815,1.386,2.5285,3.558,5.188,6.679,8.264,10.623,0.002,0.298,1.688,2.4035,3.2825,5.315,6.776,7.996,10.284,0.226,0.8185,1.9845,2.58,3.762,4.9115,6.868,8.099,10.1705,0.1985,0.686,2.1735,2.609,3.768,5.3715,6.716,8.634,10.4735,0.726,1.414,2.408,3.296,4.298,5.9735,7.134,8.7005,10.907,-12.102,-12.279,-10.028
1,0.75,429.517,4.154,429.0475,4.25,2064.4205,429.8235,4.153,429.944,4.1415,2066.7215,430.879,4.2285,430.721,4.443,2072.922,430.486,4.1235,430.2945,4.032,2063.7805,1.881,-1.8385,0.1945,426.509,3.965,0.336,0.014,0.356,1.2665,-0.209,0.1715,-8.699,-0.701,0.492,1.71,1.465,1.11,-1.37,-1.653,-2.5725,-2.728,-2.42,98.0565,80.78,0.883,-0.56,-0.41,-0.76,0.2,-2.675,0.9,0.1,259.9,305.95,-50.83,259.55,303.6,0.135,-0.08,-0.01,-0.01,0.13,0.035,0.24,0.11,-0.1105,0.2415,1.3705,2.5385,3.5655,5.189,6.686,8.2625,10.618,-0.0125,0.2395,1.6745,2.3975,3.276,5.313,6.7735,7.9965,10.28,0.174,0.7995,1.966,2.572,3.754,4.91,6.866,8.0945,10.1675,0.166,0.673,2.158,2.599,3.767,5.3695,6.713,8.633,10.469,0.7,1.388,2.396,3.288,4.2905,5.9725,7.122,8.699,10.906,-12.218,-12.3535,-10.196
1,1.25,429.461,4.174,429.236,4.179,2065.961,429.4515,4.243,429.675,4.096,2064.562,430.731,4.129,430.743,4.0685,2069.829,430.305,4.1075,430.492,4.081,2064.481,1.942,-1.773,0.204,426.7055,4.044,0.2905,0.002,0.3675,1.395,-0.234,0.18,-10.937,-0.719,0.521,1.595,1.365,1.065,-1.469,-1.745,-2.1925,-2.568,-2.505,98.051,80.33,0.8605,-0.705,-0.435,-0.83,0.2,-2.735,0.9,0.135,261.3,304.8,-50.505,259.5,303,0.13,-0.08,-0.01,-0.01,0.135,0.025,0.24,0.11,-0.156,0.1975,1.359,2.4955,3.567,5.1905,6.6965,8.262,10.62,-0.0105,0.2335,1.666,2.392,3.2735,5.322,6.7715,7.9945,10.2785,0.159,0.7925,1.956,2.567,3.7535,4.9085,6.8645,8.093,10.1675,0.138,0.6735,2.1515,2.5865,3.7665,5.3675,6.711,8.63,10.467,0.6795,1.358,2.3895,3.29,4.2885,5.972,7.13,8.6975,10.9045,-12.173,-12.482,-10.3585
1,1.75,429.884,4.1205,429.032,4.1555,2066.392,429.85,4.217,429.7245,4.0975,2066.5,430.483,4.237,430.718,4.358,2073.7455,430.441,4.0375,430.171,4.105,2063.8165,1.968,-1.699,0.202,426.7625,4.061,0.2935,0.0135,0.384,1.609,-0.0705,0.189,-8.6755,-0.419,0.546,1.69,1.47,1.055,-1.6,-1.9775,-2.7015,-2.887,-2.92,98.051,79.59,0.861,-0.71,-0.585,-0.89,0.2,-2.545,0.9,0.1,263.4,304.65,-47.455,260.1,302.65,0.13,-0.08,-0.01,-0.01,0.13,0.015,0.24,0.11,-0.204,0.1575,1.3705,2.478,3.565,5.192,6.686,8.2715,10.618,-0.0385,0.195,1.664,2.3865,3.272,5.317,6.7685,7.9925,10.277,0.155,0.787,1.941,2.5635,3.753,4.9065,6.863,8.0915,10.1655,0.156,0.667,2.1415,2.5835,3.767,5.366,6.708,8.628,10.465,0.6595,1.336,2.387,3.292,4.2875,5.971,7.1285,8.6955,10.9025,-12.296,-12.571,-10.316
1,2.25,429.683,4.167,429.317,4.139,2065.3,429.894,4.151,430.6405,4.1655,2061.933,430.399,4.133,431.558,4.217,2078.0925,430.125,4.125,430.727,4.166,2071,2.048,-2.1265,0.193,427.339,4.065,0.291,0.03,0.375,1.123,-0.157,0.175,-8.538,-0.5145,0.559,1.795,1.565,1.145,-1.709,-2.073,-2.459,-2.7735,-2.8815,98.064,80.59,0.861,-0.75,-0.495,-0.9,0.2,-2.405,0.9,0.09,262.2,303.2,-47.47,259.1,302.6,0.13,-0.08,-0.01,-0.01,0.13,0.015,0.24,0.11,-0.348,0.133,1.3475,2.472,3.563,5.193,6.686,8.276,10.616,-0.038,0.1865,1.651,2.3805,3.2685,5.312,6.7655,7.99,10.276,0.1685,0.7785,1.9255,2.5675,3.753,4.9065,6.8605,8.0905,10.1655,0.129,0.65,2.129,2.58,3.766,5.3635,6.706,8.625,10.464,0.6285,1.297,2.373,3.2935,4.286,5.971,7.1275,8.694,10.901,-12.5,-12.7875,-10.533
1,2.75,429.549,4.283,428.662,4.142,2070.8,429.685,4.226,429.847,4.1115,2067.2,431.099,4.2745,430.7735,4.2185,2077,430.308,4.123,430.698,4.0955,2072.5065,2.0865,-2.086,0.2095,427.058,4.086,0.251,0.026,0.312,1.554,-0.165,0.169,-8.124,-0.822,0.5635,1.75,1.54,1.06,-2.001,-2.166,-2.676,-2.931,-3.09,98.1085,80.26,0.8345,-1.1,-0.675,-0.925,0.2,-2.595,0.9,0.1,260.85,304.7,-48.83,258.4,303.8,0.13,-0.08,-0.01,-0.01,0.14,0.025,0.24,0.11,-0.371,0.126,1.3365,2.444,3.561,5.1895,6.6855,8.259,10.618,-0.0655,0.1575,1.6455,2.3725,3.263,5.302,6.7625,7.9885,10.2745,0.149,0.7575,1.9195,2.569,3.7525,4.9085,6.859,8.089,10.164,0.0865,0.6425,2.11,2.5775,3.763,5.362,6.704,8.623,10.462,0.6245,1.251,2.362,3.2905,4.282,5.9735,7.134,8.692,10.9,-12.446,-12.756,-10.565
1,3.25,429.832,4.092,429.3085,4.035,2067.4375,429.902,4.092,430.405,4.113,2069.794,431.221,4.142,431.937,4.0265,2072.8015,430.879,4.039,430.472,4.0195,2070.444,2.04,-2.246,0.2195,426.896,4.031,0.278,0.0015,0.288,1.083,-0.2625,0.157,-7.6795,-0.8005,0.4725,1.62,1.4,1,-2.341,-2.548,-3.141,-3.294,-3.5195,98.0935,80.78,0.793,-1.45,-1.19,-1.075,0.2,-2.74,0.9,0.075,259.05,304.75,-51.14,258,302,0.13,-0.08,-0.01,-0.01,0.135,0.025,0.245,0.11,-0.439,0.1215,1.318,2.444,3.5595,5.186,6.6865,8.2595,10.613,-0.1455,0.134,1.6425,2.363,3.26,5.2995,6.759,7.986,10.2735,0.123,0.7525,1.901,2.5615,3.753,4.91,6.8575,8.0875,10.161,0.055,0.629,2.0895,2.574,3.762,5.36,6.703,8.621,10.46,0.608,1.257,2.358,3.296,4.2795,5.9755,7.125,8.69,10.8985,-12.3255,-13.0115,-10.455
1,3.75,430.0025,4.2095,429.4715,4.051,2071.491,430.1495,4.1455,429.832,3.962,2071.5835,430.743,4.162,430.918,4.152,2081.536,430.8075,4.0625,430.024,3.9545,2072.074,2.044,-2.623,0.2385,427.31,4.0235,0.307,-0.01,0.273,1.215,-0.214,0.1685,-8.1125,-0.259,0.4965,1.755,1.525,1.13,-2.5385,-2.6215,-3.391,-3.273,-3.7405,98.06,81.195,0.764,-1.685,-1.415,-1.58,0.2,-2.815,0.9,0.09,259.7,303.3,-48.61,257.3,300,0.135,-0.08,0,-0.015,0.14,0.035,0.24,0.11,-0.526,0.117,1.2955,2.442,3.558,5.1835,6.686,8.27,10.6155,-0.185,0.099,1.6415,2.3565,3.256,5.2965,6.7555,7.9845,10.2715,0.0965,0.7365,1.893,2.5605,3.7535,4.9115,6.8555,8.0865,10.1605,0.055,0.5995,2.08,2.572,3.762,5.357,6.713,8.618,10.458,0.579,1.228,2.351,3.275,4.277,5.9775,7.124,8.6885,10.8975,-12.392,-13.038,-10.602
1,4.25,429.796,4.211,429.749,3.926,2071.154,429.954,4.186,429.8625,3.964,2072.3915,430.514,4.1945,431.229,3.8175,2081.217,429.965,4.0505,430.174,3.8665,2079.067,2.064,-2.621,0.216,427.266,4.048,0.304,0.0055,0.314,1.789,-0.1355,0.174,-10.031,-0.6735,0.504,1.855,1.53,1.125,-2.7595,-2.912,-3.039,-3.5795,-3.9185,98.083,80.76,0.747,-1.785,-1.37,-1.43,0.2,-2.88,0.9,0.09,257.15,302.05,-48.81,255.7,299.7,0.135,-0.08,-0.01,-0.01,0.13,0.04,0.24,0.11,-0.547,0.113,1.266,2.4585,3.556,5.18,6.686,8.27,10.61,-0.325,0.064,1.629,2.351,3.255,5.293,6.753,7.982,10.27,0.079,0.708,1.884,2.5575,3.75,4.913,6.849,8.0785,10.156,0.032,0.5685,2.067,2.5735,3.761,5.3565,6.711,8.616,10.457,0.5625,1.191,2.3505,3.271,4.274,5.978,7.1205,8.687,10.8955,-12.361,-13.52,-10.4715
1,4.75,429.581,4.215,429.644,3.995,2077.2375,429.509,4.135,430.096,3.93,2081.375,429.98,4.236,430.9275,4.0475,2083.943,429.847,4.124,430.502,3.894,2078.1365,1.8745,-3.0695,0.195,427.241,4.0795,0.2255,0.006,0.352,1.584,-0.224,0.175,-6.7605,-0.7355,0.5465,1.68,1.485,1.08,-2.6765,-3.059,-3.2125,-3.714,-3.7775,98.075,80.69,0.708,-1.705,-1.395,-1.535,0.2,-2.39,0.9,0.07,259.45,301.9,-49,257.2,299.4,0.13,-0.08,0,-0.01,0.13,0.03,0.24,0.11,-0.607,0.098,1.2475,2.4555,3.5535,5.177,6.686,8.26,10.606,-0.371,0.0345,1.596,2.349,3.2535,5.2905,6.7495,7.98,10.269,0.0475,0.6815,1.874,2.553,3.747,4.9145,6.8525,8.08,10.155,-0.034,0.5445,2.0525,2.5745,3.7595,5.3565,6.7,8.624,10.455,0.5295,1.162,2.335,3.267,4.272,5.978,7.1195,8.686,10.8945,-12.711,-13.264,-10.612
1,5.25,429.354,4.0625,428.9895,3.976,2075.814,429.447,4.0835,430.2665,3.961,2074.931,429.74,4.181,431.23,3.926,2082.4835,429.919,4.07,430.325,3.947,2078.973,2.1095,-3.042,0.2045,427.164,4.094,0.25,0.009,0.273,1.919,-0.147,0.1765,-6.469,-0.35,0.527,1.94,1.66,1.16,-2.781,-2.967,-3.3145,-3.8175,-3.967,98.08,79.64,0.6985,-1.7,-1.39,-1.445,0.2,-2.37,0.9,0.07,257.95,302.1,-45.67,255.9,300.35,0.13,-0.08,-0.005,-0.01,0.13,0.025,0.24,0.11,-0.7025,0.072,1.2475,2.453,3.55,5.174,6.686,8.2545,10.601,-0.423,0.013,1.569,2.3445,3.2495,5.288,6.7465,7.9775,10.268,0.0155,0.657,1.8615,2.5485,3.744,4.9155,6.854,8.078,10.149,-0.0425,0.53,2.0375,2.5735,3.757,5.356,6.7,8.612,10.453,0.5175,1.14,2.331,3.2705,4.2695,5.9775,7.119,8.681,10.8935,-12.739,-13.588,-11.166
1,5.75,429.5495,4.0665,429.18,3.9605,2070.704,429.7765,4.084,429.967,3.871,2072.216,430.3105,4.1165,431.352,4.065,2080.078,430.089,4.035,430.728,3.932,2072.89,2.193,-3.23,0.191,426.725,4.007,0.289,0.009,0.2855,1.356,-0.175,0.172,-5.5715,-0.4045,0.559,1.86,1.625,1.17,-2.8725,-3.002,-3.12,-3.701,-3.749,98.0925,80.335,0.708,-1.615,-1.215,-1.59,0.2,-2.405,0.9,0.07,256.4,303.05,-46.325,255.8,301.25,0.14,-0.08,-0.01,-0.01,0.13,0.035,0.24,0.11,-0.78,0.0205,1.2425,2.4505,3.546,5.171,6.685,8.2535,10.603,-0.398,-0.0115,1.5405,2.3385,3.2465,5.2845,6.7435,7.976,10.266,-0.019,0.64,1.8505,2.5405,3.745,4.917,6.849,8.077,10.147,-0.0565,0.4985,2.0185,2.5685,3.755,5.356,6.699,8.611,10.452,0.504,1.115,2.3185,3.2565,4.267,5.977,7.118,8.684,10.892,-13.271,-13.805,-11.535
1,6.25,429.382,4.117,428.9495,3.842,2073.2805,429.454,4.125,429.593,3.769,2073.8835,430.5195,4.196,430.9165,3.905,2075.115,430.1035,4.042,430.9275,3.856,2074.667,2.257,-3.385,0.187,427.297,3.897,0.297,0.014,0.301,1.2185,-0.104,0.177,-7.396,-0.3625,0.518,1.895,1.655,1.17,-2.9105,-3.1565,-3.23,-3.843,-3.892,98.105,81.26,0.656,-1.705,-1.39,-1.62,0.2,-2.465,0.8,0.105,257.15,302.15,-45.37,254.3,300.85,0.13,-0.08,-0.005,-0.02,0.13,0.035,0.24,0.11,-0.8705,0.0175,1.224,2.4455,3.5405,5.168,6.6845,8.2525,10.602,-0.424,-0.026,1.512,2.332,3.243,5.282,6.742,7.9735,10.265,-0.044,0.6135,1.8465,2.534,3.7495,4.9185,6.8475,8.076,10.1495,-0.082,0.471,2.009,2.5635,3.7495,5.36,6.698,8.61,10.45,0.4925,1.1065,2.31,3.2475,4.2645,5.9765,7.117,8.683,10.891,-13.044,-13.611,-10.766
1,6.75,429.6015,4.0265,428.089,3.953,2075.7685,429.7885,4.042,430.166,3.8515,2075.125,430.5245,4.1545,430.3385,3.933,2082.688,430.0985,4.0205,430.535,3.815,2074.968,1.935,-3.4295,0.1785,427.327,3.892,0.268,0.006,0.315,1.638,-0.074,0.173,-5.479,-0.597,0.533,1.79,1.58,1.14,-2.729,-3.414,-3.384,-3.813,-3.74,98.138,81.41,0.693,-1.63,-1.2,-1.45,0.2,-2.36,0.8,0.15,257.2,302.9,-43.41,254.6,301.2,0.13,-0.08,-0.01,-0.01,0.13,0.04,0.24,0.11,-0.901,-0.008,1.189,2.428,3.533,5.163,6.692,8.257,10.604,-0.501,-0.058,1.495,2.321,3.2415,5.285,6.743,7.976,10.268,-0.063,0.6085,1.837,2.527,3.751,4.9195,6.846,8.0785,10.1555,-0.086,0.453,1.993,2.549,3.748,5.352,6.701,8.6175,10.4525,0.487,1.091,2.285,3.235,4.266,5.978,7.119,8.686,10.892,-13.005,-13.115,-11.1075
1,7.25,429.537,4.03,430.327,3.923,2078.921,429.758,3.9245,430.142,3.828,2075.622,430.665,4.0985,431.477,3.8465,2081.4625,430.681,3.921,430.4495,3.765,2077.654,2.0695,-3.3555,0.1865,427.112,3.907,0.3255,0.006,0.348,1.541,0.0125,0.187,-7.928,-0.5625,0.5625,1.92,1.625,1.13,-2.79,-3.281,-3.5415,-4.011,-4.093,98.117,81.4,0.669,-1.77,-1.39,-1.62,0.3,-2.24,1,0.22,258.3,302.8,-45.53,255.1,301,0.34,0.17,0.21,0.25,0.24,0.255,0.44,0.3,-0.893,-0.021,1.17,2.423,3.532,5.158,6.689,8.255,10.602,-0.526,-0.066,1.469,2.312,3.243,5.283,6.744,7.975,10.266,-0.0965,0.5775,1.824,2.516,3.749,4.9205,6.845,8.0775,10.153,-0.081,0.442,1.987,2.54,3.747,5.348,6.699,8.6165,10.451,0.457,1.093,2.273,3.234,4.264,5.975,7.116,8.685,10.891,-13.037,-13.661,-11.652
