DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1
1,0.25,0.388882974845854,-15.431549503157,0.0395668319896238,-0.969586223609474,-0.328072820740733,-1.07719028876694,-3.06793607711195,-2.66159639930107,0.0374004161770829,-72.6114147086999,-8.53416337347453,0.174733666295989,0.4555,0.44575,0.31575,-13.7378375,-14.643525,-16.38682,-16.68383,-14.21644,96.3829065,46.4895,0.150705,-12.74025,-12.121,-13.514,0,-4.76375,0.2,-0.7355,176.075,243.4575,173.95,240.58,-0.38275,-0.5475,-0.23,-0.08,-0.1,-0.1105,-0.17,-0.06,-8.95035,-6.174875,-2.236325,0.747425,1.682425,3.917475,5.425,6.81865,9.00235,-6.863525,-4.310125,-1.1744,0.19165,2.12085,3.9758,5.558875,6.632575,8.8225,-5.770625,-3.476375,-0.990825,0.13245,2.2739,4.44565,5.5732,6.794775,8.7876,-5.04805,-3.0009,-0.08775,0.9512,2.261175,3.990575,5.4,7.272,9.0365,-3.51315,-2.1061,-0.08105,1.25395,2.77485,4.582875,5.7873,7.349525,9.4765,-32.928925,-22.8499,-22.4768,-90.98325,1.04673693838483,1.29040526288555,1.48014075651581,1.28157356831898,1.20124855345083,411.294708945215,417.773743833233,417.768298138899,417.735950644303,418.309812242245,417.457511989073,417.870355458186,417.704375224337,418.064472422263,1996.92444711069,1998.67050565289,2028.16514979256,1997.44399423223
1,0.75,0.502860787055233,-15.8618133203333,0.0325921713007701,-0.708989348500923,-0.44153438374305,-0.585647165002972,-5.34479102867868,-2.47487198635637,0.0380698731996141,-68.2613986201529,-9.07737705870677,0.185059746822068,0.51,0.4715,0.3305,-13.641555,-14.492625,-15.775745,-16.87072,-14.43901,96.3980275,46.4555,0.151865,-12.58075,-12.031,-13.39275,0,-4.631,0.2,-0.72825,176.52,243.7075,174.625,241.675,-0.38,-0.555,-0.23,-0.08,-0.1,-0.1105,-0.17,-0.06,-9.04065,-6.195375,-2.28775,0.7499,1.68215,3.9178,5.4253,6.8182,9.009875,-6.863875,-4.372575,-1.21595,0.183825,2.12085,3.976525,5.557875,6.630575,8.8215,-5.87855,-3.563475,-1.033675,0.1259,2.274175,4.444925,5.571475,6.7935,8.7866,-5.167975,-3.0623,-0.1005,0.953475,2.261625,3.98955,5.3975,7.2705,9.035,-3.6438,-2.16005,-0.0928,1.254025,2.7744,4.5816,5.7836,7.3478,9.474775,-42.1818,-23.449975,-22.097075,-91.5555,1.00600541921714,1.26388405660908,1.41721344574111,1.23931318029659,1.18434704092179,410.983397776484,417.165600596872,417.824997846578,416.870614563764,417.829765529482,416.939859130786,418.874309967323,417.285323834904,419.009450060253,2010.61744322709,2013.25259412413,2021.48996737387,2010.62933313523
1,1.25,0.447402427642837,-15.7142641909483,0.0353825075301273,-1.35637898097123,-0.78449144206083,-2.01839303327821,-10.4646332906814,-3.63845897979239,0.0340548667018113,-68.1459527626134,-6.83228165816539,0.174951718868686,0.5115,0.46575,0.33525,-13.899055,-14.67945,-16.146655,-17.13618,-14.3100825,96.38877225,44.578,0.17345,-12.57025,-12.25825,-13.41875,0,-4.70025,0.2,-0.80125,176.47,243.995,175.6425,241.99,-0.38,-0.5575,-0.23,-0.08,-0.11,-0.10075,-0.17,-0.06,-9.344625,-6.341625,-2.3326,0.75195,1.683325,3.9181,5.42655,6.817475,9.01785,-6.853825,-4.4104,-1.260575,0.1761,2.120875,3.9766,5.556875,6.629575,8.8205,-5.97555,-3.643825,-1.0758,0.122175,2.274725,4.443475,5.5702,6.7915,8.785325,-5.336525,-3.1485,-0.11475,0.955025,2.262075,3.98855,5.3945,7.269,9.034,-3.77955,-2.222675,-0.10645,1.2541,2.774225,4.5806,5.7843,7.346525,9.4735,-41.469425,-24.4409,-22.66,-92.0905,0.998234380497606,1.26233007195337,1.43174298322887,1.26876728442728,1.19665151508422,410.765931160549,417.634252095352,418.04577338116,416.992991301388,418.568408912327,417.283640051948,417.846164498285,417.417606972047,418.192693851576,2008.09468778734,2010.58726627299,2018.29778957814,2008.00041130804
1,1.75,0.476233071692855,-15.9919350381715,0.0296264289359909,-0.513932057474996,-0.485845191200227,-0.219522655297235,-6.27327247400937,-3.83262463905082,0.0368918102561896,-65.3594557112178,-5.1162986145911,0.173218268088021,0.436,0.42575,0.28575,-14.066355,-14.62365,-16.2065125,-16.9386125,-14.346375,96.355632,41.9795,0.11311,-12.62575,-12.28825,-13.477,0,-4.74275,0.2,-0.58,177.79,244.605,177.58,242.6,-0.38,-0.58125,-0.23,-0.08,-0.09275,-0.1205,-0.17,-0.06,-9.634175,-6.55385,-2.386975,0.75395,1.684225,3.918375,5.426825,6.81675,9.024375,-6.886425,-4.44375,-1.299375,0.1725,2.120925,3.9745,5.554875,6.628575,8.8195,-6.05255,-3.71385,-1.11785,0.1246,2.275,4.442025,5.568475,6.7905,8.7836,-5.4976,-3.25705,-0.13425,0.95685,2.2628,3.98755,5.3915,7.2675,9.033,-3.917375,-2.304925,-0.12155,1.2539,2.77405,4.5796,5.7823,7.3448,9.4725,-33.632125,-25.381075,-23.8691,-93.22175,1.02393629562009,1.26931804742937,1.46017459506602,1.2470598266655,1.19246462437799,410.756024487108,417.892572901973,418.149793043159,417.310766571304,418.267582804748,417.119555283503,418.318893547243,417.815522429789,418.251449628152,2009.09525978709,2010.41322392967,2021.19367985503,2014.37030839188
1,2.25,0.497217271400386,-16.2855990469431,0.029952907726854,-0.471788647976178,-0.496096079902574,-0.222401652721013,-1.66086008961866,-2.00129223765326,0.0435599074728792,-66.2606211712015,-5.05331399929532,0.187498265557604,0.47575,0.44,0.33525,-14.29987,-14.690675,-16.1651275,-17.07513,-14.6791225,96.360304,45.259,0.123095,-12.88875,-12.3765,-13.53,0,-4.561,0.2,-0.67825,178.4,242.315,178.32,240.26,-0.38,-0.552,-0.23,-0.07275,-0.10275,-0.11025,-0.17,-0.06025,-9.8366,-6.734725,-2.4549,0.756,1.684675,3.919625,5.42705,6.8153,9.031625,-6.951525,-4.52665,-1.334675,0.168175,2.120925,3.9738,5.553875,6.62685,8.8175,-6.129925,-3.8162,-1.161275,0.12675,2.27545,4.440575,5.56675,6.789225,8.7826,-5.65185,-3.3595,-0.153575,0.958675,2.263525,3.985575,5.3865,7.266,9.0315,-4.046275,-2.390225,-0.137375,1.2537,2.773875,4.5786,5.780575,7.343525,9.4715,-42.62875,-26.5541,-24.38615,-93.07825,1.02185905259716,1.3658608145124,1.41363211776378,1.34218356872708,1.25188837286403,411.014054925259,417.374382493801,418.359391677846,417.027906196044,419.038376599237,416.796048780526,418.35537952397,417.367081469726,418.941415253716,2012.709660998,2011.16618518125,2020.55254115851,2011.39898172212
1,2.75,0.549294861834483,-16.3585951827479,0.0405643363211405,-1.42882445692293,-0.263849278662097,-2.60211566263048,-6.76390681322929,-1.86085086261468,0.0400231344397798,-80.8035504868383,-11.9997757744281,0.197426008723001,0.47625,0.43575,0.33525,-14.25243,-14.805875,-16.133165,-17.0508,-14.325165,96.4430545,46.377,0.120125,-13.0375,-12.30225,-13.864,0,-4.75025,0.2,-0.64675,178.275,242.2225,178.94,240.93,-0.38,-0.54,-0.23,-0.09,-0.1,-0.12,-0.17,-0.06,-10.008,-6.8852,-2.520225,0.75415,1.685575,3.91985,5.427275,6.8153,9.037425,-6.99115,-4.564875,-1.3686,0.16285,2.1208,3.97535,5.552875,6.62485,8.8165,-6.209075,-3.945275,-1.204075,0.1272,2.2759,4.4394,5.565475,6.78795,8.7816,-5.788025,-3.462025,-0.172,0.96095,2.263975,3.984575,5.3815,7.2645,9.0305,-4.168425,-2.46925,-0.15365,1.2525,2.7737,4.577325,5.778575,7.342525,9.469775,-47.36375,-27.3904,-24.870125,-93.4355,1.01873935925566,1.3057933466516,1.51415940087443,1.28305986239515,1.24281940801479,411.124620929031,417.464198769073,417.951163067219,417.166173599868,417.870463534021,417.093833326512,418.392710854349,417.499764311882,418.328284537774,2011.83177609796,2009.15733315047,2022.86836858954,2010.66307118549
1,3.25,0.41244590155072,-16.4838451259272,0.0347528268376713,-1.04927734578636,-0.656522121732789,-0.511295131191603,-3.8369922406182,-2.9958563033927,0.0367354754683221,-62.7243626117325,-7.61072634176933,0.150546245405197,0.425,0.39,0.291,-14.2595175,-14.574875,-15.8904975,-17.00789,-14.528245,96.46841575,49.2895,0.136415,-12.953,-12.1395,-14.00075,0,-4.7355,0.2725,-0.63575,178.645,241.9725,178.64,240.54,-0.38,-0.53325,-0.23,-0.08,-0.11,-0.12,-0.17,-0.06,-10.100625,-7.0044,-2.583275,0.746125,1.686025,3.9201,5.4275,6.81485,9.036975,-7.039175,-4.603475,-1.401425,0.157525,2.12075,3.976075,5.551875,6.623125,8.814775,-6.282675,-4.059925,-1.24715,0.1295,2.27535,4.437225,5.56375,6.786225,8.7806,-5.90365,-3.5655,-0.18735,0.962775,2.2637,3.982575,5.3755,7.2635,9.0295,-4.281125,-2.543275,-0.169925,1.2503,2.773525,4.576325,5.77685,7.340525,9.4685,-42.45495,-27.918275,-24.79045,-92.345,0.97885410681342,1.31961209749686,1.38442315567145,1.23362056123055,1.27252200996639,411.037331532379,417.913055698417,417.574699860009,417.419986511641,417.592837826939,417.424477298599,418.432870268474,417.964951054032,417.78928177777,2010.47449170731,2009.18265035614,2020.91689357598,2011.57934079726
1,3.75,0.411205992557997,-16.6533805228708,0.0265913084963998,-0.752255564075535,-0.79094406646025,-0.941498033482317,-4.11625017538295,-2.71025542291554,0.040360641120833,-60.9708337734959,-8.18066988422677,0.163463547163506,0.441,0.42,0.32,-14.3746275,-15.0779,-15.630375,-16.80189,-14.9385925,96.457002,49.43725,0.140635,-12.96525,-12.41775,-13.94,0,-4.801,0.2,-0.6465,179.17,243.22,178.97,241.865,-0.38,-0.53375,-0.23275,-0.08,-0.11,-0.10025,-0.17,-0.06,-10.19385,-7.141925,-2.650425,0.738675,1.686925,3.9203,5.4277,6.8134,9.03625,-7.0648,-4.641325,-1.4386,0.155525,2.12065,3.9768,5.5506,6.6214,8.813775,-6.38335,-4.180325,-1.2896,0.1311,2.275075,4.436775,5.56275,6.785675,8.7796,-6.01625,-3.6637,-0.208225,0.964325,2.264425,3.9806,5.3745,7.2615,9.028,-4.39085,-2.6299,-0.186925,1.2472,2.773075,4.57505,5.775575,7.33925,9.4675,-48.9578,-28.1938,-23.073,-89.85775,0.974431878050758,1.29465289754516,1.39286544750634,1.26077184942046,1.21040428994386,411.079344590101,417.891286087613,417.620790513545,417.45653434819,418.138138909815,417.735565841622,417.236397178174,418.300084045837,417.687101272043,2010.15239230895,2010.29800898125,2019.23022708355,2010.48894812084
1,4.25,0.44183879179297,-16.7066873336691,0.0339633294265368,-0.826429684122904,-0.541269907711854,-1.22593725708102,-2.54827725016853,-1.88272972505532,0.0356336860225162,-51.3619076239564,-6.0823940621845,0.17391682244652,0.4305,0.443,0.3005,-14.47313,-15.1162,-15.923615,-16.82757,-15.5893525,96.44808225,49.965,0.145445,-13.26475,-12.5885,-14.005,0,-4.65975,0.2,-0.75325,178.62,243.7725,179.94,241.8325,-0.38,-0.53,-0.23,-0.08,-0.1,-0.11025,-0.17,-0.06,-10.34145,-7.26315,-2.718475,0.732175,1.687825,3.9205,5.428875,6.812675,9.0266,-7.1752,-4.69855,-1.465625,0.15785,2.12085,3.976075,5.5496,6.6204,8.81205,-6.4944,-4.239175,-1.329675,0.133525,2.274525,4.434875,5.559,6.782525,8.7769,-6.115425,-3.7539,-0.225925,0.96615,2.26515,3.9796,5.373,7.2605,9.0265,-4.4987,-2.69115,-0.203925,1.241025,2.7729,4.573325,5.77385,7.337525,9.465775,-52.44565,-36.50015,-26.942075,-90.24275,0.98682485513742,1.31961438680132,1.38023645484367,1.26917633330869,1.22231186274939,411.187890014301,417.977036445929,418.188904824905,417.440452214811,418.38067471709,417.065682929138,418.29586861375,417.945245241193,418.509479079114,2012.6281790929,2016.82088906929,2023.02858872049,2011.89995825393
1,4.75,0.539200393687034,-17.2096149064493,0.0318448859132631,-3.93341760667446,-0.770506482531236,-7.57664914234539,-2.6657401271486,-3.85801586619017,0.0427711440425802,-57.2983705531796,-7.98086927358657,0.16732703680068,0.5,0.43,0.35,-14.4435425,-15.25915,-16.52215,-17.23809,-16.059885,96.4214445,51.23125,0.1524775,-13.3725,-12.65275,-14.1575,0,-4.7675,0.1725,-0.81,178.09,244.3325,180.1225,240.7675,-0.38,-0.53,-0.23,-0.08,-0.10275,-0.11,-0.17,-0.06,-10.606,-7.45625,-2.781125,0.724325,1.688725,3.9207,5.42905,6.8034,9.03435,-7.1884,-4.753575,-1.4893,0.16045,2.120775,3.975625,5.548325,6.6184,8.81005,-6.6359,-4.269925,-1.368825,0.13495,2.27325,4.4337,5.558,6.7821,8.7755,-6.180225,-3.82605,-0.25045,0.966975,2.265875,3.9786,5.3725,7.256775,9.0255,-4.578125,-2.7438,-0.22165,1.236775,2.772725,4.57205,5.772125,7.33625,9.464775,-49.81535,-34.9135,-26.908675,-90.99,0.949587147964699,1.36450001513411,1.38234571758432,1.29983890394173,1.25080340162817,411.408343632438,418.189006404212,417.529400199489,417.554895946507,417.194233878033,417.423359295342,416.755837657168,418.133924134087,418.469229486292,2016.96796200103,2017.31626586825,2022.0881206173,2012.57956412952
