DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,1.61730927611162,0.172273411247553,1.14344850216795,7.92476948330512,1.02288934357188,0.713279178666179,9.7605684524083,6.07990598857275,1.63199945635131,424.707576016765,8.7608781851691,432.64572940514,8.2155506383051,430.251764341448,10.0097229245114,432.28054874288,8.26925486542348,430.270118366609,9.92046159383221,431.941863552617,8.11426862617865,431.047565601487,10.2005176815129,432.392612544181,8.17675660890663,431.701190299279,10.1416941509299,11.4750602129339,10.1846612856244,0.526606517348663,11.66575,7.4475,2.7695,9.78868,9.52705,9.55759,9.4055975,8.3574875,98.863012,96.66725,5.9672,8.983,9.36799999999999,9.4345,2.21,0.10325,3.61,-0.43,0.972499999999999,349.925,356.145,349.5875,359.275,0.32,0.19,0.38,0.04075,2.31350000000001,0.651,0.22,3.89699999999999,4.9234,4.7072,4.758525,4.981625,6.02125,6.796725,9.03755,10.8901,12.048725,4.6174,4.2908,4.20195,7.939125,9.0417,10.7852,13.4726,4.75425,4.6626,5.15115,5.113675,6.2982,7.01435,9.261975,10.844,12.4367,4.520175,4.932025,4.7676,5.3175,5.187425,6.45615,6.766225,6.86815,9.4683,5.6447,5.739125,6.021,5.9484,6.3772,9.6383,9.37925,12.194075,1.47832499999996,2.25789999999998,3.43049999999999,5.251
1,0.75,1.63338702619652,0.308255219487854,1.14344850216795,8.31009652613011,1.41008614953058,0.719216511625668,9.64899640202945,7.58783400051406,1.59282966979914,424.503205737197,8.42738475956673,434.018315733435,8.0230326726046,430.015892931538,8.19171185724253,433.949204342965,7.96663112514614,430.210767150035,8.48470094423483,432.990977235278,7.85879273726725,430.919389111479,8.86387509605495,433.785009952119,8.03863579998531,431.95070534053,9.11855012382449,11.906712943022,10.5233961260987,0.799961204833034,10.2345,7.3815,2.58425,9.76014,9.825675,9.87655,9.43521,9.706755,98.82747275,97.994,6.11831,8.8455,9.70725,9.88625,2.3,0.065,3.8,-0.44925,1.0325,350.375,356.415,350.325,357.925,0.32,0.19,0.38,0.05,2.20299999999999,0.6505,0.22,4.019,4.9426,4.7196,4.697675,4.9694,6.0181,6.79115,9.0345,10.89075,12.0494,4.610725,4.2832,4.189875,7.9118,9.0556,10.7822,13.47065,4.636775,4.64015,5.13605,5.097725,6.30145,7.00925,9.26085,10.841,12.4338,4.5194,4.909875,4.814125,5.32055,5.19135,6.45625,6.7681,6.86795,9.46235,5.48035,5.737775,5.9911,5.90875,6.3785,9.6372,9.3763,12.1903,1.93219999999995,2.773,3.578875,3.55699999999999
1,1.25,1.73715963603607,0.226411340837802,0.518732008459249,9.52775530865179,3.69440912790921,0.69917317067138,7.16682362703502,3.69643384837803,1.82603752460486,419.498358995304,8.73109486418129,433.830719799573,7.53409184382142,430.210195494876,9.4606172472165,433.395848671989,7.4109831438281,431.23620683921,9.24646855627488,434.818171523318,8.18916517751207,431.077147569505,9.69392827629059,434.691822789007,7.69674551219541,431.972642805559,9.86870901333367,11.5438088339295,10.7794418053565,0.756152475675076,10.145,7.6075,2.718,10.14365,10.1059,9.2266275,9.9179275,7.851,98.804686,98.44675,6.15345,9.06,9.675,9.8445,2.3125,0.0367499999999998,3.7,-0.4475,0.94,349.635,359.625,349.2,361.275,0.32,0.19,0.38,0.04125,1.56875,0.661,0.22,2.87550000000001,5.0223,4.737,4.63395,4.953075,6.01965,6.785575,9.030675,10.8873,12.04645,4.55685,4.2772,4.1733,7.9054,9.044075,10.782625,13.470475,4.7377,4.5724,5.115275,5.08175,6.297375,7.0037,9.25785,10.837,12.4318,4.512975,4.8867,4.8632,5.3202,5.19905,6.456625,6.769,6.86445,9.457375,5.4126,5.6699,5.966575,5.87435,6.3807,9.634475,9.37345,12.187075,2.01225,2.9505,1.87967499999999,4.99774999999999
1,1.75,2.29365249297491,0.267722122728935,0.648410769592994,6.75465952070543,2.11817750066561,0.665357464051884,8.23565035338389,3.75148822931661,1.70735130673069,419.308815182972,8.67127570902492,432.903532698245,7.12336321558687,430.165505871328,9.22716314737685,433.168930779859,7.1300862317107,430.638463713195,9.20380502072699,433.329756114682,7.19362197722194,430.890392839694,9.40158460472961,433.730454681767,7.17759162228008,430.891788194348,9.45789212254459,11.3392985382475,10.7818452589959,0.62130909513042,9.844,7.556,2.835,10.30018,10.22205,10.15862,8.36386249999998,6.7803325,98.7994695,98.14325,6.4584075,8.67875,9.78,10.217,2.12,0,3.51,-0.45,1.225,342.67,358.855,345.435,359.425,0.32,0.19,0.38,0.05,1.3955,0.661,0.22075,2.658,5.048175,4.7324,4.573,4.936425,6.0255,6.779,9.029375,10.88375,12.041725,4.6049,4.268375,4.1601,7.90115,9.0383,10.78345,13.469475,4.82615,4.5467,5.0954,5.06975,6.28805,6.99815,9.254825,10.834,12.42735,4.495425,4.8585,4.9149,5.3189,5.208025,6.45485,6.76715,6.8672,9.45775,5.4847,5.644725,5.930325,5.838775,6.3801,9.630025,9.3706,12.1874,0.593825000000002,1.56609999999999,1.174,3.845
1,2.25,1.55848193659212,0.104627746038186,1.72317858192578,18.0188538837839,2.25536915980376,0.628943367061056,10.1849706181155,1.99481667617491,1.76031639608951,419.417989994999,8.7987964289975,433.092065821948,7.35791832416335,429.407361724847,9.44224626010586,432.652476995315,7.40105868733495,430.305966094361,9.25919902697127,433.23418749784,7.33206922498036,430.057611712829,10.1022624001396,433.942001528242,7.32082903118968,430.539884869343,10.1042040779399,10.6220348139913,10.6609921339449,0.56149671741239,9.21925,7.265,2.367,8.19678749999999,9.75025,8.34114250000001,8.26405999999998,9.04443000000001,98.812388,98.5815,6.031135,8.45949999999999,9.49375,9.79525,2.4,-0.0299999999999997,3.8125,-0.477,0.930999999999999,340.445,357.5475,343.965,358.23,0.32,0.19,0.38,0.04,1.5125,0.66,0.22,3.18125,5.17545,4.709575,4.5449,4.9232,6.0302,6.773425,9.026075,10.88075,12.0397,4.6187,4.258125,4.1416,7.91295,9.027,10.78075,13.4693,4.921725,4.581,5.07185,5.0512,6.294,6.99305,9.25455,10.831,12.4278,4.5419,4.831,4.93835,5.31935,5.210225,6.458075,6.7644,6.86605,9.4528,5.6222,5.54865,5.881,5.819375,6.37185,9.6268,9.368,12.1836,1.044125,1.569325,1.23342499999999,3.98
1,2.75,1.84486021249287,0.127682506308705,2.05559235253041,6.92567136783888,5.59672462601916,0.690971976495009,7.32629311039914,5.37731964105232,1.605678744906,418.988104196869,9.26942775280309,431.63099837262,7.52893236687349,429.943801231661,7.79755934283688,431.6060754866,7.49518129457133,429.971862161834,7.8410400379867,431.978530100087,7.48156706330425,430.340479214721,7.76717288724977,432.966930397001,7.47678098421657,449.165491308541,7.93420582224296,10.8668834958654,10.8013731347078,0.580226069889212,9.34625,7.09125,2.47,7.94748999999998,9.684,8.17528750000001,8.15513500000001,7.11155249999996,98.80854925,98.58,5.563485,8.2125,9.61999999999999,8.81724999999999,2.2175,0.1,3.7,-0.50375,1.0175,340.925,353.455,347.28,354.22,0.33,0.19,0.38,0.0414999999999999,1.4145,0.634,0.22,3.13625,5.27835,4.669325,4.5257,4.9336,6.0263,6.767375,9.02215,10.880875,12.036725,4.62385,4.2491,4.1248,7.923675,9.02175,10.773875,13.4674,5.058,4.58915,5.048725,5.03075,6.2887,6.9875,9.2524,10.8278,12.4257,4.58895,4.7915,4.928525,5.31695,5.212425,6.459375,6.76355,6.865825,9.44875,5.76475,5.56605,5.84035,5.78565,6.3629,9.6235,9.36405,12.1804,1.5146,1.72745,1.4658,3.757
1,3.25,2.06273441075943,0.19601749366445,2.21388211984481,11.2797668819356,1.94224861413404,0.645512446287986,7.62357479083618,9.55893452267058,1.80308145708742,418.006091721198,9.94375313809325,431.810956332571,7.73404333718672,429.113281535268,8.98741589726979,431.4253262783,7.5784958026611,429.450381035397,8.9898951672728,431.847547415012,7.67940108011663,430.463840447767,9.55240982595951,432.238914047356,7.79763153067028,436.291436669998,9.32912417739903,10.3313471359341,9.99559386336091,0.731331496066198,8.678,7.03799999999999,2.4725,8.182975,9.1484,8.2009825,8.181855,7.49643749999999,98.807463,98.502,4.599095,8.22375,8.756,8.96625,2.275,0.104,3.675,-0.49625,0.907,334.4375,353.07,340.965,353.275,0.33,0.19,0.38,0.0509999999999999,1.508,0.6425,0.22,3.44299999999998,5.23,4.69145,4.49425,4.9452,6.021725,6.7618,9.01905,10.87745,12.040175,4.67305,4.28025,4.107,7.911975,9.023075,10.769875,13.4664,5.1557,4.6369,5.019725,5.01125,6.28825,6.98195,9.2503,10.824,12.42135,4.6516,4.7727,4.9136,5.31455,5.20825,6.460675,6.7618,6.86245,9.4438,5.75325,5.633225,5.7998,5.74495,6.359425,9.6234,9.3607,12.1764,1.74702499999999,2.19500000000001,1.8265,3.77925
1,3.75,3.190229267925,0.0870945217547346,2.62480029823975,4.86500903378075,2.69429974278413,0.672827536928518,8.67395410508493,3.25205631333782,1.7440128817772,417.802132831268,9.88396795949835,432.283592364495,8.20094865717081,429.222992388984,7.5877131263935,432.0079295771,8.34097528621351,429.607221234048,7.68319443078597,433.000946796342,8.43649147718349,430.071030294922,7.71419692804378,434.390423949513,8.29909565524461,430.680377646995,7.84984231725653,12.0257734058686,10.0146939390426,0.939994678873032,10.13575,7.785,2.77025,8.32120249999999,8.6263,8.63138,8.25756499999999,8.0278,98.79674,98.8015,3.78625,8.09275,8.38899999999999,8.76799999999999,2.3,0.0967499999999998,3.615,-0.4985,0.916499999999999,340.155,352.07,339.1575,351.29,0.32,0.19,0.38,0.05,1.404,0.623,0.22,5.16199999999999,4.5907,4.651725,4.47295,4.9252,6.0167,6.756225,8.990625,10.86975,12.032725,4.74275,4.330875,4.08715,7.88215,9.01175,10.766875,13.46255,4.8122,4.5909,4.98835,4.9906,6.291575,6.9764,9.24815,10.8208,12.41685,4.73015,4.7703,4.8976,5.31115,5.20895,6.4619,6.75995,6.86135,9.4407,5.441,5.6271,5.754325,5.77345,6.354025,9.6219,9.3587,12.169075,3.55575,4.6705,3.25705,3.90799999999999
1,4.25,2.0407000512796,0.109329991402228,2.31705703520348,4.64886343482537,2.99654162525971,0.630023292279529,6.92010630429674,5.4086395199469,1.47885793433609,417.785504746584,9.6201728173622,432.81505505152,7.66557964722961,430.962990256585,8.51466063313242,433.147023102298,7.36171444246642,430.059146109451,8.80102433940008,433.629113057859,7.40791628830481,429.827139246143,8.77385783472754,433.70538250931,7.55554542175535,438.959986374629,8.48322098235717,11.7512756539014,9.87001667232906,0.498103429891561,10.10975,7.584,2.76925,8.95873,8.8305,8.86122,8.72361,8.03644,98.817437,98.9045,3.75093,8.01399999999999,8.28549999999999,8.74849999999999,2.135,0.105,3.535,-0.481,0.873,339.845,351.485,340.08,353.535,0.32,0.1805,0.37,0.04125,1.26,0.643,0.22,5.37875,4.51005,4.459525,4.44165,4.9016,6.0112,6.7513,9.0091,10.86215,12.029725,4.5507,4.302375,4.06705,7.889,9.0065,10.75235,13.461475,4.5153,4.5184,4.9565,4.96985,6.2935,6.9713,9.24295,10.813775,12.4149,4.6532,4.7695,4.88575,5.3033,5.20875,6.463125,6.7582,6.86115,9.4386,5.3989,5.575675,5.706825,5.8085,6.3448,9.6209,9.3562,12.165075,3.16989999999999,4.32925,1.33965,4.0825
1,4.75,2.04724298865129,0.143504556934219,2.11577098287279,3.59361597650784,3.12208294871454,0.700132465375639,10.6955054958808,6.28339074462004,1.69097506985428,417.838946694929,9.87971514305277,437.779568174193,8.19535451703496,431.545285933036,8.37112054133814,437.001178932102,8.17288401438514,432.880748119901,8.67171097944184,435.462524891604,8.31089322273271,433.081789092574,8.44103343388975,437.4357847417,8.40988405472272,433.940702032191,8.60041237625264,11.2833424608098,9.80482104136695,0.679612208416681,9.705,7.66625,2.726,8.82785,8.5468,8.681475,8.560125,7.9065525,98.837476,98.869,3.60097,7.03049999999999,8.1725,8.76375,2.1,0.1275,3.4125,-0.469500000000001,0.903499999999999,335.925,351.7925,337.1,354.005,0.32,0.19,0.38,0.05,1.3775,0.65,0.22,3.19125,4.45145,4.36,4.4251,4.876,6.00805,6.7452,8.96795,10.858675,12.027725,4.3661,4.28755,4.04495,7.9127,9.0015,10.7489,13.4623,4.4722,4.438,4.9243,4.9745,6.297,6.9663,9.2445,10.81,12.41535,4.54925,4.773,4.8676,5.29075,5.20845,6.464425,6.75645,6.861,9.43645,5.359975,5.49825,5.67645,5.851025,6.3364,9.6178,9.352275,12.1662,2.6039,3.5601,0.7418,4.3475
