DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_9_1,G_1_1_1,G_2_1_1,NETRAD
1,0.25,1.53352777221887,0.348380168832477,16.9745316899544,0.909639462400589,0.449223396798779,21.047358570236,8.04681966416693,1.18211513690654,423.065851485553,8.32919087052567,423.745335560794,7.24602900773945,423.867619518635,423.899438129856,7.22453143574886,421.486560770369,424.358037464588,7.39674134388646,421.976803861941,424.987118936033,7.55672795666774,424.163287106399,6.32729899567802,4.74445748879996,1.06033809746816,5.9635,5.2925,2.75675,5.0773375,4.553,4.8767,4.4822625,3.619,82.98639525,96.3405,5.3436,1.90625,3.0385,3.1455,1.7,-0.239,3.1,2.355,320.06,328.5775,321.6125,324.1725,0.26,0.18,0.21025,0.27,0.47025,0.25,0.12,0.08,1.48495,2.341425,4.005225,3.787675,3.923925,5.5761,7.293575,10.3394,11.073525,0.989424999999996,2.33805,2.8823,3.841775,4.09705,5.051625,7.1915,13.46295,10.8448,1.421225,1.84445,2.7132,3.53865,3.76675,4.931425,6.115675,9.287425,10.4038,1.1353,1.603875,2.79915,3.5738,3.72585,4.480425,6.222475,9.6657,10.866775,0.973824999999997,1.383325,1.998125,3.24225,2.99145,4.2924,5.934625,11.18675,3.7926,4.17794999999999,-1.352
1,0.75,0.342452551509884,0.161621994489655,12.5214777927278,1.75994458645419,0.430894235891312,20.3435802019502,11.4903069502139,1.40995543096505,422.911502046172,8.32472393972458,424.05193040272,7.18307050334946,423.59496742735,424.009576880748,7.21631059302304,421.345691071039,424.339209767626,7.21928579541376,421.409875463867,425.611809410997,7.31015756169263,424.018804469778,6.58191151188332,4.51042928156863,0.974610297511032,6.153,5.4415,2.9275,4.98731,4.862075,4.7587475,4.411675,3.3000125,82.97563175,96.066,5.24016,1.71625,2.83125,2.7645,1.6025,-0.28925,3.1025,1.974,321.6675,328.71,323.74,323.415,0.26,0.18,0.22,0.27,0.47025,0.25175,0.12,0.0802499999999999,1.362125,2.2428,3.969575,3.719175,3.9406,5.577975,7.292475,10.345675,11.0696,0.852274999999995,2.21209999999999,2.7571,3.79655,4.08195,5.0521,7.18855,13.4491,10.8438,1.40175,1.744025,2.571175,3.467125,3.777975,4.940125,6.1127,9.28485,10.4018,1.09255,1.567875,2.662925,3.5302,3.7474,4.482525,6.219525,9.6647,10.864775,0.948899999999997,1.329725,1.868675,3.165,3.00415,4.29205,5.93315,11.18475,3.34320000000001,3.9305,-1.93275
1,1.25,0.158297400382568,0.328592969403036,8.06842389550115,1.19999099861133,0.470433509645164,20.2203701570763,5.89924597340599,1.32820862656479,423.357518883316,8.39742324765145,423.559689698291,7.20299182387189,424.195420353659,423.720412297889,7.22193309626585,421.217481401428,424.005270429735,7.23217035361083,421.612593581835,424.668878952889,7.35951335791787,424.118796120704,7.03704389298616,4.47528348123914,1.40624133574686,6.8105,5.9975,3.29525,4.30881,4.27939999999999,4.10367,3.93385,3.29615999999999,82.980327,96.06525,4.91998,1.716,2.60325,2.922,1.71,-0.132,3.2,1.82675,321.5225,328.8075,324.15,323.3125,0.26,0.18025,0.22,0.27025,0.47,0.26,0.12,0.08,1.238175,2.128975,3.923625,3.653675,3.9555,5.576975,7.27785,10.4533,11.065575,0.725624999999994,2.11797499999999,2.63995,3.74415,4.065125,5.056625,7.184625,13.47115,10.842275,1.4222,1.64505,2.4392,3.3966,3.786875,4.9412,6.108775,9.283325,10.4008,1.134425,1.549275,2.53285,3.488075,3.76525,4.484525,6.215575,9.6627,10.863775,0.915024999999997,1.30775,1.750325,3.0759,3.0191,4.29215,5.932675,11.18375,2.696625,3.59099999999999,-0.914000000000003
1,1.75,0.323175501739228,0.341591069059721,19.5985265424392,2.07805254825553,0.421022627405159,11.6697668538108,9.14670557304091,1.18675654650497,422.887720374287,8.71207525377464,423.824722230084,7.18034076965829,423.811001496606,424.6645348279,7.18053732730402,421.086996955926,424.22306278524,7.18715645799484,421.759092127947,424.673932065618,7.32396076602841,423.958619680842,6.38245796414547,4.10589350697299,1.47062558884932,6.2225,5.255,3.03775,4.4174975,4.23164999999999,4.21030999999999,3.98555,3.33537999999999,82.9882175,95.984,4.662535,1.721,2.16975,2.64225,1.8,-0.1075,3.1025,1.823,321.1725,328.6025,324.48,322.24,0.26,0.18,0.22025,0.27025,0.46025,0.26175,0.12,0.0802499999999999,1.130775,2.028625,3.85445,3.589175,3.96785,5.576975,7.2857,10.420875,11.06435,0.651449999999994,2.03959999999999,2.528875,3.723025,4.04775,5.061875,7.18165,13.469575,10.8408,1.432025,1.539975,2.31135,3.32905,3.793775,4.9375,6.1058,9.281325,10.3988,1.169425,1.49555,2.4089,3.44895,3.77495,4.48555,6.212625,9.6617,10.861775,0.832174999999996,1.275875,1.63525,2.98745,3.03085,4.29315,5.9312,11.18175,2.260625,1.8516,1.81449999999999
1,2.25,0.506544858798701,0.152580667164548,14.6608073085749,0.621882570578848,0.501806785203382,16.4126231699156,8.07272551668752,1.18150453348394,422.769835321169,8.81231318217484,424.534090292162,7.14394849114114,423.177748988492,424.851737926153,7.15986218562159,421.130400283154,425.109880100819,7.15972393415387,421.20828719873,425.237522444049,7.24865422103993,423.205278257064,6.54486017235571,4.40362282460703,1.13998288890552,6.51325,5.999,3.6105,4.821065,4.55794999999999,4.72656499999999,4.60423999999999,3.875445,82.9946415,96.53775,4.86646,1.8815,2.60449999999999,2.24324999999999,2.21,-0.1025,3.5025,2.04025,316.27,328.8,324.605,322.1375,0.26,0.19,0.24,0.27025,0.47,0.26,0.12,0.09,1.05295,1.940225,3.803025,3.5144,3.978425,5.5783,7.28625,10.394875,11.062575,0.728424999999995,1.96704999999999,2.425725,3.7098,4.029375,5.06665,7.177675,13.44625,10.8407,1.478125,1.453475,2.1905,3.243575,3.80165,4.9338,6.10185,9.2798,10.3978,1.2191,1.432175,2.290975,3.413825,3.782,4.487525,6.208675,9.6597,10.860775,0.878774999999998,1.2057,1.5262,2.902,3.03975,4.29315,5.929725,11.18075,1.26234999999999,1.22875,-1.02625
1,2.75,0.689914215858174,0.131705903506463,9.72308807471057,2.03935451932827,0.506380038223385,12.4735794798943,7.85017236937069,1.14537863259259,422.77741425903,9.21430074352766,423.836225917112,7.03073417716125,423.357534414942,424.170655283437,6.95865106162995,420.949220894849,424.485612418214,6.98295296238377,421.413927771149,425.437188042476,7.00232882849966,423.297793829907,7.62515043537853,4.50301052368246,1.22171002897505,6.701,6.11875,3.2235,4.9061275,4.985025,4.652255,4.4182,3.63821,83.01969775,96.441,4.98855,1.97325,2.7345,2.41425,1.7025,-0.16,3.2025,2.07025,321.9125,328.505,324.225,322.8075,0.26025,0.19,0.22025,0.27,0.45025,0.26,0.12025,0.09,0.991699999999995,1.844575,3.769675,3.435925,3.98855,5.57785,7.28625,10.3321,11.060575,0.720724999999995,1.90079999999999,2.329525,3.694575,4.009725,5.071425,7.173725,13.38165,10.8387,1.380225,1.356,2.0844,3.161125,3.808075,4.930075,6.0979,9.278275,10.3958,1.1754,1.371125,2.181,3.37965,3.7768,4.48855,6.204725,9.6587,10.858775,0.800999999999997,1.172825,1.438725,2.82055,3.05205,4.29415,5.92825,11.179225,1.204925,1.5246,-1.58625
1,3.25,0.456544342950573,0.208696483488302,31.5765383465103,1.29665819510397,0.445460860396994,5.61362240766694,11.4879417548607,1.22974612972109,423.653229712786,9.23588349249771,423.716444085032,7.43224144221503,423.746673193273,423.952137014334,7.47932062547872,421.562370241114,424.28957332526,7.48766439559739,421.352115636738,425.067499111031,7.53974365025192,424.125563652686,7.24601274609856,4.50697325319795,1.06596071517527,6.553,5.833,3.0725,4.702285,4.21357499999999,4.57593499999999,4.43333999999999,3.69499999999999,83.0263455,96.8505,5.2021125,1.89,2.42899999999999,2.12425,1.6025,-0.0739999999999998,3.2,1.7545,316.6525,328.1125,322.4375,321.445,0.26,0.17025,0.22,0.27,0.45025,0.27,0.13,0.08,0.841824999999995,1.673125,3.7403,3.359525,3.998975,5.578425,7.28735,10.289875,11.0588,0.605374999999995,1.84897499999999,2.2393,3.6798,3.9898,5.0761,7.170775,13.3599,10.8377,1.1463,1.24015,1.995025,3.0807,3.8135,4.92635,6.09395,9.2768,10.3948,0.998749999999998,1.314725,2.07895,3.348425,3.780375,4.490525,6.201775,9.6567,10.85775,0.608399999999995,1.148625,1.415725,2.741125,3.0616,4.29415,5.9273,11.17775,1.0662,1.1819,-1.25225
1,3.75,0.585300051685236,0.192555053876277,8.84779392547174,1.41860347772037,0.420949813751976,23.9552445772252,9.38631332699175,1.23526125361133,422.895473437292,9.18789583813423,424.147654013986,7.20591576487859,423.494451358889,423.80932203324,7.3465442759832,420.939553627399,424.118129323037,7.31833937636069,421.136084991918,425.397870085284,7.33635909674872,423.320442078882,7.0898186753611,4.43341759972266,1.26987009763661,6.441,5.494,3.0365,5.344105,5.32105,5.18367,4.9589,3.94644,83.002924,95.756,5.0221125,1.82375,2.39424999999999,2.21849999999999,1.6025,-0.09875,3.1,1.9005,314.89,328.2075,323.42,321.3425,0.26025,0.18025,0.21,0.27,0.45025,0.26,0.12,0.09,0.840799999999995,1.5372,3.718075,3.284175,4.010175,5.58,7.287775,10.32285,11.057575,0.594774999999995,1.79517499999999,2.182325,3.66485,3.96915,5.08125,7.1678,13.326725,10.836175,1.019625,1.185125,1.956475,3.001375,3.8177,4.9226,6.090975,9.27575,10.3928,0.866324999999997,1.261625,1.9828,3.3192,3.768225,4.491525,6.1988,9.6557,10.855775,0.609149999999996,1.093975,1.38605,2.663725,3.07105,4.29415,5.925825,11.176225,0.61175,0.531424999999998,-0.94875
1,4.25,0.419918648110047,0.317474431215056,13.3679284363085,2.79446418288031,0.498970156073146,16.4332338555551,6.23949340665199,1.43663412176786,423.561263034174,9.1409603594315,423.742018277951,7.08215142998646,423.376182388232,424.119292587617,7.0638429134359,421.116572574717,424.451206900798,7.07781752873133,421.40608281805,424.960397121687,7.20630067565822,423.442193619341,7.89011713565757,4.08066259781197,1.53173273673374,6.21875,5.6615,2.9595,5.90395,5.88955,5.75836,5.5367975,4.702,82.999511,97.102,4.9995,1.86125,2.6505,2.6315,1.7,-0.144,3.3,1.74275,315.4825,328.64,321.915,322.9025,0.25,0.18025,0.22,0.27,0.46,0.25,0.12,0.08,0.874499999999995,1.525925,3.701175,3.207875,4.020925,5.58465,7.282125,10.3652,11.0576,0.736174999999996,1.76367499999999,2.152725,3.6519,3.94795,5.0854,7.16485,13.339625,10.8347,1.1841,1.134925,1.9229,2.9221,3.82245,4.919825,6.087025,9.27475,10.391775,0.988199999999998,1.216625,1.952125,3.2925,3.73925,4.492525,6.19485,9.653725,10.85475,0.693049999999996,1.0773,1.3603,2.586375,3.0797,4.293925,5.924825,11.17475,0.143774999999999,0.530300000000001,-1.838
1,4.75,0.311705112713156,0.176572958892355,106.346615113852,2.14639664730637,0.464488469657044,-0.641124797321691,6.31683747360937,1.40598493185892,423.387250067469,9.09735685298441,423.428608272661,6.88808441869157,423.582258526811,424.265559680897,6.93327732200975,421.177222767365,424.310913001045,7.00208242340394,421.63861880932,424.973757426592,7.07105171497573,423.657407702332,7.17816754316337,3.66027617881679,1.82963158013458,6.35325,5.6945,2.9245,5.9789275,5.78195,5.7937,5.5158525,4.4596875,82.9955415,97.045,5.3119975,1.87425,2.542,2.29325,1.7,-0.247250000000001,3.1,1.9625,313.7025,327.8375,323.9125,322.745,0.26,0.17,0.22,0.27,0.45,0.25175,0.12,0.0802499999999999,0.942674999999995,1.514275,3.6285,3.140425,4.029675,5.587975,7.284225,10.396125,11.0548,0.851149999999997,1.760775,2.132025,3.639675,3.927025,5.08965,7.160925,13.34665,10.833175,1.236675,1.099075,1.897375,2.84785,3.801175,4.9219,6.084075,9.274175,10.3898,1.064275,1.171275,1.929375,3.2687,3.709275,4.49645,6.190925,9.6527,10.853725,0.777299999999996,1.092225,1.34345,2.513,3.090325,4.297,5.923875,11.17375,0.378949999999998,0.742899999999995,-2.3955
