DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.28764596418774,0.0377473689441577,1.76606370983594,0.814410054876037,0.212394095787682,-4.09625994385602,1.70102948476446,0.84752092553451,413.600238534924,4.833650409548,426.243117297287,5.61679540120195,420.425650220886,6.02395824622782,427.523717152478,5.65388104700884,420.679289884245,5.96436280068276,426.824423703217,5.61137351994654,420.769918626603,6.1312001165352,426.96754073486,5.70355123360692,420.647348906609,6.18675879367914,2.91102620293115,0.767834268125227,1.04814737168871,2.39,1.635,0.5225,0.31,0.0735,-0.1375,-0.6367,-1.503975,84.011965,81.675,1.89965,-0.6575,-0.315,-0.08,2.1,-1.26,3.8,-0.915,0.755,284.925,308.45,295.25,307.45,0.1975,0.2,0.11,0.18,0.1375,-0.02,0.165,0.12,-0.419,-0.624,0.9235,3.292,3.50775,5.376,8.36775,9.12725,9.591,0.0805,0.323,0.70625,2,5.71175,8.9885,10.0035,10.65625,-0.06325,0.781,0.66125,1.061,3.112,5.6005,8.44625,11.00175,0.08575,0.06875,1.0545,2.63925,5.57425,9.10025,9.97575,-0.06175,0.04025,0.40725,0.94725,2.6265,-1.359,-1.5545,-2.353,-20.53
1,0.75,0.275840992474005,0.0526628726628562,3.00006156421305,0.615960152732313,0.213168781395701,-4.16206681474533,3.50143134922709,0.937952956233808,413.968316193037,4.51074212351288,423.360072670199,5.69658755623762,420.303711810379,6.08480188404302,423.3925386568,5.74939069493449,420.48302499076,6.16088581966285,423.728386302947,5.76868246706763,420.924958636076,6.18198251374901,425.280348596291,5.78917724539591,421.01116489031,6.15970997759804,3.06059328246774,0.943160153681902,0.940270427713817,2.4425,1.7,0.565,0.3125,0.027,-0.12665,-0.3258,-1.0441,84.0156075,81.5125,1.9215,-0.6,-0.33,-0.195,2.3,-1.11,3.8,-0.9275,0.765,285.525,309.7,297,306.8,0.2,0.19,0.12,0.18,0.1275,-0.02,0.165,0.12,-0.433,-0.62575,0.9135,3.276,3.51325,5.3765,8.36675,9.126,9.58975,0.06325,0.32425,0.70575,2.0015,5.7155,8.9875,10.0025,10.65475,-0.081,0.77625,0.6335,1.054,3.11125,5.59975,8.4465,11.00225,0.067,0.064,1.0545,2.652,5.57425,9.0985,9.976,-0.09175,0.02875,0.40625,0.94775,2.62175,-1.6205,-1.521,-2.3515,-18.27
1,1.25,0.181516813900122,0.0493749124905115,2.74388469770779,0.350449668425563,0.221401676928047,-3.22348593210621,3.24401662140817,0.812864645794101,413.027858368199,4.84377750830724,423.413218729266,5.59780415117301,420.418192571766,6.10234842654904,423.365854093724,5.6732388058532,420.3623414576,6.1023863116678,423.490248013174,5.69448597501052,420.556853751592,6.16574998578254,425.577848601409,5.45564560430393,420.832534601911,5.98651803100933,2.60858540575333,1.51463613592941,0.682064460068832,2.235,1.66,0.57,0.814,0.3535,0.055425,-0.3907,-1.2795,84.0194975,83.06,2.0034,-0.61,-0.4625,-0.225,2.1,-1.39,3.7,-0.9475,0.865,283.525,308.35,293.25,307.1,0.2,0.1925,0.11,0.1875,0.13,-0.0175,0.15,0.12,-0.491,-0.63125,0.9055,3.275,3.51425,5.375,8.365,9.125,9.58875,0.05875,0.3135,0.7075,2.02075,5.714,8.9865,10.0015,10.65475,-0.09175,0.772,0.632,1.052,3.10975,5.59825,8.4455,10.9995,0.027,0.05775,1.05525,2.6635,5.5625,9.09725,9.975,-0.10025,0.0065,0.404,0.94825,2.6155,-1.8125,-1.695,-2.3945,-22.68
1,1.75,0.322494611921235,0.0833247374026974,9.24284090821109,0.442334341814168,0.205014161825013,0.00140331808943972,3.07775502797474,0.870471089376353,412.946695083089,4.86133924020018,424.493616553591,5.57154643872557,420.491574737219,6.14534798224662,424.334755886963,5.61382045542837,420.523313154762,6.03947904097109,425.512984143916,5.66658333303063,420.573424996667,5.90933970239394,426.546354094716,5.72304915306175,421.066285460317,6.09417471774126,2.70547665623512,1.23163080910282,0.878342389192783,2.2875,1.6875,0.5575,0.7099,0.2205,-0.2022,-0.714425,-1.48895,84.0158,83.35,1.9654,-0.845,-0.6575,-0.395,2.2,-1.455,3.8,-0.92,0.96,282.5,307.425,292.75,306.65,0.1975,0.19,0.11,0.1775,0.1175,-0.02,0.165,0.12,-0.496,-0.6335,0.8895,3.241,3.51925,5.3745,8.36375,9.123,9.58775,0.02675,0.31275,0.711,2.0215,5.712,8.9855,10.0005,10.653,-0.11375,0.7685,0.62075,1.023,3.1075,5.5965,8.44525,11.0175,0.01225,0.048,1.0585,2.67375,5.56175,9.09575,9.974,-0.11625,-0.00925,0.40025,0.94875,2.60775,-1.8765,-1.9385,-2.582,-19.355
1,2.25,0.423794646563448,0.0390222394054942,2.93114003848557,0.274500570622914,0.197967244885522,-2.97526681229628,2.13001601495355,0.860991999261957,412.962029174014,4.74716276483965,425.585909137952,5.48065363083698,420.444335549522,6.04664295029756,425.508933632545,5.52407079047611,420.659839901786,6.0229818180045,425.338644774159,5.65154168209726,421.075838662162,5.86425881422876,427.3980306849,5.68437069059722,421.133383822734,5.93724645154586,2.32137920907782,0.961465333329414,0.989216416178959,2.235,1.66,0.6525,0.58855,-0.325,-0.2737,-1.06155,-1.7406,84.0126075,83.98,1.9616,-0.91,-0.56,-0.375,2.1,-1.1175,3.7,-0.9575,0.75,279.925,305.95,292.65,306.6,0.19,0.18,0.11,0.18,0.1275,-0.02,0.17,0.12,-0.505,-0.63475,0.857,3.23525,3.5255,5.3735,8.36275,9.122,9.58675,-0.00175,0.315,0.708,2.023,5.708,8.98425,9.9995,10.65175,-0.12375,0.762,0.587,1.00225,3.102,5.594,8.4435,10.996,-0.01225,0.0325,1.05275,2.68325,5.55925,9.094,9.973,-0.14725,-0.023,0.3985,0.94925,2.59875,-1.8235,-1.842,-2.56425,-16.6
1,2.75,0.258129258971393,0.0491647085766444,1.93856256392182,0.710688035000896,0.197433721021531,-1.7820054010621,1.50556508297882,0.830656827575795,411.961623010207,4.63813909531042,424.657570556915,5.1748934132215,420.415706593707,6.08369881454648,426.103176533633,5.29001162968848,420.752269776207,6.18123820389079,426.218954062961,5.3919712298781,420.902364313673,5.90186422138703,427.489208440779,5.36599563072703,420.945549273016,5.56508149477683,2.52757403640644,0.472380437321817,1.05420539697021,2.155,1.585,0.5725,0.1832,-0.09,-0.38195,-0.912975,-1.9031,84.01601,84.22,1.9317,-0.9275,-0.665,-0.475,2.1,-1.26,3.7,-0.9075,0.7175,284.05,307.225,295.6,306.75,0.2,0.1925,0.1125,0.1825,0.12,-0.02,0.17,0.12,-0.5,-0.636,0.83,3.2215,3.52975,5.3725,8.361,9.12025,9.585,-0.0365,0.28725,0.70475,2.024,5.70625,8.9825,9.99775,10.6495,-0.136,0.75875,0.57025,0.95975,3.095,5.59225,8.44225,10.9935,-0.03525,-0.01,1.047,2.692,5.559,9.09275,9.972,-0.19375,-0.04,0.39775,0.9495,2.59525,-1.871,-2.2535,-2.5625,-18.63
1,3.25,0.112533001172544,0.0286052590270804,3.57843097501269,0.760835143892521,0.174352391903238,-2.42336142738984,5.26655477132873,0.774910664002819,412.146331573412,4.55398411990414,424.801269299478,5.0575225921092,420.517795974561,5.89403032379333,425.374473483734,5.1742646168163,420.814545186632,5.91021328715423,425.44002503315,5.19488032523456,420.91287960007,5.93737486594013,426.460335698985,5.23357859524859,421.015456688359,5.75729249589052,2.63481119664379,0.484929858204566,0.773867047355147,2.13,1.59,0.54,0.2675,-0.0265,-0.3333,-0.823775,-1.7099,84.031645,85.525,1.9425,-1.275,-0.7625,-0.63,2.2,-1.2,3.7,-0.855,1.055,282.3,306.5,292,304.9,0.1975,0.19,0.11,0.25,0.12,-0.02,0.17,0.12,-0.507,-0.6435,0.80275,3.2085,3.535,5.3715,8.35975,9.119,9.58375,-0.067,0.26975,0.707,2.025,5.70425,8.98075,9.99675,10.65025,-0.19225,0.75625,0.5705,0.9295,3.0885,5.59,8.4405,10.9925,-0.06975,-0.016,1.041,2.706,5.55775,9.092,9.971,-0.218,-0.04575,0.39575,0.94975,2.59025,-2.101,-2.34,-2.6625,-17.82
1,3.75,0.318292311665979,0.0280100653456997,9.63536008690821,0.619506210588883,0.186870847797314,-2.3725795494149,4.04665440241853,0.767404318001558,412.43686899209,4.62067564380532,424.555441327831,5.41700764398479,420.321886003426,5.86042384901489,425.682756479145,5.35875541067201,420.46064341151,6.0183055618114,425.30941811923,5.22761017189332,420.714942839988,5.92130041354845,425.328631812357,5.33457057255191,420.877705724807,5.85528375162909,2.4353725326199,0.476884954735582,0.712652896812956,2.0325,1.55,0.5525,0.3378,0.2075,-0.40015,-0.9389,-1.68145,84.00938,83.265,2.0398,-0.97,-0.79,-0.505,2.1,-1.03,3.7,-0.8875,0.85,284.65,308.1,294.9,305.65,0.1975,0.19,0.11,0.2525,0.12,-0.02,0.17,0.12,-0.546,-0.6495,0.77475,3.20275,3.539,5.371,8.35875,9.118,9.58275,-0.06775,0.2655,0.7045,2.02625,5.70325,8.97975,9.9955,10.6485,-0.1785,0.755,0.564,0.9065,3.08475,5.589,8.4395,10.992,-0.07575,-0.01975,1.039,2.7095,5.55575,9.092,9.9765,-0.222,-0.0565,0.39425,0.94975,2.58125,-1.606,-2.3305,-2.6135,-13.625
1,4.25,0.351158951431863,0.0278298352742089,3.91826506622921,0.803263615508455,0.175893756983575,-1.29199085733303,2.81678282845582,0.760985173609232,412.221902869199,4.65948286868254,425.743286451054,5.30439528751818,420.311739786709,5.86102572414802,426.05577895342,5.22888171134931,420.565910443065,5.81575346522777,425.825176591358,5.13544353887461,420.646262510509,5.79007931923288,425.754376702943,5.21535337145168,420.890352029836,5.79794891017969,2.24326064185865,1.10879603321936,0.741972625890185,2.16,1.59,0.53,0.4612,0.3875,-0.2485,-1.0145,-1.5899,83.9970525,82.46,1.9091,-0.785,-0.6675,-0.39,2.2,-0.9575,3.8,-0.8575,0.995,285.45,307.775,294.35,305.55,0.1975,0.19,0.11,0.195,0.12,-0.02,0.165,0.12,-0.564,-0.654,0.7505,3.1975,3.53875,5.37,8.35775,9.117,9.5825,-0.09875,0.27025,0.69,2.027,5.703,8.979,9.9945,10.65075,-0.17325,0.75725,0.5525,0.883,3.0805,5.587,8.43825,10.9895,-0.08725,-0.025,1.038,2.7125,5.55775,9.091,9.974,-0.19275,-0.062,0.37175,0.94925,2.5715,-1.8585,-2.433,-2.59225,-12.55
1,4.75,0.358398453735633,0.0697541489650097,5.05039823819815,1.08789744125628,0.187683076420622,-2.87224853584029,2.94004947351565,0.923572761698197,411.859899808863,4.60153015743803,424.276523479725,5.44605238995538,420.252209913274,6.01712461620215,424.434281162533,5.3560455210066,420.551820900599,6.00352015439158,424.653435603345,5.2474780384411,420.509559115016,6.01091702126344,424.77595680295,5.24022981967412,420.74190692532,5.9241216588745,2.77771591417379,0.91947200437474,0.714502893028296,2.295,1.57,0.525,0.1907,0.249,-0.2638,-0.532,-1.54505,83.993075,82.4075,1.86375,-0.7,-0.4075,-0.245,2.1,-1.195,3.7,-0.855,0.8825,284.55,307.075,294.35,306.25,0.19,0.18,0.11,0.175,0.12,-0.02,0.17,0.12,-0.585,-0.6605,0.72975,3.194,3.54125,5.3685,8.35575,9.11525,9.5805,-0.12125,0.24825,0.6735,2.02775,5.703,8.978,9.9935,10.65925,-0.17625,0.753,0.54525,0.861,3.076,5.58575,8.43725,10.9915,-0.115,-0.027,1.0385,2.715,5.5765,9.09075,9.9715,-0.2075,-0.079,0.34775,0.94475,2.5615,-2.06825,-2.37825,-2.6425,-12.5825
