DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_3_1,CH4_1_4_1
1,0.25,2.84796417471291,0.725431567547502,1.02044400138494,0.373270023944146,0.0410732603920396,0.534201625343887,2.18578926925553,0.800122029189583,0.202777396574764,-3.90580839306831,1.6724927881034,0.792230571202569,2.345,1.62,0.485,0.2908,0.055,-0.193,-0.6367,-1.779,84.06266,80.7325,1.93895,-0.8725,-0.3225,-0.28,2,-1.6625,3.7,-0.9425,0.9,281.5,308.625,292.1,308.8,0.1825,0.23,0.12,0.2575,0.11,-0.02,0.08,0.14,-0.419,-0.6335,0.5285,3.292,2.93575,5.376,8.36775,9.096,9.591,0.0605,-0.02325,0.39575,0.8365,1.986,5.71175,8.9885,9.947,10.65625,-0.121,0.75475,0.66175,1.209,3.112,5.6005,8.39,10.83475,0.08225,0.067,0.0725,1.0545,2.63925,5.57425,9.10025,10.24225,0.00075,0.04075,0.45625,1,2.6265,-1.32775,-1.8825,-2.1665,-28.97,4.68620746438329,5.58542210109984,5.84029468594867,5.62209439406971,5.71263844955829,5.58000139280043,5.99199907259727,5.67114199917689,5.92810369124781,416.26390407136,426.613880181025,417.308924878441,427.03946641013,417.595671532364,426.262426570485,417.759739673615,426.552056160012,417.595195077166,1992.32821089299,1992.56979869165,2002.24129778711
1,0.75,2.77863033002475,0.851832843846154,0.926755536325199,0.30793861740993,0.0515110110063265,0.184357556479765,2.88640501504823,0.619200612737055,0.205191882145313,-3.08013968649931,3.55502902877011,0.922517928932512,2.3825,1.66,0.55,0.30125,-0.02,-0.137825,-0.3258,-1.15935,84.070635,80.8825,1.9377,-0.7775,-0.4375,-0.23,2.1,-1.62,3.7,-0.95,0.94,280.75,308.475,293.5,308.2,0.18,0.23,0.13,0.26,0.1125,-0.02,0.08,0.14,-0.433,-0.63825,0.4845,3.276,2.94225,5.3765,8.36675,9.09325,9.58975,0.02475,-0.038,0.38175,0.83725,1.986,5.7155,8.9875,9.946,10.65475,-0.15375,0.746,0.65125,1.204,3.11125,5.59975,8.389,10.82675,0.0595,0.05575,0.061,1.0545,2.652,5.57425,9.0985,10.24125,-0.019,0.03625,0.449,0.999,2.62175,-1.45075,-2.127,-2.1845,-28.235,4.76159710126721,5.66432023053388,5.95886395012074,5.71652412545081,6.24004933499134,5.73559556659847,6.01347217571502,5.75585549833646,6.02399168825482,416.076514558678,421.971435251036,416.715124042788,421.657120275928,416.922232352817,422.047247555049,418.406673435257,423.258906326448,418.13387263957,2004.58989664643,1988.66669414544,2006.27086196113
1,1.25,2.59528918440982,1.05412073789415,0.688297570087569,0.169853304167717,0.0495830933016612,0.176934144239542,1.36819818599544,0.489033271548204,0.190221638289536,-2.90424240547107,3.17375993922871,0.810425649907464,2.22,1.66,0.545,0.6554,0.239,-0.01065,-0.3907,-1.4174,84.0549025,81.73,2.0053,-0.81,-0.5825,-0.32,1.7,-1.89,3.45,-0.96,0.96,279.85,308.45,291.4,307.9,0.18,0.23,0.13,0.2575,0.11,-0.02,0.08,0.14,-0.491,-0.63675,0.434,3.275,2.94875,5.375,8.365,9.092,9.58875,0.02475,-0.0555,0.374,0.8355,1.9915,5.714,8.9865,9.94425,10.65475,-0.18575,0.7435,0.6475,1.201,3.10975,5.59825,8.388,10.82325,0.019,0.05375,0.04675,1.05525,2.6635,5.5625,9.09725,10.23975,-0.05125,0.0095,0.43375,0.99775,2.6155,-1.518,-2.081,-2.34825,-31.69,4.74937557552671,5.56664317291159,6.02821463770089,5.64123440074029,6.18067356826314,5.66224206038553,5.91887290885763,5.42602324786238,5.60265795252406,415.751681630464,420.891842698623,416.611944889863,421.115841630308,416.507329362788,421.363621965982,417.023179964403,423.832130554889,417.608203891509,2006.66279776065,1989.43887892808,1995.75381450354
1,1.75,2.70965892706482,1.09841406030171,0.877389428939267,0.195087649231176,0.0752387936671735,0.493001491537233,3.11970457462064,0.447426745557989,0.194675569560961,-0.70772637689117,2.80760535119244,0.781317852920902,2.2725,1.665,0.525,0.6791,0.099,-0.2751,-0.714425,-1.54485,84.0704125,81.51,1.98645,-0.86,-0.68,-0.52,2.15,-1.76,3.7,-0.96,0.97,277.8,307.175,290,306.5,0.19,0.23,0.12,0.26,0.1,-0.02,0.08,0.14,-0.496,-0.6445,0.4385,3.241,2.955,5.3745,8.36375,9.09025,9.58775,0.0085,-0.05825,0.361,0.83425,1.9915,5.712,8.9855,9.94325,10.653,-0.22525,0.7365,0.62375,1.1945,3.1075,5.5965,8.38625,10.832,0.00825,0.04475,0.03425,1.0585,2.67375,5.56175,9.09575,10.23875,-0.05875,-0.00575,0.4305,0.9955,2.60775,-1.846,-2.334,-2.52825,-29.0175,4.68556520809568,5.54067615235769,5.98224559745074,5.58248080301509,6.05056754094024,5.63465409048688,5.64050026659179,5.69048193265997,5.89833648020489,415.739122746903,424.151868676174,416.153478481054,424.35132760344,416.497659131592,425.059907219631,417.178207462262,425.493521312836,417.351129883203,1996.04450276038,1988.60296419086,1990.61524781153
1,2.25,2.4334744334224,0.608348264168101,0.953797766057019,0.509116197497262,0.0486596129536649,0.703277028994605,1.79686111121668,0.343443219896418,0.190503225535089,-2.42535207385081,2.05330532471489,0.800823081407024,2.22,1.65,0.545,0.60525,-0.276,-0.2931,-1.06155,-2.2752,84.08108,82.41,1.95085,-1.07,-0.62,-0.65,1.85,-2.025,3.45,-0.97,0.87,275.25,305.775,286.7,306.3,0.18,0.23,0.12,0.26,0.11,-0.02,0.08,0.13,-0.505,-0.64875,0.44725,3.23525,2.95525,5.3735,8.36275,9.09075,9.58675,-0.012,-0.06325,0.338,0.83175,1.992,5.708,8.98425,9.94225,10.65175,-0.228,0.726,0.61625,1.169,3.102,5.594,8.38525,10.826,-0.00875,0.03075,0.02175,1.05275,2.68325,5.55925,9.094,10.239,-0.0995,-0.01525,0.42975,0.99875,2.59875,-1.6055,-2.33875,-2.542,-30.48,4.70835873869922,5.45077842863824,5.920714377471,5.49371804361627,5.89309509414521,5.61977398882487,5.79633080118913,5.65224076702452,5.84446475307437,415.675842424588,423.650702374859,416.900309236342,424.874930804173,417.775326152848,423.649521153136,418.794562153618,426.515538589926,418.314703679804,1995.17843540655,1989.22159248015,1985.79062441601
1,2.75,2.5129784528253,0.415029651946952,0.95336325134023,0.256213049918357,0.0509092968608334,0.1437438670323,2.83609820512309,0.690065868720154,0.185562282983742,-1.6350965421843,2.12345991575986,0.81176912910356,2.17,1.59,0.53,0.10795,-0.145,-0.4041,-0.912975,-2.16945,84.08815,82.61,1.9276,-1.1575,-0.705,-0.68,2.05,-1.6475,3.7,-0.9325,0.8125,276.275,306.825,288.9,306.5,0.19,0.23,0.12,0.26,0.11,-0.02,0.08,0.14,-0.5,-0.662,0.426,3.2215,2.95425,5.3725,8.361,9.08775,9.585,-0.049,-0.07275,0.331,0.8295,1.9915,5.70625,8.9825,9.94125,10.6495,-0.26125,0.724,0.61225,1.16325,3.095,5.59225,8.38375,10.824,-0.02575,0.00375,0.00425,1.047,2.692,5.559,9.09275,10.237,-0.119,-0.037,0.42025,0.993,2.59525,-1.869,-2.367,-2.5465,-26.935,4.60959146989791,5.1482413230708,5.76384610842354,5.26216637255813,6.33592280303409,5.36305379795571,5.78998029224357,5.33735358369827,5.33350875006715,416.24468812264,424.373937184757,417.125741381233,425.058181696588,417.101272317885,426.049163695077,417.653029468754,426.665531851283,418.056481137734,1999.21638698995,1995.61504657204,1987.80465132543
1,3.25,2.68112249467012,-0.098231241611529,0.786139364629127,0.28707023228757,0.0329538798426228,0.325417245540429,1.52126207844902,0.825863234698942,0.168425903088853,-2.94119276659066,3.83026316539843,0.785500854261052,2.13,1.58,0.53,-0.099,-0.14,-0.555,-0.823775,-1.86975,84.07835,84.57,1.9334,-1.335,-0.815,-0.88,1.9,-1.655,3.6,-0.89,1.155,280.85,306.1,289.1,304.9,0.18,0.2375,0.12,0.26,0.1025,-0.02,0.08,0.14,-0.507,-0.6675,0.40825,3.2085,2.9515,5.3715,8.35975,9.08625,9.58375,-0.06875,-0.098,0.3285,0.82875,1.992,5.70425,8.98075,9.94025,10.65025,-0.3075,0.72225,0.613,1.159,3.0885,5.59,8.382,10.8175,-0.04525,-0.011,-0.0135,1.041,2.706,5.55775,9.092,10.23675,-0.15475,-0.04125,0.41025,0.99275,2.59025,-2.021,-2.7365,-2.658,-26.1825,4.65501151196431,5.03207277038783,5.84984726227391,5.14762939199808,5.9505558446774,5.16803301221922,5.87871058876569,5.20633017138493,5.16800010244882,416.001358742354,424.919159436178,416.972128449665,425.552509477277,417.370250803837,425.355096538605,417.482804354281,425.81908975395,417.608540280262,2000.32641236714,1994.90804707995,1991.30919026755
1,3.75,2.42471479787869,0.332996577298787,0.688718796996954,0.25396421844937,0.0264231961261627,0.291427927123261,2.80934521453381,0.604673710944974,0.182705411983686,-1.53032867616615,3.24474894155405,0.726656591839399,2.04,1.55,0.51,0.1577,-0.255,-0.4729,-0.9389,-1.9272,84.07341,83.08,1.9152,-1.2025,-0.91,-0.6,1.95,-1.85,3.5,-0.92,0.97,283.1,307.025,291.4,305.4,0.18,0.23,0.12,0.2675,0.1025,-0.02,0.07,0.1325,-0.546,-0.67975,0.38725,3.20275,2.948,5.371,8.35875,9.0845,9.58275,-0.077,-0.12475,0.32725,0.82575,1.9915,5.70325,8.97975,9.93925,10.6485,-0.3305,0.72025,0.596,1.1595,3.08475,5.589,8.381,10.81675,-0.093,-0.017,-0.032,1.039,2.7095,5.55575,9.092,10.238,-0.1545,-0.05425,0.3965,0.9955,2.58125,-1.624,-2.66975,-2.55475,-24.61,4.62253075412984,5.38781957477862,5.79898294417037,5.33019221430369,6.25093033660229,5.2004243757806,5.75834779960353,5.30626393312407,5.80280077481079,415.716577611792,424.140019497117,416.414560278832,425.262274040382,416.065804423151,424.281361136816,416.966040672311,424.26253496091,418.037985121414,1996.10310130252,1987.27518122318,1985.85433669835
1,4.25,2.27647762060441,0.932832474402105,0.75306868959289,0.242026564790983,0.0268217925112907,0.402200059290717,2.43732535239085,0.874294751408011,0.166929911256708,-2.07039559182059,2.76320967387427,0.764707183985984,2.1825,1.6,0.51,0.38245,0.029,-0.3738,-1.0145,-1.7027,84.0577375,82.38,1.863125,-1.555,-0.8,-0.55,1.8,-1.4225,3.5,-0.8925,1.1,282.5,306.575,293.1,305.2,0.18,0.23,0.12,0.26,0.1025,-0.02,0.07,0.14,-0.564,-0.67725,0.364,3.1975,2.945,5.37,8.35775,9.08475,9.5825,-0.10825,-0.133,0.3195,0.82275,1.9905,5.703,8.979,9.93825,10.65075,-0.35875,0.7085,0.58,1.15725,3.0805,5.587,8.38,10.821,-0.11,-0.023,-0.05325,1.038,2.7125,5.55775,9.091,10.237,-0.1615,-0.05825,0.3905,0.99125,2.5715,-2.031,-2.85225,-2.601,-20,4.58485606882027,5.27639044373372,5.82183328856166,5.20168121351771,5.77437120217412,5.10919842542025,5.77517874946874,5.18828754208158,5.78346013240544,416.277316332254,424.550683667979,415.863155488198,424.771907714492,416.725405738886,424.875545436603,417.473799023646,425.101636126928,417.576995981146,1989.22291554155,1988.40739399317,1988.10724269903
1,4.75,2.90398052288421,0.782720635729561,0.721337130026264,0.360611844487943,0.0805084862963681,0.438903673017711,3.38248123863547,1.04360900676662,0.178373011111987,-2.95538470221706,3.42283531350201,0.847918094015725,2.3425,1.61,0.52,0.1905,-0.24,-0.361,-0.532,-1.995825,84.01156,82.6825,1.7731,-1.1,-0.6425,-0.36,2.05,-1.6675,3.65,-0.8825,0.9675,279.575,306.45,293.1,305.4,0.18,0.23,0.12,0.26,0.11,-0.02,0.07,0.14,-0.585,-0.6875,0.345,3.194,2.9415,5.3685,8.35575,9.08275,9.5805,-0.13275,-0.14,0.31,0.821,1.99,5.703,8.978,9.93725,10.65925,-0.38975,0.69425,0.572,1.15,3.076,5.58575,8.379,10.819,-0.13075,-0.023,-0.063,1.0385,2.715,5.5765,9.09075,10.236,-0.1665,-0.069,0.38475,0.98625,2.5615,-2.07825,-2.841,-2.647,-22.53,4.73622195778171,5.41655355551902,5.73000032183554,5.32751095588239,6.03069235140946,5.22008218095789,5.79611194964733,5.21291295774558,5.69068705031032,416.053287486414,422.884963888425,415.968163560251,423.836671869291,416.778902572597,424.129403875835,417.444756991844,423.595791182595,417.648840029047,2004.76591354488,1995.44744301326,1987.47403468082
