DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1
1,0.25,7.07549690605474,-13.3996576832439,0.188667696819608,0.0683574767236034,1.90800863646359,-0.499869592782967,0.453588205993883,-63.0015660521859,-1.3265031361701,1.39818543095637,6.47,5.6,2.7,-12.21575,-14.03925,-13.239425,-12.5527,-13.7907,65.67819,49.185,0.570625,-13.1375,-12.895,-5.245,0.6,-3.165,3.4,-1.285,-0.18,177.975,252.3,277.925,282.725,-0.1,-0.03,0.1375,-0.21,-0.21,-0.24,0.02,-0.05,-9.45425,-7.9945,-6.36425,-5.32725,-4.4005,-2.7245,-1.4185,0.667,0.35775,-4.49275,-3.38225,-2.731,-1.936,-1.2065,-0.345,-0.51075,0.75725,1.2475,-3.3525,-3.082,-2.484,-1.804,-1.336,-0.00725,0.255,0.948,1.2225,-8.476,-7.192,-5.526,-4.645,-3.5305,-0.513,-0.34,0.505,0.671,-7.10675,-6.3075,-4.7495,-3.6855,-3.272,-1.6205,-0.71275,0.645,1.22825,-3.486,-3.85625,-3.59,-86.88,2.26697040457641,1.62171347134759,2.11853045799507,1.65967380316933,1.94680306857466,1.82932293965634,2.06943487521186,1.86366685161113,2.12758700611173,415.032170538187,419.19365120633,415.960444077411,416.422355820152,418.923747565352,416.353898824118,419.163593684911,416.183648721055,1957.04465051968,1956.72552811576,1957.88735084292,1956.02474157011
1,0.75,7.82754660864053,-13.662088528903,0.184004364471349,0.0521320483788947,1.24835843740381,-0.343242207367325,0.436381729103169,-58.4091210916167,-1.1226052316292,1.43200116351695,7.12,6.4175,3.0625,-12.4857,-14.31825,-13.2682,-12.4529,-13.807275,65.68528,52.2675,0.53135,-12.69,-12.4925,-5.275,0.5,-3.0775,3.5,-1.2975,-0.1775,177.025,252.4,276.975,282.65,-0.1,-0.03,0.1475,-0.2,-0.2075,-0.24,0.02,-0.05,-9.435,-8.01125,-6.3765,-5.33925,-4.40575,-2.724,-1.418,0.6655,0.356,-4.4905,-3.39375,-2.7395,-1.93425,-1.208,-0.347,-0.51175,0.75625,1.24725,-3.34825,-3.076,-2.479,-1.803,-1.33625,-0.01325,0.25325,0.935,1.22325,-8.566,-7.19,-5.55225,-4.6435,-3.528,-0.513,-0.34,0.505,0.671,-7.10125,-6.27525,-4.7445,-3.69,-3.272,-1.61975,-0.712,0.644,1.2275,-3.57725,-3.8905,-3.75275,-86.5225,2.39546867464951,1.72679241268377,2.06453054620564,1.76456796055595,2.08490504090738,1.78700010636622,2.15416904942762,1.94421533623348,2.19370894751534,415.178762096579,418.959260690938,416.353799337311,417.340748353479,419.085701011923,416.109465648086,419.070932214267,416.294469535438,1957.10190221259,1958.71610520089,1957.54731098325,1957.01245433615
1,1.25,7.66286855358829,-13.7680266962352,0.184231754317395,0.0375609191280408,1.35689986986327,-0.372170377504908,0.448888813759302,-64.0429943028914,-0.917063163165415,1.44495538433483,7.165,6.27,3.07,-11.9177,-14.387,-13.49935,-12.415675,-13.9114,65.664485,52.8225,0.56075,-12.39,-12.2225,-5.29,0.6,-3.12,3.5,-1.25,-0.16,177.45,252.825,274.25,282.55,-0.1,-0.03,0.1275,-0.215,-0.21,-0.2425,0.02,-0.05,-9.46,-8.01975,-6.398,-5.345,-4.4125,-2.72075,-1.418,0.665,0.3595,-4.4765,-3.41825,-2.73825,-1.9365,-1.20825,-0.346,-0.51225,0.756,1.2465,-3.33275,-3.07275,-2.476,-1.801,-1.33575,-0.013,0.25575,0.93825,1.229,-8.649,-7.246,-5.57525,-4.65,-3.5225,-0.50875,-0.341,0.505,0.67,-7.164,-6.32825,-4.76625,-3.696,-3.261,-1.618,-0.713,0.64425,1.2275,-3.6655,-3.8995,-3.7605,-87.37,2.389746116828,1.82451620402697,2.08571521983856,1.88459640114926,1.90673422654325,1.92130310538319,2.12272837119924,2.03179672221648,2.17667539914723,415.097446092985,418.958117167443,415.796443072739,416.087641530839,418.80581063917,415.842938512747,419.151848183809,416.181229029977,1956.47138965137,1961.27120928285,1956.79842001104,1956.42022565916
1,1.75,7.50492656528619,-13.8630964496712,0.203719901750072,0.0350983625656014,1.51662209834923,-0.286019562535901,0.438181379254876,-65.5330912024749,-0.572524974886892,1.4632490392154,7.2475,6.425,3.08,-12.2058,-14.43825,-13.6749,-12.3091,-13.9874,65.6703725,50.0925,0.5384,-12.2175,-11.98,-5.4375,0.525,-3.2175,3.4,-1.25,-0.15,178.925,252.675,273.2,282.45,-0.1,-0.03,0.13,-0.2,-0.21,-0.2425,0.02,-0.05,-9.38,-7.998,-6.4305,-5.3545,-4.41725,-2.71875,-1.419,0.66325,0.3595,-4.50775,-3.4585,-2.7505,-1.93725,-1.21325,-0.345,-0.513,0.756,1.24625,-3.334,-3.0735,-2.476,-1.801,-1.3375,0.005,0.251,0.934,1.229,-8.659,-7.25,-5.57475,-4.663,-3.51925,-0.512,-0.341,0.504,0.67,-7.1245,-6.31225,-4.811,-3.7015,-3.256,-1.6155,-0.713,0.644,1.22725,-3.726,-3.832,-3.991,-88.775,2.35728428110289,1.64850611026259,2.01029699845185,1.69678922180761,2.15579022862021,1.65793403018398,2.15153481896355,1.94443138222661,2.27358161395498,415.104498025158,419.062969320343,416.25137170729,416.952218487041,419.221088193076,416.332276128004,419.268453819023,416.296945616337,1959.60551289445,1957.54295670639,1957.91975745673,1957.66578012446
1,2.25,7.31443934477078,-13.7576907024655,0.196075212511089,0.0481572527616504,2.17825927283517,-0.672703856458796,0.478212433551828,-74.4670639116233,-0.765332422431058,1.48751032704693,7.205,6.285,3.095,-11.25515,-14.39475,-13.5131,-12.471,-14.338775,65.68236,50.4375,0.572,-12.435,-12.145,-5.4175,0.5,-3.1275,3.4,-1.2875,-0.15,178.675,252.3,274.025,282.4,-0.1,-0.03,0.13,-0.2025,-0.2,-0.2425,0.02,-0.05,-9.39275,-7.97975,-6.455,-5.35425,-4.426,-2.717,-1.418,0.66275,0.355,-4.527,-3.473,-2.7625,-1.9385,-1.21325,-0.343,-0.516,0.763,1.252,-3.33825,-3.07475,-2.478,-1.803,-1.336,0.005,0.251,0.934,1.227,-8.661,-7.223,-5.57625,-4.6605,-3.516,-0.511,-0.342,0.505,0.669,-7.0945,-6.403,-4.8345,-3.70725,-3.251,-1.6145,-0.714,0.63725,1.2225,-3.59975,-3.784,-4.179,-89.36,2.34148203506546,1.49123030615068,2.03872942329451,1.56327400555939,1.74473323232585,1.63882579530509,2.11427769667996,1.89320952458209,2.19422092222382,415.155589560081,419.207736632328,415.422762667256,416.611034125876,419.116253608751,415.906805142597,419.387258532313,415.666029021844,1961.33629345797,1961.04125892556,1964.53434933931,1963.54790205351
1,2.75,7.17458857451769,-13.8871943202308,0.207406330469938,0.0412737616710626,1.01128841929941,-0.320330449556308,0.426899150924046,-66.5219106351784,-1.03513911481025,1.49659850499103,6.875,5.8125,3.295,-12.066125,-14.5115,-13.4574,-12.9782,-14.175025,65.685105,52.9325,0.547275,-12.6225,-12.44,-5.4875,0.5,-3.2425,3.3,-1.3,-0.18,180.45,252,275.3,282.25,-0.1,-0.03,0.13,-0.2,-0.21,-0.2425,0.02,-0.05,-9.4535,-8.04,-6.49225,-5.35925,-4.43225,-2.7155,-1.418,0.66175,0.356,-4.534,-3.507,-2.76075,-1.9375,-1.214,-0.343,-0.514,0.763,1.252,-3.339,-3.077,-2.477,-1.805,-1.335,0.005,0.25,0.933,1.22225,-8.66,-7.328,-5.58425,-4.671,-3.5135,-0.50825,-0.343,0.508,0.669,-7.07825,-6.4245,-4.8515,-3.70575,-3.246,-1.612,-0.714,0.637,1.2265,-3.6865,-3.89075,-4.04,-88.78,2.36333051945855,1.56856327462064,2.02409994643312,1.65636432527897,1.94628104595657,1.69330895259614,2.01189751123267,1.89885149256836,2.19452836773195,415.000297838993,419.161280096914,416.003868405478,416.476599765853,418.641840067157,416.144860109639,419.32336860702,415.92281801514,1961.42054242032,1964.60426467172,1964.0145927559,1960.68119775072
1,3.25,7.68175702412118,-14.0054340407737,0.201993362876323,0.0537574987159631,0.933071651842715,-0.543296629583036,0.502438180214476,-69.9636377291577,-0.927394368068316,1.54045382083243,7.385,6.1625,3.3675,-12.21175,-14.623,-13.86205,-12.87165,-14.2694,65.70693,53.5025,0.5736,-12.8125,-12.76,-5.515,0.525,-3.08,3.325,-1.3075,-0.1575,176.4,250.7,275.85,282.15,-0.1,-0.03,0.1275,-0.2025,-0.21,-0.24,0.02,-0.05,-9.48325,-8.071,-6.5165,-5.3645,-4.4365,-2.71325,-1.418,0.663,0.357,-4.585,-3.539,-2.768,-1.93475,-1.21575,-0.343,-0.516,0.763,1.252,-3.3495,-3.07725,-2.478,-1.807,-1.337,-0.01,0.246,0.933,1.2265,-8.619,-7.279,-5.5895,-4.68025,-3.516,-0.5075,-0.343,0.503,0.669,-7.066,-6.4085,-4.86,-3.702,-3.24,-1.61025,-0.714,0.64325,1.22625,-3.77475,-3.897,-4.0775,-90.3,2.27168228415192,1.50178732595121,1.95327918176345,1.53390935534072,1.69460954215658,1.61390841546526,2.01474098237541,1.76884687016837,2.10074088812664,415.015239021614,418.944379276135,415.640562387451,415.784778129775,419.049121479563,415.634034888627,418.879758426023,416.1401341007,1959.80985738533,1964.73937391152,1957.96415994785,1957.84451558088
1,3.75,8.83922239923477,-13.9751069785487,0.2013611401048,0.0319498563320495,1.25299607156581,-0.274406282084359,0.533734503277345,-74.3639247286397,-1.20637227337396,1.44482783300526,7.38,6.335,3.73,-12.55735,-14.55875,-13.0965,-12.564975,-14.34615,65.70147,54.975,0.479225,-13.3325,-12.4275,-5.595,0.6,-3.215,3.4,-1.31,-0.15,175.15,249.9,274.8,282.225,-0.1,-0.03,0.1275,-0.2025,-0.21,-0.24,0.02,-0.05,-9.5215,-8.1145,-6.55775,-5.36425,-4.4395,-2.719,-1.418,0.662,0.3505,-4.574,-3.55,-2.76775,-1.94325,-1.2165,-0.343,-0.517,0.762,1.251,-3.3435,-3.07175,-2.479,-1.81,-1.339,-0.00075,0.242,0.933,1.228,-8.544,-7.289,-5.58925,-4.69425,-3.509,-0.5075,-0.344,0.503,0.669,-7.135,-6.40225,-4.86575,-3.69975,-3.235,-1.6085,-0.714,0.643,1.2255,-3.548,-3.87625,-4.107,-88.7975,2.23817101627734,1.56926445114419,1.79193579617286,1.63460600553481,1.84961762009999,1.72135516442855,1.85905032506219,1.82112562425689,2.02692841044307,414.986565721038,419.204565696104,415.648268910759,416.31276169231,419.358741139994,416.457037201043,419.460395606672,415.596517609617,1959.99373573081,1958.14140368063,1959.16603963608,1958.69497673651
1,4.25,8.97473083157255,-13.9199598702459,0.204058101335681,0.0480672625104543,0.480309631179871,-0.879848257412235,0.547707739636218,-84.1740698061048,-1.23487494212405,1.55723876773559,7.995,6.68,4.005,-12.7122,-14.51125,-13.736775,-12.728,-14.440525,65.701425,54.0275,0.53355,-13.35,-12.68,-5.6725,0.6,-3.2575,3.4,-1.33,-0.16,172.375,249.9,274.875,282.2,-0.1,-0.03,0.1275,-0.2025,-0.21,-0.1975,0.02,-0.05,-9.52,-8.13025,-6.59375,-5.36675,-4.4455,-2.718,-1.419,0.6605,0.35325,-4.557,-3.556,-2.76775,-1.94325,-1.2175,-0.343,-0.518,0.762,1.251,-3.339,-3.07,-2.478,-1.81575,-1.338,0.003,0.24325,0.933,1.227,-8.533,-7.341,-5.59725,-4.70325,-3.5065,-0.50675,-0.344,0.507,0.668,-7.174,-6.42575,-4.87325,-3.70175,-3.23,-1.6065,-0.714,0.636,1.22525,-3.865,-3.90825,-4.1185,-85.33,2.1477587859424,1.31289004966899,1.83596019776179,1.40535751330919,1.74082130972198,1.50167860466815,1.8803105323212,1.60062783249927,1.99094492724826,414.951155353425,418.995187888516,415.656215005113,417.071318280475,419.032529336768,415.783914633889,419.446621206382,415.662555604792,1958.99332623757,1959.0154395807,1959.7233400631,1961.0542050322
1,4.75,8.53387238815182,-13.8186356650214,0.206664262874056,0.0584799051747557,2.93541174676051,-0.379387416337631,0.515324508962599,-79.7542938083727,-0.445606333014195,1.50984964822959,7.755,6.85,3.685,-12.1554,-14.5545,-13.8653,-12.63085,-14.633925,65.68569,53.25,0.5126,-13.3325,-12.5875,-5.6625,0.5,-3.3325,3.4,-1.29,-0.18,172.2,249.75,274.625,282.15,-0.1,-0.03,0.12,-0.2025,-0.21,-0.24,0.02,-0.05,-9.611,-8.1765,-6.618,-5.37575,-4.44675,-2.711,-1.41975,0.661,0.35225,-4.567,-3.571,-2.7655,-1.94025,-1.21925,-0.343,-0.517,0.762,1.248,-3.33375,-3.0705,-2.482,-1.8185,-1.338,0.0035,0.245,0.932,1.227,-8.619,-7.418,-5.632,-4.71275,-3.51925,-0.50675,-0.345,0.503,0.668,-7.16125,-6.44425,-4.881,-3.6935,-3.225,-1.60475,-0.71425,0.636,1.22525,-3.8605,-3.925,-4.1465,-86.9075,2.19379487496106,1.23103307565424,1.67579453123878,1.2868466167951,1.68211184565474,1.38356781963438,1.88604849811358,1.55444022290431,1.94933065508664,414.8877830325,419.332622457378,416.106371672534,416.641970882809,419.047029735784,416.405297067905,419.534031471012,416.002876994816,1960.76389757919,1963.26332731858,1963.21891175781,1960.88773933803
