DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.617025329519318,0.0114612952579532,0.472280373143256,12.7498953828384,0.244924381888155,0.568261352133584,-57.3582812088698,0.518465703975116,1.76486181014277,408.618123197956,2.41005361990777,412.51587591483,2.53269692761476,414.860899908517,412.562849890917,2.57261940650985,414.564588268746,412.761894611008,2.53811106294285,415.112082501577,413.297073292114,2.5706467307568,414.977384111111,413.463227943203,2.71558455888747,415.789393695067,4.12161576968162,-4.14127333163793,0.347591436500603,3.03,1.86,0.865,1.165,-3.9272,-4.0085,-3.9249,-2.8441,-5.2054,-5.71685,72.58563,45.31,2.2155,-4.855,-5.805,-5.235,-4.3,1.1,-3.16,2.5,0.645,209.5,293.75,274.65,288.45,0.23,0.265,0.11,0.16,0.1,0.26,-0.02,-0.035,0.07,-2.2485,-2.009,-1.163,-1.036,-0.494,-0.1295,0.206,-1.0015,-0.767,-0.3845,-0.104,0.2815,1.063,1.392,2.2815,2.75,-1.4705,-1.3815,-1.0035,-0.514,-0.3525,0.358,0.4735,0.6855,1.3725,-1.8135,-1.6205,-0.907,-1.0005,0.066,0.219,0.594,0.996,-2.3505,-2.099,-1.5315,-0.7575,-0.302,-5e-04,0.519,0.671,-0.858,-3.083,-1.609,-72.93
1,0.75,0.554561204898996,-0.0253632087028403,0.604247608526021,10.9714279153686,-0.292735563384473,0.534819882469616,-47.1556375640162,-1.90452785686423,1.7550022918604,408.508886300552,2.44423440176284,412.605119744114,2.58712663909804,414.698045978363,412.603741750261,2.56037324777329,415.199833059727,412.704340575958,2.56971071469316,414.965369726856,413.33963629955,2.64492710821946,414.828078384279,413.508528180679,2.6973115879582,415.772315982684,3.74558317325179,-4.40165163835687,0.34798340543257,2.89,1.735,0.775,1.095,-3.9629,-3.899,-4.066,-3.7669,-4.8753,-5.84385,72.585505,45.25,2.2263,-4.845,-5.72,-5.31,-4.505,1.1,-3.11,2.6,0.57,208.5,293.25,275.25,288.3,0.23,0.26,0.11,0.16,0.1,0.27,-0.02,-0.04,0.05,-2.2735,-2.0395,-1.1655,-1.035,-0.4945,-0.1295,0.206,-1.0025,-0.767,-0.385,-0.102,0.2815,1.0465,1.3935,2.2805,2.7495,-1.4795,-1.3885,-1.004,-0.514,-0.354,0.3555,0.4735,0.6855,1.3715,-1.849,-1.6435,-0.918,-1.002,0.0985,0.217,0.594,0.995,-2.3565,-2.1215,-1.527,-0.7595,-0.309,-0.002,0.518,0.664,-0.821,-3.142,-1.741,-75.98
1,1.25,0.612954209896671,-0.00789291280624312,0.612039967974515,15.1049506060426,-0.449163877580102,0.560800333813027,-55.4631013308617,-0.653203824216148,1.71252625073672,408.267417202189,2.54729841257334,412.54531049943,2.54812511504683,414.94807578392,412.571423846241,2.54606285119786,415.327164939394,412.668884807341,2.54536061988114,414.487987568376,413.315732252941,2.65834385877989,415.697544057879,413.328180167784,2.63113851780367,416.185994660377,3.94846386871252,-4.15587029379174,0.361809637310362,3.08,1.75,0.83,1.175,-4.367,-4.0615,-4.1487,-3.0348,-4.6726,-5.5181,72.59486,44.13,2.2282,-4.805,-5.595,-5.19,-4.59,1.1,-2.99,2.5,0.585,208.85,292.1,274.55,287.2,0.23,0.27,0.12,0.16,0.1,0.26,-0.02,-0.045,0.07,-2.2965,-2.075,-1.1635,-1.0345,-0.4955,-0.1305,0.205,-0.999,-0.7655,-0.3845,-0.103,0.2805,1.045,1.392,2.28,2.749,-1.531,-1.397,-1.0055,-0.5145,-0.3545,0.4455,0.4735,0.6845,1.3705,-1.8515,-1.6665,-0.922,-1.0025,0.0635,0.216,0.593,0.994,-2.3,-2.1545,-1.528,-0.763,-0.311,-0.0035,0.517,0.663,-0.773,-3.2735,-1.7875,-64.59
1,1.75,0.621397273048903,-0.0322918918418664,0.616000803591758,12.1129002972707,-0.363717501581926,0.563677666995166,-51.2003158965695,-2.57015642630506,1.77894747330878,408.268843998468,2.2649456011968,412.376495502357,2.39086701956158,414.598654330081,412.453987287168,2.40440845059363,414.669998977186,412.410524382659,2.4891247126678,415.306701921053,412.985105240477,2.57035157923219,414.893554929676,413.401818865566,2.58708484997422,415.610199306786,4.19391185908507,-3.63613835996489,0.36851863340119,3.23,1.89,0.865,1.22,-3.8393,-3.6985,-4.0079,-3.1226,-5.02015,-5.47445,72.589055,43.685,2.32735,-4.99,-5.455,-5.03,-4.565,1.1,-3.12,2.5,0.64,210.45,293.1,275.05,287.1,0.23,0.28,0.12,0.16,0.11,0.26,-0.02,-0.04,0.05,-2.314,-2.09,-1.1625,-1.0345,-0.492,-0.13,0.207,-0.9825,-0.7695,-0.3845,-0.104,0.2805,1.045,1.393,2.2795,2.7475,-1.564,-1.4055,-1.0065,-0.515,-0.355,0.41,0.4735,0.6685,1.3695,-1.851,-1.696,-0.9245,-1.003,0.063,0.216,0.593,0.9935,-2.3555,-2.1585,-1.534,-0.7695,-0.313,-0.005,0.516,0.662,-0.857,-3.328,-1.773,-77.01
1,2.25,0.577655478912024,-0.0160078608193844,0.805911005849757,9.29906772681692,-0.0634114067365092,0.592454577844379,-52.9159171865278,0.291127797825512,1.8342827226569,408.336217905171,2.37318808687818,412.272265183227,2.46356839475012,415.211498316614,412.284053348366,2.53447597465864,415.466316933461,412.155199805436,2.570990719308,415.260913055118,412.394863654915,2.63597323156428,415.034360466144,413.492259642229,2.7032596090209,416.39557250347,4.12642557406022,-3.33695521513971,0.36704880849218,3.155,1.92,0.88,1.2,-3.6372,-3.531,-3.5554,-3.0882,-4.3827,-5.224,72.574795,42.89,2.4697,-5.025,-5.6,-5.185,-4.5,1,-3.09,2.5,0.68,208.6,293.5,273.4,287.2,0.23,0.265,0.11,0.16,0.11,0.26,-0.02,-0.05,0.07,-2.3175,-2.106,-1.165,-1.0345,-0.494,-0.1305,0.207,-0.99,-0.769,-0.385,-0.1055,0.2795,1.0445,1.393,2.2785,2.7475,-1.5715,-1.415,-1.0085,-0.515,-0.355,0.408,0.474,0.668,1.374,-1.8725,-1.698,-0.9275,-1.004,0.063,0.2185,0.593,0.9925,-2.408,-2.1815,-1.5465,-0.776,-0.3145,-0.0065,0.515,0.6685,-0.834,-3.325,-1.793,-78.33
1,2.75,0.639562008186212,0.0161656288033219,0.549111056020462,13.3581836489051,-0.760153205357874,0.619310122232838,-60.2256277409859,0.886763935953421,1.87311576105634,408.252535730494,2.46784660840506,412.306924717693,2.5042989284324,414.853913663043,412.467595887082,2.59505592929203,414.376717034826,412.650454953141,2.5816165244431,414.856188193771,413.064150471704,2.62925520435116,415.305398473903,413.992458195379,2.67441147542658,415.538918817763,3.98215526881753,-3.39029120817185,0.369118529747457,3.04,1.9,0.86,1.19,-4.0609,-3.763,-3.6804,-2.9863,-4.4952,-5.18095,72.56665,42.54,2.53835,-5.145,-5.79,-5.22,-4.595,1.05,-3,2.5,0.625,207.7,294.55,273.4,288.4,0.23,0.265,0.115,0.165,0.1,0.25,-0.02,-0.05,0.06,-2.3415,-2.115,-1.172,-1.0355,-0.497,-0.1305,0.203,-0.972,-0.7665,-0.385,-0.106,0.2795,1.044,1.39,2.2775,2.7465,-1.5825,-1.423,-1.01,-0.516,-0.355,0.3465,0.474,0.6675,1.3675,-1.8825,-1.711,-0.93,-1.005,0.1,0.217,0.592,0.992,-2.4045,-2.1885,-1.56,-0.7815,-0.317,-0.008,0.5145,0.674,-0.85,-3.393,-2.027,-75.38
1,3.25,0.625327919174842,0.00941451794893283,0.536853154133005,12.1859118815558,0.309959297675613,0.563467058382983,-58.8166279216843,-0.3670558822624,1.69406929844116,408.068108954353,2.25250796886314,412.334197619802,2.34077106085528,414.816951383604,412.506838731253,2.37578684859647,415.081033395985,412.319946006729,2.37405230395111,414.812492074294,412.916441348766,2.42515896844382,414.872538546875,413.927258392569,2.5702687953591,416.018037319749,4.1804592193498,-3.47817038349194,0.349575380329704,3.18,1.855,0.82,1.21,-3.8175,-3.498,-3.629,-2.9382,-4.3963,-5.39555,72.54645,41.86,2.54935,-5.255,-5.775,-5.355,-4.62,1.1,-3.01,2.5,0.635,207.65,294.35,274,288.35,0.23,0.27,0.11,0.165,0.1,0.25,-0.02,-0.055,0.07,-2.371,-2.115,-1.1785,-1.0355,-0.501,-0.1305,0.2025,-0.971,-0.7615,-0.386,-0.11,0.279,1.0435,1.389,2.2775,2.7455,-1.6025,-1.428,-1.014,-0.519,-0.3555,0.404,0.474,0.667,1.372,-1.9255,-1.726,-0.9375,-1.0075,0.1,0.217,0.593,0.9915,-2.455,-2.2065,-1.5785,-0.7865,-0.319,-0.009,0.514,0.6665,-0.919,-3.3975,-1.762,-68.83
1,3.75,0.687453442689683,-0.0059185759920461,0.625910016633185,11.254003765974,-0.519708513167073,0.645266187793403,-65.5033250379134,-0.409498565407938,1.84705353079514,408.104847955691,2.25920526352072,412.169994733558,2.16198620715887,414.661531809437,412.197051280877,2.19675028330906,414.74011944795,412.305391565178,2.19643566891081,414.399787803194,412.760178444804,2.24536089522056,414.705382167539,414.015684472457,2.38459309528008,416.037268959071,4.20311104069674,-3.15473574837836,0.397974061840401,3.21,1.97,0.9,1.22,-4.1757,-3.4515,-3.6175,-3.1576,-5.1147,-5.50035,72.52581,41.95,2.5488,-5.25,-5.88,-5.455,-4.72,1,-3.05,2.5,0.63,211.1,294.2,273.6,288.3,0.23,0.275,0.11,0.15,0.1,0.26,-0.02,-0.04,0.05,-2.396,-2.127,-1.1835,-1.005,-0.502,-0.131,0.202,-0.975,-0.76,-0.387,-0.1095,0.279,1.0425,1.389,2.276,2.7445,-1.6195,-1.4325,-1.017,-0.521,-0.3555,0.3425,0.4745,0.6665,1.371,-1.9435,-1.74,-0.944,-1.01,0.0995,0.22,0.594,0.993,-2.486,-2.2415,-1.595,-0.792,-0.321,-0.0105,0.5145,0.665,-0.786,-3.513,-1.971,-70.62
1,4.25,0.630620233313688,-0.0135216096123522,0.692965649720181,11.4176162183412,0.783096123394293,0.636518312357197,-66.6068072117131,-0.251036490595798,1.80772733815855,408.051516957997,2.31960360594427,412.139238364919,2.45329079134576,414.265080240642,412.261161870516,2.3817019832773,414.455902960901,412.204425465075,2.33130865787694,414.381342426829,412.890667522525,2.35525728856049,414.182834991956,413.807199566166,2.61262625868108,415.528415726333,4.42631857868869,-3.23450533301803,0.394182812459671,3.54,2.035,0.965,1.25,-4.1668,-3.677,-3.7392,-2.949,-5.3117,-5.7805,72.51645,42.41,2.5358,-5.105,-5.74,-5.26,-4.545,1.1,-2.87,2.5,0.57,213,293.2,272.9,288.55,0.23,0.27,0.12,0.165,0.1,0.25,-0.02,-0.045,0.06,-2.4105,-2.1235,-1.1895,-1.004,-0.501,-0.131,0.203,-0.983,-0.764,-0.388,-0.11,0.2785,1.0425,1.3885,2.2755,2.7435,-1.6255,-1.436,-1.023,-0.523,-0.3555,0.4,0.528,0.653,1.3915,-1.9605,-1.754,-0.951,-1.014,0.1,0.223,0.5955,0.9915,-2.5105,-2.273,-1.594,-0.7975,-0.323,-0.012,0.5145,0.6645,-0.792,-3.5225,-2.127,-65.39
1,4.75,0.565718320797605,0.0243649808973397,0.4540931098517,14.4995339891481,-0.307925867182014,0.642113794268962,-54.2718732500771,-0.943020450726873,1.82918144044624,408.190443915424,2.37973765282945,412.226890561538,2.40080677251069,414.472078865625,412.23346626133,2.40355986008571,414.495321922468,412.319513694349,2.38473625840378,415.147707072656,412.634922636621,2.43961459745451,414.750039975369,413.543644656785,2.61437703690745,415.93654341123,4.41680827355307,-3.42257457134161,0.360045418994054,3.55,1.89,0.91,1.25,-3.88155,-3.4875,-3.8038,-3.25975,-4.427,-5.5774,72.50883,43.61,2.4331,-5.125,-5.795,-5.27,-4.65,1,-3.12,2.5,0.6,209.2,293.15,273.15,288.85,0.23,0.275,0.12,0.165,0.1,0.26,-0.02,-0.04,0.05,-2.4265,-2.1385,-1.1955,-1.003,-0.501,-0.1315,0.202,-1.0055,-0.7715,-0.389,-0.1085,0.2785,1.042,1.3875,2.2755,2.743,-1.631,-1.4375,-1.029,-0.524,-0.356,0.398,0.4745,0.652,1.3905,-1.9785,-1.767,-0.9555,-1.017,0.0995,0.221,0.594,0.991,-2.494,-2.2995,-1.598,-0.8055,-0.3255,-0.014,0.514,0.668,-0.9415,-3.585,-2.14,-72.41
