DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,425.09425,3.35375,421.178,3.611,2040.208,425.536,3.348,421.02275,3.46125,2039.80175,424.0455,3.486,418.3365,3.2745,2019.42875,425.346,3.375,424.39675,3.57375,2031.569,425.664,3.389,423.02575,4.3385,2037.526,429.764,3.632,425.6355,4.3035,2039.9145,2,-0.061,0.1015,421.602,4.0075,0.4155,-0.50325,0.41175,-1.135,-1.558,0.1805,-24.657,-9.21325,0.467,1.47,1.04,0.43,0.395,0.3,-0.3445,0.008,-0.4375,0.623,-0.684,-1.213,-0.765,97.4545,53.63,1.297,0.9875,0.105,-0.08,1.76,0.74,0.2,-4.16,0.9,-1.61,0.04,245.6,315.7,-86.02,289.75,311.65,-0.13,-0.18,0.1025,0.01,0.16,-0.17,-0.02,-0.13,-0.36,-0.09,4.102,4.902,6.029,6.94425,8.22775,9.006,10.111,11.3025,12.07025,3.607,4.48,5.987,6.807,8.101,9.19025,10.285,11.432,12.0225,3.96075,4.6105,6.02425,7.10075,8.495,9.3725,10.3495,10.96375,11.83775,4.129,5.217,6.513,7.287,8.547,9.53,10.618,11.48575,11.95,4.166,4.888,6.456,7.4015,8.547,9.54525,10.584,11.539,12.167,-5.485,-7.0345,-15.4435
1,0.75,424.7035,3.28925,420.946,3.5635,2033.817,424.6505,3.3405,421.34025,3.757,2037.359,424.415,3.484,418.99975,3.02125,2035.2095,424.69,3.354,423.1105,3.65975,2043.99225,425.2395,3.468,423.3305,4.015,2043.117,429.026,3.5835,425.2815,3.876,2036.79375,2.022,-0.386,0.099,421.554,4.02,0.253,-0.44,0.3205,-0.9375,-2.259,0.193,-23.90675,-8.704,0.474,1.53,1.08,0.43,0.38,0.29,-0.434,-0.1445,-0.62625,0.4595,-0.842,-1.107,-0.812,97.4675,53.55,1.3115,0.69,-0.0175,-0.3275,1.505,0.64,0.2,-4.1325,0.9,-1.605,-0.015,245.175,315.85,-84.7325,287.45,311.025,-0.13,-0.18,0.1,0.01,0.16,-0.17,-0.0125,-0.13,-0.36,-0.09,4.05475,4.86425,6.0145,6.938,8.227,9.0045,10.1185,11.3195,12.0755,3.56825,4.38275,5.968,6.78525,8.09,9.1785,10.29675,11.4525,12.037,3.793,4.4865,5.979,7.0565,8.487,9.3715,10.3585,10.9615,11.84625,4.03925,5.107,6.493,7.22,8.54275,9.52725,10.623,11.4915,11.95,4.112,4.87875,6.42975,7.381,8.53975,9.5425,10.589,11.561,12.1785,-5.5495,-6.989,-15.115
1,1.25,426.46025,3.3035,422.157,4.021,2034.25025,426.23,3.2925,421.7195,3.7755,2041.8465,424.85025,3.411,418.6215,3.47525,2024.042,426.5345,3.37,422.8395,4.03,2040.8145,427.001,3.43875,424.034,4.383,2042.85275,429.66025,3.60525,426.213,4.606,2042.23275,2.079,-0.759,0.103,421.91025,4.01675,0.206,-0.57225,0.529,-1.72075,-2.874,0.192,-26.99775,-8.945,0.464,1.54,1.105,0.43,0.4,0.28,-0.7475,-0.373,-0.79025,0.1505,-0.912,-0.93525,-0.922,97.454,55.815,1.193,0.5475,-0.27,-0.61,1.545,0.5075,0.2,-4.19,0.9,-1.65,-0.01,241.6,315.5,-85.49,284.35,310.2,-0.13,-0.18,0.1,0.01,0.16,-0.17,-0.02,-0.13,-0.365,-0.09,3.93775,4.845,6.013,6.95025,8.2305,9.007,10.1055,11.3075,12.06575,3.528,4.325,5.969,6.797,8.0805,9.158,10.29475,11.428,12.022,3.697,4.3985,5.945,7.065,8.48025,9.37525,10.3475,10.9595,11.84375,4.003,5.02175,6.4815,7.203,8.543,9.528,10.60925,11.49,11.94525,3.95,4.857,6.42,7.3705,8.54075,9.54025,10.58725,11.535,12.164,-5.46475,-7.2155,-16.00875
1,1.75,425.669,3.179,422.2495,3.3175,2042.282,424.756,3.164,422.2005,3.52075,2046.08175,424.6545,3.18975,419.74275,2.83425,2038.3375,426.61,3.226,423.2905,4.264,2047.98725,427.023,3.289,423.42425,3.9435,2049.6395,430.5915,3.47175,426.8355,3.898,2032.294,1.91325,-0.627,0.0965,422.17625,4.046,0.3815,-0.611,0.27575,-2.45225,-3.14,0.1825,-26.66075,-7.837,0.47025,1.44,1.0275,0.41,0.36,0.28,-0.67675,-0.3845,-0.80675,0.203,-0.739,-0.853,-0.951,97.436,57.7625,1.16,0.39,-0.4,-0.575,1.58,0.41,0.2,-4.11,0.8,-1.67,0.02,240.6,314.5,-84.3,284.25,309.5,-0.13,-0.18,0.1,0.01,0.1525,-0.17,-0.02,-0.13,-0.37,-0.09,3.931,4.809,6.005,6.94825,8.236,9.00975,10.103,11.3045,12.06,3.46,4.338,5.935,6.781,8.0785,9.154,10.28,11.426,12.01725,3.61875,4.275,5.86425,7.0435,8.474,9.37925,10.34725,10.9585,11.8375,3.961,5.01,6.422,7.179,8.543,9.53,10.60825,11.48,11.943,3.94,4.877,6.394,7.3485,8.551,9.54,10.582,11.534,12.164,-5.55775,-6.9575,-16.2875
1,2.25,426.643,3.294,421.572,4.36,2046.0585,426.59975,3.29325,421.3915,4.428,2050.984,425.05125,3.3025,418.9755,3.9145,2032.8015,426.886,3.265,425.131,4.675,2041.843,427.24,3.315,423.89625,4.72025,2044.133,430.432,3.442,426.438,4.61925,2040.09325,1.908,-0.902,0.087,422.5875,4.1085,0.345,-0.69675,0.26,-0.626,-6.44,0.178,-26.716,-7.8045,0.447,1.43,1.0375,0.4,0.38,0.27,-0.7075,-0.41575,-0.763,0.101,-0.745,-1.102,-1.1545,97.43425,58.845,1.165,0.4975,-0.45,-0.515,1.32,0.36,0.175,-4.06,0.875,-1.65,0.02,240.5,314.2,-85,283.9,309.25,-0.13,-0.18,0.1,0.01,0.155,-0.17,-0.02,-0.13,-0.355,-0.09,3.903,4.787,5.996,6.94625,8.23875,9.0105,10.1005,11.29075,12.058,3.4,4.345,5.901,6.731,8.088,9.148,10.279,11.424,12.01475,3.503,4.1705,5.7925,7.01425,8.4665,9.38325,10.34625,10.9575,11.83225,3.925,4.993,6.375,7.149,8.542,9.527,10.607,11.477,11.942,3.886,4.897,6.383,7.34125,8.553,9.537,10.57325,11.532,12.162,-5.647,-7.44375,-16.36
1,2.75,425.0565,3.2215,422.73875,3.2825,2042.73175,424.90875,3.284,422.89475,3.328,2044.231,424.732,3.278,420.798,2.882,2042.80325,425.1945,3.26325,425.5265,3.343,2044.66175,427.06075,3.33675,425.4365,4.6915,2044.5345,430.3815,3.382,427.49,3.66725,2039.576,1.904,-0.866,0.101,422.5725,4.01925,0.315,-0.515,0.044,-0.8235,-3.524,0.166,-28.1805,-9.289,0.455,1.41,1.03,0.415,0.385,0.26,-0.715,-0.41275,-0.97,-0.061,-1.376,-1.14175,-1.376,97.4355,60.415,1.08075,0.33,-0.525,-0.62,1.34,0.285,0.1,-3.98,0.8,-1.61,-0.04,241.8,313.6,-82.69,284.6,309.25,-0.13,-0.18,0.1,0.02,0.15,-0.17,-0.02,-0.13,-0.355,-0.09,3.879,4.724,5.951,6.95175,8.24125,9.002,10.09775,11.298,12.056,3.312,4.355,5.867,6.691,8.092,9.144,10.277,11.422,12.013,3.48,4.207,5.71025,6.99525,8.459,9.3835,10.34575,10.957,11.83025,3.77,5.006,6.344,7.145,8.535,9.535,10.613,11.475,11.939,3.817,4.824,6.376,7.27925,8.555,9.535,10.57325,11.53,12.161,-5.956,-7.455,-16.6445
1,3.25,425.368,3.289,421.145,3.86875,2038.698,425.551,3.28425,421.012,4.389,2040.48,424.965,3.365,418.769,4.112,2028.3375,425.74,3.33175,422.818,3.429,2041.128,426.131,3.3255,422.75875,4.052,2044.456,430.83925,3.38025,426.849,4.59875,2043.233,1.9735,-0.6875,0.097,422.55625,4.0145,0.28525,-0.498,0.08,-0.841,-2.5195,0.16125,-27.269,-6.79325,0.42375,1.46,1.0625,0.39,0.39,0.27,-0.7605,-0.50775,-1.091,-0.134,-1.668,-1.269,-1.6275,97.4835,61.14,1.038,0.0625,-0.705,-0.81,1.22,0.13,0.1,-4.17,0.7,-1.62,-0.04,240.1,313.4,-83.77,283.65,308.25,-0.13,-0.18,0.1,0.01,0.15,-0.17,-0.02,-0.13,-0.35,-0.09,3.845,4.693,5.912,6.9545,8.243,8.9985,10.097,11.291,12.0565,3.337,4.357,5.856,6.659,8.09275,9.14,10.276,11.419,12.01125,3.47325,4.1625,5.65175,6.94725,8.457,9.38325,10.346,10.95725,11.8295,3.73,4.947,6.324,7.146,8.542,9.536,10.612,11.474,11.937,3.822,4.759,6.356,7.25425,8.557,9.533,10.57225,11.529,12.159,-5.805,-7.592,-16.6145
1,3.75,425.3935,3.21425,422.725,3.45,2038.916,425.43825,3.2235,422.43425,3.029,2039.046,425.397,3.26,418.14575,2.702,2038.3075,425.68525,3.24325,422.928,3.788,2044.139,425.6935,3.41725,424.55925,4.67025,2040.0265,430.871,3.404,428.44275,3.77775,2034.906,1.875,-0.956,0.095,422.502,3.96425,0.55275,-0.48725,0.754,-0.904,-2.645,0.182,-26.0815,-6.971,0.443,1.44,0.995,0.4175,0.37,0.26,-0.816,-0.65175,-1.36225,-0.1815,-1.576,-1.43025,-1.753,97.454,61.485,0.97325,-0.01,-0.7425,-0.82,1.08,-0.115,0.1,-4.1525,0.8,-1.66,-0.08,238.7,313.1,-84.315,283.35,308.3,-0.13,-0.18,0.1,0.01,0.15,-0.17,-0.02,-0.13,-0.355,-0.09,3.815,4.649,5.874,6.955,8.2435,8.9955,10.0955,11.28775,12.052,3.324,4.301,5.822,6.626,8.09075,9.13775,10.274,11.41625,12.01,3.4155,4.115,5.617,6.9225,8.45975,9.382,10.3455,10.95725,11.83,3.718,4.882,6.324,7.145,8.543,9.527,10.611,11.472,11.934,3.754,4.74,6.337,7.2395,8.554,9.53,10.579,11.527,12.158,-6.82,-7.432,-17.498
1,4.25,425.576,3.34175,422.081,3.656,2044.396,425.6785,3.39125,422.81575,3.91075,2039.6,425.57325,3.327,420.4625,4.043,2026.39725,426.43875,3.38,424.116,4.078,2037.49225,426.82875,3.375,424.009,3.5895,2042.19,430.927,3.318,426.2135,4.312,2040.4625,2.0175,-0.937,0.097,423.057,4.02,0.3305,-0.34575,0.4495,-1.425,-2.3495,0.182,-26.452,-7.54825,0.4615,1.35,1.0175,0.42,0.36,0.27,-0.828,-0.813,-1.195,-0.383,-1.51175,-1.656,-1.694,97.443,62.235,0.994,-0.0275,-0.84,-0.73,1.16,0.045,0.1,-4.19,0.7,-1.6,-0.1,237.2,312.9,-82.9,283.8,308.2,-0.13,-0.18,0.1,0.01,0.16,-0.17,-0.02,-0.13,-0.36,-0.09,3.753,4.628,5.83,6.95625,8.23925,8.994,10.094,11.28,12.05,3.302,4.28,5.787,6.61,8.08825,9.1345,10.272,11.41425,12.008,3.32025,4.0315,5.57925,6.90575,8.46925,9.3755,10.345,10.95725,11.8285,3.611,4.877,6.328,7.136,8.542,9.533,10.6035,11.47025,11.931,3.672,4.721,6.333,7.235,8.56,9.529,10.57125,11.526,12.156,-6.935,-7.788,-18.07225
1,4.75,425.607,3.24125,422.331,3.749,2031.4215,425.9915,3.287,422.30325,3.694,2038.783,425.27675,3.29,420.6165,2.8775,2039.294,426.69725,3.3235,424.08725,4.6515,2044.971,427.1145,3.382,424.8745,4.936,2044.546,431.046,3.2935,427.336,3.6885,2036.72,1.87025,-1.33375,0.0955,423.7045,4.0795,0.4205,-0.5565,0.5235,-0.671,-3.041,0.172,-26.428,-9.611,0.4225,1.33,0.9575,0.38,0.355,0.25,-0.882,-0.9095,-1.337,-0.689,-1.5035,-1.87075,-1.7775,97.4395,62.775,0.955,-0.0225,-0.92,-0.825,1.07,-0.1,0.1,-4,0.8,-1.57,-0.04,238.2,311.9,-82.01,283.3,307.6,-0.13,-0.18,0.1,0.01,0.145,-0.17,-0.02,-0.13,-0.335,-0.09,3.723,4.562,5.826,6.95,8.23525,8.99,10.093,11.278,12.048,3.259,4.253,5.764,6.605,8.086,9.1335,10.271,11.412,12.00525,3.26125,3.982,5.5425,6.85625,8.48,9.37,10.34525,10.9575,11.8265,3.545,4.774,6.27,7.117,8.542,9.545,10.6025,11.469,11.929,3.572,4.694,6.33,7.22775,8.562,9.526,10.5695,11.524,12.16825,-6.477,-8.1065,-18.279
