DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,431.448,14.542,425.33975,15.06725,2045.94775,433.632,14.58375,425.58,14.726,2041.49275,433.526,14.827,426.497,16.59,2044.35575,435.392,14.491,430.465,14.1,2041.865,449.0185,14.0825,438.11,14.66325,2041.8885,471.05425,13.99125,453.099,14.816,2039.369,3.46075,17.25775,0.22575,426.065,17.275,2.042,0.981,2.35425,6.199,3.60825,0.37625,-5.93875,-0.9615,0.73225,2.41,1.19,0.89,0.825,0.42,16.7085,16.846,16.55025,16.32875,16.27325,16.096,15.372,101.8275,89.745,3.8115,15.63,14.77,14.9475,15.28,15.4575,1.9,-1.935,3.4,-0.99,0.9,363.825,399.6,-28.94,377.95,390.6,0.7925,0.18,0.11,0.1,0.0625,0.14,1.83,0.02,0.19,-0.05,15.475,15.658,16.47375,16.5835,17.404,17.47925,18.31975,19.959,20.351,15.531,15.8365,16.581,16.764,17.4815,17.90025,18.1575,19.4105,20.3095,16.4595,16.3865,17.01,17.666,18.099,18.153,18.728,19.96,20.67,15.9785,16.393,16.846,17.271,17.79,18.0665,18.4385,19.513,20.37475,15.0375,15.63825,16.128,16.51825,16.739,17.253,17.5605,19.1345,19.913,-5.874,-11.10825,-7.19
1,0.75,431.92925,14.37375,426.1815,15.125,2030.736,433.004,14.8015,426.4675,15.45475,2042.239,434.03,14.559,424.847,13.478,2042.462,435.242,14.041,429.926,14.381,2044.214,449.28725,14.03725,432.2075,15.092,2038.6335,464.483,13.583,447.35,15.72825,2019.88775,3.5335,17.148,0.2205,426.67,17.358,1.8875,0.9615,2.65225,7.359,3.72275,0.3945,-4.331,1.013,0.6935,2.41,1.17,0.88,0.78,0.42,16.582,16.73075,16.4285,16.1905,15.85125,15.783,15.525,101.8245,90.1375,3.599,15.65,14.39,15,15.12,15.0275,1.9,-1.66,3.4,-1.02,0.8225,362.8,399.7,-26.38,376.625,390.65,0.79,0.18,0.11,0.1,0.06,0.15,1.82,0.02,0.19,-0.06,15.395,15.5305,16.38525,16.6115,17.3975,17.4705,18.327,19.9575,20.349,15.4995,15.695,16.5195,16.71975,17.47,17.904,18.1585,19.4085,20.3085,16.506,16.298,17.00375,17.62675,18.106,18.15775,18.7385,19.964,20.66975,15.8695,16.269,16.7725,17.195,17.783,18.0715,18.4375,19.515,20.3705,14.96,15.505,16.167,16.519,16.723,17.2775,17.55825,19.127,19.91275,-5.54975,-10.21725,-8.106
1,1.25,432.15925,14.6405,425.88175,15.511,2045.6175,433.7375,15.26,425.9235,15.648,2046.938,434.52175,14.828,427.943,15.676,2048.53275,436.58075,14.533,428.53325,15.234,2041.88,450.5855,14.1085,443.80275,15.17775,2034.6815,468.43275,13.932,461.79225,15.214,2033.51025,3.57175,16.81925,0.2165,426.392,17.291,2.278,0.92,2.46925,7.181,3.371,0.39875,-7.2645,0.5885,0.70825,2.46,1.25,0.91,0.8325,0.46,16.441,16.579,16.309,16.28975,15.78075,15.4675,15.5205,101.81425,91.34,3.64,15.395,14.65,14.935,15.155,15.0725,1.9,-1.67,3.4,-0.9775,0.88,361.6,398.8,-27,376.875,391.725,0.81,0.17,0.11,0.1,0.06,0.15,1.81,0.02,0.19,-0.06,15.346,15.546,16.264,16.55875,17.38425,17.466,18.326,19.955,20.35575,15.46925,15.689,16.43325,16.65725,17.4565,17.9015,18.159,19.406,20.3075,16.36875,16.2065,16.9635,17.6265,18.10525,18.164,18.74075,19.966,20.66775,15.643,16.1425,16.7495,17.1305,17.7815,18.076,18.433,19.517,20.368,14.913,15.356,16.081,16.441,16.7175,17.296,17.55625,19.1285,19.91225,-6.297,-11.913,-8.649
1,1.75,433.1585,14.814,427.032,15.355,2036.075,434.917,15.246,426.36925,15.352,2043.391,434.693,14.82225,426.841,13.49325,2054.961,435.893,14.746,430.4375,13.55275,2059.295,448.74025,14.2225,436.931,16.4035,2047.5645,464.9935,14.196,451.153,16.485,2046.385,3.466,16.542,0.22,427.10125,17.275,2.101,1.111,2.71225,5.6375,3.488,0.39,-6.8625,-0.98175,0.711,2.41,1.17,0.8975,0.8525,0.46,16.3445,16.341,16.028,16.08,15.578,15.69975,15.21975,101.807,91.17,3.4405,15.05,14.74,14.66,14.99,14.845,1.9,-1.62,3.4,-0.9375,0.7975,359.525,396.15,-24.17,376.9,391,0.84,0.17,0.11,0.1,0.06,0.15,1.7975,0.01,0.19,-0.06,15.253,15.437,16.2155,16.5205,17.365,17.462,18.324,19.952,20.344,15.377,15.6035,16.3355,16.60925,17.4425,17.899,18.159,19.404,20.305,16.33,16.1625,16.879,17.568,18.0865,18.1645,18.759,19.966,20.66575,15.549,16.0705,16.711,17.097,17.775,18.0805,18.428,19.5185,20.365,14.853,15.271,15.926,16.40075,16.7265,17.283,17.55325,19.127,19.912,-6.093,-11.5505,-8.107
1,2.25,433.81575,14.9015,426.7905,15.49175,2056.94,435.595,15.304,428.267,16.39675,2053.9835,434.9625,14.7485,429.167,13.9465,2062.23575,436.014,14.44925,432.464,14.325,2051.13775,447.25475,14.2695,440.924,15.01775,2038.904,468.60225,14.31,451.095,15.04675,2044.3375,3.46825,16.33475,0.22325,427.673,16.92525,2.489,0.8195,2.347,5.2,4.593,0.3805,-5.835,0.63775,0.6855,2.44,1.23,0.94,0.8625,0.47,16.165,16.1975,15.85275,15.727,15.458,15.504,15.1905,101.79275,92.355,3.1985,15.05,14.72,14.515,14.96,14.79,1.9,-1.58,3.4,-0.97,0.85,360.7,396.525,-21.68,375.325,390.475,0.79,0.17,0.11,0.1,0.07,0.14,1.735,0.02,0.19,-0.06,15.18175,15.313,16.127,16.49425,17.34475,17.45975,18.318,19.952,20.35025,15.2005,15.5725,16.2375,16.557,17.427,17.8955,18.155,19.402,20.30475,16.2165,16.099,16.71425,17.507,18.085,18.1545,18.74225,19.9665,20.661,15.414,16.01175,16.5815,17.0855,17.767,18.1055,18.4235,19.5205,20.37025,14.707,15.237,15.82,16.374,16.7335,17.271,17.55025,19.127,19.91325,-5.2455,-10.764,-7.87375
1,2.75,433.739,14.817,427.58375,15.339,2037.03675,435.407,14.994,428.012,15.70025,2041.5275,435.05875,14.416,427.3565,13.499,2054.79875,436.47075,14.16325,431.313,14.897,2064.4045,447.6095,14.1835,438.203,15.225,2057.854,462.8635,14.1575,458.384,15.283,2042.54725,3.52,16.423,0.224,427.976,17.2665,2.516,1.05,2.309,6.298,5.682,0.384,-5.75425,1.152,0.707,2.575,1.2475,0.9275,0.8625,0.47,16.082,16.0205,15.792,15.521,15.429,15.481,15.20125,101.7875,92.29,3.1515,15.03,14.395,14.43,14.69,14.735,1.9,-1.43,3.4,-0.93,0.84,361.7,395.2,-22.1025,378.85,390.225,0.76,0.17,0.11,0.1,0.06,0.15,1.725,0.01,0.19,-0.05,15.0315,15.216,15.962,16.47075,17.325,17.457,18.3175,19.958,20.34775,15.1275,15.4985,16.158,16.5185,17.4115,17.887,18.153,19.3995,20.299,16.1005,15.998,16.58925,17.4585,18.0785,18.1525,18.7405,19.96475,20.65675,15.334,15.8715,16.4255,17.029,17.757,18.1045,18.4215,19.52275,20.379,14.68075,15.198,15.641,16.32375,16.73775,17.24,17.54625,19.1285,19.91425,-6.399,-12.04675,-8.91825
1,3.25,434.263,14.813,428.2955,15.7195,2050.2065,435.08975,15.07425,429.92275,15.376,2052.825,435.4555,14.424,430.02,13.5815,2047.43375,437.28225,14.0975,433.88,14.924,2047.633,446.665,13.958,437.404,15.364,2040.84525,461.743,13.85,444.1035,15.43,2040.213,3.515,15.9,0.226,428.211,17.63625,2.3245,0.79425,2.27125,5.595,5.522,0.362,-5.8355,0.5,0.676,2.495,1.24,0.9275,0.87,0.48,16.125,15.99275,15.88825,15.703,15.096,15.602,15.23275,101.77675,92.04,2.9675,14.7,14.1775,14.385,14.6325,14.63,2,-1.23,3.5,-0.9575,0.86,359.45,394.05,-22.7575,376.625,389.775,0.76,0.17,0.11,0.1,0.06,0.14,1.715,0.01,0.19,-0.06,14.955,15.18075,15.8565,16.4145,17.3125,17.45725,18.3125,19.954,20.3455,15.2285,15.3645,16.0125,16.48225,17.3895,17.878,18.1515,19.3975,20.2965,16.088,16.0245,16.515,17.43175,18.0705,18.1485,18.728,19.9645,20.651,15.36225,15.817,16.41625,16.9635,17.76575,18.1125,18.4235,19.5245,20.3565,14.6035,15.09825,15.4485,16.2805,16.7395,17.22925,17.5435,19.12325,19.9155,-6.7615,-12.16225,-9.8275
1,3.75,434.27,15.067,428.6085,15.5055,2041.491,435.56825,15.258,429.27025,15.762,2042.481,436.349,14.81725,427.565,13.44875,2053.22525,437.286,14.522,432.121,15.826,2056.0435,450.21575,14.51225,440.085,15.612,2052.755,459.145,14.227,447.09625,14.8625,2043.576,3.739,15.81425,0.2255,429.15625,17.3675,2.13675,0.82475,2.627,4.0255,4.756,0.3795,-6.698,1.20925,0.6995,2.58,1.3625,0.95,0.8825,0.4975,16.112,15.93175,15.834,15.3595,14.924,15.439,15.224,101.7755,93.41,2.7635,14.85,14.1,14.01,14.425,14.465,1.9,-1.47,3.4,-0.94,0.8375,357,394.05,-24.95,376.35,389.35,0.77,0.17,0.11,0.1,0.07,0.1475,1.71,0.01,0.19,-0.06,15.0065,15.09175,15.8345,16.35175,17.30025,17.45525,18.307,19.953,20.344,15.22,15.3795,15.9775,16.4275,17.3805,17.8685,18.15,19.3955,20.293,16.1305,15.9975,16.462,17.40625,18.063,18.14425,18.729,19.96,20.647,15.3195,15.7915,16.249,16.92775,17.742,18.12725,18.4245,19.52675,20.3555,14.573,15.04,15.339,16.198,16.741,17.227,17.5235,19.12475,19.9165,-6.773,-12.619,-10.26025
1,4.25,434.129,14.893,429.993,15.93925,2053.2315,436.09475,15.08125,431.2575,15.626,2054.4015,436.682,14.17525,429.47075,12.5895,2053.125,438.671,14.204,434.158,15.325,2050.512,448.9735,13.6835,441.297,15.989,2039.97875,464.164,13.62225,455.648,15.2755,2039.8515,3.6735,15.8395,0.238,428.9935,17.65025,2.211,0.85,2.637,4.00425,4.77325,0.405,-5.5425,0.773,0.7345,2.54,1.2975,0.9875,0.9,0.4975,15.94,15.93675,15.615,15.626,15.009,15.6405,15.166,101.7735,93.03,2.806,14.58,13.9525,13.84,14.265,14.315,1.9,-1.1525,3.4,-0.9375,0.81,359.725,394.1,-19.2075,378.8,388.15,0.75,0.17,0.11,0.1,0.06,0.15,1.71,0.01,0.19,-0.06,14.974,15.08,15.7875,16.3265,17.27675,17.455,18.307,19.9545,20.3485,15.1315,15.4135,15.92425,16.367,17.3665,17.8585,18.1555,19.3945,20.2915,16.092,15.96,16.5245,17.3455,18.055,18.156,18.729,19.96225,20.641,15.171,15.80325,16.1525,16.8705,17.7275,18.136,18.42275,19.527,20.355,14.579,14.91175,15.348,16.1495,16.72175,17.211,17.5375,19.128,19.91675,-6.8845,-12.366,-9.7435
1,4.75,434.56575,13.656,428.06775,15.334,2054.031,437.6965,14.957,428.582,16.178,2056.185,436.653,13.201,428.9095,13.2385,2055.86775,439.837,13.449,434.698,15.428,2061.9825,449.2295,13.0635,443.21075,15.234,2048.443,461.481,13.1175,450.617,14.64075,2042.169,3.534,15.75,0.249,430.2075,17.629,2.504,0.954,2.81275,5.82425,3.36275,0.413,-5.62075,0.611,0.746,2.545,1.2575,0.96,0.8825,0.48,15.899,15.99175,15.576,15.49,15.03,15.523,15.231,101.78225,93.54,2.766,14.7425,14.135,14.1275,14.3475,14.65,1.9,-1.09,3.4,-0.9475,0.81,362,393.4,-18.5725,379.8,388.85,0.75,0.17,0.11,0.1,0.06,0.14,1.715,0.01,0.19,-0.06,15.029,15.065,15.741,16.32425,17.26025,17.44975,18.29025,19.9525,20.3465,15.0305,15.421,15.85925,16.3305,17.3565,17.848,18.162,19.3945,20.291,16.058,15.962,16.4855,17.2835,18.045,18.1525,18.73,19.962,20.636,15.2165,15.7715,16.0885,16.8445,17.7115,18.12875,18.4175,19.5255,20.36625,14.603,14.844,15.30875,16.12625,16.7105,17.192,17.545,19.129,19.9175,-7.001,-13.247,-9.6785
