DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,403.113475,1.327725,411.690875,0.33395,1987.2012,403.13395,1.31345,414.13795,0.2634,1984.1173,402.060125,1.330975,410.6718,1.1992,2023.006675,405.5592,1.3916,410.4544,0.8934,1983.1167,405.760675,1.439325,412.816325,0.2447,2008.2276,408.952375,1.701975,414.2149,0.383375,2023.0443,0.7891,-9.653575,0.043575,410.451875,1.0042,-0.4273,-3.82245,-1.25855,-7.4236,-26.3966,0.058625,-71.7431,-28.7172,0.19535,0.46175,0.2595,0.18,0.17,0.13,-9.3773,-9.4683,-10.1629,-9.7584,-10.0052,-10.339375,-7.5549,100.053,33.7835,0.1282,-6.373,-8.448,-8.5775,-8.5465,-10.15875,0,-5.14825,0.3075,-0.6,175.735,269.57,-107.752,242.0625,262.2325,-0.56,-0.05,-0.26,-0.34825,-0.76,-0.49825,-0.4285,-0.21,-0.10825,-0.37,-1.750225,-0.739975,1.66395,2.810425,4.055325,5.0808,7.0958,8.90395,9.884625,-1.0755,0.1636,2.343475,3.2343,4.5161,5.242725,7.145375,9.171225,10.21295,-1.01625,0.0486,1.54765,2.509575,4.204025,5.308425,7.7305,9.8229,10.9403,-2.626125,-1.032,0.83825,2.660125,4.039875,4.903,7.3559,9.534725,10.517175,-3.59495,-2.015225,0.428625,2.12215,3.682925,4.799225,6.97675,9.05975,10.331875,-21.01285,-16.66725,-25.6408
1,0.75,402.24025,1.322875,412.27295,0.3264,2010.988,401.167,1.3098,412.464,0.3137,1982.9307,401.100125,1.31275,416.9516,1.09775,2015.087,402.982625,1.37975,410.209925,0.6568,1980.345875,404.546075,1.4642,412.0241,0.46415,2015.9814,411.09,1.6125,414.37735,0.579425,1998.7252,0.9155,-9.861,0.0405,411.342,1.0095,-1.1735,-4.6599,-2.3503,-5.7642,-23.7239,0.0465,-60.016,-33.43075,0.188,0.46175,0.2465,0.17,0.16125,0.13175,-9.6025,-9.653,-10.2961,-9.9598,-10.1515,-10.508625,-7.631,100.0064,34.1975,0.072825,-6.5155,-8.50075,-8.661,-8.63,-10.179,0,-5.01125,0.3,-0.52775,175.73,268.9225,-108.436,241.49,261.9275,-0.57,-0.05,-0.26,-0.35,-0.75,-0.5,-0.43,-0.21,-0.1,-0.37,-1.7591,-0.7865,1.6357,2.797575,4.04985,5.0801,7.094325,8.903775,9.883625,-1.1033,0.123125,2.309125,3.217825,4.511225,5.24755,7.144075,9.1696,10.211775,-1.033325,0.01215,1.524675,2.496725,4.19745,5.30685,7.7308,9.8219,10.9383,-2.697125,-1.091625,0.797,2.6355,4.043625,4.900125,7.355925,9.533725,10.516175,-3.6389,-2.055725,0.392275,2.10705,3.67315,4.796225,6.9769,9.059575,10.3307,-21.38265,-16.8782,-24.54215
1,1.25,402.7252,1.3288,408.823,0.3516,2010.127525,401.446675,1.3285,412.2353,0.2486,2006.3675,401.47575,1.342125,412.3957,0.99475,2015.531675,403.3849,1.440875,410.27445,0.690875,2016.145375,406.288975,1.4911,412.602,0.2835,2010.34985,410.8256,1.6368,414.055075,0.4004,1996.3547,0.95805,-10.05895,0.03355,412.22285,1.0148,-0.48985,-3.36675,-0.417225,-6.84565,-21.042,0.03875,-63.673125,-29.83755,0.16855,0.386,0.2585,0.16,0.16,0.13,-9.7951,-9.863275,-10.440525,-10.13,-10.2925,-10.6661,-7.9319,100.0088,34.53,0.0541,-6.53,-8.623,-8.685,-8.6685,-10.2485,0,-4.827,0.3,-0.604,175.82,268.22,-108.4035,241.35,261.705,-0.56,-0.05,-0.26,-0.35,-0.75,-0.5,-0.43,-0.22,-0.1,-0.37,-1.76035,-0.835925,1.609225,2.78455,4.044375,5.0798,7.09285,8.902775,9.882625,-1.159175,0.0902,2.274825,3.2007,4.5077,5.2504,7.142775,9.1686,10.210775,-1.04765,-0.01505,1.503975,2.4853,4.192025,5.305275,7.7311,9.8209,10.9373,-2.72125,-1.122875,0.759875,2.612,4.0475,4.8968,7.35595,9.532725,10.515175,-3.651275,-2.093225,0.351675,2.093775,3.66585,4.79405,6.9783,9.058575,10.3286,-20.473675,-17.17715,-25.0137
1,1.75,403.200375,1.376575,411.519425,0.3969,2006.520925,401.2769,1.3638,412.299925,0.3654,2011.857525,400.8261,1.3691,414.87775,0.614,2016.4074,402.724375,1.385275,409.708275,1.219,2022.190125,405.319,1.475075,411.833025,0.4308,2035.50775,407.69925,1.686875,415.9864,0.5674,2006.7763,1.0138,-10.2074,0.0376,413.10055,1.034525,-1.28925,-5.5284,-4.6044,-4.5096,-26.4575,0.0388,-78.94205,-27.4903,0.1736,0.46175,0.28625,0.18,0.151,0.12175,-10.02665,-10.1039,-10.5415,-10.281,-10.41575,-10.781625,-8.334625,100.04795,33.3035,0.0934,-6.4375,-8.7885,-8.7895,-8.74975,-10.31275,0,-4.9995,0.3,-0.76475,176.2025,267.265,-108.39225,241.145,261.635,-0.56575,-0.06,-0.25,-0.35,-0.75825,-0.49825,-0.43,-0.22,-0.10825,-0.37825,-1.757075,-0.883125,1.58305,2.770025,4.039075,5.08035,7.09155,8.9026,9.881625,-1.21035,0.05405,2.24565,3.184575,4.505925,5.2488,7.141475,9.1686,10.2096,-1.066375,-0.04415,1.48725,2.4743,4.1866,5.3037,7.7314,9.8192,10.9363,-2.7525,-1.135,0.733125,2.588875,4.0515,4.8949,7.3553,9.53205,10.513175,-3.62775,-2.128775,0.314425,2.081025,3.657725,4.791875,6.97875,9.0574,10.328525,-21.8197,-17.2929,-26.0454
1,2.25,402.541375,1.398875,409.74745,0.3496,2008.6101,402.9491,1.370525,412.9409,0.2211,2016.1869,402.8913,1.379375,415.592,0.93145,2012.87,402.432625,1.39025,413.167,1.341125,2015.693125,404.589525,1.5019,410.34225,0.236,2028.67755,405.7948,1.6134,412.9119,0.337625,2006.9207,0.816325,-10.2862,0.03915,412.8466,1.0281,-0.40685,-7.107525,-2.7781,-2.3065,-25.6645,0.038575,-73.434025,-29.4017,0.17895,0.4505,0.33,0.19,0.16,0.14,-10.15575,-10.2421,-10.6359,-10.394,-10.5164,-10.77275,-8.277325,99.99365,35.869,0.12355,-6.45875,-8.56825,-8.715,-8.6705,-10.24775,0,-4.93825,0.3,-0.64425,176.7925,266.85,-106.82625,240.2525,261.8225,-0.56,-0.053,-0.26,-0.35,-0.75,-0.49,-0.43,-0.22,-0.1,-0.37,-1.77515,-0.892075,1.557875,2.756325,4.033775,5.080225,7.0899,8.9016,9.88045,-1.265475,0.02025,2.22625,3.17175,4.505625,5.248,7.140175,9.1684,10.2086,-1.09725,-0.084625,1.4657,2.4643,4.1806,5.301975,7.7317,9.8192,10.9353,-2.786625,-1.14675,0.713875,2.568375,4.056375,4.892,7.355325,9.53105,10.512175,-3.618525,-2.16555,0.28005,2.07045,3.64895,4.7897,6.98125,9.0564,10.3267,-22.677,-17.4048,-26.0185
1,2.75,407.959,1.322,413.31215,0.4343,2006.9508,406.174825,1.30925,413.38095,0.37625,2007.262875,405.9303,1.31805,414.124375,0.624075,2011.5982,407.9069,1.3268,412.32745,0.620825,2009.3007,408.14315,1.3817,415.2036,0.39335,2022.17125,411.32005,1.5607,415.342675,0.546125,2029.26835,0.9716,-10.4305,0.03955,412.68725,1.035325,-0.08475,-4.980275,-2.220525,-6.0974,-17.1049,0.04255,-63.21705,-27.17325,0.21585,0.45875,0.2795,0.15,0.17,0.14,-10.2687,-10.364725,-10.7583,-10.510425,-10.628,-10.696375,-8.582125,99.94195,36.707,0.092,-6.58325,-8.38775,-8.578,-8.535,-9.988,0,-4.9565,0.3,-0.55825,177.0525,266.5725,-106.0205,239.2875,262.8625,-0.56575,-0.063,-0.26,-0.35,-0.75,-0.49,-0.43,-0.22,-0.1,-0.37825,-1.7773,-0.8882,1.53105,2.742325,4.028475,5.0807,7.089425,8.9016,9.878625,-1.285575,-0.014425,2.20095,3.1591,4.50385,5.2516,7.1397,9.167575,10.207425,-1.119075,-0.114775,1.444725,2.452875,4.176725,5.3014,7.732,9.8175,10.9343,-2.781375,-1.160125,0.69125,2.549125,4.057625,4.8905,7.353325,9.53005,10.511175,-3.6075,-2.21315,0.2439,2.0594,3.638525,4.789175,6.98265,9.0554,10.325525,-24.16575,-16.486575,-26.17
1,3.25,405.80845,1.3291,411.32845,0.42505,2008.2952,405.118625,1.311875,413.62585,0.2392,2005.062625,404.898125,1.322625,418.846,0.851,2011.6141,405.6314,1.3546,411.64405,0.7547,1999.88795,407.1689,1.3654,409.76025,0.23985,2021.8062,412.418225,1.525225,413.502,0.34005,2002.6295,0.7625,-10.586825,0.038575,412.396,1.0686,-0.616875,-4.345625,-2.560875,-7.84305,-23.88875,0.038525,-63.976,-28.879625,0.1774,0.424,0.283,0.18,0.16,0.14,-10.42885,-10.5117,-10.8364,-10.58875,-10.687325,-10.626,-8.806925,99.932725,36.24175,0.096425,-6.729,-8.47075,-8.74375,-8.58825,-10.0065,0,-4.91825,0.3,-0.60125,177.2625,266.0425,-106.3585,237.3525,263.1325,-0.56575,-0.063,-0.26,-0.35,-0.75,-0.5,-0.43,-0.22,-0.1,-0.37825,-1.7638,-0.8739,1.501875,2.72885,4.023175,5.081175,7.088125,8.90125,9.87845,-1.274275,-0.05315,2.18665,3.146925,4.502075,5.2496,7.1384,9.166575,10.20625,-1.13205,-0.12485,1.426575,2.44145,4.17455,5.29925,7.7323,9.8165,10.9323,-2.800625,-1.194,0.670625,2.53525,4.05425,4.8885,7.352,9.52905,10.510175,-3.573975,-2.26345,0.204925,2.0477,3.6291,4.788825,6.984725,9.055225,10.324525,-22.106225,-16.843,-28.730625
1,3.75,409.17375,1.312625,411.347,0.4512,2020.504475,406.423175,1.3299,413.594325,0.31175,2019.65795,406.545875,1.340125,415.2671,0.98125,2012.5,408.88045,1.3616,411.926,0.626875,2002.795175,409.246625,1.352625,413.607175,0.334,2019.81765,412.5531,1.53125,418.0254,0.42145,1998.417625,0.9314,-10.6446,0.0338,412.403275,1.0838,-0.957,-3.5445,-1.11635,-7.243,-18.416,0.0492,-58.4256,-25.3062,0.176,0.417,0.233,0.18,0.17125,0.14,-10.5868,-10.66575,-10.837,-10.63595,-10.690825,-10.679625,-8.968475,99.931325,37.974,0.119,-6.7245,-8.49575,-8.8815,-8.66,-10.06575,0,-4.88775,0.3,-0.61125,177.385,265.885,-105.62,235.9925,262.845,-0.56,-0.053,-0.26,-0.35,-0.75,-0.5,-0.43,-0.22,-0.1,-0.38,-1.76445,-0.857,1.46905,2.71755,4.0187,5.08115,7.08665,8.900425,9.876625,-1.259775,-0.08725,2.17765,3.139875,4.501125,5.2458,7.1371,9.16575,10.20525,-1.1255,-0.1272,1.411975,2.43145,4.1728,5.298675,7.7326,9.8155,10.9313,-2.841625,-1.23975,0.653875,2.5255,4.050125,4.8865,7.35,9.52805,10.5085,-3.53045,-2.318125,0.16585,2.036825,3.621975,4.789125,6.9862,9.054225,10.32335,-22.59735,-18.017625,-28.1276
1,4.25,407.611,1.3424,412.161,0.383375,2002.86925,406.190625,1.328125,412.4362,0.2746,2003.682375,406.3467,1.3491,417.932625,0.59975,2007.917,407.6526,1.3736,413.5307,1.193525,2013.8376,407.868,1.4268,410.504925,0.25135,2027.263,411.4273,1.578075,415.6202,0.3287,2001.2959,1.10185,-10.762225,0.041,413.6989,1.089,-0.2245,-4.314625,-4.02885,-5.85275,-16.7675,0.049,-70.1882,-33.1646,0.199375,0.47575,0.2865,0.2,0.18125,0.15,-10.72835,-10.7365,-10.8715,-10.6759,-10.7148,-10.63775,-9.102475,99.91095,38.357,0.1273,-6.75525,-8.51075,-9.051,-8.709,-10.08025,0,-4.79725,0.3,-0.56125,177.22,265.71,-105.63025,234.8025,262.7875,-0.56575,-0.06,-0.25325,-0.35,-0.76,-0.5,-0.43,-0.22,-0.1,-0.37,-1.7999,-0.83425,1.4394,2.70525,4.01105,5.0836,7.085175,8.90025,9.875625,-1.229825,-0.091625,2.14915,3.13035,4.50065,5.2436,7.135625,9.165575,10.204075,-1.106425,-0.115325,1.3981,2.421875,4.17105,5.297525,7.7326,9.8145,10.9303,-2.863125,-1.25725,0.632125,2.518375,4.0455,4.884375,7.34965,9.527375,10.507175,-3.4591,-2.331925,0.1373,2.02695,3.617325,4.7929,6.9875,9.053225,10.321525,-22.4509,-18.05645,-28.0025
1,4.75,408.6257,1.3539,413.1577,0.428625,2005.676525,407.12215,1.33945,413.55385,0.2978,2015.827675,406.986,1.369275,414.511275,0.90925,2011,408.6635,1.36975,415.12275,1.3336,2007.49875,410.4728,1.402,413.45285,0.2984,2017.4736,412.051,1.5785,415.02175,0.386075,1999.91245,0.9841,-10.80015,0.0371,413.860025,1.141475,-1.37805,-3.431,-2.476,-8.005,-22.30675,0.0422,-58.6275,-33.846775,0.16765,0.46175,0.283,0.19,0.19,0.15,-10.810275,-10.773125,-10.9531,-10.71175,-10.7644,-10.68225,-8.88605,99.884475,38.398,0.158,-6.8945,-8.59425,-9.2945,-8.92825,-10.17075,0,-4.80425,0.2125,-0.48475,177.63,265.6225,-104.604,233.8475,262.2225,-0.56,-0.056,-0.25,-0.35,-0.76,-0.5,-0.43,-0.22,-0.1,-0.38,-1.8588,-0.817225,1.4105,2.693775,4.00635,5.0858,7.085175,8.89925,9.87445,-1.2049,-0.07215,2.11835,3.120825,4.503425,5.2404,7.134325,9.16475,10.203075,-1.091125,-0.105325,1.3805,2.4123,4.169875,5.296375,7.7329,9.8138,10.9286,-2.934625,-1.29475,0.60775,2.5105,4.04075,4.88225,7.348625,9.526375,10.506175,-3.4287,-2.28295,0.120625,2.017375,3.617625,4.799975,6.98755,9.052225,10.32035,-21.399775,-18.3304,-27.58205
