DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,H2O_1_6_2,H2O_1_6_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_6_1
1,0.25,2.87842954823347,12.425502669614,0.335115051709143,1.51162759561761,0.575441217341296,1.11928492766583,4.40115571617672,0.606661726633673,0.196799338462905,-1.81280912324115,6.7050520376136,0.540430236352454,2.85,2.2875,1.01,0.75,0.4825,11.7626,11.65025,11.24915,11.076875,10.1495,9.148575,8.132975,97.63742,83.065,5.56535,8.0275,8.0875,8.5625,8.6975,8.715,0.7,-2.3025,1.4,-1.42,0.905,325.675,366.15,347.525,354.325,0.08,0.0175,0.22,0.1775,-0.16,0.24,0,0.11,0.2675,0.05,9.823,10.944,11.698,7.877,8.674,9.658,10.269,11.268,12.1555,12.95,13.6905,16.248,8.975,9.74,10.715,11.543,12.414,12.76675,14.04675,14.968,16.8485,9.392,10.085,10.926,11.418,12.316,13.127,14.428,15.157,16.582,7.51,8.401,9.719,9.953,10.648,12.727,13.504,15.718,-4.108,-8.313,-39.8975,10.609598515449,10.9110891940062,11.3858816429318,10.6454241104072,11.4832141936328,10.733680396171,11.9174613453349,10.6237512777053,10.9800396835908,10.5802655159294,11.2823546856089,10.2771305807598,10.1589313994948,432.60480111325,432.141080607642,427.205417311849,433.089996530884,428.660984339221,434.529734114044,430.357788452816,435.58592936819,431.102898515176,439.341501939205,435.968072909403,451.523871061521,442.418961375797,2359.90337480368,2154.60914611716,2191.99258017825
1,0.75,2.9376111405152,12.4119698423599,0.312357565058335,1.68704544108799,0.453523100494771,0.214810114661568,5.22242283720731,-0.0443773404304797,0.19661223489792,-0.824129363072978,7.72372931072787,0.573273937896966,2.78,2.29,1.01,0.7225,0.49,11.6523,11.485,11.346075,11.0078,10.1757,9.119625,8.215675,97.633675,82.545,5.9418,8.1225,8.125,8.5425,8.9125,8.525,0.7,-2.22,1.3,-1.385,0.8325,329.45,366.45,347.4,354.7,0.08,0.01,0.23,0.18,-0.16,0.2225,0,0.11,0.265,0.05,9.761,10.869,11.677,7.782,8.513,9.559,10.222,11.262,12.148,12.95,13.685,16.246,8.816,9.593,10.63,11.511,12.42,12.768,14.043,14.9675,16.8475,9.31,10.013,10.901,11.4,12.319,13.131,14.429,15.156,16.583,7.299,8.228,9.669,9.926,10.66,12.726,13.503,15.717,-4.13525,-8.24175,-31.685,10.6307159427363,10.6713884582479,10.582314436092,10.5751157025874,10.0580002419134,10.6973570016202,11.8276028833048,10.7891555975938,12.0231114486721,10.7480700240466,10.6017789050939,10.2436198543271,9.8420372945971,432.47272191487,432.339624319811,426.805676133901,432.832253689127,425.818945023312,434.741702250746,428.915841877549,437.068830012716,434.232268673426,441.281340629263,433.999544340415,449.601881496071,443.479901053481,2352.04724533452,2121.28207999261,2288.54082661351
1,1.25,3.2168272630866,12.4641414954822,0.326550855071032,0.739233696548209,0.66316651695072,1.06469119844073,2.69464125369122,0.204953530296127,0.212770649568639,-1.58456855760849,4.88246259027258,0.636499332774608,2.94,2.32,1.05,0.76,0.49,11.6397,11.42925,11.213225,10.997075,10.0751,8.884725,8.023,97.61213,82.595,5.784,7.94,7.8525,8.3375,8.72,8.5125,0.7,-2.375,1.4,-1.4,0.83,327.05,366.25,344.95,354.575,0.08,0.01,0.22,0.18,-0.16,0.24,0.01,0.1,0.255,0.05,9.67,10.874,11.664,7.705,8.422,9.446,10.175,11.205,12.153,12.953,13.685,16.243,8.727,9.453,10.579,11.458,12.41275,12.76825,14.0285,14.96875,16.8465,9.171,9.883,10.885,11.381,12.322,13.135,14.429,15.155,16.582,7.282,8.165,9.611,9.899,10.671,12.725,13.501,15.716,-4.047,-7.882,-36.3925,10.6848568810705,10.8009291043559,11.0133541731482,10.4683266844122,11.1033355326473,10.5477137277499,11.2750760446747,10.4837083057987,10.3727596756788,10.418921431833,10.2846673099566,10.1945798169724,10.1251839530097,432.461356923365,431.553225611067,426.993304896166,432.204381516434,427.807899228551,433.344668283999,431.227098804867,437.695817204747,433.746532306978,441.327198606189,441.06269081171,448.462608814852,450.391512835488,2259.84661156268,2203.91488785782,2144.29220917413
1,1.75,3.18564438564096,12.2118067487181,0.320970760706853,0.790557585616107,0.782916086322242,1.94388178007683,3.08017409023649,-0.382016742168344,0.160934281233247,-0.850099939173751,5.96640741991737,0.56688168922717,2.91,2.38,1.07,0.77,0.49,11.457475,11.455,11.1369,10.8454,9.839275,8.7589,7.54635,97.61412,82.7875,5.723675,7.95,8.02,8.345,8.73,8.475,0.6,-2.41,1.3,-1.44,0.95,325.1,365.8,344.75,354.05,0.08,0.02,0.23,0.18,-0.16,0.24,0,0.11,0.26,0.05,9.60425,10.80325,11.633,7.63625,8.41125,9.3615,10.1055,11.21,12.17125,12.9535,13.6925,16.254,8.64325,9.2775,10.49525,11.40375,12.41125,12.76875,14.02825,14.9685,16.857,9.1005,9.70975,10.83325,11.33075,12.32175,13.1245,14.42625,15.153,16.58075,7.2425,8.1075,9.543,9.87225,10.669,12.72575,13.5035,15.72275,-4.12025,-7.9735,-36.81,10.5327151651101,10.8015222697021,10.7683572231126,10.5193444405988,10.2098815880424,10.6773311887714,10.0920043518254,10.5177660237227,10.780010531232,10.5211000269599,10.9790911367606,9.97537980405458,9.87535979549877,432.839686185264,431.705212459801,426.703406091286,432.723953644128,427.051629322409,434.274166560167,429.727557889981,437.638919586535,433.260795940529,442.501590001654,436.776573485438,451.577587618631,443.512915207564,2270.58514735963,2141.84902231515,2196.39499940822
1,2.25,2.94606429206345,12.179909911557,0.305621375999533,1.39560434280265,0.623350128484876,1.38196465912547,0.6490554188027,2.59624427614073,0.169127071207259,-1.87847380600473,6.14629763043467,0.585608469748435,2.7225,2.24,1.04,0.74,0.47,11.49655,11.38,11.1915,10.7948,9.756875,8.9266,7.64745,97.6095925,81.17,5.81545,7.75,7.87,8.32,8.46,8.465,0.7,-2.77,1.4,-1.4075,0.9,326.8,365.1,345.4,353.95,0.08,0.01,0.22,0.18,-0.16,0.23,0.0025,0.11,0.275,0.05,9.54925,10.756,11.6125,7.51575,8.27375,9.32125,10.07225,11.213,12.175,12.95175,13.68775,16.2525,8.5405,9.13575,10.423,11.35425,12.409,12.77,14.02725,14.969,16.8555,9.04225,9.64525,10.80475,11.3135,12.3255,13.12575,14.42625,15.15075,16.5815,7.14825,7.933,9.465,9.85025,10.67575,12.725,13.5025,15.7215,-4.293,-8.15825,-38.38,10.5068389898168,10.499959528028,10.3472659897863,10.1291256393542,10.2141731659351,10.2602121148512,10.5136045147886,10.2321013395358,10.6699998010765,10.2792331904566,9.95336006389907,9.84608288472853,9.46137034968038,433.002532395649,432.28463268704,427.676425634773,432.605919438218,429.191064532022,436.333330621323,428.228016975095,439.702579310176,433.042234751337,443.024289241631,443.821646372735,451.042418245312,445.711132880519,2167.72293572127,2120.40508007169,2110.1004234782
1,2.75,2.77232720140651,12.007394991648,0.337518370076574,0.450642812979391,0.760818098433311,1.05713805546992,3.20511347241079,-0.797826378672157,0.171022219400527,-1.23700498288143,2.94506842790183,0.554804810097195,2.6675,2.26,1.0125,0.735,0.48,11.48005,11.336,10.8743,10.6641,9.7202,8.4939,7.54795,97.6018825,81.95,6.4806,7.69,7.78,8.025,8.395,8.455,0.7,-2.41,1.5,-1.43,0.8,329.9,364.7,345,353.75,0.08,0.02,0.23,0.18,-0.16,0.235,0.0025,0.11,0.265,0.05,9.4645,10.6785,11.58825,7.4725,8.1845,9.263,10.0375,11.215,12.17825,12.95075,13.68325,16.2505,8.45425,9.1115,10.374,11.3405,12.41175,12.783,14.027,14.9695,16.84325,8.96725,9.59925,10.75975,11.29525,12.3275,13.12625,14.42625,15.14825,16.5805,7.015,7.80675,9.38,9.825,10.67775,12.72425,13.50225,15.71925,-4.4,-8.1495,-33.52,10.4689428689748,10.3410285800061,10.7168285424402,10.0996902172728,10.8390491588729,10.2269815048336,10.8017388905535,10.1618037919924,10.7454609839835,10.2014723301618,10.8969221652671,9.68477386911986,9.70520674374364,432.86900640701,432.082968109972,426.639952831128,431.710231332552,427.127385417664,435.208241392802,426.989205677438,437.906708071512,432.823673562144,441.057465324116,433.60914629532,453.439099711736,442.12229824466,2251.30800114703,2042.5806718127,2189.17580224209
1,3.25,2.96750315913991,11.9477686939322,0.356098222246671,1.03242299754301,0.342774217997026,0.639663473293851,8.78953460201217,0.872611324284143,0.179508851638809,3.49752919205359,7.17403344438556,0.564517381455857,2.9275,2.38,1.0025,0.72,0.48,11.32895,11.123,10.8306,10.5214,9.746475,8.40555,7.4834,97.59771,81.97,6.2086,7.57,7.72,8.025,8.22,8.43,0.8,-2.51,1.5,-1.42,0.7125,331.1,363.3,344.45,353.1,0.08,0.01,0.23,0.18,-0.16,0.225,0,0.11,0.27,0.05,9.33675,10.64525,11.5545,7.324,8.09125,9.195,10.0185,11.2125,12.18125,12.95025,13.68275,16.2415,8.40675,9.0275,10.3375,11.32675,12.4145,12.7915,14.02675,14.9665,16.84225,8.94075,9.525,10.7115,11.2765,12.33275,13.127,14.42575,15.145,16.58125,7.047,7.8015,9.295,9.79425,10.679,12.72375,13.50025,15.7185,-4.448,-8.173,-32.275,10.2317068901924,10.4352731762902,10.6428981527415,10.1794271933522,9.98077319134521,10.2968824372558,11.6223659661459,10.1330989028131,12.0269745552535,10.0963788972554,10.3835362461544,9.88725362684443,9.52616702641426,433.282056603078,434.548551204718,427.81195973625,433.774700457683,428.042374470964,436.779832455071,427.41810937526,437.859617515871,432.600611199417,441.665587061619,439.795208385926,454.642138236229,446.645477132659,2164.42952634721,2078.29407583409,2120.03632517974
1,3.75,2.86729948074102,11.7508360499028,0.356004563325033,0.783414972788455,0.630042127167063,0.28416767322262,8.25010720662322,2.06492455712051,0.188852106559448,-1.03587570912094,5.54679555988631,0.5678992555912,2.6825,2.2325,1.01,0.75,0.475,11.093625,10.92,10.6967,10.47485,9.491675,8.1493,7.289725,97.58535,82.12,5.371825,7.5,7.57,7.95,8.23,8.31,0.8,-2.26,1.6,-1.4,0.86,326.8,362.2,345.6,352.4,0.08,0.01,0.23,0.18,-0.16,0.225,0.01,0.1075,0.265,0.05,9.28275,10.55825,11.53,7.26075,8.004,9.114,9.98925,11.21525,12.18425,12.94925,13.68225,16.239,8.276,8.99425,10.2825,11.29975,12.41625,12.7925,14.02675,14.969,16.84125,8.86425,9.46875,10.653,11.257,12.337,13.1275,14.426,15.14,16.57675,6.97875,7.805,9.211,9.76275,10.67625,12.72225,13.49925,15.7175,-4.5685,-8.273,-34.11,10.2681472442376,10.1683122095943,10.6797379864323,9.94362910525619,10.3976853467225,9.95430371100505,10.2750029494982,10.0255099532083,11.5167183843615,9.88022787495453,10.0590930930069,9.54202106274917,10.1869849105939,433.418442241216,432.784612820986,425.825120664109,433.440085523701,427.451836373495,435.16618784705,428.551893824889,437.238248874928,433.510325554626,443.315433313381,437.306661125499,454.629912222765,446.952170181958,2347.50864633559,2028.49783438913,2090.25807037426
1,4.25,2.92075896959093,11.6162506360098,0.375457033477622,1.33210066596708,1.03416262840447,1.35139523201027,3.98348147020893,-0.329907330639676,0.173577073786975,-3.52487649250669,5.09059354958101,0.542762007785486,3.03,2.4725,1.03,0.8025,0.52,11.1451,10.8445,10.752575,10.3451,9.529,8.1778,7.32665,97.57398,81.07,5.5332,7.4375,7.6225,7.9225,8.145,7.9825,0.7,-2.735,1.5,-1.4525,0.95,326.45,361.75,345.425,350.7,0.08,0.02,0.23,0.17,-0.16,0.23,0.01,0.105,0.26,0.05,9.312,10.501,11.505,7.265,7.968,9.047,9.942,11.203,12.18725,12.949,13.68,16.229,8.199,8.898,10.203,11.267,12.414,12.7885,14.022,14.9655,16.829,8.783,9.422,10.578,11.237,12.339,13.125,14.424,15.1275,16.574,6.926,7.749,9.16925,9.724,10.666,12.718,13.495,15.71,-4.7255,-8.3285,-39.4725,10.3147734789861,10.1656812161609,10.0401760931448,9.9951407243482,9.99533435252741,9.99115863133619,10.0868443940446,9.92561190283833,10.6957501397763,9.90773638004979,10.3451088826545,9.47430271273529,9.40681759789824,432.866204275269,432.144756539329,429.266248093936,433.269691476396,431.286748194406,434.498024275071,428.253920951542,436.130889949696,433.388424628441,440.362062814902,438.923998163916,448.459950632085,440.709618118408,2065.49194689795,2037.24472879966,2060.47981556878
1,4.75,3.17466153257792,11.7202471257227,0.456849357512229,1.02736666741487,0.323819536592162,1.04459735749795,4.1168188785104,0.427216551132078,0.157612685963511,1.2315704654196,6.54339372564452,0.602334215625662,3.15,2.3825,1.05,0.7825,0.485,11.1387,10.866,10.5992,10.35105,9.5342,8.077775,7.243975,97.59808,80.955,5.6523,7.3225,7.5675,7.85,8.0625,7.8925,0.7,-2.76,1.5,-1.4925,0.77,319.05,361.25,344.225,349.7,0.09,0.01,0.23,0.18,-0.16,0.2325,0.01,0.11,0.255,0.05,9.358,10.486,11.487,7.167,7.906,8.995,9.894,11.206,12.188,12.947,13.68,16.227,8.119,8.743,10.144,11.221,12.411,12.78475,14.022,14.96125,16.828,8.749,9.315,10.504,11.235,12.337,13.125,14.423,15.12425,16.573,6.955,7.623,9.12875,9.694,10.664,12.717,13.495,15.708,-4.7545,-8.381,-44.6875,10.3185129737556,10.0507705800764,10.0931780815992,10.0312655950832,10.4624076084587,9.99201760817186,9.89868583859102,9.64416030036668,10.1093246252718,9.82383593846827,9.88823571537606,9.2380370468724,9.36646832414052,432.085947820241,431.410790849238,425.720135187062,432.576628166281,426.356756592633,434.317418514266,427.955948078195,436.311965062581,433.266523702255,440.130311218003,432.661968678078,451.655909522388,441.488053378393,2288.40332991841,2028.37947307856,2226.29769424703
