DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,409.0194,4.69505,409.1562,3.900975,1942.51015,412.9888,4.7724,412.977,4.67455,1946.247775,411.202275,4.92075,412.913,6.1546,1944.075,413.0098,5.08675,416.066675,3.35455,1944.94475,416.9771,5.5385,410.858,5.577,1955.39835,422.24635,5.8578,424.7463,6.130925,1952.60015,0.529,3.992375,0.064375,415.497,2.9826,-3.00345,-2.2544,-3.37425,-41.7077,-21.520375,0.049375,-151.572,-37.3641,0.1765,0.506,0.44825,0.3425,0.34925,0.222,3.69795,3.180675,3.2604,3.2432,3.05545,2.090075,1.277575,96.043475,31.86,0.2947,2.199,2.47,2.8525,2.875,2.941,0,-6.017,0.4,-2.8675,-0.84,250.36,333.18,-95.582,300.5425,324.3275,-0.41,-1.98,-0.26,-0.4,-0.33,-0.78,-0.30725,-0.2,-0.2,-0.52,5.8816,7.3662,9.155,2.8654,3.8876,6.19685,7.519,9.5036,10.115775,11.7276,12.402275,14.92055,4.4244,5.411,7.4786,9.0908,10.4819,11.71075,13.1815,13.82505,15.221075,4.4802,5.608,7.9496,8.9486,10.6688,12.1132,13.348,14.4084,15.45275,2.3348,3.7776,5.977,7.4588,9.0018,11.873,12.3158,14.3735,-10.7145,-14.1165,-20.5926
1,0.75,417.414825,4.88675,413.7126,4.042575,1948.416,418.265,4.778,415.0905,3.4345,1958.6258,417.7245,4.8025,417.01505,5.01465,1957.502175,418.05915,4.98145,413.621875,6.08275,1941.99845,418.6245,5.3845,417.818075,4.718075,1947.9488,421.9441,5.601,420.850025,6.1279,1941.75445,0.5619,3.9819,0.0514,415.2445,2.83,-3.686075,-4.940625,-4.0046,-20.06105,-18.49885,0.04435,-86.9699,-32.905625,0.16905,0.469,0.4855,0.365,0.269,0.162,3.538,3.1957,3.284425,3.229,2.625225,2.21455,1.407825,96.005525,30.209,0.1804,2.165,2.364,2.79,2.985,2.56025,0,-6.1395,0.5,-2.887,-0.825,250.4,333.12,-93.92875,300.495,324.24,-0.41,-1.98,-0.257,-0.41,-0.33,-0.78,-0.3,-0.2,-0.2,-0.52,5.807,7.3064,9.1112,2.7728,3.7936,6.11675,7.4798,9.5078,10.1134,11.7276,12.4002,14.9201,4.3218,5.34,7.4176,9.066,10.4841,11.71175,13.1534,13.8249,15.21525,4.3536,5.541,7.8974,8.9362,10.6768,12.1124,13.3468,14.4088,15.451625,2.1988,3.6972,5.9034,7.4314,9.0078,11.8534,12.3104,14.3725,-9.258,-14.58815,-22.4467
1,1.25,411.1509,4.75185,411.9373,3.66425,1948.052125,412.1751,4.928,412.090675,5.211225,1952.82025,410.8492,4.866125,411.7394,5.081,1954.0166,411.2035,4.9052,417.76895,3.406875,1955.34,415.240425,5.2465,414.902325,3.933725,1957.578,422.4066,5.45605,422.91575,5.6104,1961.69,0.54425,3.827,0.06925,415.69425,2.97675,-2.062675,-3.58865,-1.3834,-71.3228,-21.272,0.04725,-87.0386,-28.3474,0.15825,0.512,0.48275,0.36,0.3,0.19,3.73595,3.262,3.32805,3.1871,2.7355,2.212425,1.2208,96.015575,29.3885,0.222,1.961,2.244,2.86,2.7875,2.61475,0,-5.5425,0.6,-2.84275,-0.812,251.13,332.91,-93.1025,298.4025,324.1875,-0.41,-1.98,-0.25,-0.41,-0.33,-0.78,-0.3,-0.2,-0.2,-0.51875,5.7972,7.2436,9.068,2.6754,3.6982,6.04285,7.4428,9.5111,10.112,11.7246,12.396175,14.9191,4.2064,5.2596,7.353,9.0402,10.485925,11.713675,13.145975,13.831125,15.212125,4.2706,5.4562,7.8472,8.924,10.6838,12.1134,13.3458,14.4082,15.4507,2.1308,3.6114,5.8334,7.4058,9.0096,11.8457,12.305,14.369975,-9.7975,-14.770675,-22.761
1,1.75,415.1165,4.7971,414.002,5.181,1965.479075,415.698125,4.67285,417.513125,4.59325,1962.955375,415.41905,4.571875,416.5977,4.6355,1962.8169,415.246,4.9801,414.8012,5.925,1956.428425,416.01875,5.1952,416.205875,6.05095,1963.198,421.63805,5.30915,421.2976,6.0498,1965.274275,0.4642,3.7392,0.058025,415.7045,3.38815,-2.385625,-2.9105,-3.981825,-29.1423,-14.651875,0.056,-55.269875,-24.7225,0.176475,0.5,0.4425,0.37225,0.289,0.19,3.731,3.23575,3.3317,3.09695,2.5575,1.9164,1.3128,96.11475,29.269,0.297875,1.91825,2.1955,2.72825,2.889,2.7365,0,-5.46,0.3,-2.945,-0.72275,248.0025,331.8375,-94.5025,299.67,323.945,-0.41,-1.98,-0.25725,-0.41,-0.33,-0.78,-0.3,-0.2,-0.2,-0.519,5.73715,7.177075,9.0251,2.584725,3.628725,5.954925,7.4049,9.51435,10.11245,11.720225,12.389875,14.9162,4.136175,5.16855,7.278025,9.0113,10.486975,11.716525,13.139725,13.838875,15.2015,4.22345,5.38625,7.792275,8.908775,10.6868,12.11335,13.343575,14.4084,15.4497,2.055375,3.524575,5.7652,7.3795,9.006225,11.83815,12.29635,14.36855,-9.7447,-14.86285,-20.935
1,2.25,411.968925,4.545825,412.830475,4.228825,1957.5441,413.20395,4.658,414.29775,4.8641,1968.3352,412.2974,4.6355,412.9537,5.161875,1964.9672,412.846625,4.47435,419.027875,3.686625,1961.684,415.108,4.95795,415.5636,5.3278,1963.902125,421.73875,5.2101,422.6545,5.74795,1960.286,0.5013,3.57305,0.06925,414.845475,3.4464,-1.848875,-2.8191,-1.456375,-27.481875,-35.5045,0.051325,-70.9864,-31.89085,0.1481,0.5265,0.51,0.3545,0.319,0.18175,3.4805,3.1191,3.3005,3.2216,2.63375,1.7278,0.8798,96.11875,29.532,0.336,1.91275,2.06925,2.648,2.71125,2.5205,0,-5.6125,0.5,-2.8425,-1.11675,248.0275,330.63,-94.8195,298.55,323.815,-0.41,-1.98,-0.26725,-0.41,-0.33,-0.78,-0.3,-0.2,-0.2085,-0.51,5.71525,7.128025,8.98935,2.510925,3.53475,5.88795,7.36995,9.51745,10.11545,11.719825,12.3831,14.9156,4.0401,5.080725,7.206175,8.984575,10.488375,11.71945,13.1314,13.84525,15.19725,4.124525,5.320475,7.739675,8.892875,10.6917,12.114175,13.3434,14.4081,15.4487,1.925625,3.4482,5.6998,7.3494,8.998325,11.83395,12.290875,14.3671,-9.8239,-14.9887,-20.985375
1,2.75,412.069,4.3663,413.7443,5.09915,1957.723375,414.659,4.4905,414.902325,4.698625,1964.8411,413.096925,4.538225,416.065,5.505,1963.913375,414.50335,4.7359,415.1049,6.041,1958.32825,418.8756,5.09845,414.3826,5.80295,1960.87475,421.6842,5.382,420.654275,6.436625,1959.59075,0.675925,4.590575,0.07,416.4951,3.1765,-1.838375,-3.8274,-1.3201,-38.328825,-26.7334,0.04965,-55.544675,-31.98475,0.170925,0.51,0.36125,0.36225,0.289,0.19175,3.709,3.2228,3.4722,3.3768,2.71525,1.6094,0.793,96.092,30.6665,0.3832,1.75,1.944,2.5035,2.55675,2.413,0,-5.747,0.6,-3,-1.18525,247.91,330.6925,-93.99725,297.855,322.52,-0.42,-1.98,-0.26,-0.41,-0.33,-0.78,-0.3075,-0.2,-0.2,-0.519,5.684425,7.06535,8.952275,2.42485,3.4179,5.81805,7.334525,9.51675,10.118125,11.72495,12.3772,14.9146,3.94975,4.997875,7.13945,8.956725,10.48945,11.72225,13.12575,13.881,15.196,4.04285,5.243975,7.686725,8.875975,10.69625,12.114175,13.342225,14.40745,15.4486,1.813425,3.363925,5.6348,7.306125,8.991075,11.835625,12.28705,14.36565,-9.52065,-15.0722,-21.4566
1,3.25,416.7327,4.3674,413.4031,3.8522,1951.7199,418.2968,4.139875,412.485175,5.010375,1959.5096,417.3638,4.15205,412.872625,5.006125,1957.518525,415.83815,4.0135,416.98555,5.0634,1957.50165,418.804875,4.5146,416.36025,4.6415,1961.574475,422.0342,4.651175,417.9728,5.6029,1958.956125,0.671875,3.615375,0.072125,416.66585,2.8556,-1.669925,-3.933975,-3.2221,-33.298575,-21.786675,0.05175,-76.2728,-44.2383,0.173125,0.55275,0.42,0.3745,0.3,0.18175,3.46575,3.006875,3.2067,2.9569,2.392,1.6124,0.4946,96.0835,29.897,0.3632,1.511,1.80925,2.21675,2.30475,2.174,0,-5.6775,0.4,-2.98,-1.12,248.4575,330.7275,-94.676,295.7,321.615,-0.41,-1.98,-0.25,-0.41,-0.32,-0.78,-0.3,-0.2,-0.2,-0.52,5.631475,7.085925,8.9182,2.3129,3.31985,5.747625,7.282025,9.51295,10.121475,11.72395,12.371425,14.914575,3.836325,4.912225,7.07785,8.928875,10.48985,11.723375,13.11925,13.8817,15.1952,3.950325,5.198825,7.63495,8.8589,10.6998,12.115175,13.341225,14.40745,15.44755,1.70185,3.280175,5.5724,7.26185,8.983825,11.8373,12.2824,14.36475,-9.998675,-15.1929,-21.18315
1,3.75,415.2115,4.08585,411.577875,5.172975,1956.208375,415.87105,3.9732,416.2013,4.77155,1963.51975,415.542,3.8654,414.31355,5.0525,1963.939375,415.30525,3.95075,415.1336,5.7965,1948.976725,416.45315,4.48245,413.7144,5.7604,1957.9699,421.734475,4.76725,419.53275,6.170725,1956.575575,0.559,3.44625,0.0715,416.1642,2.8805,-3.0326,-3.19315,-2.0521,-47.75295,-20.54225,0.04925,-63.21535,-24.04855,0.17075,0.41275,0.31,0.38225,0.289,0.16175,3.4635,2.992875,3.1023,3.0195,2.52375,1.487,0.37655,96.0785,30.29475,0.210925,1.27825,1.50825,1.99275,2.35575,1.934,0,-6.015,0.4275,-3.06275,-1.086,248.2025,330.41,-95.775,296.495,321.22,-0.41,-1.98,-0.26,-0.41,-0.32775,-0.78,-0.3,-0.2,-0.2085,-0.52,5.57075,7.00565,8.898975,2.220925,3.223275,5.677325,7.22775,9.50985,10.12415,11.72165,12.36595,14.913575,3.72345,4.78525,7.016375,8.89955,10.4896,11.724375,13.11685,13.879775,15.1971,3.85745,5.112725,7.5853,8.837725,10.7027,12.116,13.340225,14.408,15.4467,1.597025,3.205675,5.5126,7.2164,8.98035,11.8383,12.276925,14.3633,-10.41705,-15.308675,-21.3741
1,4.25,415.25925,3.768775,415.0827,4.06585,1948.24625,417.606,3.58975,415.797375,4.495375,1957.89615,417.148725,3.71095,417.322125,4.56125,1955.41585,418.459825,3.7856,420.33665,4.771375,1957.2005,419.03275,4.3243,416.966125,4.99425,1961.2302,421.7646,4.713225,417.3078,5.4242,1958.2824,0.57235,3.242575,0.06985,415.908175,2.851625,-3.15775,-3.9808,-1.6807,-35.6864,-15.872,0.045825,-60.2438,-28.94175,0.1333,0.53,0.4955,0.3425,0.2885,0.172,3.09315,2.7295,2.93735,2.77685,2.438125,1.528575,0.6069,96.067225,28.9855,0.2688,1.275,1.518,2.1575,2.38,1.91925,0,-5.5145,0.43,-3.1045,-1.03,247.72,329.33,-94.10125,297.4075,321.7175,-0.41,-1.98,-0.26,-0.41,-0.33,-0.78,-0.3,-0.2,-0.2,-0.51,5.4644,6.9734,8.8824,2.1446,3.1492,5.6389,7.1772,9.5062,10.125825,11.7258,12.3614,14.91455,3.6354,4.6824,6.9556,8.8712,10.491,11.72625,13.1214,13.878,15.1988,3.7484,5.0532,7.543,8.8164,10.706,12.116175,13.3404,14.4076,15.44685,1.5272,3.1314,5.45525,7.1712,8.9804,11.8419,12.2756,14.3627,-10.4204,-15.49525,-21.7152
1,4.75,415.592825,3.54925,412.055275,4.606425,1955.156975,416.611975,3.659125,413.71275,4.1255,1954.0025,416.4494,3.6492,415.4899,4.9456,1962.6216,416.3592,3.84875,415.03585,5.75205,1952.5744,418.119375,4.35995,414.44015,5.3883,1959.5135,421.90485,4.6001,419.6284,5.57075,1958.284575,0.5574,3.10875,0.081375,417.062175,2.85785,-2.87345,-3.60935,-3.78715,-50.3787,-23.2468,0.03755,-51.76085,-33.4174,0.16155,0.4775,0.4725,0.36225,0.319,0.19175,3.10985,2.613625,2.758875,2.6984,2.3129,1.265825,0.206525,96.0955,28.37375,0.22445,1.0415,1.28125,2.059,2.197,1.7755,0,-5.76075,0.5,-2.92,-0.861,247.5275,329.7925,-94.17125,295.915,320.995,-0.41,-1.98,-0.26,-0.41,-0.32,-0.77775,-0.3,-0.2,-0.2,-0.52,5.335725,6.9039,8.8581,2.0988,3.07685,5.565625,7.124675,9.499175,10.129175,11.726525,12.35475,14.91355,3.60145,4.61265,6.897,8.836525,10.49,11.728125,13.121675,13.896375,15.1937,3.642425,4.991625,7.502425,8.7914,10.70715,12.114525,13.33805,14.407825,15.445775,1.487625,3.05545,5.3966,7.12125,8.976175,11.8439,12.26845,14.36095,-11.076575,-15.503825,-21.78405
