DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,419.132,0.93885,410.236725,1.1493,1978.972225,419.2172,0.824575,409.7535,0.9975,1985.812625,419.5522,0.957975,409.9661,1.10425,1979.28125,420.0658,0.9898,410.3299,1.08635,1977.11075,0.972325,-19.029975,0.073775,412.105925,0.891125,-0.3364,-0.713025,-0.19185,-3.59085,-2.197675,0.040925,-80.5784,-9.2578,0.170625,0.79175,0.4525,0.15325,-19.53775,-19.434625,-19.545325,-19.52245,-19.536,84.7046,43.5,0.1675,-16.13,-15.00875,-14.758,0,-4.386,0.4,-1.11,179.34,239.06,-110.12,183.14,241.82,-0.298,-0.04,-0.49,-0.39825,-0.1,-0.55775,-0.11775,-0.36,-9.0602,-8.158,-4.29905,-2.4462,-0.4338,3.80035,4.13765,5.7376,7.7522,-9.7323,-8.13325,-4.645375,-2.9835,-0.47495,2.37035,3.22125,4.76375,7.831325,-9.612,-8.5004,-5.6064,-3.6384,-1.455775,2.4344,4.34645,5.7642,8.4324,-8.962,-7.4656,-4.6807,-2.759125,-0.316475,2.99225,3.3462,4.9956,7.3316,-10.5958,-8.252,-5.2662,-3.318875,-0.973,2.277,3.63745,5.0264,7.7354,-36.41815,-47.6788,-42.629
1,0.75,419.75225,1.003625,410.7502,1.0974,1980.376425,419.64495,1.04395,410.5145,1.019625,1986.63625,420.116725,1.0122,410.736375,1.054,1978.0017,420.125,1.028975,411.7288,1.0385,1978.95955,0.999,-18.83,0.052,412.5561,0.85075,-0.5366,-0.739,-0.093975,-3.32125,-2.173,0.047,-65.36665,-9.915875,0.219,0.69,0.486,0.1835,-20.0348,-19.7426,-20.01415,-19.95215,-20.24385,84.7258,42.578,0.16995,-16.12525,-15.102,-14.93625,0,-4.3965,0.2225,-1.133,179.6675,237.8675,-110.6685,182.5925,241.245,-0.3,-0.04,-0.49,-0.398,-0.1165,-0.56,-0.11,-0.36,-9.238,-8.1744,-4.3588,-2.4448,-0.4348,3.798575,4.13665,5.7356,7.7512,-9.76395,-8.22355,-4.67995,-2.982,-0.4767,2.37035,3.2219,4.76415,7.8309,-9.6109,-8.4434,-5.664,-3.6676,-1.454975,2.43265,4.34645,5.764225,8.4314,-8.8072,-7.5262,-4.6907,-2.7766,-0.317475,2.99325,3.3452,4.9938,7.3298,-10.6782,-8.2168,-5.2706,-3.354875,-0.964,2.277675,3.636975,5.0264,7.7334,-37.2675,-47.28875,-44.4096
1,1.25,419.8876,0.8479,410.7684,1.079475,1981.26905,419.8621,0.758775,410.6058,0.9732,1983.7358,420.553,0.91075,411.1575,1.06445,1975.925525,420.684475,0.8902,410.9215,1.0758,1983.292875,1.0155,-19.653925,0.041,412.788425,0.833175,-0.579,-1.510225,-0.40125,-3.4563,-2.633975,0.04305,-62.085275,-9.793,0.20925,0.788,0.475,0.1505,-19.7174,-19.592,-19.793525,-19.95615,-20.032,84.7164,44.037,0.14245,-16.12275,-15.134,-15.22825,0,-4.362,0.3,-0.80775,179.5725,237.325,-114.09975,181.515,240.27,-0.298,-0.05,-0.49,-0.398,-0.1,-0.56,-0.12,-0.35,-9.3779,-8.159,-4.4023,-2.440325,-0.4315,3.795475,4.13855,5.7336,7.7511,-9.81055,-8.310775,-4.7529,-2.9747,-0.478375,2.371025,3.2199,4.764675,7.82975,-9.679125,-8.40325,-5.7037,-3.6935,-1.455175,2.432425,4.34645,5.763,8.430925,-8.847275,-7.593,-4.7394,-2.783275,-0.3186,2.993975,3.345625,4.993475,7.329025,-10.79185,-8.1343,-5.2764,-3.39225,-0.956,2.276825,3.6375,5.0256,7.733975,-36.888375,-46.048475,-46.0456
1,1.75,419.8798,0.956025,410.6439,1.0643,1979.73265,419.78805,0.77165,410.4382,0.96865,1984.34785,419.9812,0.944775,410.6274,1.0607,1974.56025,420.24175,0.95825,410.763725,1.0601,1976.61455,1.107,-19.4259,0.042,413.12165,0.7944,-0.5388,-0.8033,-0.1964,-4.334,-2.4167,0.053,-56.39935,-9.476625,0.2387,0.852,0.5175,0.19,-19.648575,-19.5708,-19.793975,-20.00055,-20.186,84.7226,42.9045,0.1666,-15.96325,-15.402,-15.515,0,-4.1755,0.3225,-0.76775,178.9025,235.935,-112.59125,180.71,238.645,-0.29,-0.04,-0.49,-0.39,-0.09,-0.56,-0.12,-0.36,-9.4106,-8.1736,-4.447425,-2.4478,-0.432025,3.7914,4.13655,5.7316,7.750875,-9.894525,-8.3412,-4.82475,-2.97415,-0.47725,2.371025,3.21875,4.76385,7.829325,-9.765,-8.42445,-5.73975,-3.72015,-1.4546,2.4332,4.34645,5.761225,8.4307,-8.982,-7.6826,-4.792,-2.7974,-0.3198,2.993975,3.3444,4.9917,7.327475,-10.86465,-8.12365,-5.288975,-3.430825,-0.948,2.276025,3.6375,5.0258,7.732975,-35.8397,-39.084225,-46.324925
1,2.25,419.492825,0.97385,410.5756,1.0654,1975,419.165,0.901,410.4982,0.9835,1982.005,419.65975,0.973,410.45035,1.06925,1977.33,420.2334,0.99115,410.534225,1.082775,1976.4082,1.0524,-18.9072,0.0594,411.7573,0.79935,-0.916,-1.6135,-0.489875,-4.4476,-2.4708,0.043,-58.2582,-8.8966,0.2314,0.864,0.54,0.17,-19.433775,-19.5212,-19.7048,-19.918,-19.909,84.763,41.928,0.180625,-16.2595,-15.58825,-15.773,0,-4.11325,0.4,-0.72,177.7625,236.805,-111.049,180.6775,237.815,-0.29,-0.04,-0.49,-0.39,-0.09,-0.56,-0.11775,-0.35,-9.474075,-8.1632,-4.489875,-2.456,-0.4331,3.7878,4.13555,5.73205,7.749875,-9.95155,-8.39595,-4.88825,-2.9914,-0.4763,2.371025,3.21775,4.763675,7.829325,-9.8894,-8.453525,-5.7705,-3.7447,-1.455575,2.432975,4.34645,5.759225,8.4297,-9.12365,-7.6918,-4.848,-2.810925,-0.32265,2.994975,3.342625,4.989925,7.3257,-11.018125,-8.166175,-5.302425,-3.469075,-0.939,2.275175,3.63755,5.025,7.732525,-38.0337,-35.2322,-46.712875
1,2.75,419.24775,0.8228,411.0095,1.1168,1970.66035,419.382,0.799,410.173975,0.9975,1976.060125,419.545175,0.84945,410.69525,1.065525,1970.0543,419.43275,0.8602,410.849375,1.067,1975.279475,0.95725,-18.89375,0.052875,412.0445,0.7856,-1.743,-0.97275,-1.153,-3.7356,-2.77375,0.046125,-62.86645,-10.770275,0.233,0.816,0.593,0.2035,-19.633175,-19.6042,-19.65485,-19.918,-20.0012,84.748825,42.01,0.22085,-16.232,-15.77425,-15.99975,0,-4.1055,0.2225,-1.02975,178.29,236.24,-113.03075,182.3575,237.1625,-0.29,-0.04,-0.49,-0.39,-0.09,-0.56,-0.11775,-0.35,-9.538975,-8.2078,-4.53085,-2.469,-0.435175,3.785,4.13355,5.73005,7.748875,-10.0619,-8.47015,-4.95015,-3.02225,-0.475475,2.371025,3.2182,4.76285,7.828325,-10.0797,-8.479325,-5.801275,-3.769025,-1.455775,2.432,4.34645,5.758,8.428925,-9.011775,-7.711125,-4.8744,-2.829425,-0.322825,2.994525,3.3414,4.988375,7.3247,-11.047075,-8.198,-5.31545,-3.50755,-0.93,2.27385,3.637075,5.025975,7.731525,-39.3191,-46.8,-45.56325
1,3.25,419.5305,0.789875,410.905,1.0439,1970.9452,419.486,0.800125,410.7442,0.9821,1981.295575,419.797625,0.8274,410.7645,1.0428,1976.82675,420.01285,0.8296,410.893,1.0547,1975.4644,1.032,-18.84885,0.0467,412.7149,0.773,-0.645625,-1.10885,-0.4695,-3.4946,-1.914275,0.043625,-66.489,-9.0405,0.197,0.94,0.6775,0.23,-19.73215,-19.5236,-19.5176,-19.947525,-20.01205,84.749125,43.55525,0.236,-16.3825,-16.02275,-15.9375,0,-4.09,0.3225,-0.83425,179.185,236.3825,-110.5255,183.9,237.3375,-0.29775,-0.04,-0.49,-0.4,-0.1,-0.55,-0.12,-0.35775,-9.569975,-8.3326,-4.582125,-2.481275,-0.4367,3.7812,4.132325,5.7286,7.74765,-10.21645,-8.58645,-5.017575,-3.05655,-0.4747,2.371025,3.216375,4.76285,7.827325,-10.307225,-8.559775,-5.828325,-3.79305,-1.455425,2.431,4.347175,5.756,8.427925,-8.93205,-7.740525,-4.8834,-2.8497,-0.323875,2.9938,3.3388,4.9866,7.32315,-10.814225,-8.19205,-5.332575,-3.552175,-0.921,2.272,3.63665,5.024975,7.7303,-41.156625,-46.559375,-45.60175
1,3.75,419.7946,0.8056,410.74525,1.042125,1971.8218,419.30695,0.784425,410.69365,0.958075,1985.7218,419.664025,0.8111,411.1015,1.0425,1972.582675,419.7048,0.817825,410.86,1.056,1967.112975,1.13935,-18.91435,0.05285,413.4016,0.7639,-1.0819,-0.768925,-1.48905,-3.4173,-2.191075,0.0604,-67.29925,-9.117225,0.2224,0.928,0.69175,0.27,-19.6967,-19.30395,-19.542625,-19.6153,-19.8615,84.7538,43.18575,0.20715,-16.7055,-15.735,-16.10375,0,-4.25325,0.3,-1.0305,179.3275,237.445,-109.716,182.7825,237.2075,-0.29775,-0.04,-0.49,-0.39,-0.1,-0.56,-0.11,-0.35,-9.724225,-8.4802,-4.640025,-2.4956,-0.438225,3.7776,4.1311,5.7266,7.74765,-10.412975,-8.7061,-5.088475,-3.09045,-0.4747,2.3717,3.2152,4.762675,7.827325,-10.537175,-8.697325,-5.85145,-3.8172,-1.456625,2.4308,4.347175,5.754775,8.42715,-9.067125,-7.7822,-4.901,-2.86955,-0.32585,2.99335,3.3376,4.984825,7.32215,-10.81185,-8.246325,-5.354575,-3.597675,-0.912,2.2713,3.6357,5.0242,7.7293,-42.71025,-46.691,-43.75115
1,4.25,419.602775,0.791,410.9577,1.0366,1987.308,419.178575,0.7496,410.251575,0.996175,1997.763875,419.7098,0.813975,411.126925,1.0321,1987.526,419.805,0.8392,411.0452,1.0266,1973.468075,1.1916,-18.809,0.0569,413.40345,0.767175,-0.237825,-0.7394,-0.2842,-3.9901,-2.396,0.0534,-63.6243,-8.114625,0.2263,0.956,0.6535,0.2235,-19.6212,-19.4876,-19.5632,-19.839675,-19.79455,84.7574,42.759,0.184,-16.74425,-15.33825,-15.7475,0,-4.25325,0.3,-0.653,181.015,237.94,-110.25425,183.0775,238.935,-0.3,-0.04775,-0.49,-0.39,-0.09,-0.56,-0.11775,-0.36,-9.7268,-8.569,-4.693625,-2.515525,-0.4468,3.774,4.1291,5.7246,7.74665,-10.469525,-8.7136,-5.1644,-3.12525,-0.47385,2.37205,3.2142,4.76215,7.826325,-10.790425,-8.84505,-5.873475,-3.843875,-1.456825,2.43075,4.3487,5.75355,8.42615,-9.072825,-7.7962,-4.9168,-2.9051,-0.32685,2.9929,3.3366,4.983275,7.320375,-10.8048,-8.4004,-5.3798,-3.642175,-0.904,2.2699,3.635275,5.0242,7.729075,-36.1905,-45.60195,-43.45075
1,4.75,420.229,0.7804,411.16895,1.052925,1983.939775,420.015,0.723625,411.256375,0.919375,1991.57375,420.0658,0.78695,411.1775,1.0116,1987.1699,420.01495,0.7964,411.462425,1.035025,1986.788,0.9242,-19.2111,0.04955,412.9099,0.7464,-0.827475,-0.771,-0.690575,-3.560875,-2.7974,0.0497,-59.443275,-6.617375,0.1851,0.736,0.5445,0.2135,-19.67025,-19.40435,-19.821175,-19.7493,-19.66025,84.7682,43.2515,0.115325,-16.266,-15.32325,-15.70425,0,-4.2855,0.245,-0.761,180.745,237.82,-107.784,182.895,238.48,-0.3,-0.05,-0.49,-0.4,-0.1,-0.56,-0.11,-0.35,-9.70095,-8.6032,-4.761675,-2.54655,-0.4504,3.771,4.127875,5.7226,7.74565,-10.47945,-8.700225,-5.24175,-3.1549,-0.472825,2.37205,3.213025,4.760625,7.8259,-10.8167,-8.991375,-5.899625,-3.873175,-1.458025,2.430525,4.348,5.75155,8.42515,-9.069425,-7.8,-4.929,-2.938,-0.3352,2.99245,3.33695,4.9815,7.319375,-10.6683,-8.58155,-5.4091,-3.686675,-0.896,2.2699,3.63485,5.0232,7.72785,-37.514575,-46.0597,-45.2454
