DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,421.807,6.136,418.949,5.944,1983.979,422.605,6.175,420.4245,5.9445,1994.706,422.821,6.524,420.472,5.8355,1988.388,422.531,6.256,418.663,5.658,1983.5,415.9945,6.6795,418.633,6.623,1993,424.4485,6.577,420.493,6.037,1989.041,1.3475,7.675,0.2145,416.822,5.8905,0.0485,-0.203,-0.0085,0.861,-4.13,0.157,-2.509,-1.038,0.4035,1.25,1.1,0.91,0.605,0.26,7.222,6.551,7.569,7.107,6.716,6.306,3.0985,88.334,60.99,3.7005,1.64,2.56,2.64,1.9,1.71,0.9,-3.95,1.9,1.235,272.85,334.5,-74.39,294.9,319.8,-0.08,-0.16,0.12,-0.24,0.06,-0.01,0.13,0.01,-0.19,-0.01,3.867,4.529,5.803,6.379,7.1,8.421,9.189,9.621,10.398,4.0725,4.922,5.8065,6.3635,7.0145,7.878,8.4205,10.3085,8.99,3.791,4.34,5.213,5.766,6.6385,7.2095,8.4315,9.3645,10.0075,4.619,5.189,5.7165,6.015,6.801,7.574,8.7205,9.3825,10.124,4.989,5.4115,5.815,6.0845,6.69,7.4415,8.5665,9.002,9.605,-4.791,-5.583,-7.077
1,0.75,421.319,5.807,418.47,5.7945,1985.697,420.965,5.848,418.939,5.856,1985.089,421.3775,5.88,419.9055,5.869,1993.2085,421.9435,5.7695,417.844,5.761,1984.2125,414.97,6.055,417.363,5.89,1990.3,423.276,6.0945,420.768,6.16,1984.367,1.233,7.488,0.228,416.713,5.556,0.168,-0.038,-0.068,-0.5165,-3.216,0.138,-2.6515,-1.8535,0.38,1.15,1.04,0.85,0.58,0.27,7.228,6.478,7.56,7.141,6.761,6.244,2.979,88.3435,55.29,4.2315,1.51,2.54,2.695,1.775,1.68,0.85,-3.975,1.9,1.115,275.1,334.8,-72.98,295.6,319.7,-0.07,-0.15,0.12,-0.24,0.06,-0.01,0.13,0.01,-0.19,-0.01,3.729,4.4975,5.758,6.365,7.099,8.418,9.1875,9.622,10.397,4.03,4.879,5.7895,6.353,7.0145,7.878,8.4205,10.3075,8.989,3.7415,4.2645,5.1995,5.748,6.639,7.208,8.4315,9.364,10.007,4.596,5.1415,5.7145,6.024,6.807,7.572,8.719,9.3745,10.1225,4.9555,5.4025,5.8145,6.079,6.6905,7.4405,8.5645,9.001,9.605,-4.9995,-5.964,-7.78
1,1.25,421.303,5.549,418.763,5.664,1985.715,421.392,5.643,419.561,5.1485,1988.026,421.569,5.656,419.738,5.322,1984.161,421.287,5.758,418.68,5.8965,1981.162,417.036,5.778,419.086,5.9175,1992.461,423.5315,5.81,420.8875,5.8375,1986.929,1.288,7.4455,0.213,416.959,5.2545,0.0405,-0.108,0.117,-0.401,-3.571,0.1385,-1.8685,0.799,0.3955,1.14,1.07,0.9,0.6,0.26,7.134,6.5385,7.656,6.994,6.67,6.306,3.351,88.346,55.01,4.653,1.53,2.46,2.67,1.785,1.59,0.7,-4.05,1.7,1.12,276.1,334.7,-74.935,296.4,318.5,-0.07,-0.16,0.12,-0.24,0.06,-0.01,0.13,0.01,-0.19,-0.01,3.68,4.4275,5.737,6.352,7.1,8.415,9.186,9.623,10.396,4.0025,4.823,5.7795,6.3365,7.0135,7.8785,8.4205,10.3065,8.9855,3.6925,4.276,5.186,5.729,6.6375,7.2065,8.4305,9.3625,10.006,4.5655,5.1245,5.7,6.013,6.803,7.57,8.7165,9.369,10.133,4.929,5.366,5.8055,6.0685,6.691,7.444,8.563,9.001,9.605,-5.081,-6.058,-7.622
1,1.75,421.133,5.541,418.354,5.581,1979.3605,421.608,5.457,419.452,5.8915,1984.484,421.6355,5.6225,420.535,5.82,1982.414,422.317,5.659,419.144,5.6205,1982.966,414.215,5.95,416.846,5.804,1989.7475,423.302,5.868,420.681,5.92,1982.667,1.243,7.677,0.235,417.029,5.344,0.102,-0.028,0.0275,0.814,-3.468,0.149,-1.864,0.338,0.41,1.17,1.06,0.88,0.62,0.28,7.2475,6.4955,7.579,6.9245,6.608,6.3115,2.7375,88.347,57.115,4.387,1.35,2.31,2.41,1.75,1.53,0.8,-4.11,1.8,1.21,271.9,334.3,-75.8,294.9,318.5,-0.07,-0.16,0.12,-0.24,0.06,-0.01,0.13,0.01,-0.19,-0.01,3.683,4.367,5.684,6.343,7.089,8.403,9.163,9.624,10.3615,3.982,4.7745,5.767,6.309,7.008,7.879,8.418,10.301,8.983,3.662,4.247,5.148,5.711,6.619,7.2045,8.43,9.36,9.996,4.535,5.09,5.655,6.001,6.799,7.565,8.705,9.361,10.122,4.914,5.321,5.794,6.057,6.69,7.443,8.5615,8.9985,9.6045,-5.216,-6.153,-7.748
1,2.25,421.254,5.7,418.8785,5.5915,1979.667,421.5765,5.8635,419.5555,5.655,1989.9005,421.682,5.891,419.971,5.15,1982,422.138,5.888,418.861,5.99,1979.82,414.853,6.298,418.8525,5.555,1983.467,423.866,6.0735,420.449,5.833,1983.078,1.287,7.871,0.236,416.937,5.296,0.101,-0.0085,0.02,1.042,-2.1925,0.154,-3.4335,0.2005,0.396,1.2,1.095,0.87,0.62,0.27,7.0875,6.308,7.449,7.023,6.689,6.388,2.6995,88.324,57.285,4.369,1.175,2.17,2.31,1.65,1.46,0.9,-4.045,2,1.24,272.5,334,-75.8,294.3,318.2,-0.065,-0.16,0.12,-0.24,0.06,-0.01,0.125,0.01,-0.18,0,3.6135,4.2905,5.6475,6.338,7.0855,8.41,9.162,9.61,10.348,3.929,4.75,5.739,6.285,7.007,7.8805,8.417,10.3045,8.982,3.605,4.196,5.135,5.689,6.618,7.204,8.429,9.359,9.996,4.481,5.083,5.627,5.987,6.803,7.559,8.709,9.361,10.108,4.889,5.277,5.78,6.047,6.69,7.443,8.5605,8.993,9.603,-5.34,-6.284,-8.0025
1,2.75,420.999,5.404,418.318,5.642,1981.6,421.223,5.515,418.463,5.7255,1980.237,421.388,5.543,420.266,5.8275,1979.742,421.755,5.9155,418.638,5.295,1977.158,414.365,5.487,416.899,5.958,1983.4835,423.408,5.682,420.0375,5.692,1988.1075,1.289,7.3895,0.2185,417.048,5.387,0.192,-0.255,0.0745,1.022,-3.932,0.1515,-2.5405,2.702,0.381,1.15,1.08,0.87,0.58,0.26,6.915,6.29,7.188,6.636,6.292,6.034,2.587,88.295,58.48,4.054,1.13,2.15,2.35,1.66,1.435,0.8,-4.21,1.8,1.26,271.5,333.5,-76.58,293.7,318.2,-0.06,-0.16,0.12,-0.24,0.06,0,0.135,0.01,-0.19,-0.01,3.546,4.2525,5.607,6.3225,7.086,8.408,9.161,9.61,10.3465,3.904,4.709,5.722,6.265,7,7.8805,8.417,10.3035,8.983,3.532,4.131,5.122,5.675,6.618,7.204,8.428,9.358,10.004,4.411,5.015,5.6,5.98,6.807,7.556,8.714,9.36,10.107,4.865,5.25,5.757,6.038,6.69,7.4335,8.559,8.994,9.597,-5.4985,-6.386,-8.0425
1,3.25,421.279,5.359,418.345,5.657,1981.8985,421.792,5.262,420.0545,5.579,1986.2765,421.207,5.641,420.5405,5.497,1986.97,421.836,5.602,418.4065,6.048,1979.608,414.248,5.3695,418.4485,5.991,1984.618,422.943,5.743,420.688,6.3015,1978.398,1.22,7.433,0.219,416.913,5.288,0.076,-0.0525,-0.218,-0.537,-2.3555,0.134,-1.335,-0.579,0.393,1.25,1.11,0.89,0.6,0.26,6.667,6.127,6.804,6.6065,6.309,5.932,2.93,88.2875,56.005,4.1315,1.135,2.13,2.32,1.71,1.385,0.8,-4.18,1.8,1.12,270.5,333.3,-77.05,292.85,317.95,-0.06,-0.16,0.12,-0.24,0.06,-0.01,0.13,0.01,-0.19,-0.01,3.487,4.194,5.567,6.3015,7.0865,8.4055,9.162,9.627,10.3455,3.912,4.683,5.708,6.26,6.998,7.878,8.417,10.303,8.984,3.461,4.0575,5.091,5.669,6.619,7.202,8.4295,9.3575,9.995,4.356,4.945,5.571,5.9805,6.8095,7.559,8.72,9.3665,10.105,4.825,5.21,5.759,6.028,6.6905,7.437,8.5575,8.9955,9.5985,-5.517,-6.423,-8.093
1,3.75,421.064,5.559,418.429,5.3295,1982.649,420.989,5.494,418.208,5.5485,1979.4565,421.438,5.4265,419.6285,5.807,1978.9125,421.348,5.481,418.3725,5.374,1979.317,413.751,5.799,416.478,5.872,1988.009,423.2525,5.829,419.9215,5.7475,1981.441,1.279,7.521,0.229,417.236,5.206,0.132,0.067,0.292,1.0295,-1.024,0.158,-3.795,-1.774,0.412,1.21,1.065,0.885,0.61,0.27,6.989,6.187,7.255,6.659,6.2555,5.934,2.634,88.2895,55.73,4.2975,0.92,2.09,2.11,1.63,1.32,0.9,-4.16,2.1,1.18,271,333.1,-75.18,291,317.9,-0.06,-0.16,0.12,-0.24,0.06,-0.01,0.12,0.01,-0.19,-0.005,3.358,4.12,5.533,6.279,7.093,8.396,9.164,9.627,10.3565,3.8365,4.6465,5.704,6.2805,7.001,7.8745,8.417,10.302,8.982,3.37,4.0505,5.0485,5.659,6.633,7.2035,8.4295,9.356,9.995,4.3085,4.917,5.547,5.9815,6.815,7.564,8.7205,9.365,10.104,4.7905,5.176,5.7515,6.0185,6.6905,7.43,8.529,8.9945,9.598,-5.4835,-6.521,-8.3645
1,4.25,421.07,5.4715,418.671,5.418,1978.288,421.6975,5.525,419.185,5.677,1984.205,421.4915,5.645,420.5775,5.404,1979.667,422.271,5.635,418.5485,5.0535,1979.029,414.4195,6.045,418.0555,5.298,1983.7515,422.97,5.629,419.617,5.74,1978.4,1.2,7.218,0.228,417.117,5.1735,0.097,-0.1215,-0.018,0.485,-1.7785,0.148,-3.926,-0.9625,0.405,1.135,1.05,0.86,0.6,0.27,6.959,6.3635,7.053,6.649,6.1965,5.844,2.6025,88.28,56.125,4.08,0.9,1.91,2.095,1.41,1.26,0.9,-4.115,1.8,1.315,270.55,332.75,-74.47,291.5,317.5,-0.06,-0.16,0.12,-0.24,0.06,-0.01,0.13,0.01,-0.19,0,3.353,4.057,5.494,6.269,7.09,8.4,9.165,9.626,10.366,3.8525,4.613,5.695,6.2715,7.001,7.874,8.418,10.301,8.981,3.3275,4.019,5.0055,5.6515,6.6335,7.204,8.43,9.3545,9.994,4.269,4.8745,5.5105,5.984,6.802,7.559,8.7215,9.37,10.103,4.728,5.1675,5.74,6.011,6.69,7.4405,8.527,8.9925,9.597,-5.537,-6.591,-8.653
1,4.75,420.983,5.249,418.77,5.21,1977.419,421.674,5.194,418.453,5.556,1981.643,421.769,5.216,420.176,5.3715,1977.312,421.645,5.229,418.45,5.608,1977.235,414.656,5.5375,417.201,5.971,1978.533,423.171,5.351,419.571,5.702,1979.083,1.1775,7.378,0.227,417.263,5.129,-0.091,0.02,-0.311,0.405,-0.254,0.1495,-1.2955,-0.3795,0.414,1.19,1,0.86,0.58,0.265,6.903,6.209,7.198,6.705,6.3,5.9055,2.442,88.272,55.275,4.064,0.82,1.96,1.97,1.51,1.22,0.9,-4.19,1.95,1.27,269,332.3,-75.78,291.35,316.55,-0.06,-0.16,0.12,-0.24,0.06,-0.01,0.125,0.01,-0.19,-0.01,3.2535,3.9965,5.4755,6.2345,7.099,8.398,9.167,9.6245,10.377,3.825,4.562,5.674,6.269,7.003,7.873,8.419,10.304,8.981,3.26,3.966,4.97,5.634,6.628,7.205,8.43,9.354,9.994,4.264,4.817,5.489,5.991,6.823,7.562,8.721,9.3725,10.101,4.667,5.149,5.715,6,6.685,7.431,8.526,8.996,9.596,-5.564,-6.5935,-8.486
