DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_6_1
1,0.25,0.451295420442006,-0.471729961755455,0.0583751633143246,-2.19220599874797,-2.7423548315709,-2.31005118241276,-35.0260237520775,-19.808107276162,0.0430732227899267,-56.5572783451551,-40.3179074464087,0.124752825830152,0.38,0.35,0.3435,0.27,0.15,-0.6728925,-1.08495,-0.702395,-0.72077,-0.951985,-1.126855,-2.571535,87.329395,18.40875,0.19529,-5.14425,-3.3225,-3.193,-1.756,-2.36725,0,-6.26875,0.2,-1.356,234.05,307.6775,249.2125,300.2725,-0.15475,-0.21,-0.18325,-0.47,-0.01325,-0.70325,-0.17,-0.11,-0.31,-6.279,1.864775,2.524675,3.99335,4.7969,5.901325,7.4656,8.399675,8.827125,9.554625,2.245225,3.348875,4.58465,5.07435,6.22505,7.4224,7.954875,9.901775,8.5453,2.062025,2.88715,3.852775,4.55105,5.650775,6.441675,7.79575,8.5648,8.64695,2.3554,3.08335,3.85245,4.596025,5.646375,6.8491,7.90435,8.49135,8.809325,2.73375,3.488275,4.384125,4.798425,5.7358,6.7189,7.3376,8.151475,8.718625,-12.8502,-9.703,-17.027,-100.632,1.58079065301385,2.73806062625667,2.82797373561633,2.85304589636069,2.90898223411369,3.53322068383008,3.10571169989577,399.620138368153,401.556442362027,405.126999541268,401.833627448469,405.761443451097,402.005235391531,407.448103749945,402.128073132068,410.383022286107,401.86686881641,404.986020646602,404.808778488881,407.301211329309,1954.55018733209,1947.94166922918,1948.14032150037,1947.01624091182,1954.61521239228
1,0.75,0.516230187503781,-0.680999547269202,0.0642900784844216,-0.953719793957754,-7.6964253727094,-1.98724595096546,-13.9528544106003,-20.7864078545038,0.0576993548359951,-39.7009960865292,-56.2824922990623,0.167515733982542,0.447,0.343,0.38025,0.3,0.1355,-0.7865175,-1.2172,-0.54934,-0.7770025,-0.9602425,-1.1766375,-2.660005,87.41780075,17.04625,0.1789075,-5.67675,-3.6565,-3.5345,-1.7825,-2.639,0,-6.172,0.2,-1.276,229.515,307.27,247.475,299.2175,-0.15475,-0.21,-0.18,-0.47,-0.02,-0.69325,-0.17,-0.11,-0.31,-6.24,1.821025,2.4867,3.976675,4.793275,5.90405,7.467225,8.39935,8.82645,9.55395,2.186475,3.316725,4.5388,5.077825,6.226825,7.42245,7.9548,9.900775,8.5453,1.970625,2.854375,3.84805,4.55105,5.651075,6.441675,7.79575,8.5648,8.646275,2.297075,3.07935,3.85145,4.5967,5.64625,6.8488,7.903675,8.491675,8.809,2.6844,3.473,4.38345,4.797425,5.737125,6.717175,7.3287,8.1508,8.717625,-13.316375,-9.864,-16.540125,-101.2245,1.91053495017302,2.71563747323519,2.50722156242837,2.70039502199551,2.91040709835545,3.50788179740877,3.04620804277474,399.514703699075,400.659674242824,406.841422057271,402.272823952905,406.913253009689,402.486992414717,408.699958053288,402.692682392639,410.383022286107,402.420729540087,407.317831567404,404.781301494214,408.696743371762,1946.28526236378,1970.05931086228,1969.21324826314,1970.28620519763,1971.19489437827
1,1.25,0.411849001136063,-0.657383130277593,0.0655506644773799,-2.79045882542006,-4.86956211829487,-1.93347602395043,-10.3352275800221,-47.2014674817116,0.0515649957049017,-73.2274285776214,-44.1743183991467,0.172100385555636,0.4225,0.3815,0.367,0.3,0.141,-0.6881975,-1.492025,-0.44285,-0.86439,-0.9260925,-1.18098,-2.955755,87.4280325,17.4425,0.127175,-5.8625,-3.721,-3.61875,-1.74975,-2.44225,0,-6.3575,0.2,-1.56,226.845,306.85,246.3375,298.8975,-0.15475,-0.20325,-0.18,-0.47,-0.02,-0.7,-0.18,-0.11,-0.31,-6.0975,1.7478,2.4734,3.9674,4.79,5.908125,7.469775,8.399025,8.826125,9.55295,2.1288,3.293675,4.4985,5.08115,6.227675,7.4225,7.9548,9.900775,8.52865,1.881075,2.826875,3.84235,4.551375,5.6524,6.442025,7.7961,8.5638,8.646275,2.244775,3.07535,3.85045,4.59605,5.6459,6.84815,7.903675,8.491675,8.80735,2.7144,3.44165,4.380775,4.795075,5.7371,6.71645,7.3284,8.1498,8.716625,-13.5764,-9.854875,-14.1806,-99.0405,2.07755996402608,2.45368604554441,2.69690063185926,2.64883983244683,2.50560751068764,3.33324091796729,3.03870881182224,399.041303360743,402.341369524532,405.385949684581,402.385146424723,405.192666903642,402.528219362594,408.632499551565,402.496393650892,409.841338054115,401.785126682094,405.394172345251,404.172404009841,406.760105314698,1951.68649324966,1967.67188270197,1947.49017487681,1947.48324002066,1947.90391682198
1,1.75,0.454371413603472,-0.13957468063508,0.0626935617515526,-4.18330093353942,-2.88266763350652,-5.97343198401976,-74.6605062666799,-33.0800925721203,0.0497862492086751,-23.1741251458126,-50.7442056781149,0.15365288743088,0.437,0.52,0.45,0.36525,0.141,-0.715,-1.5897,-0.7964375,-0.921255,-0.9397,-1.293195,-3.2843025,87.42095025,17.046,0.1549,-5.9375,-4.12175,-3.727,-2.3085,-2.77725,0,-6.1975,0.1,-1.1795,228.15,305.26,246.8425,297.6675,-0.155,-0.2035,-0.1835,-0.47,-0.01,-0.71,-0.18,-0.11,-0.31,-5.97,1.673275,2.469375,3.9544,4.7829,5.9093,7.4704,8.39925,8.82545,9.5511,2.08155,3.2576,4.46175,5.0803,6.2268,7.422075,7.9536,9.8988,8.5272,1.7906,2.7556,3.83815,4.5497,5.65125,6.44205,7.7958,8.5634,8.64445,2.179925,3.03275,3.84875,4.596075,5.646125,6.84725,7.902,8.49165,8.80635,2.6937,3.4083,4.37585,4.79055,5.73615,6.71515,7.32765,8.1498,8.71595,-13.777,-9.904875,-16.0494,-98.17,1.70268353120744,2.48671056611697,2.45941476403165,2.50620341774011,2.55411080975726,3.15106780635969,3.0273150746569,399.660182757148,401.756589711548,407.066619922864,402.117021212399,406.873175765091,402.23433030704,409.26413613519,401.838802184413,409.313859794673,401.754417500301,407.878555261153,404.328122610682,408.280829161113,1945.7639316451,1943.46688978158,1950.92974928643,1953.46693728926,1954.77683450513
1,2.25,0.475640391042907,-0.181730671065481,0.0641304963254853,-1.14538982919055,-1.84982351737026,-1.70121605337791,-35.3654822255844,-35.3135759343702,0.0583214544394391,-59.1695248192364,-47.4877393325791,0.13628241874692,0.428,0.3715,0.3895,0.35,0.13525,-0.16092,-0.9149,-0.14655,-0.42662,-0.5058625,-0.9011,-3.1318475,87.4082325,16.4475,0.15993,-6.059,-4.4805,-4.242,-2.2195,-3.0915,0,-6.17375,0.265,-1.225,229.59,304.645,246.715,296.97,-0.165,-0.2035,-0.1935,-0.47,-0.0235,-0.7135,-0.18,-0.11,-0.31,-5.85,1.61015,2.42915,3.93995,4.77845,5.91155,7.469125,8.3989,8.8251,9.549875,2.0438,3.221,4.4271,5.0818,6.2284,7.4216,7.9535,9.896875,8.5272,1.7089,2.68385,3.8347,4.54855,5.65,6.4422,7.7958,8.56275,8.64345,2.1514,2.9808,3.84675,4.5958,5.649625,6.8465,7.902,8.491,8.80535,2.67135,3.38405,4.37,4.7886,5.73615,6.7145,7.3329,8.1494,8.71475,-13.917825,-10.0239,-16.504025,-98.75375,1.80422935550796,2.5067118202782,2.53837798186661,2.61327946719448,2.66956564824914,3.15490795734679,2.7280253006107,400.188731779306,402.251062543696,405.799752444404,402.648026912153,406.188594268212,402.585849700682,407.919007524899,402.613208804419,408.786381535231,402.347363558239,405.62685031488,404.077061979161,406.595894795097,1951.5431020889,1943.72037675617,1953.89686879409,1950.33298324074,1944.54304359151
1,2.75,0.453389704522839,0.155783409640381,0.0767358348224896,-0.861281984911999,-2.02885833647069,-2.65586518487976,-13.2285308000861,-40.5144439401529,0.0593125795758833,-37.5622590013678,-41.1046311360489,0.181198509763097,0.457,0.442,0.3995,0.33,0.15,-0.28988,-1.1402,-0.2179875,-0.4061,-0.40215,-0.87528,-3.55839,87.38996025,15.7165,0.1045875,-6.1285,-4.6965,-4.364,-2.6115,-3.1175,0,-6.187,0.2,-1.2375,225.81,304.375,244.145,295.97,-0.15,-0.21,-0.19,-0.47,-0.02,-0.7135,-0.18,-0.11,-0.31,-5.78,1.55495,2.4026,3.92625,4.77205,5.91475,7.42475,8.38875,8.8251,9.5494,2.0241,3.2003,4.3991,5.0843,6.2301,7.421175,7.9535,9.8995,8.5272,1.6386,2.61815,3.83195,4.5482,5.6504,6.44285,7.7961,8.5631,8.642625,2.1466,2.95825,3.84605,4.5961,5.65125,6.8465,7.9023,8.491,8.8047,2.65555,3.35725,4.36415,4.7876,5.73655,6.71455,7.33595,8.1494,8.71375,-14.025975,-10.297375,-16.404675,-98.354,1.80925156352502,2.3778256691155,2.46402599944462,2.49245678422475,2.42970089454387,3.05049223081082,2.60471406070339,400.124060056239,402.610326047759,406.407219550282,403.552757790256,406.506205425866,403.196478653685,409.280613823427,402.941056324115,409.069561905204,402.140294653366,407.035177867584,403.114687675826,407.860886768593,1961.64872605859,1946.2600385124,1945.47850771274,1948.49275625547,1950.62358524793
1,3.25,0.400797404891759,0.0589090314872798,0.0702311455449725,-1.62601075248977,-5.15628958225462,-1.14465986603113,-23.7273270577617,-56.7427255749772,0.0515954878651914,-54.1213948402415,-67.664255281854,0.146099220462092,0.388,0.381,0.37,0.31525,0.15,-0.0711,-1.0918,0.00265,-0.40547,-0.491,-1.073015,-3.55563,87.3774525,15.1315,0.11124,-6.1565,-5.3025,-4.8465,-2.758,-2.824,0,-6.324,0.3,-0.899,224.945,304.03,242.565,295.715,-0.145,-0.2035,-0.1835,-0.47,-0.02,-0.71,-0.18,-0.11,-0.31,-5.75,1.49205,2.3794,3.9112,4.765,5.9186,7.419875,8.38845,8.8251,9.5484,1.9899,3.1748,4.3904,5.0814,6.2318,7.421225,7.9535,9.8987,8.5263,1.5755,2.5584,3.82985,4.54855,5.6511,6.44315,7.79675,8.56275,8.64245,2.20215,2.95255,3.84505,4.59575,5.652125,6.845625,7.90195,8.491,8.8037,2.63275,3.32735,4.3563,4.7839,5.7356,6.71365,7.3356,8.14875,8.7131,-14.078125,-10.5388,-16.58225,-98.4825,2.04160311799283,2.20428979532519,2.27845170732856,2.39609940847255,2.39724361895002,2.96734883014591,2.53497813007063,400.37033749614,403.188394757926,406.049768153536,404.129869795441,405.986048486674,403.976582456482,408.188963635585,403.237935697736,409.275817072584,403.348148729004,405.983512665323,405.592817199296,406.92771044034,1953.47433147208,1956.43865079916,1953.36210297122,1952.73560742568,1953.09200155078
1,3.75,0.373614305235019,-0.186514511263934,0.0793041172635547,-3.62887183499656,-5.06557154061909,-2.03420368651428,-34.5955085198678,-10.1312319060549,0.0526769003399788,-41.8555688966617,-54.7103646097497,0.143736175600742,0.495,0.4405,0.429,0.31525,0.15525,-0.3279,-0.82325,-0.0575625,-0.4956,-0.380225,-0.70405,-3.975915,87.3431925,16.51425,0.41274,-6.373,-5.5165,-4.863,-2.94,-3.0655,0,-6.252,0.2,-0.8605,225.1,303.535,243.605,293.115,-0.145,-0.21,-0.19,-0.47,-0.02,-0.7135,-0.18,-0.11,-0.31,-6.025,1.42945,2.35765,3.8965,4.7566,5.9215,7.4162,8.38845,8.82445,9.54825,1.9556,3.1477,4.3893,5.0794,6.23225,7.421275,7.9526,9.8977,8.5262,1.5183,2.4989,3.8264,4.54855,5.6518,6.44345,7.79675,8.5621,8.6418,2.24395,2.91565,3.84405,4.59475,5.6535,6.845375,7.9013,8.491,8.8027,2.62355,3.30565,4.34845,4.7819,5.73525,6.71325,7.3356,8.1484,8.71275,-14.108725,-10.72595,-16.1217,-99.354,2.10921742310622,2.56398818220542,2.32258848982024,2.43722465453434,2.6164716349856,2.93330751194615,2.83790167118716,400.392325374331,402.024138175474,406.395925271432,402.375982775799,406.775955564257,402.786274482724,408.162852999986,402.902047952837,408.760688442111,402.336692988583,403.682513717872,404.069703158838,407.192922473237,1950.15255016443,1950.42210557584,1961.58549310203,1960.86828344403,1961.1554762956
1,4.25,0.394874333795792,-0.416470929435012,0.065539894946353,-2.68985293637601,-1.41028417251271,-1.78988224815438,-60.2178965582568,-14.8535426473655,0.0481461882074471,-28.9526668209676,-54.2340616484586,0.175207328849163,0.437,0.47225,0.393,0.33575,0.14,-0.44936,-1.2124,-0.4418,-0.734225,-0.6738875,-0.9458875,-3.99555,87.310375,16.2455,0.0987,-6.562,-5.5165,-4.9935,-2.91,-3.2605,0,-6.12,0.265,-1.001,225.23,301.73,245.985,293.05,-0.155,-0.2035,-0.19,-0.47,-0.02,-0.72,-0.18,-0.11,-0.31,-6.025,1.37715,2.32835,3.88355,4.7479,5.92405,7.414,8.3878,8.82445,9.54845,1.924,3.121,4.389,5.0765,6.232875,7.421325,7.9525,9.8977,8.5253,1.4721,2.44225,3.8142,4.5475,5.6512,6.4444,7.79575,8.5621,8.64145,2.1845,2.88195,3.8401,4.5944,5.6483,6.844375,7.90065,8.495375,8.80235,2.61,3.30135,4.34065,4.7783,5.7349,6.71355,7.3356,8.14775,8.71175,-14.1707,-10.7669,-13.65535,-98.7,2.05896061835116,2.22436198248056,2.37284400426464,2.57125402187467,2.74655204835895,3.01036898565599,2.81755107023662,400.277278522548,400.815313390643,406.037563585563,400.816749735279,406.375162696041,401.431850253495,408.136742364388,401.300616341701,409.008418410542,401.575897249711,406.174094115746,403.681260437714,406.970197853494,1951.77897442112,1944.40556035252,1952.36021070346,1947.44629749097,1952.12554241274
1,4.75,0.448681633357124,-0.391970661844237,0.0754175273725528,-4.97016672116232,-1.10456186387242,-3.3890402807158,-67.9462812788228,-12.8671781027423,0.0486275491214827,-25.3598645456063,-39.7999250112667,0.149460343824898,0.476,0.48375,0.373,0.295,0.14525,-0.46964,-1.281125,-0.5460625,-0.80242,-0.897075,-1.202825,-3.5908,87.28876,15.73,0.09137,-6.9755,-5.5815,-5.4375,-2.9255,-3.338,0,-6.27375,0.3,-1.2705,224.725,302.57,245.135,291.15,-0.15,-0.21,-0.18,-0.47,-0.02,-0.71,-0.18,-0.11,-0.31,-5.21,1.3214,2.3005,3.87315,4.7392,5.9266,7.4115,8.38715,8.82345,9.54745,1.8949,3.0952,4.3888,5.0727,6.23375,7.420375,7.9515,9.8967,8.52475,1.4291,2.38285,3.8039,4.5465,5.65125,6.44575,7.79575,8.5611,8.6408,2.1302,2.8457,3.829,4.59435,5.647625,6.84455,7.89965,8.495375,8.8017,2.5966,3.2759,4.32465,4.77465,5.73495,6.71385,7.3346,8.14775,8.7111,-14.0584,-10.933575,-13.8168,-98.48,1.9941134486572,2.07892168652511,2.3255875933925,2.34590418882183,2.43396065951272,2.97564983540502,2.61899814236885,400.385383721434,402.400146032432,406.314373723349,402.551686501617,406.691272550124,402.245760848335,408.175245586097,402.499491723838,408.819018309153,402.303553526936,406.682069454183,404.624732327371,407.37067120105,1951.35606117756,1943.82711890316,1954.3348379817,1951.62636725944,1951.91673748152
