DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_1_7_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_2_5_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,H2O_1_7_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_5_2,CO2_1_6_2,CO2_1_6_3,CO2_1_7_2,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_5_1,CH4_1_6_1
1,0.25,0.736200163703176,-0.175256604348135,0.183820466071575,0.0126245456742287,-0.947917198218931,-0.461208467723605,-0.617041305882558,-4.75723718414109,0.0803081528298785,-13.8857725207869,-12.7104286692864,0.340976236475764,0.7675,0.51,0.3,0.28,0.19,0.15,-0.2377,-0.631,-2.872225,-3.8555,-4.62735,-5.04495,-5.872575,-5.4052,78.40483,27.5275,3.1173,-3.24,-3.3325,-3.01,-3.71,-1.0125,0.645,0.2,-5.2225,5.3,0.2325,214.6,299.5,300.425,313.2,-0.2375,-0.1,0.12,0.0725,-0.04,-0.2275,0.1125,0.07,-0.31,-0.43,0.02,0.522,0.61775,1.23125,1.65325,2.089,2.453,2.776,3.1655,0.099,0.049,0.66275,1.14,1.80225,2.351,2.86075,3.406,0.1595,0.339,1.43625,2.14025,2.8515,0.17475,0.339,1.163,1.4935,1.859,2.80625,3.4465,4.188,4.21425,-0.027,0.04675,0.90625,1.60075,-3.7345,-5.5495,-2.228,-96.065,2.15818758297498,2.45215450813375,2.80452971028717,3.15813944222352,3.72388638287766,3.94043018575402,4.13824838724739,4.21430859007738,414.753932135062,414.9521968159,413.580246756846,416.94139512225,416.880552370595,420.605353488931,418.479185891631,427.245337939162,439.224297304392,448.36071892946,450.421338120625,444.602488846538,1956.80463152403,1953.66513761369,1951.05453658371,1947.84629536918,1944.87690666567,1937.88839712713
1,0.75,0.706689427779305,-0.194745193834137,0.177212678277844,-0.00517904334233486,-1.40365278383849,-1.51885235029959,-0.36253062417152,-3.73234826872281,0.0831721700386388,-16.6954813914879,-12.0403292220215,0.329229741715926,0.805,0.54,0.31,0.2625,0.2,0.17,-0.105125,-0.3875,-2.87675,-4.122175,-5.0792,-5.473475,-5.9828,-5.1896,78.398935,26.6625,3.334725,-3.3,-3.5375,-3.2375,-3.8725,-1.2125,0.695,0.125,-5.16,5.3,0.1375,215.625,298.3,300.45,313.05,-0.23,-0.1,0.12,0.07,-0.0575,-0.22,0.1175,0.07,-0.31,-0.43,0.02,0.52925,0.62125,1.22525,1.653,2.087,2.452,2.78125,3.1645,0.0925,0.04925,0.66,1.1395,1.80225,2.345,2.86075,3.406,0.1585,0.3415,1.436,2.141,2.85175,0.1745,0.338,1.158,1.492,1.85775,2.80525,3.4455,4.188,4.21425,-0.02825,0.04625,0.90675,1.60075,-3.746,-5.547,-2.223,-95.9525,2.06316711549739,2.48454537253647,2.74159467465568,3.21312829674061,3.79286351333675,4.11703632116325,4.0376318955944,4.17315869546126,414.85005543221,414.425068809674,413.912764664791,416.93748352737,416.963202453725,420.299336568356,418.824840590639,426.109278950109,438.197229040716,449.497971355071,454.947967652202,445.466299495313,1955.9018688675,1952.62588144618,1948.50790262766,1948.51715985747,1945.24042160424,1939.14266491608
1,1.25,0.753237725564055,-0.373669009938283,0.173936127774468,0.0363163652005743,-0.954134850539114,-0.336376373581884,-1.30507874107979,-7.4089058480482,0.0799601620068029,-9.57455412143928,-11.8644099492825,0.31417226008948,0.815,0.54,0.31,0.27,0.19,0.15,-0.3214,-0.634,-2.893025,-4.1287,-5.226225,-5.45195,-6.185225,-5.2636,78.389235,25.42,3.0394,-3.5725,-3.7,-3.27,-4.125,-1.3725,0.645,0.2,-5.005,5.3,0.345,212.825,297.125,299.55,312.9,-0.23,-0.1,0.12,0.07,0.11,-0.2275,0.1075,0.08,-0.3075,-0.43,0.01,0.5335,0.6185,1.2205,1.652,2.085,2.4505,2.781,3.1635,0.093,0.04925,0.66,1.139,1.803,2.34875,2.86075,3.406,0.17275,0.3415,1.437,2.141,2.84925,0.17075,0.337,1.153,1.49225,1.85575,2.805,3.44475,4.187,4.21325,-0.03275,0.0455,0.907,1.601,-3.74825,-5.44725,-2.22,-95.87,2.09430994227387,2.51294934583437,2.68851298007438,2.94211420892593,3.55611374655567,3.64675256792516,4.04663775181905,3.94789188587598,414.802057198701,414.753747088062,413.773842479411,417.470788646952,417.763085739056,421.093547754064,418.377506829066,427.555277123995,439.424281285967,450.275820012497,447.889491855457,442.735767050366,1956.62969853141,1952.12104584531,1947.98964890468,1950.81194679345,1948.86146918502,1935.95706941183
1,1.75,0.715462489194536,-0.205250925908217,0.188815050441063,0.067791891614373,-1.33323141904589,-2.00925207000686,-0.744805937414265,-10.0202842075897,0.0869140408466118,-6.50419231400964,-8.00788405838719,0.281153334114324,0.745,0.525,0.3,0.27,0.19,0.15,-0.187,-0.73875,-2.97695,-4.043025,-5.489475,-5.8474,-6.439525,-5.38245,78.3875225,25.43,3.130525,-3.6025,-3.7575,-3.4575,-4.1075,-1.5125,0.6675,0.4,-5.22,5.3,0.225,213.425,296.75,298.85,312.825,-0.2375,-0.1,0.12,0.07,-0.07,-0.2275,0.1075,0.08,-0.3,-0.43,0.01,0.525,0.607,1.2155,1.651,2.10225,2.4495,2.77975,3.1635,0.095,0.0415,0.66,1.138,1.80275,2.34875,2.86075,3.405,0.16025,0.3355,1.43725,2.13675,2.84925,0.16675,0.335,1.149,1.493,1.854,2.804,3.44375,4.18725,4.213,-0.0365,0.04575,0.9075,1.60125,-3.742,-5.426,-2.2235,-94.4125,2.12477217680749,2.15608251780367,2.80747424083272,2.87352629769083,3.38086994249778,3.66658212151392,3.86007887836709,3.86783519863836,415.07075976945,415.183651654533,414.359185211991,418.066927615515,418.619792818812,422.073013623293,419.924330836048,428.890403726816,440.348621633094,451.099012218716,453.759747235749,443.40349901005,1956.36941390032,1952.18540806279,1948.84012405427,1947.51730973353,1945.24669257048,1940.51540230111
1,2.25,0.715087882839435,0.159170036957249,0.206420915589499,-0.052107567340161,-0.69835897181979,-0.583793966369442,-1.24943730565893,-7.05607744115169,0.0865084529865375,-9.95498388818164,-9.70156482439202,0.32509470473653,0.81,0.545,0.32,0.26,0.19,0.16,-0.15225,-0.6155,-2.741925,-3.91465,-5.255625,-5.764425,-6.41435,-5.378375,78.3853,24.74,3.003225,-3.555,-3.875,-3.5825,-4.225,-1.6425,0.65,0.325,-5.22,5.3,0.36,213.825,297.85,298.5,312.75,-0.23,-0.1,0.12,0.07,-0.05,-0.22,0.1,0.08,-0.31,-0.43,0.01,0.52425,0.602,1.21025,1.651,2.082,2.448,2.796,3.1625,0.097,0.0385,0.663,1.1395,1.803,2.34875,2.8605,3.405,0.15075,0.32325,1.43575,2.137,2.84925,0.196,0.331,1.1515,1.494,1.854,2.803,3.4435,4.1865,4.21275,-0.03925,0.04525,0.908,1.602,-3.742,-5.503,-2.225,-93.6575,2.03817133684228,2.17176132665207,2.61842425249582,3.0460445800982,3.55133057396001,3.72813621514567,3.80842013378212,3.75941572922212,414.900514994442,414.65583191164,413.913905667593,418.472202148139,416.602749940425,421.538818705708,417.556404474288,429.18925408196,439.67646584689,453.104694830353,452.616235884734,448.440139207095,1955.18709998987,1952.01600920844,1947.86977315512,1948.61275319108,1946.85338815889,1940.08675397403
1,2.75,0.782962417761692,-0.0216397024236699,0.202576129241685,-0.0325083558253053,0.0480579790458106,-0.301087608601198,-2.7494998561681,-4.99602021432786,0.0847545658813507,-9.37514400730175,-11.7720142290116,0.335376732517111,0.805,0.55,0.32,0.28,0.2,0.16,-0.3116,-0.639,-2.60445,-3.8329,-4.990925,-5.93375,-6.584175,-5.49775,78.40128,24.84,3.119975,-3.6325,-3.8975,-3.6575,-4.14,-1.79,0.56,0.325,-5.26,5.3,0.18,212.85,298.3,299.25,312.6,-0.23,-0.09,0.12,0.07,-0.0475,-0.22,0.105,0.08,-0.3,-0.44,0.01,0.50825,0.584,1.2075,1.651,2.08,2.438,2.795,3.1615,0.0975,0.039,0.663,1.14,1.8025,2.344,2.86,3.405,0.13875,0.32225,1.4305,2.138,2.8485,0.187,0.326,1.148,1.492,1.855,2.803,3.4425,4.1855,4.21175,-0.04275,0.0445,0.906,1.602,-3.74375,-5.507,-2.22,-93.39,2.14318692861828,2.39914757246568,2.54666353346873,3.11685617749573,3.59689211790401,4.00923591241649,4.19916564914056,3.6800361923348,414.880736157464,414.448781426804,414.226999350296,417.436498733372,417.623104813422,421.377378538993,419.061158784693,428.776775298638,440.430019619032,452.668227777361,451.775978300319,447.814462453743,1957.7713895467,1952.73603600092,1948.38399518984,1946.46682937988,1943.65924820394,1937.63581220062
1,3.25,0.749491359497608,-0.303120634867299,0.191157202765733,0.0313353014136195,-0.488288955289802,-1.57523231809751,-0.334872073483594,-6.94915530085144,0.0824296719387075,-13.105552085272,-9.17825701424343,0.345659513660412,0.795,0.55,0.32,0.28,0.2,0.15,-0.37465,-0.5295,-2.917325,-4.011,-5.1065,-6.042225,-6.71545,-5.5955,78.415025,23.85,3.26225,-3.825,-4.0675,-3.8425,-4.445,-1.805,0.57,0.325,-4.945,5.3,0.2525,212.675,298.325,299.6,312.525,-0.24,-0.09,0.12,0.07,-0.06,-0.2275,0.1075,0.08,-0.31,-0.43,0.01,0.501,0.584,1.20125,1.651,2.078,2.436,2.793,3.1615,0.0925,0.047,0.66375,1.141,1.802,2.3485,2.8605,3.405,0.128,0.32075,1.4255,2.14,2.84825,0.18,0.319,1.137,1.49225,1.8535,2.802,3.433,4.18475,4.2115,-0.0495,0.042,0.907,1.6065,-3.753,-5.526,-2.2305,-92.8825,1.97749994181717,2.32413054476219,2.64765551665919,3.04444902925234,3.48922521763824,3.74543916042743,3.99386759397576,3.533180842162,414.845653628932,414.378858280645,413.82499774343,416.751065690896,417.489511613495,420.4054129683,417.453314459195,427.960320569246,442.068201993725,451.386036188269,454.894268659299,450.124287009027,1956.27956193462,1954.56156323286,1948.96587933557,1948.48521173982,1945.95827718708,1936.96618146412
1,3.75,0.71252679685364,-0.322073900564646,0.222629007004449,0.0215812893243956,-0.69868847208185,-0.204176312442495,-1.35837807630547,-9.41613808130549,0.082308417536594,-13.8240936152208,-11.265122787085,0.30909113515433,0.77,0.545,0.31,0.29,0.2,0.14,-0.512,-0.72525,-3.043625,-4.085825,-5.365325,-5.9997,-6.902325,-5.8205,78.408,23.45,3.1942,-3.745,-4.1725,-3.975,-4.5825,-1.725,0.5025,0.3,-5.06,5.3,0.2725,212.45,297.725,298.425,312.6,-0.23,-0.1,0.12,0.07,-0.255,-0.23,0.115,0.07,-0.3,-0.43,0.0125,0.456,0.584,1.19725,1.651,2.09375,2.41875,2.77775,3.1605,0.079,0.043,0.66375,1.141,1.802,2.3485,2.8605,3.405,0.12875,0.321,1.41525,2.14,2.84825,0.151,0.3155,1.133,1.486,1.85225,2.801,3.433,4.184,4.21125,-0.0585,0.0365,0.907,1.607,-3.735,-5.511,-2.227,-91.9925,1.95899881913074,2.04656536806032,2.52378517094872,3.0933765651604,3.58089370117581,3.8073792839485,4.06049832227301,3.73405450216017,414.829248743736,414.920556094882,414.201350277546,417.557491154381,417.675087124777,420.698314991866,419.589262276467,429.348900355876,440.168979160758,452.161666957731,449.645443543285,451.030516637633,1956.16242171699,1952.65307037678,1949.87446320667,1947.32403849242,1944.8449701864,1939.25935189122
1,4.25,0.707359207367321,-0.282010840064459,0.250920357591147,0.0567193472782645,-0.870300652951216,-0.647024591730965,-3.40562922756696,-4.18310250515779,0.0849974020752563,-12.7055960148606,-10.4766234461527,0.348403053349837,0.835,0.535,0.32,0.29,0.21,0.15,-0.3544,-0.64775,-3.277075,-4.35075,-5.3004,-6.0131,-7.024725,-5.810275,78.4029475,23.59,3.2004,-3.8875,-4.41,-4.095,-4.755,-1.975,0.465,0.325,-5.2175,5.3,0.155,212.15,297.375,296.925,312.45,-0.2375,-0.1,0.12,0.07,-0.24,-0.23,0.11,0.08,-0.31,-0.43,0.0125,0.456,0.588,1.19175,1.652,2.0915,2.433,2.77675,3.152,0.072,0.04375,0.662,1.14025,1.80175,2.3485,2.8605,3.403,0.1295,0.3205,1.4145,2.13775,2.8475,0.1505,0.311,1.131,1.491,1.85175,2.801,3.432,4.184,4.2105,-0.07275,0.025,0.90675,1.607,-3.779,-5.5615,-2.20875,-91.38,1.90811087367991,2.18823983415726,2.51501774198693,3.03276355721071,3.5767649787533,3.93266190947886,3.96695646622452,3.55928530188716,414.817516129541,414.756484640007,414.212691480033,418.147953282982,417.699333743913,421.729891827177,419.214810754945,428.955666901545,440.056672893707,454.304486602005,457.108439206845,450.322157342235,1956.56635362556,1951.78388496186,1946.87324370001,1949.54712768728,1944.80543782489,1938.63531371991
1,4.75,0.755721130409097,-0.316327849618915,0.231021897039433,0.0235665058150909,-0.36430616770981,-1.54692723820745,-3.54779898820398,-5.13258943157747,0.0879961395462259,-11.2291135590076,-10.6646778524632,0.3267525951383,0.785,0.55,0.32,0.29,0.2075,0.16,-0.28475,-0.60475,-3.03675,-4.3885,-5.13015,-6.02445,-7.1527,-5.940525,78.40852,24.49,3.2782,-3.8925,-4.6225,-4.39,-4.8475,-1.8775,0.4525,0.2,-5.1225,5.3,0.325,208.2,295.825,296.45,312.375,-0.23,-0.1,0.12,0.0725,-0.225,-0.23,0.1275,0.08,-0.31,-0.43,0.0125,0.44725,0.591,1.19,1.652,2.141,2.4625,2.79,3.17425,0.067,0.04375,0.66,1.1395,1.801,2.342,2.85975,3.402,0.122,0.314,1.412,2.14,2.8475,0.146,0.307,1.128,1.487,1.8555,2.8345,3.4405,4.183,4.21025,-0.077,0.019,0.908,1.596,-3.744,-5.544,-2.2,-91.745,1.79655879931142,2.15952987012029,2.47874068925794,2.91627147584168,3.3391486224958,3.69882767562574,3.96449512708291,3.45644431796888,414.970094880652,414.793662824831,414.313819740022,418.195561750848,417.313124661952,421.387552664558,420.331360834275,428.101872649195,442.324830957309,453.344694806948,451.458382035819,452.34149776609,1946.81213631529,1949.49274502323,1949.31444140985,1949.28280025846,1947.92937777247,1937.73019885042
