DOY2,HR2,FC,LE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.0451663364431808,0.593592174272312,0.23846278750451,1.60565843669938,0.858933127436834,423.911615258805,1.85177404183027,414.567497529582,1.63656663317045,1.85231373033677,414.909011106951,1.62656229151786,1.84323081183812,414.800055593468,1.58440956390045,2.01770783647392,415.083669724001,1.53285950573008,1.55180955453704,5.38973658364487,-6.24876332826515,0.634766058000006,3.56,3.58,-4.501,-7.514,-5.1607,-5.6307,91.42379,75.2225,1.919225,-12.815,-3.98,-6.84,1.975,-0.88,3.8,-0.69,-0.07,228.45,257.05,273.675,279.55,0.225,0.22,0.055,0.11,0.065,0.07,0.22,-0.04,-2.527,-1.997,-1.538,-3.2285,-2.78275,-2.07,-1.87125,-1.80775,-1.56825,-0.886,-4.534,-4.06475,-2.9865,-2.491,-2.031,-0.7075,-0.2415,-3.646,-3.1935,-2.7225,-1.953,-1.87525,-1.5655,-6.1185,-5.758,-2.8585,-4.18475,-2.2385,0.415
1,0.75,0.0471707158266079,-0.221392986015148,0.24036795744258,-3.13735605181806,0.852735807067187,423.944355403318,1.8307566519062,415.134024770163,1.84601615138198,1.90044744981961,415.10535721722,1.84949493883489,1.92063644562239,415.034235707069,1.88538248319262,1.94982888712509,415.522204815692,1.98783200815875,1.27235003946956,5.45696760345355,-5.76891447573755,0.706271523033119,3.725,3.43,-4.549175,-7.557,-4.985525,-5.6876,91.429685,75.06,2.06695,-12.47,-3.95,-6.82,2.1,-1.245,4,-0.72,-0.11,233.9,256.8,274.15,280.075,0.28,0.23,0.06,0.11,0.1,0.08,0.22,-0.04,-2.5255,-2.001,-1.527,-3.2125,-2.763,-2.074,-1.87,-1.804,-1.565,-0.8845,-4.53575,-4.06475,-2.9665,-2.488,-2.0205,-0.7065,-0.232,-3.6455,-3.193,-2.726,-1.9545,-1.876,-1.567,-6.096,-5.764,-2.8665,-4.2255,-2.435,-2.845
1,1.25,0.0461855462304586,-0.10457514836277,0.236534791883866,4.20731210382165,0.807843606997302,423.833537792828,1.80542575395048,415.202471769099,1.825494236299,1.88306893936488,415.139403257834,1.8284141930058,1.91843548523204,415.356940854296,1.83433487440648,1.9080154946971,415.669307868367,1.8675230166348,1.19894493868654,5.99080837231495,-5.54604882767208,0.695608998330806,3.72,3.72,-5.0197,-7.558,-5.0243,-5.77645,91.44108,74.705,1.94455,-12.2,-3.97,-6.76,2.1,-1.19,3.9,-0.73,-0.14,233.5,257.2,274.475,280.1,0.295,0.22,0.05,0.11,0.145,0.07,0.22,-0.04,-2.524,-2.005,-1.527,-3.215,-2.767,-2.0775,-1.8725,-1.8035,-1.5665,-0.8845,-4.552,-4.065,-2.9655,-2.4885,-2.02125,-0.708,-0.233,-3.6495,-3.193,-2.7295,-1.956,-1.8785,-1.569,-6.094,-5.7745,-2.882,-4.358,-2.2175,-1.8
1,1.75,0.085660105922934,-0.325553027462806,0.208845459033844,-0.098352970606486,0.859974545695561,423.821150193067,1.82025006287505,415.237251792462,1.78996306139505,1.89720410153135,415.361862524353,1.78841197188083,1.89933750784742,415.512541962065,1.82095970904642,1.93902259590372,415.390355980895,1.70522393797708,1.43766046072668,6.0466114682851,-5.57110140514647,0.657627026721268,3.59,3.55,-4.4461,-7.577,-5.298675,-5.312325,91.45351,74.2425,1.9525,-12.07,-3.99,-6.715,2.1,-1.0125,4,-0.7,-0.1,232.3,257.6,274.75,280.425,0.3,0.22,0.06,0.11,0.15,0.08,0.22,-0.04,-2.523,-2.0095,-1.528,-3.2245,-2.7685,-2.081,-1.876,-1.8045,-1.5685,-0.885,-4.5775,-4.065,-2.964,-2.489,-2.023,-0.70875,-0.23425,-3.6545,-3.1925,-2.733,-1.958,-1.881,-1.572,-6.089,-5.7855,-2.788,-4.0435,-2.12725,-1.215
1,2.25,0.0991207796354914,0.961264557313964,0.214900142661847,-1.79876431064649,0.845360530983141,424.054569234435,1.90062864179249,415.379920969025,1.70384809912949,1.41256956415196,415.28747218224,1.66671743372685,1.42875471084172,415.294534084917,1.65171636303879,1.94474234456593,415.512504883854,1.29227407035023,1.32447924706671,5.45445185023721,-5.55756831078857,0.6084795922473,3.36,3.42,-4.524025,-7.296,-5.36125,-5.3557,91.42531,73.6,1.7657,-12.98,-3.96,-6.6975,2.2,-1.045,4.1,-0.7,-0.14,233.2,256.2,275.15,281.025,0.29,0.22,0.06,0.11,0.15,0.07,0.22,-0.04,-2.522,-2.0135,-1.5285,-3.232,-2.7695,-2.085,-1.88,-1.8055,-1.57,-0.885,-4.60325,-4.064,-2.96075,-2.48725,-2.02475,-0.7095,-0.23525,-3.6505,-3.1935,-2.7365,-1.9595,-1.884,-1.573,-6.088,-5.795,-2.822,-4.16375,-2.1645,-1.425
1,2.75,0.0869643963152428,0.816836980964496,0.215655739937113,-1.17106791371462,0.847594706394573,423.890008169519,1.89165061451037,414.617224986522,1.59836857012188,1.4588671643341,415.199330909465,1.57858884416931,1.48993355421029,415.02450584924,1.54182814858141,1.53813033261617,415.162393255004,1.68284091738383,1.26722532821361,6.03746043748595,-5.87534760465809,0.627706887539025,3.7,3.56,-4.9859,-7.293,-5.6832,-5.5367,91.425825,73.525,1.7559,-12.86,-3.96,-6.64,2.2,-1.12,4.1,-0.71,-0.14,229.7,256,275.475,280.975,0.29,0.22,0.06,0.11,0.16,0.08,0.22,-0.04,-2.5215,-2.018,-1.5285,-3.24,-2.77,-2.0895,-1.883,-1.807,-1.57,-0.8855,-4.63075,-4.06325,-2.9575,-2.48475,-2.0255,-0.71025,-0.23625,-3.6475,-3.198,-2.739,-1.961,-1.8865,-1.5755,-6.084,-5.8005,-2.9015,-4.2785,-2.255,-1.29
1,3.25,0.0564311063104523,-0.164715158589731,0.244317339005851,-1.49564362098093,0.790126104275582,423.483251618208,1.86736239746694,414.972854652785,1.62213785084848,1.84835525898629,415.152384497231,1.55202392579283,1.8217155740336,415.198778114676,1.57637540264245,1.8229753707188,415.592294099043,1.80253930388621,1.25147941438735,5.62538249662598,-5.99006705947238,0.62870792665139,3.84,3.71,-4.9322,-8.179,-5.11855,-5.591,91.4195975,73.99,1.834375,-13.4,-3.96,-6.6125,2.1,-1.21,3.8,-0.76,-0.09,227.5,254.8,276.7,281,0.29,0.17,0.05,0.11,0.11,0.075,0.22,-0.04,-2.5225,-2.022,-1.53,-3.2475,-2.771,-2.0935,-1.887,-1.808,-1.5705,-0.886,-4.65925,-4.06325,-2.9555,-2.487,-2.018,-0.71,-0.2375,-3.6445,-3.2025,-2.7425,-1.963,-1.889,-1.578,-6.0795,-5.806,-2.82625,-4.167,-2.161,-1.795
1,3.75,0.0895030191588667,0.408672478692085,0.245106548240605,-1.7986411262645,0.795086919564533,423.489724233686,1.83947877604568,415.516148971702,1.57082266568495,1.76798022252816,415.416894618185,1.56687579440562,1.82502974103466,415.429739855248,1.54420321689738,1.8135160738782,415.689550306628,1.33191301650978,1.23456769481005,5.40156974595822,-5.65168530158303,0.692589534496696,4.18,3.94,-5.021,-6.958,-5.5886,-5.7371,91.436255,73.9275,1.73445,-13.25,-3.96,-6.6075,2.1,-1.195,4,-0.76,-0.08,226.8,255.5,272.725,280.75,0.26,0.21,0.06,0.11,0.12,0.07,0.22,-0.04,-2.526,-2.027,-1.533,-3.2555,-2.772,-2.0975,-1.89,-1.8095,-1.57,-0.886,-4.66525,-4.0625,-2.9545,-2.484,-2.0275,-0.71075,-0.2385,-3.6415,-3.207,-2.746,-1.9645,-1.8925,-1.58,-6.0735,-5.813,-2.8,-4.154,-2.147,-1.8525
1,4.25,0.0312450691460415,-0.0199639923991438,0.254672942205524,-1.43977766356224,0.808083627497583,423.738799673282,1.84596083040817,415.092684823736,1.8596190768187,1.79736974190343,414.609722677891,1.8343608048478,1.91046654292354,415.253589038135,1.86702628926535,1.9151228776976,415.343951582678,1.92827074501938,1.14139151359164,6.02797757293832,-6.02763753961568,0.553952849432284,4.32,4.0775,-5.3014,-7.435,-5.8919,-6.263525,91.43234,74.0225,1.7397,-13,-3.95,-6.64,2.1,-1.295,4,-0.73,-0.08,228.2,256,272.7,280.975,0.23,0.2,0.02,0.11,0.1,0.08,0.22,-0.04,-2.532,-2.0325,-1.5355,-3.2625,-2.773,-2.1015,-1.894,-1.811,-1.571,-0.887,-4.66925,-4.0625,-2.95425,-2.482,-2.029,-0.711,-0.23975,-3.6395,-3.2115,-2.749,-1.966,-1.895,-1.5815,-6.068,-5.8105,-2.8275,-4.29725,-2.10825,-1.395
1,4.75,0.0361045684879846,0.805268395350144,0.229219709689396,-2.07106004556248,0.768020632127989,423.753237116146,1.80594244767769,414.668427598193,1.77035005751403,1.74215003130241,414.803781482067,1.8060254702801,1.77935139613102,414.897082100652,1.8548802803154,1.8345087997857,415.676295486171,1.79627968619883,1.6141691903947,6.44912947798803,-6.06563362455895,0.54042263206093,4.55,4.0825,-5.1232,-7.646,-6.3542,-6.1367,91.4381275,75.2825,1.7483,-12.92,-3.96,-6.6025,1.9,-0.97,4.1,-0.73,-0.09,228.7,256.8,272.75,280.95,0.2,0.2,0.06,0.11,0.07,0.075,0.22,-0.04,-2.5375,-2.0375,-1.5385,-3.269,-2.7745,-2.106,-1.8975,-1.812,-1.5735,-0.888,-4.67275,-4.0625,-2.954,-2.479,-2.0295,-0.71125,-0.24075,-3.6375,-3.215,-2.753,-1.9675,-1.898,-1.584,-6.06,-5.805,-2.7985,-4.387,-2.084,-1.29
