DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,420.90025,1.663,419.00225,1.75125,2018.6,420.6805,1.8055,418.592,1.9405,2017.97175,421.1515,1.5295,421.347,1.695,2016.22125,421.4175,1.5765,423.727,1.3025,2015.344,423.453,1.6755,419.14775,1.3855,2013.684,423.54075,1.563,422.3895,1.4935,2011.345,1.987,-14.202,0.048,417.186,1.541,0.138,-0.187,0.207,-0.8405,-1.3435,0.192,-19.357,-7.152,0.411,1.31,1.01,0.395,0.32,0.22,-13.796,-13.148,-14.144,-13.4845,-15.25925,-15.788,-16.761,95.465,77.49,0.254,-12.0825,-13.965,-13.91,-13.42,-12.25,0.2,-2.71,0.8,-0.72,218.7,253.8,-53.14,252.75,261.2,-0.16,-0.01,-0.1,-0.135,-0.1425,-0.29,-0.11,-0.3,-0.22,-0.27,-0.098,0.114,0.346,1.169,1.645,2.1625,2.705,3.72,4.649,-0.544,0.006,0.33375,0.829,1.44675,2.067,2.96475,3.505,4.738,-1.302,-0.4145,0.098,0.55,1.243,1.2265,2.03175,2.956,3.9195,-0.8135,-0.697,-0.002,0.468,1.407,1.3435,2.8345,3.525,4.6385,-0.534,-0.257,0.436,0.10325,1.23725,1.596,2.64925,3.523,4.515,-6.394,-5.0085,-4.32625
1,0.75,420.969,1.638,418.727,1.469,2017.9975,420.631,1.76975,419.024,1.47925,2014.792,421.072,1.49175,421.115,1.46625,2022.182,421.239,1.567,423.533,1.535,2020.65875,423.3735,1.7325,419.6075,1.105,2022.54475,423.975,1.5405,421.585,1.311,2013.5475,2.0365,-14.398,0.04925,416.7825,1.528,0.1435,-0.151,0.227,-0.727,-1.37025,0.1965,-19.323,-6.2785,0.41325,1.315,1.05,0.39,0.31,0.2,-13.9105,-13.339,-14.168,-13.48725,-15.3665,-16.22625,-16.889,95.46725,78.12,0.24325,-12.15,-14.17,-14.11,-13.44,-12.26,0.2,-2.5,0.8,-0.77,212.2,252.7,-49.19,253.05,261.8,-0.165,-0.01,-0.1,-0.13,-0.14,-0.29,-0.11,-0.3,-0.22,-0.27,-0.0975,0.10975,0.346,1.18,1.63525,2.162,2.705,3.72,4.648,-0.563,0.012,0.331,0.828,1.44675,2.066,2.96375,3.504,4.737,-1.31,-0.422,0.098,0.5495,1.22975,1.222,2.03175,2.955,3.919,-0.806,-0.711,-0.0035,0.47025,1.40525,1.3435,2.8335,3.524,4.6375,-0.5355,-0.262,0.4365,0.103,1.237,1.595,2.648,3.5235,4.515,-6.08,-4.96275,-4.319
1,1.25,421.12825,1.5465,419.17475,1.50525,2020.154,421.015,1.6975,419.0915,1.5775,2020.103,421.351,1.503,421.2135,1.813,2017,421.727,1.5375,423.673,1.391,2017.78,423.45725,1.68325,418.2,1.5035,2014.4,423.9625,1.4845,421.4535,1.411,2014.11625,1.996,-14.819,0.054,416.9025,1.527,0.15025,-0.1555,0.1715,-0.799,-1.4095,0.18275,-18.0165,-5.34975,0.40875,1.305,1.035,0.355,0.31,0.2,-14.209,-13.45875,-14.273,-13.582,-15.452,-16.202,-17.0535,95.478,78.565,0.246,-11.985,-14.355,-14.31,-13.73,-12.33,0.2,-2.71,0.8,-0.78,209.6,253.7,-53.74,253.1,259.9,-0.15,-0.02,-0.1,-0.13,-0.14,-0.3,-0.11,-0.3,-0.22,-0.27,-0.103,0.1085,0.347,1.1475,1.63425,2.161,2.704,3.719,4.647,-0.564,0.008,0.328,0.82675,1.445,2.066,2.9635,3.503,4.736,-1.282,-0.413,0.097,0.549,1.22875,1.2215,2.03,2.955,3.913,-0.802,-0.718,-0.00275,0.467,1.403,1.3435,2.833,3.523,4.6365,-0.546,-0.268,0.43525,0.1005,1.2375,1.595,2.6475,3.52225,4.514,-6.289,-5.00275,-4.34975
1,1.75,421.35625,1.519,418.634,1.449,2018.4215,420.572,1.70875,418.842,1.67325,2016.078,421.2985,1.4555,421.4535,1.707,2017.44625,421.55075,1.479,422.62875,1.50775,2022.7115,423.36825,1.594,418.887,1.1795,2018.76,424.758,1.40725,421.7925,1.3475,2012.82575,1.985,-15.079,0.054,417.02775,1.514,0.173,-0.1545,0.22225,-0.683,-1.131,0.1745,-16.3645,-6.3615,0.4065,1.2225,0.935,0.38,0.3,0.1825,-14.41025,-13.763,-14.663,-13.99575,-15.773,-16.3485,-17.25325,95.48175,79.1725,0.2325,-12.8125,-14.74,-14.275,-13.99,-12.14,0.2,-2.62,0.8,-0.8,208.3,253.3,-53.49,252.65,260.2,-0.135,-0.01,-0.1,-0.135,-0.15,-0.29,-0.1,-0.3,-0.22,-0.27,-0.109,0.11,0.3475,1.161,1.633,2.16,2.703,3.718,4.646,-0.558,0,0.329,0.82625,1.4435,2.064,2.9625,3.502,4.735,-1.284,-0.412,0.094,0.5485,1.229,1.22,2.03,2.954,3.912,-0.81775,-0.72075,-0.003,0.465,1.40375,1.344,2.8325,3.522,4.636,-0.5485,-0.2595,0.436,0.09775,1.23725,1.594,2.6475,3.5215,4.514,-6.24275,-5.006,-4.342
1,2.25,421.178,1.5185,419.0915,1.576,2020.87,420.8,1.663,418.376,1.515,2021.3335,421.35775,1.43475,421.28575,1.60075,2018.351,421.925,1.4815,422.282,1.457,2018.4375,423.272,1.533,418.5565,1.58325,2015.796,424.7395,1.4365,421.3695,1.454,2012.92475,1.881,-15.368,0.0485,417.158,1.496,0.121,-0.14325,0.198,-0.749,-1.71125,0.1745,-15.831,-4.991,0.396,1.17,0.93,0.38,0.31,0.2,-14.398,-13.91925,-14.935,-14.1445,-15.71675,-16.5,-17.426,95.469,78.745,0.2265,-12.965,-14.67,-14.28,-13.9325,-12.6825,0.2,-2.6125,0.8,-0.8,209.425,252.7,-52.2925,253.325,260.175,-0.1325,-0.0125,-0.1,-0.13,-0.15,-0.29,-0.11,-0.3,-0.22,-0.27,-0.12425,0.10275,0.34425,1.16075,1.624,2.148,2.703,3.715,4.63475,-0.57275,-0.01975,0.32425,0.822,1.4385,2.057,2.958,3.501,4.73025,-1.30875,-0.4135,0.09075,0.5485,1.228,1.22025,2.023,2.953,3.911,-0.886,-0.722,-0.0085,0.456,1.3975,1.34175,2.82875,3.52125,4.6295,-0.5615,-0.27125,0.429,0.095,1.23725,1.58875,2.6455,3.5205,4.507,-6.132,-4.985,-4.349
1,2.75,421.323,1.53225,418.694,1.38075,2018.288,420.42,1.673,418.4375,1.66975,2015.9,421.2695,1.478,421.242,1.508,2022.54225,421.8835,1.49825,421.512,1.39,2022,423.723,1.722,419.4825,1.011,2017.667,424.843,1.432,421.73,1.308,2009.88775,1.83625,-15.521,0.05275,416.812,1.468,0.104,-0.127,0.2195,-0.753,-1.6055,0.176,-17.553,-5.16175,0.3785,1.22,0.9875,0.3775,0.31,0.215,-14.485,-14.143,-15.39925,-14.347,-15.64825,-16.7855,-17.596,95.46275,78.77,0.2215,-12.8175,-14.56,-14.31,-14.075,-12.6725,0.2,-2.4875,0.8,-0.825,212.025,251.5,-47.46,254.975,259.975,-0.125,-0.02,-0.1,-0.13,-0.15,-0.29,-0.11,-0.3,-0.22,-0.27,-0.1245,0.105,0.34425,1.14725,1.623,2.147,2.702,3.71625,4.63375,-0.58475,-0.014,0.324,0.822,1.4385,2.0335,2.9575,3.501,4.72925,-1.30925,-0.42325,0.091,0.548,1.22725,1.219,2.022,2.952,3.91,-0.86875,-0.732,-0.011,0.45175,1.401,1.34175,2.82875,3.52025,4.62875,-0.56775,-0.28,0.4325,0.09675,1.237,1.58775,2.64525,3.5205,4.50675,-6.153,-4.99475,-4.354
1,3.25,420.9955,1.51425,419.437,1.569,2023.25,420.50475,1.658,419.642,1.5625,2020.846,421.11875,1.523,420.3415,1.4145,2019.57775,421.759,1.4995,422.1415,1.4025,2020.4505,424.12425,1.6585,418.774,1.522,2014.9155,424.952,1.43675,422.2815,1.82225,2014.35325,1.9,-15.6535,0.0525,416.758,1.46025,0.1245,-0.17675,0.099,-0.60725,-1.4515,0.1875,-15.165,-5.571,0.3965,1.3,1.0175,0.39,0.33,0.215,-15.094,-14.29925,-15.61825,-14.26025,-15.5725,-16.91575,-17.103,95.43775,79.305,0.232,-12.5025,-14.755,-14.5025,-13.9075,-11.995,0.1,-2.4875,0.8,-0.8575,212.975,250.8,-44.3525,254.775,261.1,-0.13,-0.01,-0.1,-0.1325,-0.14,-0.29,-0.11,-0.3,-0.22,-0.27,-0.1245,0.105,0.33625,1.124,1.622,2.146,2.6895,3.713,4.63275,-0.611,-0.01575,0.32475,0.822,1.43775,2.036,2.957,3.5,4.72825,-1.3135,-0.43175,0.09225,0.548,1.227,1.21875,2.021,2.951,3.91,-0.853,-0.74,-0.00975,0.44875,1.4015,1.34175,2.82775,3.51925,4.628,-0.59675,-0.2855,0.42975,0.096,1.237,1.5875,2.6445,3.519,4.506,-6.284,-5.005,-4.3605
1,3.75,421.308,1.545,418.58425,1.363,2021.4075,421.4895,1.6785,418.554,1.40225,2019.6785,422.217,1.481,421.246,1.5275,2021.35375,422.363,1.512,422.86475,1.3145,2026,423.657,1.716,419.1985,1.026,2016.23,424.719,1.475,421.5925,1.1495,2011.115,1.964,-15.6285,0.05,416.819,1.438,0.15,-0.09,0.10625,-0.644,-1.6305,0.1815,-14.4825,-4.61475,0.396,1.335,1.0275,0.38,0.33,0.23,-15.405,-14.083,-15.82075,-14.46975,-15.9765,-16.945,-17.268,95.425,79.7,0.2275,-12.1075,-13.8525,-14,-13.2675,-11.9125,0.2,-2.395,0.8,-0.8275,216.65,252.6,-47.5525,252.975,261.775,-0.15,-0.01,-0.1,-0.13,-0.15,-0.29,-0.1025,-0.3,-0.22,-0.27,-0.124,0.102,0.33525,1.1445,1.62175,2.14525,2.68975,3.71275,4.632,-0.625,-0.0265,0.323,0.82325,1.435,2.056,2.9565,3.499,4.728,-1.341,-0.445,0.0915,0.548,1.227,1.2175,2.021,2.951,3.90825,-0.853,-0.74775,-0.00325,0.445,1.4005,1.34175,2.82675,3.51825,4.627,-0.62475,-0.3015,0.424,0.095,1.23625,1.586,2.64425,3.519,4.50475,-6.2285,-5.069,-4.296
1,4.25,421.52825,1.513,419.457,1.78575,2023.29875,421.395,1.72125,419.89725,1.853,2022.7825,422.1465,1.429,420.8255,1.60175,2017.804,422.6765,1.425,422.814,1.424,2023.839,423.23025,1.7145,419.728,2.087,2017.444,424.71,1.41975,422.252,1.7475,2019.867,1.96975,-15.999,0.052,416.722,1.44825,0.176,-0.1965,0.1745,-0.97,-1.428,0.1795,-15.421,-5.468,0.39725,1.32,0.995,0.36,0.3,0.21,-15.17575,-14.03725,-15.9115,-14.65325,-16.0325,-17.13025,-17.68075,95.434,79.9,0.247,-12.165,-13.97,-13.9175,-13.2475,-12.0025,0.2,-2.55,0.825,-0.8575,214,252.65,-48.3425,252.6,261.5,-0.12,-0.02,-0.1,-0.13,-0.14,-0.2975,-0.11,-0.3,-0.22,-0.27,-0.122,0.0965,0.333,1.15525,1.6205,2.145,2.694,3.712,4.631,-0.627,-0.03675,0.324,0.823,1.434,2.048,2.956,3.498,4.727,-1.33975,-0.4595,0.0935,0.5475,1.226,1.21725,2.02,2.95,3.90725,-0.8595,-0.75875,-0.01,0.4485,1.3875,1.34175,2.82575,3.51825,4.626,-0.63625,-0.304,0.4215,0.09675,1.23625,1.586,2.644,3.518,4.504,-6.1345,-4.991,-4.3285
1,4.75,421.2785,1.54075,418.383,1.3395,2020.13225,420.8645,1.697,418.60375,1.2735,2020.06725,421.28075,1.42,421.50525,1.4565,2024.702,422.4815,1.4455,422.88875,1.377,2023,423.495,1.6975,418.4135,1.1435,2023.113,424.4205,1.40375,421.876,1.19,2009.26025,1.9785,-16.126,0.046,416.6525,1.45,0.154,-0.195,0.0925,-0.674,-1.58375,0.17625,-13.34725,-4.0815,0.3945,1.28,0.96,0.37,0.325,0.235,-15.429,-13.95125,-16,-14.81,-16.2135,-17.38875,-17.829,95.43025,79.99,0.226,-12.31,-14.16,-13.9925,-13.24,-11.7075,0.1,-2.4075,0.8,-0.8075,214.2,252.125,-47.4275,249.9,260.775,-0.145,-0.0125,-0.1,-0.13,-0.15,-0.29,-0.11,-0.3,-0.22,-0.27,-0.125,0.09125,0.334,1.1415,1.6195,2.144,2.69925,3.71175,4.63,-0.64575,-0.0355,0.32325,0.82275,1.43725,2.034,2.955,3.49725,4.726,-1.321,-0.47425,0.09325,0.5475,1.226,1.21625,2.02,2.95,3.9065,-0.88375,-0.76475,-0.01,0.4465,1.398,1.34175,2.825,3.517,4.62525,-0.62975,-0.309,0.4215,0.0935,1.2355,1.586,2.643,3.51725,4.50375,-6.1545,-5.033,-4.31625
