DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,427.4365,3.1675,424.1445,3.118,2036.778,427.558,3.2205,423.258,3.17,2040.74,427.841,3.133,424.593,3.075,2033.517,428.168,3.164,427.267,3.148,2038.58,429.347,3.2625,428.138,3.3095,2034.077,429.8445,3.151,427.504,3.078,2030.702,2.699,-8.329,0.087,421.355,2.9005,0.3105,0.01,0.392,-0.086,-0.1415,0.377,-8.0055,-1.995,0.651,1.895,1.53,0.7,0.555,0.31,-7.881,-7.463,-7.882,-7.605,-8.311,-8.903,-8.693,96.051,85.56,0.426,-5.55,-6.44,-6.12,-6.17,-5.06,0.5,-1.4,2.1,-0.12,265,282.6,-14.84,280.8,289.1,0.03,0.01,-0.01,-0.04,0.11,-0.04,0.04,0.08,-0.17,-0.1,0.594,0.846,1.295,2.08,2.295,2.705,3.138,4.143,5.081,-0.186,0.192,0.6145,1.124,1.769,2.587,3.357,3.8,5.144,-0.569,-0.0615,0.21,0.736,1.47,1.5955,2.3395,3.202,4.182,-0.274,-0.297,0.391,0.877,1.697,1.522,3.179,3.805,4.919,-0.113,0.049,0.654,0.46,1.2935,1.878,2.984,3.811,4.779,-5.2755,-3.991,-3.6955
1,0.75,427.2055,3.119,423.949,2.86,2034.132,427.406,3.242,423.538,2.9035,2034.846,427.732,3.0555,424.4845,2.737,2036.4,427.768,3.132,427.889,3.187,2040.0475,429.1525,3.201,426.7375,2.4875,2039.5245,429.669,3.034,425.619,2.81,2035.553,2.6565,-8.496,0.091,421.344,2.872,0.309,0.047,0.403,-0.108,-0.276,0.3685,-7.345,-1.825,0.6435,1.86,1.48,0.69,0.55,0.34,-7.992,-7.327,-8.08,-7.5855,-8.364,-9.0025,-9.011,96.003,85.37,0.4015,-5.5,-6.45,-6.18,-6.14,-5.22,0.5,-1.42,2,-0.16,265.1,282.7,-15.81,281.7,288.8,0.03,0.01,-0.01,-0.04,0.11,-0.04,0.045,0.08,-0.17,-0.1,0.588,0.8525,1.288,2.078,2.289,2.704,3.138,4.142,5.08,-0.185,0.192,0.616,1.124,1.7685,2.584,3.3565,3.799,5.144,-0.592,-0.059,0.21,0.735,1.469,1.592,2.3385,3.201,4.181,-0.259,-0.292,0.392,0.8755,1.6975,1.522,3.178,3.804,4.918,-0.106,0.051,0.654,0.458,1.292,1.878,2.978,3.8155,4.779,-5.243,-4.1275,-3.71
1,1.25,427.736,3.2055,424.2695,3.0815,2040.25,427.6365,3.287,423.364,3.155,2041.846,427.664,3.003,424.446,3.145,2035.81,428.4525,3.1195,426.583,3.087,2035.104,429.6305,3.2255,426.425,3.141,2032.848,430.365,3.086,426.101,3.074,2032.608,2.599,-8.725,0.0905,421.392,2.871,0.324,0.064,0.375,-0.089,-0.344,0.361,-8.124,-1.8725,0.6405,1.81,1.47,0.64,0.52,0.315,-8.246,-7.4585,-8.61,-7.454,-8.505,-8.944,-9.0925,96.002,85.59,0.38,-5.47,-6.2,-6.05,-6.09,-5.31,0.5,-1.47,2,-0.17,264.9,281.7,-14.97,282.2,289.2,0.03,0.01,-0.02,-0.04,0.11,-0.04,0.04,0.07,-0.17,-0.1,0.582,0.855,1.29,2.059,2.289,2.703,3.137,4.141,5.078,-0.186,0.183,0.615,1.1305,1.766,2.586,3.3555,3.798,5.143,-0.557,-0.058,0.209,0.733,1.469,1.592,2.338,3.2,4.176,-0.269,-0.291,0.393,0.874,1.697,1.521,3.177,3.803,4.917,-0.099,0.053,0.6485,0.455,1.2915,1.878,2.9825,3.8145,4.778,-5.223,-4.1225,-3.6935
1,1.75,427.5175,3.032,423.681,3.015,2035.7915,427.461,3.263,423.595,3.037,2032.254,427.94,2.9335,424.1795,3.0135,2034.6655,428.272,3.053,426.64,3.1875,2041.25,429.3265,3.202,425.662,2.368,2041,430.045,2.9975,426.5,2.716,2029.7615,2.602,-8.814,0.095,421.4945,2.887,0.315,0.029,0.3535,-0.179,0.027,0.35,-8.129,-1.602,0.633,1.74,1.44,0.63,0.51,0.315,-8.3695,-7.5115,-8.609,-7.615,-8.716,-8.919,-9.0125,95.9805,85.57,0.371,-5.615,-6.05,-5.905,-6.03,-5.34,0.5,-1.47,2,-0.2,262.7,282.1,-15.14,282.2,288.6,0.03,0.01,-0.01,-0.04,0.1,-0.03,0.04,0.07,-0.17,-0.1,0.579,0.857,1.297,2.0665,2.2885,2.703,3.1395,4.14,5.077,-0.184,0.183,0.613,1.131,1.767,2.586,3.3545,3.797,5.142,-0.531,-0.061,0.209,0.732,1.467,1.592,2.336,3.199,4.176,-0.281,-0.2905,0.388,0.874,1.697,1.521,3.177,3.802,4.917,-0.099,0.056,0.647,0.452,1.2905,1.877,2.982,3.814,4.777,-5.381,-4.226,-3.751
1,2.25,427.743,2.908,423.83,3.107,2036.0645,427.621,3.204,423.303,3.144,2037.227,428.052,2.7775,424.583,3.121,2034.375,428.2105,2.981,425.939,3.159,2034.115,429.27,3.228,426.092,3.356,2038.49,430.075,3.005,426.192,3.112,2031.438,2.646,-9.305,0.091,421.3635,2.631,0.341,0.072,0.424,-0.108,-0.343,0.348,-8.004,-1.408,0.639,1.8,1.43,0.635,0.51,0.31,-8.852,-7.9355,-8.82,-7.493,-8.7905,-9.167,-9.357,95.995,86.07,0.349,-6.13,-6.545,-6.395,-6.555,-5.835,0.5,-1.5,2,-0.24,261.9,281.4,-15.375,281.75,288.2,0.03,0.01,-0.02,-0.035,0.11,-0.03,0.05,0.075,-0.17,-0.1,0.576,0.837,1.297,2.064,2.2885,2.7025,3.136,4.13,5.071,-0.186,0.1845,0.6115,1.126,1.757,2.5825,3.352,3.7955,5.139,-0.5455,-0.0565,0.208,0.732,1.465,1.5915,2.335,3.198,4.176,-0.297,-0.297,0.381,0.872,1.6955,1.5125,3.1755,3.7995,4.9105,-0.1065,0.054,0.638,0.451,1.2895,1.8765,2.9815,3.808,4.774,-5.269,-4.107,-3.7745
1,2.75,427.622,3.0805,424.141,2.847,2035.188,427.789,3.2475,423.526,3.127,2031.132,427.757,2.851,424.86,2.88,2036.015,428.1505,2.986,425.926,3.174,2036.944,429.423,3.263,426.347,2.0335,2042.261,429.884,3.016,426.192,2.438,2025.7465,2.6675,-9.286,0.0815,421.465,2.695,0.32,0.064,0.379,0.064,-0.295,0.357,-8.362,-1.6465,0.6005,1.77,1.42,0.67,0.49,0.31,-8.724,-8.132,-8.8665,-8.1685,-8.777,-8.9535,-9.209,95.9705,86.58,0.3535,-6.195,-6.825,-6.665,-6.825,-5.835,0.55,-1.525,2.1,-0.215,258.8,280.85,-14.8,281.5,287.65,0.03,0.01,-0.01,-0.04,0.105,-0.04,0.04,0.07,-0.17,-0.1,0.575,0.858,1.2975,2.045,2.2885,2.7015,3.1365,4.134,5.07,-0.182,0.1865,0.611,1.126,1.7565,2.5785,3.351,3.795,5.1385,-0.5645,-0.0605,0.2085,0.732,1.465,1.5915,2.334,3.197,4.175,-0.2995,-0.295,0.3745,0.8725,1.694,1.5095,3.175,3.7985,4.9095,-0.1185,0.049,0.645,0.452,1.289,1.876,2.9805,3.807,4.7735,-5.285,-4.0925,-3.792
1,3.25,427.711,3.1465,424.386,3.114,2040.8525,427.712,3.224,423.778,3.0995,2039.167,427.868,3.082,424.966,2.848,2033.118,428.257,3.15,427.814,3.082,2036.0765,429.24,3.217,426.333,3.34,2031.911,430.74,3.0135,426.713,3.238,2032.9,2.672,-9.358,0.09,421.887,2.753,0.262,0.059,0.357,0.0875,-0.434,0.342,-7.25,-1.695,0.621,1.8,1.45,0.665,0.485,0.31,-8.545,-8.038,-8.8515,-8.422,-8.886,-9.069,-9.101,95.9425,86.15,0.353,-6.14,-7.065,-6.935,-6.93,-5.835,0.5,-1.51,2,-0.27,256.9,279.9,-14.55,281.75,286.9,0.03,0.01,-0.01,-0.04,0.11,-0.035,0.04,0.07,-0.17,-0.1,0.5755,0.859,1.2795,2.047,2.288,2.7015,3.135,4.129,5.0685,-0.186,0.1875,0.6085,1.126,1.7555,2.572,3.35,3.7945,5.1375,-0.566,-0.063,0.209,0.732,1.4645,1.591,2.333,3.196,4.174,-0.307,-0.2865,0.3745,0.8725,1.695,1.5165,3.1745,3.798,4.909,-0.1215,0.049,0.643,0.452,1.2875,1.8755,2.98,3.807,4.7725,-5.198,-4.0395,-3.792
1,3.75,427.8885,3.058,425.0235,2.6615,2036.32,427.957,3.242,424.0045,2.7505,2035.2,428.185,2.8955,425.217,2.864,2035.0575,428.68,3.065,426.8015,2.882,2040.667,430.0015,3.2065,428.1925,2.3785,2040.014,430.093,3.0235,427.166,2.285,2028.588,2.652,-9.038,0.09,422.566,2.772,0.281,0.086,0.3525,-0.142,-0.358,0.359,-7.891,-1.355,0.634,1.84,1.465,0.67,0.52,0.32,-8.5155,-8.04,-8.9175,-8.4495,-8.6515,-8.9865,-9.032,95.964,86.44,0.371,-6.015,-7.115,-6.99,-6.815,-5.94,0.5,-1.49,2,-0.265,256.35,279.75,-14.755,282.4,287.1,0.03,0.01,-0.015,-0.04,0.11,-0.04,0.05,0.07,-0.17,-0.1,0.573,0.86,1.2805,2.059,2.2875,2.701,3.1255,4.1325,5.0675,-0.184,0.185,0.605,1.1255,1.741,2.575,3.348,3.793,5.1365,-0.569,-0.0665,0.2095,0.733,1.464,1.5905,2.332,3.194,4.1685,-0.313,-0.2865,0.383,0.8725,1.694,1.513,3.1735,3.797,4.908,-0.1225,0.043,0.635,0.451,1.287,1.876,2.9795,3.806,4.7725,-5.329,-4.099,-3.784
1,4.25,427.924,3.013,424.0815,3.209,2040.323,428.038,3.1875,423.8615,3.257,2040.218,428.229,2.871,424.213,3.098,2032.49,428.7125,3.04,427.015,3.05,2035.681,430.044,3.15,426.069,3.465,2032.3995,430.9255,2.948,426.3,3.298,2032.833,2.7125,-9.162,0.0875,422.362,2.732,0.302,0.002,0.4325,-0.138,-0.296,0.3505,-7.436,-1.123,0.628,1.85,1.47,0.69,0.51,0.32,-8.6655,-7.9345,-8.794,-8.1625,-8.364,-8.8695,-9.308,95.962,87.06,0.347,-6.31,-7.095,-7.015,-6.945,-5.85,0.6,-1.54,2,-0.275,258.25,280.25,-14.22,282.3,286.25,0.04,0.01,-0.01,-0.04,0.11,-0.04,0.04,0.07,-0.17,-0.1,0.574,0.8405,1.266,2.057,2.291,2.7,3.125,4.132,5.066,-0.183,0.182,0.602,1.124,1.747,2.58,3.347,3.793,5.1355,-0.574,-0.0695,0.2085,0.733,1.4635,1.5905,2.331,3.1935,4.167,-0.3055,-0.294,0.383,0.873,1.694,1.511,3.173,3.7965,4.907,-0.122,0.044,0.6315,0.451,1.2855,1.876,2.9785,3.805,4.7715,-5.175,-4.085,-3.737
1,4.75,427.596,3.0205,424.186,2.616,2036.1755,427.6365,3.192,424.1205,2.479,2034.8945,427.9045,2.924,425.33,2.94,2039.367,428.359,3.0015,426.381,3.0245,2038.8,429.487,3.1355,426.188,2.451,2041.808,429.992,2.9755,426.649,2.216,2027.7405,2.685,-9.3775,0.0765,422.458,2.7865,0.275,0.019,0.288,-0.09,-0.313,0.3475,-7.8595,-1.012,0.645,1.93,1.5,0.71,0.535,0.33,-8.524,-7.887,-8.88,-7.861,-8.2175,-8.754,-9.5615,95.9725,86.81,0.35,-6.07,-7.08,-6.81,-6.655,-5.85,0.5,-1.505,2,-0.28,259.2,280.75,-13.82,282.05,286.6,0.03,0.01,-0.02,-0.04,0.1,-0.04,0.04,0.07,-0.17,-0.1,0.573,0.8405,1.295,2.039,2.291,2.7,3.124,4.13,5.065,-0.183,0.1775,0.599,1.121,1.7545,2.564,3.346,3.7915,5.135,-0.58,-0.0745,0.207,0.733,1.4625,1.59,2.33,3.193,4.166,-0.317,-0.291,0.384,0.873,1.694,1.5105,3.1725,3.796,4.9065,-0.1185,0.0475,0.6305,0.445,1.284,1.876,2.9775,3.796,4.771,-5.2945,-4.25,-3.7625
