DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1
1,0.25,426.413,4.359,425.673,4.788,2073.654,426.388,4.341,426.825,4.688,2074.4185,426.534,4.349,424.054,4.685,2077.967,426.518,4.328,427.1135,5.1585,2076.623,426.925,4.307,424.822,5.072,2073.9265,428.062,4.4515,428.187,5.007,2069.062,3.883,-0.701,0.146,424.874,4.515,0.5485,0.065,0.636,0.623,-0.1575,0.369,-22.8965,-2.631,0.712,2.83,2.27,0.98,0.68,0.26,-0.484,-0.8985,-0.42,-0.493,-0.869,-0.763,-1.26,98.107,71.78,1.2255,-0.26,-0.23,-0.065,-0.005,0.21,0.1,-2.68,0.9,0.2,266.5,310.8,-52.42,295.5,310.3,0.12,-0.03,0.25,0.01,0.21,0.165,0.25,0.06,-0.09,-0.11,1.469,2.405,3.461,4.534,4.933,4.936,6.5385,7.374,8.0735,2.0205,2.067,4.048,5.121,6.056,6.6485,7.435,8.908,11.2075,2.349,3.088,4.086,4.809,5.124,5.823,6.15,6.62,1.599,2.1845,2.854,4.486,4.372,5.658,6.943,8.453,10.815,1.351,2.101,3.364,3.981,4.3845,5.6785,7.0125,8.161,9.834,-11.064,-9.81
1,0.75,426.1055,4.402,425.348,4.8435,2064.6755,426.1385,4.402,425.709,4.886,2074.344,426.306,4.415,425.622,5.01,2086.4785,426.514,4.394,426.8595,5.161,2077.5815,426.817,4.366,424.384,4.6,2076.326,428.019,4.459,426.5695,4.5245,2081.6765,3.844,-0.963,0.157,424.802,4.462,0.6015,0.041,0.611,1.437,-0.198,0.38,-15.4,-3.872,0.689,2.91,2.325,1,0.68,0.255,-0.9365,-0.932,-0.575,-0.752,-0.974,-0.936,-1.642,98.0955,72.04,1.222,-0.17,-0.24,-0.17,0.11,0.335,0.2,-2.575,1,0.185,265.65,310.15,-53.385,295.4,310.6,0.13,-0.03,0.25,0.01,0.21,0.17,0.25,0.06,-0.09,-0.11,1.4585,2.3725,3.45,4.5295,4.9325,4.9315,6.535,7.374,8.0715,1.9085,2.0265,4.0275,5.1095,6.0425,6.649,7.434,8.9,11.2065,2.2545,3.0415,4.0605,4.803,5.1185,5.821,6.1485,6.617,1.546,2.1445,2.8475,4.487,4.365,5.635,6.9415,8.4485,10.798,1.3215,2.082,3.3615,3.98,4.3825,5.677,7.013,8.153,9.817,-11.166,-9.956
1,1.25,426.518,4.372,426.054,4.846,2090.464,426.68,4.379,426.524,4.986,2080.402,426.532,4.412,424.752,4.5245,2085.981,426.4735,4.4035,426.778,5.013,2065.078,426.568,4.377,425.7555,4.901,2077.156,427.99,4.437,427.922,4.858,2084.8975,3.867,-0.961,0.159,424.4615,4.3355,0.682,-0.0105,0.596,0.9145,-0.397,0.349,-18.0635,-2.6855,0.677,2.85,2.265,0.935,0.67,0.25,-0.9515,-1.069,-0.638,-0.7235,-1.078,-0.99,-1.587,98.0985,73.64,1.1645,-0.115,-0.285,-0.21,0.02,0.015,0.2,-2.545,1,0.18,266.25,309.15,-48.88,296.55,310.3,0.12,-0.03,0.245,0.01,0.21,0.17,0.25,0.06,-0.09,-0.11,1.42,2.289,3.447,4.534,4.942,4.9275,6.536,7.3695,8.071,1.863,1.933,3.995,5.0975,6.045,6.6485,7.433,8.8985,11.206,2.211,3.0075,4.047,4.7905,5.1135,5.819,6.15,6.612,1.483,2.0865,2.8225,4.4825,4.3605,5.631,6.942,8.448,10.797,1.251,2.041,3.342,3.988,4.3825,5.676,7.022,8.153,9.8155,-11.423,-10.089
1,1.75,426.402,4.372,426.136,4.684,2081.66,426.595,4.3745,426.9605,4.7705,2079.104,426.672,4.3775,426.335,4.774,2095.08,426.378,4.3505,427.5495,5.1375,2096.008,426.882,4.3345,426.6405,4.367,2077.3765,427.598,4.451,428.164,4.555,2089.86,3.808,-0.911,0.147,424.6,4.327,0.475,0.1005,0.627,0.809,-0.313,0.367,-12.487,-2.38,0.715,2.85,2.31,0.96,0.66,0.25,-0.8835,-1.124,-0.832,-0.85,-0.89,-1,-1.755,98.0995,74.15,1.148,-0.245,-0.395,-0.3,-0.15,-0.1,0.2,-2.46,0.9,0.205,267.9,309.05,-42.57,297.2,309.75,0.12,-0.03,0.25,0.01,0.21,0.16,0.245,0.06,-0.09,-0.11,1.332,2.2125,3.449,4.5395,4.944,4.923,6.536,7.3695,8.07,1.7635,1.8705,3.979,5.0855,6.052,6.6485,7.427,8.8965,11.205,2.1985,2.9645,4.0375,4.7765,5.1155,5.825,6.1515,6.605,1.4545,2.0325,2.813,4.4705,4.3555,5.6275,6.94,8.447,10.796,1.2055,2.0315,3.3315,3.978,4.383,5.675,7.022,8.151,9.814,-11.356,-10.587
1,2.25,426.2845,4.339,425.6515,4.7105,2090.9665,426.6895,4.33,425.703,5.005,2081.681,426.674,4.333,425.3325,4.978,2080.583,426.608,4.2975,427.328,5.029,2086.8915,427.123,4.26,426.698,4.555,2076.7465,427.6305,4.384,427.872,4.72,2096.708,3.849,-0.934,0.15,424.636,4.2175,0.606,0.046,0.748,0.867,-0.391,0.378,-17.6745,-2.528,0.688,2.885,2.31,0.97,0.65,0.25,-1.088,-1.2,-0.916,-0.938,-1.052,-1.286,-1.909,98.1025,75.49,1.1375,-0.29,-0.375,-0.325,-0.11,-0.23,0.2,-2.51,1,0.225,269.4,309.4,-46.495,297.65,309.05,0.12,-0.03,0.245,0.01,0.21,0.16,0.25,0.06,-0.09,-0.11,1.287,2.16,3.4555,4.526,4.942,4.9185,6.531,7.3705,8.0685,1.837,1.853,3.967,5.081,6.059,6.611,7.417,8.8945,11.204,2.197,2.945,4.038,4.7625,5.1165,5.822,6.1515,6.6045,1.432,1.9885,2.802,4.4615,4.351,5.623,6.938,8.446,10.811,1.1755,2.02,3.313,3.966,4.3825,5.6745,7.0355,8.1485,9.8125,-11.446,-10.635
1,2.75,426.318,4.3465,425.801,4.777,2083.1685,426.529,4.339,427.2345,4.852,2085.6315,426.956,4.3305,423.764,5.004,2089.8055,426.543,4.241,427.245,5.0775,2091.293,426.881,4.262,425.6285,4.596,2080.746,427.799,4.416,429.336,4.942,2086.75,3.777,-1.223,0.161,425.253,4.2025,0.505,0.0735,0.652,1.1445,-0.475,0.371,-15.431,-2.447,0.701,2.87,2.31,0.96,0.685,0.24,-1.216,-1.2095,-0.944,-1.0505,-1.357,-1.569,-2.094,98.097,76.12,1.126,-0.29,-0.42,-0.33,-0.195,-0.2,0.2,-2.64,0.9,0.19,267.8,309.2,-52.02,295.9,309.4,0.125,-0.03,0.24,0.01,0.22,0.16,0.25,0.06,-0.09,-0.11,1.238,2.042,3.426,4.522,4.918,4.9145,6.524,7.3705,8.0665,1.812,1.898,3.963,5.0745,6.0375,6.649,7.4035,8.893,11.2025,2.188,2.923,4.0265,4.746,5.105,5.8185,6.147,6.591,1.321,1.9545,2.812,4.455,4.367,5.619,6.938,8.4495,10.8145,1.179,1.969,3.289,3.9595,4.383,5.6735,7.016,8.154,9.822,-11.859,-10.821
1,3.25,426.584,4.318,426.317,4.54,2088.1425,426.906,4.323,426.1925,4.658,2072.295,426.979,4.271,424.252,4.847,2082.1495,426.791,4.179,427.8865,4.9645,2088.5465,427.122,4.2175,426.5695,4.631,2081.047,428.101,4.24,428.246,4.492,2106.0155,3.788,-1.249,0.152,424.8565,4.304,0.496,0.101,0.568,0.881,-0.313,0.368,-11.627,-3.0405,0.711,2.89,2.29,0.945,0.65,0.25,-1.3385,-1.498,-1.1605,-1.147,-1.5015,-1.5585,-2.3425,98.1055,76.75,1.036,-0.4,-0.57,-0.485,-0.46,-0.215,0.2,-2.625,0.95,0.19,267,308.9,-46.84,295.65,308.4,0.12,-0.03,0.25,0.01,0.22,0.16,0.25,0.06,-0.09,-0.11,1.2285,2.03,3.4465,4.5255,4.9275,4.9105,6.525,7.3695,8.0645,1.7635,1.913,3.948,5.059,6.0335,6.649,7.403,8.909,11.202,2.1665,2.899,3.997,4.7395,5.1155,5.822,6.1485,6.6065,1.301,1.9125,2.7955,4.4455,4.3735,5.6155,6.939,8.448,10.8125,1.166,1.943,3.2795,3.9525,4.3805,5.6725,7.023,8.157,9.8305,-11.777,-11.07
1,3.75,426.707,4.2915,426.056,4.776,2075.094,427.154,4.344,427.177,5.0945,2069.511,426.9465,4.307,424.9615,4.764,2087.755,426.933,4.239,427.962,4.9635,2089.892,427.313,4.2565,427.076,4.411,2077.139,428.3905,4.2885,428.849,4.738,2091.4585,3.882,-1.494,0.1415,424.825,4.2875,0.536,0.004,0.548,0.4755,-0.5705,0.3765,-15.098,-2.439,0.678,2.91,2.32,0.96,0.65,0.25,-1.439,-1.641,-1.271,-1.32,-1.701,-1.662,-2.393,98.087,76.785,1.0085,-0.545,-0.83,-0.655,-0.5,-0.59,0.2,-2.375,1,0.205,265.7,308.55,-42.57,293.95,307.8,0.12,-0.03,0.25,0.01,0.21,0.16,0.25,0.06,-0.09,-0.11,1.193,2.0315,3.4455,4.524,4.9225,4.914,6.53,7.3755,8.067,1.6955,1.916,3.928,5.0715,6.048,6.689,7.4275,8.9215,11.201,2.1225,2.885,4.001,4.7585,5.134,5.829,6.1475,6.604,1.2845,1.933,2.7745,4.452,4.3845,5.646,6.9465,8.4465,10.808,1.092,1.913,3.284,3.941,4.391,5.6815,7.0355,8.159,9.807,-11.2565,-11.048
1,4.25,426.6,4.2545,426.469,4.485,2092.76,426.793,4.2605,426.256,4.4565,2076.059,427.041,4.256,423.498,4.341,2076.258,426.394,4.1095,427.799,4.894,2077.294,427.422,4.1095,427.012,4.405,2076.6945,428.158,4.189,428.244,4.477,2093.441,3.872,-1.655,0.15,424.8025,4.225,0.576,-0.002,0.568,1.201,-0.379,0.399,-15.9955,-2.2325,0.744,3.035,2.365,0.98,0.66,0.255,-1.531,-1.6305,-1.382,-1.376,-1.7555,-1.704,-2.526,98.097,76.59,1.035,-0.84,-1.04,-0.95,-0.8,-0.79,0.2,-2.49,1,0.16,258.8,306.7,-49.83,291.7,307,0.12,-0.03,0.25,0.01,0.22,0.165,0.25,0.06,-0.09,-0.11,1.167,1.994,3.427,4.505,4.931,4.911,6.529,7.372,8.064,1.655,1.897,3.904,5.028,6.043,6.672,7.424,8.912,11.1995,2.087,2.832,3.987,4.741,5.129,5.824,6.148,6.6015,1.224,1.903,2.767,4.442,4.377,5.616,6.947,8.445,10.777,1.039,1.88,3.275,3.9415,4.382,5.67,7.023,8.1565,9.796,-11.5345,-11.085
1,4.75,427.141,4.29,426.5545,4.765,2086.3165,427.285,4.3135,427.1145,5.1085,2086.35,427.374,4.299,425.046,5.094,2105.415,427.271,4.257,427.648,4.892,2089.959,427.579,4.261,425.392,4.178,2080.2935,428.6215,4.256,428.145,4.595,2084.831,3.8925,-1.4855,0.148,425.103,4.248,0.559,0.026,0.637,0.521,-0.355,0.4,-15.5845,-2.773,0.7165,2.99,2.365,1,0.7,0.25,-1.557,-1.6965,-1.472,-1.566,-1.753,-1.727,-2.643,98.081,76.43,0.991,-0.98,-1.14,-0.93,-0.93,-0.82,0.2,-2.47,1.1,0.16,260.6,307,-44.77,291.2,306.6,0.12,-0.03,0.25,0.01,0.22,0.16,0.25,0.06,-0.09,-0.11,1.126,1.98,3.432,4.5,4.919,4.907,6.5315,7.372,8.066,1.643,1.864,3.897,5.015,6.037,6.668,7.422,8.859,11.1985,2.025,2.798,3.991,4.738,5.128,5.817,6.148,6.597,1.176,1.868,2.756,4.441,4.377,5.612,6.9475,8.443,10.776,1.024,1.844,3.252,3.931,4.378,5.669,7.023,8.155,9.795,-11.491,-11.271
