DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,419.3435,1.39125,420.453,1.5415,2015.61725,419.22775,1.386,420.978,1.50175,2014.21675,418.642,1.46775,420.075,1.605,2015.56125,417.6285,1.6805,416.802,1.7,2012.15475,418.56325,1.4735,420.35525,1.59475,2012.763,420.4475,1.352,423.42725,1.56125,2010.831,2.5375,-14.718,0.0465,416.62125,1.21125,0.18375,-0.19325,0.155,-1.00125,-1.3935,0.297,-18.3695,-5.282,0.536,1.58,1.11,0.61,0.53,0.31,-14.877,-14.484,-14.788,-14.8075,-14.7515,-14.6465,-16.94575,94.776,78.89,0.2515,-12.26,-12.37,-12.76,-12.02,-5.36,0,-2.02,0.7,-1.03,-0.51,221.8,255.9,-38.31,258.1,262.7,-0.24,-0.12,-0.3125,0.01,-0.41,-0.36,-0.27,-0.01,-0.12,-0.18,0.028,0.052,0.534,1.02,1.217,2.09275,3.185,3.567,4.579,0.244,0.59475,1.062,1.37975,1.603,2.46925,3.578,3.549,5.089,0.4155,0.394,1.001,1.244,1.56,2.454,2.9525,3.74375,4.707,0.362,0.464,1.05525,1.5125,1.57125,2.44925,2.814,4.109,4.513,0.005,0.188,0.448,1.1985,1.561,2.372,2.9335,3.903,4.901,-3.24,-4.9595,-3.543
1,0.75,419.1695,1.3855,420.855,1.651,2015.1555,419.2525,1.3805,421.8635,1.52175,2011.309,418.8335,1.5675,421.185,1.778,2012.5455,417.7515,1.8015,416.799,2.264,2019.1365,418.98,1.475,419.213,1.64225,2016.7805,420.915,1.3865,421.93125,1.64875,2009.3265,2.49125,-14.81325,0.04375,416.486,1.2485,0.21025,-0.1235,0.201,-0.9015,-1.18225,0.27575,-18.264,-4.1915,0.5395,1.5975,1.09,0.61,0.54,0.2775,-14.832,-14.6985,-14.874,-14.89825,-14.72575,-14.5965,-16.95675,94.788,78.4175,0.243,-12.23,-12.28,-12.51,-11.93,-5.4,0,-2.03,0.7,-1.03,-0.55,224.5,255.7,-35.88,258.2,262.4,-0.24,-0.11,-0.32,0,-0.41,-0.36,-0.27,0,-0.12,-0.18,0.026,0.05075,0.535,1.021,1.219,2.0935,3.181,3.567,4.578,0.246,0.593,1.062,1.37975,1.603,2.4685,3.578,3.548,5.088,0.414,0.392,1.001,1.24,1.56,2.454,2.954,3.742,4.7065,0.362,0.46275,1.0535,1.509,1.5675,2.4495,2.813,4.108,4.513,0.002,0.186,0.4495,1.1985,1.562,2.371,2.93325,3.902,4.9005,-3.253,-4.946,-3.552
1,1.25,419.12475,1.403,420.231,1.646,2015.342,419.336,1.36225,421.0355,1.581,2015.724,418.662,1.551,418.05925,1.96825,2016.526,417.701,1.79025,416.798,2.134,2013.477,418.8645,1.48475,420.44275,1.76075,2020.9005,420.83875,1.371,422.999,1.648,2010.533,2.39075,-14.98225,0.046,416.50075,1.2295,0.1775,-0.1745,0.225,-0.8695,-1.3225,0.27075,-16.412,-4.675,0.52975,1.4475,1.07,0.61,0.52,0.29,-14.89425,-14.646,-14.961,-14.91725,-14.7715,-14.751,-16.91775,94.79,78.895,0.2415,-12.24,-12.39,-12.47,-11.95,-5.53,0,-2.03,0.7,-1.03,-0.57,223.7,256.2,-35.79,258.8,262.9,-0.24,-0.11,-0.32,0.01,-0.41,-0.36,-0.27,-0.01,-0.12,-0.18,0.024,0.0515,0.5355,1.019,1.217,2.0925,3.1825,3.566,4.577,0.247,0.591,1.061,1.38,1.60375,2.467,3.578,3.548,5.087,0.41275,0.39275,1,1.24,1.559,2.451,2.95375,3.74275,4.7065,0.3615,0.4615,1.057,1.5095,1.5685,2.448,2.813,4.108,4.512,0.002,0.186,0.4505,1.1975,1.561,2.371,2.933,3.902,4.8995,-3.241,-4.9865,-3.564
1,1.75,419.24925,1.435,420.492,1.661,2015.4325,419.621,1.358,422.08525,1.45875,2015.6655,418.76425,1.579,420.327,1.883,2015.98775,417.751,1.7155,416.653,2.132,2020.078,418.7965,1.52175,418.8175,2.12025,2015.184,420.6125,1.3565,422.63225,1.64675,2012.9085,2.27525,-15.1485,0.047,416.548,1.2145,0.1755,-0.166,0.262,-0.86825,-1.066,0.262,-14.407,-5.232,0.53825,1.435,1.08,0.57,0.5,0.275,-15.1405,-14.635,-15.072,-15.05925,-14.92525,-14.825,-17.297,94.77225,79.84,0.24375,-11.97,-11.91,-12.43,-11.9675,-5.68,0,-2.11,0.7,-1.04,-0.57,225.9,255.8,-37.78,259.2,262.4,-0.24,-0.11,-0.32,0.01,-0.4125,-0.3525,-0.27,-0.01,-0.12,-0.18,0.024,0.052,0.5355,1.01975,1.21675,2.0925,3.181,3.565,4.576,0.247,0.5925,1.061,1.3815,1.6035,2.466,3.577,3.547,5.086,0.41325,0.394,1,1.2355,1.559,2.445,2.95375,3.742,4.7055,0.35575,0.46325,1.055,1.51,1.5675,2.45175,2.813,4.107,4.512,0.003,0.184,0.4515,1.198,1.561,2.37,2.932,3.901,4.899,-3.238,-5.01725,-3.5615
1,2.25,419.31425,1.4295,420.4595,1.6085,2015.5,419.55,1.35725,421.235,1.57,2013.0725,418.52575,1.563,420.081,1.768,2012.86325,417.773,1.592,416.77525,1.9055,2006.475,418.603,1.481,420.009,1.6535,2013.9395,421.319,1.359,423.288,1.441,2013.4825,2.283,-15.2645,0.0415,416.53625,1.23525,0.172,-0.1755,0.172,-1.062,-0.81925,0.2385,-16.8885,-3.33725,0.519,1.48,1.05,0.58,0.47,0.28,-15.282,-14.723,-15.204,-15.1635,-14.99925,-14.896,-17.352,94.7945,79.8175,0.24,-11.78,-11.9,-12.08,-11.84,-5.72,0,-1.94,0.7,-1.04,-0.58,227.2,255.1,-36.83,259.5,263.1,-0.24,-0.11,-0.32,0.01,-0.4,-0.3525,-0.27,-0.01,-0.12,-0.18,0.0235,0.052,0.534,1.0205,1.2185,2.092,3.17975,3.565,4.575,0.245,0.592,1.061,1.3815,1.604,2.465,3.577,3.546,5.086,0.41325,0.3955,1,1.233,1.559,2.45675,2.951,3.742,4.705,0.354,0.459,1.05175,1.51,1.56775,2.45075,2.812,4.106,4.511,-0.001,0.182,0.4525,1.197,1.561,2.369,2.931,3.9,4.8985,-3.221,-5.00225,-3.551
1,2.75,418.6715,1.418,421.048,1.58525,2014.353,418.7175,1.34225,423.24,1.4285,2016.6225,418.297,1.473,421.597,1.6145,2018.016,417.6325,1.5785,416.87,2.063,2017.278,418.461,1.48075,419.514,1.846,2015.8265,420.8335,1.34,423.90125,1.699,2008.47875,2.255,-15.16,0.046,416.49475,1.23575,0.162,-0.1105,0.2085,-0.8875,-1.397,0.227,-14.809,-4.5505,0.516,1.505,1.06,0.58,0.48,0.2775,-15.292,-14.909,-15.10725,-15.16525,-15.03975,-14.9995,-17.451,94.80575,80.5,0.242,-11.7,-12.09,-12.02,-11.87,-5.51,0,-2.09,0.7,-1.07,-0.56,225.6,255.1,-37.46,260.3,262.8,-0.24,-0.11,-0.32,0.01,-0.41,-0.35,-0.27,-0.01,-0.12,-0.18,0.023,0.053,0.532,1.0205,1.21875,2.092,3.18,3.564,4.577,0.2425,0.59275,1.06,1.381,1.60275,2.4665,3.576,3.545,5.085,0.413,0.394,1,1.231,1.559,2.4555,2.9505,3.74125,4.7045,0.354,0.45725,1.0535,1.5075,1.567,2.4525,2.812,4.105,4.511,-0.007,0.181,0.4535,1.1975,1.56,2.369,2.9305,3.9,4.898,-3.1975,-4.99,-3.55925
1,3.25,418.65625,1.402,420.698,1.583,2014.758,418.827,1.36,421.4775,1.602,2013.844,418.195,1.4725,420.14625,1.93425,2010.0145,417.786,1.5655,416.941,1.85,2015.05075,418.48675,1.446,421.8025,1.598,2016.8645,420.89,1.31825,423.6765,1.461,2013.157,2.29475,-15.327,0.04575,416.55725,1.247,0.195,-0.122,0.226,-1.32,-1.32,0.2495,-15.09875,-4.822,0.54175,1.4975,1.07,0.61,0.5,0.29,-15.285,-15.068,-15.109,-15.0755,-15.028,-14.966,-17.51,94.807,80.6,0.236,-12.0425,-12.48,-12.52,-12.34,-5.54,0,-1.97,0.7,-1.05,-0.55,224.9,256.3,-35.51,259.8,262.4,-0.24,-0.11,-0.32,0.01,-0.41,-0.35,-0.27,-0.01,-0.12,-0.18,0.0195,0.0525,0.532,1.02,1.21875,2.0915,3.18075,3.564,4.574,0.2415,0.5925,1.06,1.3805,1.60175,2.46575,3.576,3.5425,5.084,0.41275,0.39325,0.9995,1.2345,1.55725,2.4545,2.95,3.74025,4.704,0.3575,0.45375,1.053,1.50975,1.568,2.45075,2.811,4.10425,4.51,-0.006,0.181,0.4545,1.1965,1.56,2.368,2.92975,3.899,4.8975,-3.254,-4.9835,-3.55
1,3.75,418.748,1.329,421.019,1.549,2013.3395,418.79,1.288,423.254,1.38,2013.7775,418.209,1.44225,420.7315,1.756,2016.981,417.457,1.546,416.932,1.836,2010.786,418.44,1.4165,420.2345,1.9645,2016.87175,420.83,1.312,423.443,1.629,2010.71375,2.275,-15.40575,0.046,416.656,1.3045,0.158,-0.148,0.155,-1.086,-0.924,0.25725,-14.881,-3.1625,0.5255,1.4475,0.99,0.58,0.51,0.2775,-15.421,-15.133,-15.264,-15.177,-15.123,-15.0525,-17.497,94.762,80.71,0.233,-12.055,-12.3,-12.45,-12.15,-5.56,0,-1.72,0.7,-1.02,-0.57,227.6,255.5,-30.77,259.8,262.6,-0.24,-0.12,-0.32,0.01,-0.4125,-0.35,-0.27,-0.01,-0.12,-0.19,0.017,0.0495,0.533,1.0205,1.219,2.091,3.18,3.563,4.573,0.2415,0.591,1.06,1.379,1.60175,2.4655,3.576,3.54175,5.084,0.411,0.392,1.0015,1.2355,1.558,2.44925,2.95,3.74025,4.703,0.357,0.452,1.052,1.50975,1.5675,2.44975,2.812,4.10325,4.51,-0.01,0.18,0.4545,1.1965,1.559,2.369,2.93,3.899,4.8965,-3.2515,-4.98525,-3.5435
1,4.25,418.677,1.4195,420.2955,1.5875,2013.418,418.707,1.3415,421.069,1.59825,2013.40275,418.347,1.53675,420.11175,2.01275,2016.725,417.319,1.603,417.29075,1.83325,2015.678,418.674,1.518,420.4445,1.533,2017.94625,420.607,1.3465,423.704,1.475,2012.2445,2.3175,-15.43425,0.046,416.5705,1.28075,0.157,-0.08475,0.161,-0.84675,-1.17375,0.263,-15.14775,-4.3015,0.50725,1.51,1.11,0.61,0.48,0.2975,-15.596,-15.237,-15.32075,-15.2805,-15.212,-15.21525,-16.959,94.74,80.89,0.226,-12.17,-12.49,-12.47,-12.29,-5.54,0,-1.74,0.7,-1,-0.57,231.5,254.8,-28.31,261.2,263.1,-0.24,-0.11,-0.32,0.01,-0.41,-0.35,-0.27,-0.01,-0.12,-0.18,0.017,0.04775,0.536,1.02125,1.218,2.0905,3.181,3.562,4.573,0.241,0.5875,1.06,1.379,1.601,2.4685,3.575,3.543,5.083,0.4115,0.392,1.00075,1.242,1.558,2.4465,2.949,3.73925,4.703,0.35775,0.453,1.0525,1.5095,1.56675,2.4515,2.811,4.104,4.509,-0.014,0.18,0.4545,1.1965,1.559,2.368,2.92875,3.904,4.896,-3.251,-4.97475,-3.54
1,4.75,418.895,1.38825,421.20425,1.6525,2017.47425,418.93375,1.332,422.9275,1.372,2016.037,418.593,1.485,422.9585,1.60675,2017.63175,417.7595,1.6425,417.25225,1.7645,2020.451,418.687,1.45775,419.823,2.0555,2018.5995,421.245,1.28975,422.5445,1.746,2012.674,2.312,-15.542,0.043,416.79275,1.31475,0.17325,-0.125,0.1565,-0.99025,-1.0135,0.261,-14.94025,-5.153,0.527,1.5025,1.1,0.61,0.5,0.28,-15.679,-15.339,-15.44825,-15.3605,-15.319,-15.26725,-16.918,94.75975,81.59,0.2305,-11.9125,-12.33,-12.41,-12.24,-5.62,0,-1.89,0.7,-0.98,-0.58,230,254.2,-33.66,262.2,262.8,-0.24,-0.11,-0.32,0.01,-0.41,-0.35,-0.27,-0.01,-0.12,-0.18,0.0155,0.047,0.5355,1.021,1.217,2.0905,3.18,3.562,4.572,0.23975,0.58775,1.059,1.378,1.60075,2.468,3.575,3.543,5.083,0.40975,0.3935,1.0015,1.23725,1.5575,2.44375,2.949,3.743,4.702,0.359,0.45325,1.053,1.509,1.56525,2.4515,2.81,4.103,4.508,-0.017,0.176,0.4545,1.196,1.559,2.367,2.928,3.90375,4.8955,-3.233,-4.96575,-3.555
