DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.449307638364975,0.152036735164039,0.461035624846387,2.04395796904999,0.360183066778442,0.659449904846436,-3.6693873175133,1.561871705075,1.08554600470391,420.831814135141,3.99464134693553,423.697465857311,4.01245883804046,423.120687532543,3.92201496284896,423.569435540582,4.09813767095365,423.383734950883,4.54934412638208,423.722067158103,4.05372266428714,423.86205420732,4.3567300481054,423.931420169011,4.05694332669019,423.4617974,3.62554775398596,424.33941109715,4.00274778843224,423.262516883265,3.67741486328867,425.743678300603,3.86049614172421,425.945151400776,3.85043796799521,4.15020540071205,-4.16276800840519,0.138042085370175,2.87,2.2075,1.295,1.07,0.6125,-4.5186,-4.5865,-4.5883,-4.5321,-4.530775,-4.599775,-5.8745,95.97333,91.18,0.5829,-3.05,-2.83,-3.085,-2.74,1.215,1,-0.75,2.6,-0.58,0.17,281.25,297.15,302.3,308.85,0.065,0.17,-0.07,0.345,-0.2125,0.135,0.375,0.14,0.11,0.07,0.413,0.49875,0.976,1.4505,1.5355,2.457,3.37075,3.875,4.871,1.137,1.36475,1.709,1.9485,2.14,2.847,3.8825,3.8795,5.416,1.2045,1.1885,1.721,1.83375,2.0945,2.861,3.342,4.0215,5.1465,1.154,1.231,1.7325,2.044,2.03575,2.82675,3.1045,4.6285,4.877,0.894,1.043,0.66,1.795,2.12,2.798,3.43925,4.2265,5.293,-2.948,-3.922,-3.01,-8.9
1,0.75,0.464483088770104,0.220683946509022,0.634698931829032,1.13168308196848,0.864245232390859,0.677489147519277,-3.86436591113606,1.96213736549499,1.10717056552465,420.978458832888,4.23538568328968,423.872542936473,4.12700468916088,423.918845622387,3.79098392483626,424.072706149418,4.18707263094784,423.521779666576,3.79154255287827,424.178891783926,4.14741887590142,424.047521317152,4.26709186867032,424.038343838165,4.14250501105519,424.198356675159,3.49966321348688,424.238553559959,4.09367635779871,423.817415318311,3.64611474215785,426.594512935064,3.97125888909495,425.628713373832,3.86726638633214,4.39496989826542,-4.09575227310562,0.133385881529154,2.91,2.41,1.3,1.075,0.6075,-4.5691,-4.5695,-4.586475,-4.59095,-4.595225,-4.6028,-5.904125,95.9721,91.22,0.59275,-3.095,-3.09,-3.13,-2.825,1.21,1,-0.74,2.6,-0.565,0.175,283.6,296.55,302.7,308.6,0.07,0.21,-0.095,0.295,-0.21,0.14,0.365,0.14,0.11,0.08,0.414,0.6325,0.975,1.51525,1.5355,2.453,3.365,3.8755,4.8705,1.1375,1.36925,1.71,1.948,2.1405,2.847,3.8825,3.8785,5.415,1.204,1.1885,1.7215,1.83375,2.095,2.861,3.34475,4.0215,5.146,1.154,1.231,1.732,2.04225,2.03475,2.826,3.104,4.628,4.876,0.895,1.0435,0.6595,1.794,2.12,2.798,3.43825,4.231,5.292,-2.96175,-3.954,-2.99975,-8.47
1,1.25,0.499178820117704,0.190188760425525,0.526001105670503,1.68897634794124,1.12257305626509,0.645047703775389,-3.19307313310376,2.06307267221379,1.10631916609831,421.243625249163,4.27435193595552,423.57103138169,4.11844483279724,423.221781225461,3.89844002056839,423.81393518983,4.14851483888556,423.130780879683,4.45820713664717,423.650475322816,4.14373834331722,423.166668098814,3.90420776818945,424.029525052562,4.14228469090387,424.155427351623,3.62079027644489,424.365814447918,4.09779325919486,423.741877503669,3.76237837387344,427.382549475077,3.97993026996721,426.646982665563,4.1949816941817,4.23920719769962,-4.10006882955168,0.149683450785163,2.875,2.235,1.3,1.03,0.59,-4.6635,-4.7165,-4.5891,-4.62555,-4.671725,-4.7503,-6.0317,96.00179,91.1,0.56335,-3.15,-3.21,-3.355,-2.99,1.22,1,-0.71,2.6,-0.57,0.15,283.3,295.85,302.25,308.45,0.08,0.175,-0.095,0.29,-0.21,0.14,0.385,0.14,0.11,0.08,0.415,0.6335,1.097,1.513,1.536,2.4545,3.3645,3.8745,4.87,1.1375,1.369,1.7095,1.9485,2.14125,2.844,3.8825,3.8785,5.415,1.2035,1.189,1.722,1.833,2.0955,2.86,3.34475,4.0205,5.1455,1.152,1.22925,1.732,2.0465,2.035,2.82825,3.1035,4.627,4.876,0.895,1.043,0.6585,1.7925,2.1195,2.797,3.436,4.229,5.291,-2.93225,-3.90775,-3.00475,-7.23
1,1.75,0.414225314788881,0.169422140074349,0.483938068892274,1.44473272162794,1.23858131899679,0.65685343472218,-2.57943864121658,2.2045560679727,1.13412383474175,421.214190804866,4.24098413921049,423.433032436658,4.05668156515276,423.54815708231,3.76946051999456,423.460959081803,4.086389533996,423.577314939109,3.81516295105467,423.495939230231,4.07304580677213,423.511643998009,4.21186290801493,423.62813338654,4.05933087415558,423.374861278571,3.71445823155815,424.137793742532,4.01923855360449,423.537485388047,3.67314705148071,427.070863183799,3.9410433931746,425.330505568106,3.75826934271675,4.43195055582155,-4.06750955920612,0.148321987703975,2.92,2.32,1.31,1.06,0.585,-4.5569,-4.6785,-4.617125,-4.645375,-4.68525,-4.757225,-6.1915,96.01528,91.72,0.50505,-3.055,-3.135,-3.32,-3.095,1.22,1,-0.72,2.6,-0.59,0.11,284.3,295.95,301.85,308.35,0.075,0.17,-0.09,0.3,-0.21,0.14,0.37,0.14,0.11,0.08,0.415,0.6335,1.066,1.4805,1.53675,2.4545,3.3635,3.8745,4.8695,1.1385,1.367,1.7075,1.952,2.14175,2.843,3.883,3.8775,5.414,1.203,1.189,1.723,1.831,2.096,2.8595,3.344,4.0205,5.1445,1.147,1.2305,1.73325,2.0435,2.035,2.82875,3.1025,4.6265,4.875,0.8955,1.043,0.6575,1.7915,2.1195,2.797,3.435,4.229,5.2905,-2.9355,-3.89375,-3.01625,-6.34
1,2.25,0.493599106882433,0.139855129531541,0.535969137817094,1.75317745057386,1.39785845914296,0.653320742149971,-1.88850436605793,2.67448648801121,1.12813414161861,421.106073762635,4.19692957907942,423.540454975536,3.94417175295366,423.383799445255,3.92595437180709,423.677338651769,4.05541913707555,423.283318545516,4.64622450794201,423.779620922993,3.92452711757166,423.424394685619,4.30384004718436,423.83681383827,3.9038691077877,423.444194091575,3.67467097821853,424.135276338634,3.95805347209143,424.204985867528,3.77345639558014,426.2254630205,3.72374888643576,427.72467951672,4.22882699759739,4.49610302463931,-4.09997787656786,0.152585992747739,2.945,2.315,1.295,1.095,0.66,-4.6247,-4.6405,-4.6364,-4.64,-4.690475,-5.021075,-6.6066,96.072635,91.31,0.50295,-3.11,-3.125,-3.385,-3.045,1.195,1,-0.7,2.6,-0.59,0.11,285.5,296.45,302.3,308.25,0.08,0.215,-0.1,0.315,-0.2025,0.14,0.36,0.14,0.11,0.075,0.417,0.633,1.0025,1.48025,1.5375,2.454,3.363,3.8735,4.869,1.138,1.366,1.7075,1.952,2.143,2.843,3.883,3.8775,5.4135,1.2015,1.22325,1.7225,1.831,2.0965,2.86175,3.3405,4.02,5.1435,1.147,1.23,1.732,2.0435,2.0345,2.828,3.1025,4.6255,4.874,0.896,1.043,0.6575,1.7895,2.1195,2.797,3.437,4.228,5.289,-2.92325,-3.901,-3.02075,-6.885
1,2.75,0.446971311987159,0.177900442056642,0.577741330898403,1.64113841514139,0.555443743886518,0.644210794643983,-2.38935287101871,1.80195294275511,1.11055245286312,421.263943628045,4.15501990583116,423.66788178169,4.00864239253692,423.567501663549,3.74396494911042,423.686130374167,4.08096817124436,423.810555060149,3.95953447360994,423.858684107985,4.0005364234859,423.937591011772,3.99024922662104,424.049776274893,4.00349044300384,423.614018423343,3.67993978070294,424.264953626287,4.02748638085904,423.68196771875,3.70120939237664,426.347301879078,3.7728405721824,426.854950046512,3.63365877576928,4.32202094597762,-4.15868868159678,0.141887467115562,2.855,2.245,1.27,1.05,0.5975,-4.76065,-4.7045,-4.7567,-4.705625,-4.755475,-4.9463,-6.62875,96.0770225,91.35,0.495125,-3.35,-3.16,-3.345,-3.06,1.18,1,-0.6825,2.6,-0.59,0.105,285.25,296.3,300.8,307.7,0.065,0.175,-0.1,0.285,-0.195,0.14,0.345,0.14,0.11,0.08,0.415,0.6325,1.033,1.3795,1.537,2.4535,3.3625,3.872,4.868,1.1385,1.36375,1.708,1.952,2.1425,2.846,3.883,3.877,5.4125,1.201,1.22375,1.7235,1.8305,2.097,2.8615,3.3405,4.02,5.143,1.147,1.2295,1.7335,2.03925,2.0345,2.8275,3.102,4.62875,4.874,0.8965,1.0435,0.6565,1.788,2.119,2.7965,3.436,4.228,5.2885,-2.94975,-3.87675,-3.0035,-7.3025
1,3.25,0.395946448640329,0.140210519970351,0.503154132723131,0.637044385972112,0.656056296217873,0.67774889524379,-3.44541900246307,1.41096204357877,1.1044482777123,421.29264831375,4.16941431038842,423.681284631461,3.98039253574381,423.904931380795,4.06683421213571,423.709567372637,4.05848794635008,423.56743641906,4.43364259815015,423.786518039048,3.99105635615225,424.037345646384,4.2093517089348,424.156814769535,3.93871136027064,423.815367995522,3.60618311970287,424.543716672531,3.94924147044153,424.456369564462,3.68322503294212,427.586425159641,3.76608448533005,427.999816105873,4.17914312516411,4.26786217417541,-4.16567598623713,0.134948115945962,3.02,2.33,1.32,1.08,0.61,-4.675,-4.6615,-4.6804,-4.62785,-4.7621,-4.841425,-6.6329,96.0907625,91.7875,0.469,-3.43,-3.25,-3.395,-3.115,1.165,0.9,-0.7075,2.6,-0.59,0.11,284.25,296.5,301.85,308.15,0.07,0.205,-0.0625,0.35,-0.185,0.14,0.37,0.14,0.11,0.075,0.417,0.632,1.065,1.37925,1.5375,2.453,3.362,3.872,4.8675,1.1415,1.36175,1.708,1.95125,2.14325,2.84575,3.883,3.8765,5.412,1.2005,1.117,1.7235,1.83,2.097,2.86075,3.3395,4.0195,5.142,1.14775,1.22825,1.73125,2.046,2.0345,2.82625,3.102,4.62775,4.8735,0.896,1.0425,0.6565,1.7865,2.1185,2.796,3.434,4.227,5.2875,-2.93525,-3.90725,-3.01075,-6.975
1,3.75,0.374662578039592,0.176229673337199,0.450155111378004,1.32273798892855,1.17874268818572,0.671371823645355,-3.82374873548015,1.9011482199738,1.10576251723821,421.437417546442,4.21784446196583,423.620425361274,3.91945998199007,423.655779523515,3.70114791399748,423.7687285635,4.01776901994539,424.146736307806,4.00382384108964,423.932735426994,3.91759171253552,423.718373476355,3.55741506824985,423.876466829307,3.93276601445189,423.713049713572,3.58313871085125,424.309261168111,3.95594997946417,424.028051001992,3.69270748973975,427.431714350401,3.89074194376275,426.351424571429,3.72776428644486,4.41132966527787,-4.09979130698031,0.144675727254926,2.965,2.3375,1.325,1.08,0.62,-4.686,-4.77,-4.9179,-4.789625,-4.802325,-4.87525,-6.61735,96.108895,92.225,0.446075,-3.33,-3.155,-3.31,-3.035,1.115,1,-0.7025,2.6,-0.585,0.11,284.3,296.85,301.9,308.05,0.09,0.175,-0.0625,0.315,-0.1925,0.14,0.37,0.14,0.11,0.08,0.417,0.631,0.97,1.379,1.537,2.453,3.3615,3.872,4.867,1.1385,1.36,1.708,1.95,2.141,2.84575,3.883,3.876,5.4115,1.1995,1.10675,1.7245,1.8285,2.0965,2.858,3.3395,4.019,5.1415,1.1495,1.23,1.73,2.045,2.03425,2.82675,3.101,4.62675,4.873,0.8935,1.0405,0.6555,1.7865,2.1185,2.796,3.433,4.227,5.2865,-2.9255,-3.9265,-3.0155,-7.4925
1,4.25,0.416318689225827,0.214251418971586,0.462887617221161,0.803279198849973,1.21795146336666,0.656713839086881,-3.03143993999618,2.52488105699512,1.11910293292765,421.435908475983,4.27195586215636,423.911965047008,3.9883921504555,423.602895066059,3.61716029134508,424.051625748053,4.03284477782905,423.436721191919,3.75834782851007,423.983602294359,3.9295406857924,423.644933452658,3.82930772835336,424.101077090203,3.96883984592196,423.573883156934,3.55341562109307,424.373052432698,3.96205571975652,424.344730452495,3.53414985221611,427.636436104513,3.86018516312726,428.667247194677,3.70760954151514,4.36761833834933,-4.28695349783099,0.146608251292877,2.915,2.285,1.31,1.065,0.57,-4.9103,-4.9265,-4.878,-4.7982,-4.775075,-4.720025,-6.19995,96.107985,92.1275,0.4756,-3.105,-3.17,-3.26,-3.135,1.11,1,-0.68,2.65,-0.59,0.1,285.15,296.35,301.85,308,0.1,0.18,-0.0625,0.275,-0.19,0.14,0.37,0.14,0.11,0.075,0.416,0.69175,1.0015,1.4475,1.5375,2.453,3.361,3.8715,4.866,1.1405,1.3585,1.708,1.9485,2.1415,2.848,3.8825,3.8755,5.4105,1.1985,1.10575,1.7245,1.82875,2.097,2.8575,3.3385,4.019,5.141,1.1485,1.23,1.7315,2.046,2.034,2.8265,3.102,4.6235,4.872,0.8915,1.0395,0.6555,1.7865,2.118,2.796,3.433,4.226,5.2865,-2.927,-3.942,-3.003,-7.65
1,4.75,0.424361430685339,0.181367797803247,0.557178068313074,0.534037778570945,1.34460275296392,0.666839025153551,-3.17656351321593,2.25479649929303,1.11650802925167,421.397046704905,4.12500340223839,424.03791456999,3.86349601754456,424.46054340208,3.73166475979392,424.105845073393,4.01789282315791,424.415852272628,3.82407175193992,424.094172500885,3.87758374993271,424.886848036644,3.50133971310444,424.310815114587,3.90702522804495,423.717989208029,3.48495990991987,424.818003405027,3.90830602874355,424.279813853026,3.6942424066726,427.795759568943,3.87968661706694,427.159406828511,3.68994070400044,4.2411665163709,-4.38878900114315,0.142436847121367,2.985,2.2275,1.32,1.04,0.56,-4.94755,-5.003,-4.85305,-4.793725,-4.761625,-4.712975,-6.08155,96.100795,92.365,0.430875,-3.35,-3.36,-3.435,-3.22,1.095,1.05,-0.73,2.7,-0.585,0.1,283.3,296.5,302.1,307.95,0.04,0.175,-0.0625,0.255,-0.18,0.135,0.315,0.14,0.11,0.08,0.417,0.69075,0.971,1.48,1.537,2.453,3.3605,3.8715,4.865,1.13875,1.358,1.708,1.948,2.142,2.848,3.8815,3.875,5.4105,1.197,1.22475,1.724,1.827,2.0975,2.857,3.3385,4.01975,5.14,1.14875,1.231,1.7325,2.046,2.03325,2.8265,3.1,4.62,4.872,0.891,1.038,0.655,1.7855,2.117,2.795,3.43225,4.226,5.2855,-2.9275,-3.88275,-3.00325,-7.065
