DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,H2O_1_6_2,H2O_1_6_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3
1,0.25,6.68339118930139,-0.0392235421086434,0.288840321905715,1.09305974805697,0.906439123727061,1.14393626364421,10.577070058453,3.39773575897212,1.09737982929087,6.30267281177401,9.33901034615325,1.94160354213737,4.698,3.73575,2.331,1.964,1.127,-0.4819,-0.788300000000002,-0.408277499999999,-0.39515,-0.368065000000001,-0.363312500000004,-0.701625,96.843572,97.32175,1.129075,1.05074999999999,0.766999999999995,0.674999999999997,0.829999999999993,1.944,1.5,-0.127,11.4875,-0.27,0.554999999999999,313.11,312.35,315.22,319.17,0.4,0.28,0.29,0.44,-0.07,0.21,0.49,0.17,8.65649999999999,0.09,0.5763,0.874275,1.253125,1.7266,1.6896,2.62315,3.818775,4.2224,5.3606,1.2628,1.469,1.8186,2.06,2.2847,3.13725,4.2493,4.4458,5.9693,1.4021,1.40005,1.8862,1.9851,2.22695,3.3084,3.56185,4.4564,5.5341,1.3019,1.2952,1.8628,2.18925,2.26785,3.129625,3.4563,5.0416,5.2057,1.0072,1.1608,0.7556,1.8716,2.1988,2.9686,3.66015,4.639,5.8884,-1.8483,-3.3683,-2.1956,0.865999999999971,5.79405953701216,5.87272094642173,5.81866071696142,5.91044138247338,5.93978837675966,5.91983483095456,5.40640458121614,5.94489137684223,4.2743103842766,5.94404230859919,4.75508176358074,5.87338443971354,5.94816243054268,424.286068733704,431.623113816081,425.993923599351,431.841109733584,426.170958966149,431.612903766027,423.923385155436,425.663403112199,424.487456738114,431.425538822511,425.937382631544,441.310659357379,440.436719861788
1,0.75,6.9938907721889,-0.021336069236646,0.367235612014558,1.27483322182816,1.04047043354499,1.30903653852333,14.4322258645025,2.64902150861136,1.06875256537436,20.7980087968643,10.1088646403947,1.96137833945477,4.88099999999999,3.867,2.474,1.998,1.3105,-0.4644925,-0.74145,-0.391135,-0.3730575,-0.33846,-0.319420000000001,-0.6198125,96.84432625,97.7835,1.1857625,1.01999999999999,0.692999999999993,0.645999999999993,0.752999999999991,1.944,1.5,-0.107,11.4875,-0.27,0.633,311.72,312.21,315.22,319.17,0.4,0.273,0.29,0.443,-0.07,0.21,0.5,0.17,8.72149999999999,0.09,0.57635,0.8748,1.253125,1.726975,1.6901,2.6221,3.8174,4.2221,5.3606,1.2624,1.471925,1.8186,2.0589,2.2851,3.13625,4.2483,4.4448,5.9683,1.40305,1.3995,1.8862,1.98595,2.22695,3.3078,3.561775,4.4554,5.5331,1.3029,1.2959,1.859925,2.1886,2.267425,3.12785,3.4556,5.0406,5.2047,1.0066,1.1608,0.7593,1.87145,2.1988,2.9676,3.65915,4.638,5.887,-1.84475,-3.376125,-2.175,2.18599999999999,5.75395131886593,5.78127826971462,5.09467585390009,5.87720762479338,5.34663117477889,5.87542915456888,5.27314730906214,5.94508228464911,4.44197455218592,5.88945627524915,4.56812796944659,5.77493429174988,5.2151789671415,424.101343859445,431.826050829392,426.302384596847,431.922362422987,427.879877322512,431.716006885048,424.001141453473,425.619258251663,424.51822057,432.00881592441,427.308373397308,442.558104462058,440.346776290579
1,1.25,7.41070715721473,-0.0355488006674938,0.342510564941893,0.963254162054148,0.497769248910147,0.897611000121188,8.12655936188122,2.61892037884727,1.21249738753776,5.89621252704737,8.50174756813084,1.9832850321929,5.44299999999999,4.193,2.663,2.045,1.269,-0.481765,-0.775200000000001,-0.43925,-0.4226675,-0.391335,-0.396300000000001,-0.5934625,96.84919375,97.2135,1.199725,0.887999999999992,0.587999999999992,0.655999999999988,0.64399999999999,1.937,1.73,-0.0690000000000012,11.4875,-0.28,0.608999999999999,310.45,312,314.75,319.17,0.4,0.28,0.29,0.44,-0.0575,0.21,0.49,0.17,8.63749999999999,0.09,0.57545,0.8745,1.253125,1.7264,1.68995,2.62115,3.8164,4.222,5.359,1.2624,1.47145,1.8186,2.0582,2.2852,3.1357,4.2473,4.4438,5.9673,1.403,1.3984,1.8859,1.9861,2.22695,3.3059,3.560775,4.4538,5.5321,1.3036,1.281875,1.85915,2.1884,2.267275,3.12825,3.4546,5.0396,5.2044,1.006,1.1608,0.759,1.87145,2.1988,2.967,3.6582,4.6382,5.8864,-1.829675,-3.3806,-2.191425,1.76599999999998,5.74387620289472,5.70298350484766,5.75524864796847,5.73629693055109,5.89267650904701,5.79638547099924,5.43562060382775,5.93618775360494,4.39190954634369,5.85730586539246,4.81813116028671,5.70251923925338,5.71415395230454,424.208810892844,432.024657431924,425.989519754264,432.272900256504,426.148077386401,432.003629110617,424.071327113965,425.59356037312,424.486568545792,433.612863284382,425.682016992753,443.738137002971,448.305172130459
1,1.75,7.20533703454164,-0.0282610221727119,0.362931731098752,0.7813223223258,0.744052776006404,0.839021472210431,6.5544395985239,4.06641992171551,1.11980777319097,6.50272462716303,10.6510922279278,1.94064068022869,5.179,4.149,2.511,1.884,1.23675,-0.5597,-0.767400000000001,-0.512744999999999,-0.507902500000001,-0.490392500000001,-0.533487500000002,-0.6095,96.85907875,97.2235,1.20358,0.766999999999995,0.580999999999994,0.594999999999992,0.639999999999991,1.937,1.53,-0.0780000000000024,11.4875,-0.27,0.577999999999999,309.41,311.96,314.65,319.17,0.39,0.273,0.283,0.443,-0.0575,0.21,0.49,0.17,8.46599999999999,0.09,0.57545,0.8752,1.25375,1.72675,1.690625,2.6211,3.816,4.2208,5.3583,1.262,1.4717,1.8186,2.0594,2.284875,3.1354,4.2466,4.4428,5.9663,1.403,1.397625,1.8856,1.985275,2.226275,3.3056,3.55985,4.4522,5.5311,1.30535,1.295,1.859375,2.2,2.267425,3.12875,3.4536,5.04,5.2031,1.006,1.1604,0.759,1.8716,2.1988,2.966,3.6572,4.6366,5.8854,-1.8604,-3.3739,-2.2076,2.304,5.69151921196662,5.71798463699669,4.92794181937343,5.73078309585346,5.22714822026312,5.77340834022288,5.07591246789154,5.83583271252904,4.29357703083068,5.81848161485124,4.51521587961217,5.66677089501841,5.2278649580569,424.343698915868,432.174424231343,427.178686336739,432.390833396656,427.782958005555,432.407853625391,424.320034145705,425.632892872546,424.642830493527,432.318898400616,427.496906401061,444.421760792765,442.383022788274
1,2.25,7.05178445174694,-0.15945512285263,0.304357826876602,1.16119554622011,0.51390593536971,0.984592295173207,5.39433832055964,4.09389134021121,1.10139124512241,10.8381457207998,13.5273302212818,1.87093153166398,4.895,3.83999999999999,2.32399999999999,1.946,1.25375,-0.82075,-0.830600000000001,-0.786740000000004,-0.787460000000002,-0.765550000000002,-0.951970000000005,-0.618535000000004,96.86135425,97.40125,1.09292,0.87699999999999,0.582999999999993,0.651999999999989,0.652999999999991,1.944,1.4,-0.0210000000000005,11.4875,-0.2825,0.583999999999999,309.72,311.89,314.69,319.1,0.393,0.27325,0.28,0.443,-0.07375,0.203,0.49,0.17,6.35299999999998,0.09,0.5745,0.8752,1.25385,1.72675,1.6901,2.6201,3.8138,4.2198,5.3567,1.262,1.47005,1.8186,2.0597,2.28525,3.1341,4.2449,4.4418,5.9653,1.403,1.3971,1.8846,1.98525,2.22595,3.306,3.5579,4.4515,5.5301,1.30665,1.295625,1.8536,2.199,2.267275,3.12905,3.4526,5.0407,5.2024,1.0056,1.1604,0.7583,1.87245,2.1988,2.966,3.6581,4.6356,5.8844,-1.860775,-3.365,-2.1717,3.19499999999998,5.68687035068921,5.44632308548729,5.71270291074517,5.44382978088935,5.86049454025527,5.46942706428001,5.39841572809227,5.57738672369801,4.28264616767177,5.51119387171527,4.84738259927169,5.36360258601674,5.66461572554369,424.458193145561,432.674167312915,426.451872625326,432.831920725272,426.638864656542,433.058088202984,424.292606912517,426.020048820771,424.698226018644,432.793851030445,425.72339780142,442.045196002836,444.050226126094
1,2.75,7.21538742601657,-0.422709896825332,0.355245566247917,0.989146012884059,0.724171941482673,1.05609150274777,4.16933242095293,4.28632576410681,1.09321896887153,7.61452780727021,9.9363761891203,1.83964665745642,5.225,4.096,2.40999999999999,1.996,1.3215,-1.0604675,-1.0923,-1.02130500000001,-1.0403975,-1.0200475,-1.0325825,-1.05946000000001,96.857603,97.62875,1.0547875,0.859999999999983,0.540999999999995,0.516999999999997,0.600999999999994,1.961,1.6,-0.0310000000000005,11.4875,-0.27625,0.536,309.74,311.57,314.9,319,0.393,0.28,0.28,0.44,-0.07375,0.21,0.49,0.18,5.98799999999998,0.09,0.57455,0.8752,1.25395,1.726625,1.68995,2.6191,3.814,4.2197,5.3566,1.2616,1.470975,1.8186,2.06035,2.28455,3.13395,4.2446,4.4408,5.9653,1.402,1.3964,1.8839,1.985875,2.22595,3.305325,3.55785,4.4505,5.5291,1.3073,1.2945,1.853,2.18645,2.267,3.128325,3.4519,5.040425,5.2021,1.0056,1.16,0.7583,1.87245,2.1984,2.965,3.65755,4.6346,5.8834,-1.85085,-3.3496,-2.15425,0.958999999999993,5.65627670606435,5.54409858632902,4.86638191155287,5.60530399012342,5.19000022709448,5.70124070883054,5.07925769601568,5.81887089560028,4.3347128675989,5.75061817093188,4.55482343120106,5.6914951139484,5.16529308386242,424.837195304549,432.572658531871,426.480459616335,433.291267298857,427.038233261434,433.124916659568,425.673168036436,426.032409451492,425.622810380226,432.883096924106,427.104081943779,443.561604352798,439.904445442228
1,3.25,7.05063998888342,-0.495269220523945,0.343648640909664,1.11922241012001,0.58092262215255,0.997851162518002,7.35691195690995,4.9735039966208,1.04949549465649,8.95890166595141,10.225580367973,1.89221863352903,4.82899999999999,3.80625,2.39,1.856,1.1965,-1.236635,-1.1692,-1.26152500000001,-1.25755,-1.19175,-1.125775,-1.06234500000001,96.849095,97.60625,1.04875,0.860999999999988,0.453,0.316999999999997,0.535999999999998,1.968,1.5,-0.0150000000000009,11.4875,-0.266,0.603,307.04,310.87,315.03,318.93,0.4,0.273,0.28325,0.44,-0.08375,0.203,0.49,0.18,5.89799999999998,0.09,0.57365,0.8756,1.254475,1.726625,1.690625,2.6191,3.813,4.2188,5.3556,1.2619,1.4723,1.8183,2.060175,2.28455,3.13295,4.2436,4.4401,5.9643,1.402,1.39615,1.88365,1.986,2.2265,3.304325,3.55685,4.4502,5.52815,1.30785,1.29375,1.852625,2.186,2.267,3.125875,3.4509,5.039425,5.2011,1.0062,1.16,0.7583,1.8723,2.1984,2.9644,3.655575,4.6336,5.8824,-1.8456,-3.355825,-2.1909,2.203,5.61379384819626,5.52461410263706,5.66973852813932,5.58949848173499,5.85103824113778,5.69506115653988,5.36110723403856,5.82816929982153,4.12603576856986,5.75237415589033,4.86436831132792,5.64381015973412,5.59472231612149,425.225778379595,432.512128087595,427.106516298586,432.834112212362,427.106275203308,432.193138129431,426.115942011627,426.12339986755,425.167407163958,432.24506988323,426.616722134114,445.10973708199,443.461101413905
1,3.75,6.85323613216341,-0.724414396895223,0.387266871970618,1.18554095160167,0.622973262047348,0.741692956709383,9.31565634374158,7.2251610085063,1.1378857703928,8.4323031807464,11.1339843452825,1.86920624924679,4.956,3.8965,2.242,1.802,1.1535,-1.3098875,-1.3764,-1.4301625,-1.45188,-1.3842025,-1.320365,-1.09021000000001,96.848799,97.7495,1.00126,0.780499999999987,0.237999999999997,0.0909999999999937,0.389,1.968,1.7,0.0929999999999981,11.4875,-0.2715,0.616,307.8,310.72,314.93,318.93,0.393,0.28,0.28325,0.433,-0.08,0.2,0.49,0.17,5.53949999999998,0.09,0.5726,0.8753,1.254,1.7264,1.6902,2.6191,3.813,4.2182,5.3546,1.2612,1.47165,1.8183,2.0604,2.2839,3.1323,4.2426,4.4391,5.9633,1.40105,1.3954,1.8837,1.9854,2.2265,3.302,3.5559,4.4492,5.5281,1.3078,1.2927,1.85225,2.1844,2.2666,3.1241,3.4499,5.0391,5.2004,1.0064,1.16,0.75915,1.8723,2.1984,2.9634,3.6536,4.6332,5.8814,-1.862825,-3.3519,-2.169375,1.25699999999996,5.58154533198552,5.49489525170465,4.95271022114276,5.5719282704387,5.01585111785477,5.67243045810418,4.92575694482416,5.78628751893619,4.71809619657541,5.70759345378439,4.83121422882184,5.63503131760101,5.12759104509238,425.658861766656,432.597416737509,425.964131420581,432.88030874757,426.89785238242,432.335439256436,425.550444104911,426.014203373934,425.503704538713,432.80524011189,426.485930128965,443.643720099178,442.298377577577
1,4.25,6.86580411029567,-0.880560174037227,0.332040475375007,2.15949136275137,0.75409888266021,1.46211661629502,11.5198659621222,6.89552709452057,1.1113707152331,8.58044813378433,13.680519255872,1.87955751669741,4.73199999999999,3.7515,2.342,1.825,1.09725,-1.42648,-1.5456,-1.415155,-1.435145,-1.46011,-1.39484,-1.23267500000001,96.851338,97.5525,0.97624,0.756749999999986,0.0929999999999947,0.064999999999994,0.268999999999998,1.975,1.5,-0.0830000000000015,11.4875,-0.27,0.556,306.92,310.88,314.93,318.83,0.39,0.273,0.28,0.43,-0.055,0.21,0.483,0.17,5.34899999999998,0.09,0.57155,0.876,1.254375,1.726975,1.6909,2.6181,3.812,4.2172,5.3536,1.2622,1.4735,1.8193,2.0604,2.2843,3.1314,4.2416,4.4388,5.9623,1.402,1.3948,1.8837,1.9855,2.226625,3.2955,3.5549,4.4482,5.5271,1.307575,1.2914,1.852875,2.1837,2.266,3.1224,3.4489,5.0374,5.2001,1.0064,1.16,0.75745,1.8723,2.1984,2.9628,3.65415,4.6326,5.8804,-1.8636,-3.3508,-2.1632,0.41499999999997,5.54554902468653,5.73558149444294,5.56772081043104,5.7895874747554,5.7857255586415,5.84453499350996,5.20858113181457,5.8782506265457,4.62705732898591,5.83963987477004,4.98757964225975,5.7629859374698,5.74002372371516,425.663517896947,432.719200099568,427.341967302335,431.934041714914,427.430138255818,432.031205402323,426.106158584141,426.367681830367,426.707526191996,434.37140026996,426.574669604833,442.301745456884,439.850318122467
1,4.75,7.08577362253605,-0.991204204903643,0.359575517816497,0.89912849577746,0.745322164700124,1.10618153353603,5.53356825670702,4.82764161403708,1.18912127652403,6.96643212793905,10.4842274038825,1.79874987997454,4.822,3.643,2.342,2.026,1.0025,-1.52134,-1.5317,-1.53156,-1.5685875,-1.505935,-1.4502425,-1.32131500000001,96.872687,97.642,0.97065,0.833499999999987,0.0829999999999964,0.0699999999999966,0.22,1.975,1.73,-0.032000000000001,11.4875,-0.256,0.471999999999999,306.44,311.25,314.99,318.83,0.4,0.28,0.29,0.44,-0.08,0.2,0.49,0.173,5.28949999999998,0.09,0.57145,0.876325,1.2547,1.72705,1.6916,2.61815,3.8113,4.2172,5.3526,1.2629,1.4726,1.8169,2.0608,2.2833,3.13105,4.2409,4.4378,5.9613,1.402,1.3946,1.8837,1.9862,2.226625,3.2952,3.5539,4.448375,5.5261,1.3063,1.28945,1.8541,2.192175,2.26625,3.1221,3.4479,5.0364,5.1988,1.0064,1.16,0.75745,1.8723,2.1984,2.9624,3.65315,4.6312,5.8816,-1.84415,-3.346075,-2.1635,0.0509999999999937,5.64407519711997,5.68148770848668,4.62210612557957,5.72263895716723,4.72875025637468,5.79803959311694,4.62130677466831,5.87228805458958,4.12982367406699,5.79892462995434,4.52784725751359,5.72399091731919,4.85628264602549,425.384451099755,432.851716374349,426.912741224165,433.196266195959,427.38219471101,431.844303331984,425.803599981677,426.733607123536,426.861741968722,433.135603216258,426.737794875757,440.346055955812,441.691742031928
