DOY2,HR2,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.0383480779419224,-0.0283959326926084,0.0767502025370649,-0.855311441832236,-0.456828647603809,0.164276554015248,-30.6214526408304,-2.19683793723432,0.454315311220327,380.914203541838,1.20732909527704,415.051374238506,1.21135038201064,418.708247365064,1.55420351766059,415.007572612757,1.22615646699907,418.768390398496,1.56814346580851,414.502370093094,1.26473813045153,418.418630912873,1.73267083835479,414.746475578661,1.1750159525432,418.869998224729,1.74777570545796,3.86999388096557,-18.9844065100654,0.120836345324767,3.105,2.44,0.68,-18.9778,-18.8985,-18.863,-19.191,-18.43445,94.0622325,75.495,0.251,-15.5325,-12.7025,-13.07,0,-2.36,0.5,-1.0425,-0.37,209.325,239.6,231.95,254.05,-0.015,-0.39,-0.29,-0.235,0.155,-0.1875,-0.17,0,-4.66775,-4.1665,-3.5335,-2.99875,-1.612,-0.1145,3.004,3.91525,-5.4905,-5.24075,-4.381,-3.95875,-2.8445,-0.76925,1.2565,2.76725,3.5275,-3.2265,-2.641,-2.158,-1.49775,-0.662,0.664,1.821,3.22725,3.7705,-4.408,-3.93275,-3.354,-3.0775,-2.036,0.15475,1.6735,3.354,4.0455,-6.535,-6.11375,-4.99175,-3.841,-2.3355,0.072,1.7735,3.214,4.0975,-4.23525,-6.662,-8.2525,-53.6625
1,0.75,0.0502199345242711,-0.0454558910300273,0.0927691181914918,-0.909054616308187,-0.343760649670302,0.196259437123103,-32.3090644002006,-1.37674945500041,0.504581624152842,380.985973258223,1.21082440689109,414.8070558595,1.37467292751935,418.445162926801,1.59267696002494,414.643977515448,1.39787074572099,418.812412216732,1.60501094968056,414.933649389122,1.41594834271653,418.729163810183,1.76130287743428,415.104835242672,1.34368184121554,418.435495233227,1.59640813273518,4.00694923879782,-18.8985571519576,0.119753318936472,3.53,2.59,0.61,-19.2851,-18.638,-19.2069,-19.514,-18.711675,94.037385,75.9,0.252675,-15.0875,-12.745,-13.265,0,-2.3225,0.5,-1.055,-0.3375,213.275,238.425,233.85,254.45,-0.015,-0.31,-0.245,-0.26,0.15,-0.1725,-0.175,0,-4.709,-4.2185,-3.5465,-2.99575,-1.61275,-0.1195,3.003,3.91425,-5.50275,-5.38075,-4.39025,-3.9645,-2.84375,-0.77075,1.25575,2.766,3.52725,-3.222,-2.6605,-2.17525,-1.5,-0.662,0.664,1.8205,3.2325,3.7695,-4.34025,-3.90925,-3.368,-3.0815,-2.03575,0.151,1.67425,3.35325,4.044,-6.608,-6.147,-5.0025,-3.84775,-2.342,0.0725,1.77075,3.213,4.0965,-4.038,-5.85,-7.5175,-52.64
1,1.25,0.057174489397367,-0.0447043575781897,0.104514591451587,-0.48523265618973,-0.295193742124522,0.195942198845626,-38.802664934597,-2.15697304256224,0.508800042556533,381.03981234179,1.23569605422464,414.664461155626,1.34044634678584,418.924630159236,1.70570048772467,414.811061078561,1.35225687083483,419.138175376391,1.79757302279886,414.896206120928,1.34520074441836,418.371266079582,1.87749233073628,414.90385384193,1.33681324118164,418.916315303611,1.7653186019008,3.81874566769735,-18.8838079432753,0.107833849911123,3.225,2.48,0.67,-19.384575,-18.85575,-19.10695,-19.3642,-18.740625,94.064445,75.9425,0.2526,-14.9575,-12.345,-13.185,0,-2.325,0.5,-1.0775,-0.3475,211.6,238.275,232.2,255.3,-0.015,-0.32,-0.245,-0.245,0.15,-0.205,-0.17,0,-4.824,-4.2465,-3.55225,-2.994,-1.613,-0.085,3.002,3.914,-5.5315,-5.463,-4.4155,-3.97075,-2.84425,-0.77425,1.2555,2.765,3.52625,-3.206,-2.6935,-2.177,-1.5025,-0.6625,0.6635,1.82,3.232,3.7685,-4.495,-3.96475,-3.3805,-3.08625,-2.0355,0.14675,1.6735,3.35275,4.038,-6.65975,-6.1515,-5.01275,-3.854,-2.34375,0.07225,1.769,3.212,4.0955,-4.32825,-6.562,-7.617,-52.275
1,1.75,0.0462230950359791,-0.0267319504725179,0.128739492206336,-0.486626293864033,-0.341895217680403,0.16341693681983,-35.8016184662014,-1.59955875088382,0.459955393066211,381.066696193197,1.25284367760595,414.612234613198,1.36179796915344,418.637251845706,1.62795356638604,414.713910935576,1.37305632415044,419.142842617499,1.60017535979814,414.454863694006,1.36943200316764,418.53584577193,1.80783992519202,414.892773883637,1.33563733244386,419.190300512432,1.68493299987069,3.87396058271788,-19.0170612959455,0.0994560322014292,3.19,2.465,0.63,-19.3477,-18.43175,-19.066125,-19.332,-18.7015,94.118735,76.75,0.25445,-14.8025,-12.305,-13.36,0,-2.37,0.5,-1.1,-0.33,208.875,238.1,227.9,255.1,-0.02,-0.3,-0.245,-0.24,0.1475,-0.1875,-0.17,0,-4.86675,-4.27,-3.59925,-2.9945,-1.6135,-0.08725,3.002,3.914,-5.57075,-5.48475,-4.436,-3.97925,-2.84375,-0.77725,1.2545,2.76375,3.52525,-3.2035,-2.7155,-2.2,-1.5135,-0.6635,0.662,1.8185,3.2305,3.7675,-4.4845,-4.0825,-3.3925,-3.09125,-2.035,0.1435,1.673,3.35175,4.037,-6.696,-6.14975,-5.01775,-3.8585,-2.3455,0.06675,1.768,3.21125,4.09525,-4.75675,-7.0015,-8.1465,-54.515
1,2.25,0.0446084289802666,-0.0281453552096315,0.131350117690582,-1.3422171736085,-0.149377491284406,0.171804458590751,-35.8077630661616,-0.774573232246539,0.480374709181818,381.103253540068,1.18920257821044,414.157841825626,1.40759459871511,418.103367929459,1.62388635722396,414.396170615766,1.38922949535381,418.752192542313,1.62196415321037,414.572687900967,1.39685023145807,418.303073327122,1.64009532654822,414.668734059493,1.36129085318834,418.792621592357,1.7120639692673,3.59125192827519,-19.2027689395029,0.103426619443393,2.99,2.2175,0.68,-19.253025,-18.6285,-19.1537,-19.386,-18.5064,94.1208875,77.105,0.243275,-14.665,-12.2125,-13.58,0,-2.27,0.6,-1.08,-0.3125,209.15,239.575,229.4,254,-0.02,-0.295,-0.25,-0.245,0.1475,-0.1775,-0.17,0,-4.90125,-4.33475,-3.647,-2.993,-1.613,-0.09,3.001,3.913,-5.6715,-5.5445,-4.4505,-3.98425,-2.844,-0.7785,1.25275,2.76275,3.52425,-3.205,-2.715,-2.224,-1.52,-0.663,0.6625,1.8175,3.2305,3.7675,-4.435,-4.17375,-3.39325,-3.09375,-2.0345,0.137,1.67175,3.35075,4.037,-6.72075,-6.144,-5.02175,-3.85975,-2.34525,0.06275,1.7675,3.21025,4.094,-4.62075,-6.31975,-7.7475,-49.78
1,2.75,0.0444139582862666,-0.015706708271708,0.0981700589142239,-0.676667883887503,-0.325515044577051,0.163825604595836,-28.6558963195867,-2.11868962384133,0.467584416776499,381.101812117965,1.18214518964993,414.739515518756,1.16509729597004,418.286723420332,1.62874021200866,414.735384098648,1.15922112594223,418.561486118298,1.66139770459423,414.713559079225,1.24114307601701,418.195753537133,1.66063584130197,414.911333347938,1.1334972072502,418.472982387109,1.63951732273922,3.93480676001576,-19.2740147335367,0.103931214996212,3.1675,2.4075,0.63,-19.609225,-18.49875,-19.09075,-19.6118,-18.62365,94.1295225,77.02,0.2416,-14.7,-12.185,-13.59,0,-2.2925,0.6,-1.0525,-0.3725,216.15,239.6,230.65,254.2,-0.01,-0.295,-0.245,-0.24,0.15,-0.2875,-0.17,0,-4.827,-4.34025,-3.66325,-3.0035,-1.61275,-0.01425,3.001,3.912,-5.7625,-5.526,-4.46125,-3.98875,-2.8435,-0.7805,1.2525,2.76225,3.5235,-3.234,-2.708,-2.2465,-1.51975,-0.6635,0.662,1.817,3.2295,3.766,-4.4005,-4.20475,-3.43675,-3.09125,-2.03525,0.13475,1.6715,3.34975,4.036,-6.72525,-6.14375,-5.0245,-3.86075,-2.345,0.06025,1.76475,3.2085,4.093,-4.859,-6.141,-7.511,-48.1925
1,3.25,0.0516829391705481,-0.0420896478482377,0.0926284584382073,-1.15480974666388,-0.580935136804993,0.174556425767728,-29.6021061319129,-1.56983029483747,0.534246366401812,381.036609562411,1.17763704691399,414.878571148245,1.24391273573887,418.640311443621,1.64941674856673,414.730996694085,1.24360155790117,418.980338540384,1.66206477187903,414.768697320053,1.3026234710821,418.955440173858,1.66371574214762,414.54031960377,1.23906113641865,419.082923108308,1.64618626597817,3.9025706957791,-19.1110147637136,0.112742761678583,2.89,2.36,0.76,-19.64245,-18.704,-19.0952,-19.381925,-18.5021,94.14659,77.2675,0.2477,-14.63,-12.195,-13.195,0,-2.1325,0.6,-1.045,-0.39,217.05,240.225,232.45,253.75,-0.01,-0.37,-0.225,-0.255,0.1475,-0.1875,-0.175,0,-4.8465,-4.317,-3.68325,-3.02025,-1.6125,-0.01525,3,3.912,-5.83625,-5.531,-4.474,-3.99175,-2.841,-0.78225,1.25175,2.76125,3.5225,-3.2255,-2.70925,-2.2685,-1.5195,-0.663,0.661,1.8165,3.2285,3.765,-4.39125,-4.17425,-3.44775,-3.09175,-2.035,0.13075,1.66825,3.34975,4.036,-6.7175,-6.19575,-5.029,-3.8645,-2.34375,0.057,1.76275,3.20775,4.092,-4.90625,-6.365,-7.74375,-46.48
1,3.75,0.0430623564334078,-0.0332335724214617,0.131310367959419,-0.63617823489824,-0.503927018087569,0.177264377011174,-30.6377652961704,-2.00674964520548,0.504663891086243,381.120067916826,1.17137011950534,414.779585257469,1.23112510111209,418.763137457692,1.78887378716819,414.89869181093,1.23382874480619,418.890965370307,1.75438784231667,414.96937022714,1.31905409563579,418.671211998032,1.71479968536134,414.98365653736,1.21846481923826,418.983929562792,1.69420697494485,3.72101728150989,-19.2617138181819,0.0939637030572401,2.96,2.3925,0.76,-19.501725,-19.009,-19.11275,-19.378725,-18.7578,94.117905,77.4575,0.24065,-14.8025,-12.25,-13.305,0,-2.255,0.6,-1.0575,-0.3625,215.65,240.325,232.55,254.25,-0.015,-0.295,-0.245,-0.24,0.1475,-0.1875,-0.18,0,-4.88975,-4.31425,-3.703,-3.04375,-1.61225,-0.01625,2.99975,3.911,-5.898,-5.45425,-4.487,-3.99825,-2.83975,-0.78575,1.24925,2.76025,3.5215,-3.2185,-2.71175,-2.2755,-1.521,-0.665,0.662,1.817,3.2285,3.765,-4.38575,-4.158,-3.45525,-3.09575,-2.03325,0.12875,1.66725,3.3495,4.035,-6.713,-6.20675,-5.02975,-3.87075,-2.34325,0.0545,1.762,3.20675,4.09175,-4.49075,-6.48825,-8.1565,-49.17
1,4.25,0.046335165512229,-0.0524626318728432,0.0651886704905194,-0.355941912622034,-0.449998839462183,0.179769290132103,-28.7075650299351,-1.95355031603765,0.542879378556476,381.366692516113,1.18043650830962,414.478537944349,1.08127903247799,418.46869300727,1.68411494855268,414.533645485151,1.0740537397338,418.52034214167,1.68643233490511,414.690074987997,1.20528591678657,418.513262873398,1.72926544927407,414.62956627199,1.0584505832339,418.539051421591,1.81443397770027,3.87150424063584,-19.209897291138,0.117961225129779,2.93,2.47,0.7,-19.8015,-19.07925,-19.2846,-19.6262,-18.9715,94.10211,77.85,0.231325,-15.5675,-12.3675,-13.285,0,-2.195,0.6,-1.0875,-0.3425,210.925,237.975,234.4,252.75,-0.025,-0.3,-0.25,-0.235,0.1475,-0.1875,-0.18,0,-4.97575,-4.3605,-3.7205,-3.06875,-1.612,-0.01725,2.999,3.91075,-5.9785,-5.451,-4.501,-4.00675,-2.84,-0.79025,1.25,2.759,3.52125,-3.2115,-2.71725,-2.2775,-1.522,-0.66525,0.662,1.818,3.2275,3.7645,-4.38,-4.146,-3.4645,-3.103,-2.0325,0.125,1.66775,3.34875,4.03425,-6.73325,-6.2085,-5.03025,-3.881,-2.34175,0.0505,1.76125,3.20575,4.09075,-4.5555,-6.545,-7.968,-50.73
1,4.75,0.0668558418603399,-0.0629818427223516,0.103401805559175,-0.910358491372712,-0.816180622302634,0.170101314937677,-24.9436305960028,-1.60591277712769,0.481743267160907,381.606621318957,1.28060623711244,414.95504525655,1.2576626622183,418.260515094516,1.7990803444137,414.93173016069,1.28015102840612,418.648840939213,1.78126856862255,414.419322157894,1.34485764119488,418.27699505925,1.8133483642453,415.033125069737,1.28315372668761,418.237981322684,1.75450145483863,3.96366926758365,-19.3068464660542,0.0978642337060787,2.92,2.5075,0.7525,-19.7539,-19.282,-19.308775,-19.7072,-19.0577,94.0991225,77.575,0.2381,-15.2025,-12.525,-13.225,0,-2.22,0.6,-1.04,-0.375,212.55,237.875,234,252.35,-0.025,-0.295,-0.245,-0.235,0.145,-0.16,-0.18,0,-5.01075,-4.40025,-3.7115,-3.089,-1.8865,-0.019,2.99875,3.9105,-6.06725,-5.4425,-4.513,-4.0165,-2.83975,-0.79325,1.249,2.7585,3.52025,-3.215,-2.71,-2.279,-1.52825,-0.668,0.6625,1.816,3.2275,3.764,-4.4065,-4.14875,-3.46975,-3.11325,-2.0325,0.12475,1.6645,3.34775,4.03325,-6.706,-6.22125,-5.04875,-3.8875,-2.343,0.0445,1.75875,3.204,4.08975,-5.512,-7.71275,-8.14,-49.87
