DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,LE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_1_7_1,WS_1_8_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_1_6_1,T_CANOPY_2_6_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_IN_1_8_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,H2O_1_7_2,H2O_1_7_3,H2O_1_8_2,H2O_1_8_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_5_2,CO2_1_6_2,CO2_1_7_2,CO2_1_7_3,CO2_1_8_2,CO2_1_8_3,CH4_1_1_1
1,0.25,0.338823214763585,-5.63493099374637,0.0436933766928071,-3.1960418523824,-13.9457182513132,0.0535119750010088,-168.750079098693,-33.8220826251858,0.156355023396235,0.31,0.24,0.145,0.15875,0.15875,0.1485,0.04,-4.0566025,-3.4895,-4.13777,-4.14325,-4.6339875,-4.6956875,-4.620425,-4.4731375,-3.71578,95.93835425,82.212,-0.116575,-2.32,-2.68,-2.60625,-2.3375,-1.875,1.0175,0.4775,0.1875,-5.785,1.2,-1.76325,-1.99875,230.3375,299.2,307.35,312.1875,-0.14,-0.14,-0.73,-0.68375,-0.0635,-1.69625,-1.46375,-0.51,0.27,-0.32,-0.23,-0.19125,1.383125,1.217375,2.3155,3.149,4.73675,4.84825,4.728625,6.198125,1.0678,1.7316,1.80875,2.817625,4.729,5.102425,5.96745,5.711125,0.5779,0.933125,1.274625,2.094,3.6805,5.6745,6.05925,6.416875,0.122,0.366625,0.5138,0.719125,1.6711,4.047175,5.0705,6.7126,0.605,0.408375,1.10195,1.0584,2.1709,3.28375,3.8474,5.096875,5.493,-7.1115,-6.6241,-5.993,-84.35625,3.03459441126214,3.84544741996775,4.53668115602464,3.52565508108973,5.01781530818908,3.79777728427039,4.49681462727953,3.86039530168184,3.83418594549402,3.9224399091436,3.94913450858826,5.05213778487162,4.0782796200395,5.29214817825454,411.539467044998,406.817741669001,411.540021736991,406.641965436933,415.596854405337,407.387578420568,411.215154390627,409.383660553967,408.109966634668,411.726251377532,411.686762368377,419.605117838668,419.087977816959,419.857103971882,1956.87088392783
1,0.75,0.399622803160959,-5.50381896538936,0.0304265713580159,-1.28915513555023,-6.02785046509538,0.0616291730907135,-234.694294132811,-22.6844101226189,0.132697420981497,0.317,0.29125,0.1585,0.1585,0.1585,0.14,0.04,-4.0011225,-3.37595,-3.94089,-4.06941,-4.61649,-4.728355,-4.708255,-4.586685,-3.820625,95.936955,81.964,-0.11822,-2.34625,-2.7025,-2.688,-2.4135,-1.947,0.9495,0.415,0.1,-5.735,1.2,-1.704,-1.9035,230.295,299.195,307.04,312.34,-0.14,-0.1315,-0.73,-0.6845,-0.06475,-1.706,-1.421,-0.51,0.25575,-0.32,-0.23,-0.19,1.40285,1.2453,2.3073,3.1529,4.73045,4.84455,4.7229,6.1911,1.0611,1.7305,1.81085,2.8163,4.7266,5.09415,5.95825,5.7097,0.5811,0.94035,1.2855,2.09735,3.6825,5.67395,6.05625,6.4153,0.12345,0.36645,0.513575,0.71625,1.663575,4.02845,5.069,6.7102,0.605,0.4092,1.10145,1.0585,2.1683,3.2837,3.847,5.0956,5.48005,-7.14095,-7.13925,-6.5337,-82.715,3.00696671253281,3.84663743967618,3.93370099678432,3.47601398074019,3.44846499690288,3.85210126532644,4.94801712236152,3.81276413631785,3.82972825664645,3.88663342821163,4.14081587555377,4.09728206027814,4.26416777529314,2.97661677241192,411.822594399043,407.709616065439,412.075535196875,407.031439827735,412.180337658211,410.089580012053,417.251562446166,409.957145964616,410.989893714333,412.383636046952,413.430526223881,411.986436031644,417.171525792763,419.59814205963,1950.6948689039
1,1.25,0.417504583559122,-6.08753143809802,0.0297614428607097,-1.24813080857917,-9.49619347995525,0.0578279741309315,-76.4976316677661,-23.5218830070446,0.150512996067939,0.264,0.2215,0.1585,0.16,0.1585,0.1665,0.04,-4.1327525,-3.45405,-4.1066475,-4.2585875,-4.7692,-4.77883,-4.71158,-4.584265,-4.00693,95.923332,81.963,-0.1211825,-2.256,-2.649,-2.708,-2.3655,-1.937,0.938,0.35,0.2,-5.596,1.035,-1.753,-1.964,229.92,298.94,306.805,312.365,-0.14,-0.14,-0.73,-0.6815,-0.06475,-1.7075,-1.472,-0.5085,0.27,-0.32,-0.23,-0.2,1.4261,1.2752,2.31865,3.159,4.7317,4.8424,4.7192,6.1881,1.05625,1.731875,1.83025,2.8163,4.72475,5.0963,5.9838,5.70955,0.58485,0.95455,1.30025,2.1036,3.6807,5.6746,6.05525,6.4143,0.1246,0.367625,0.51575,0.7158,1.6578,4.0483,5.069,6.7092,0.606,0.4101,1.1024,1.06075,2.1683,3.282975,3.84645,5.0956,5.4738,-7.1145,-6.5102,-6.63575,-82.647,2.97616353764302,3.73676526885417,3.9778948466926,3.50854932235427,3.70113793584892,3.69914950686732,3.58427784889668,3.81972212912459,3.78403447149745,3.74298258078246,3.84661980007567,4.71117935572793,4.01553348652707,4.61979625979945,411.767677580608,407.266984018585,411.625257579385,408.003876504049,415.88153869282,408.029967571801,414.727315209447,411.532861010026,410.894335731999,412.517624863647,413.253205023894,414.653936334121,417.825333342018,422.466425056221,1957.90015216406
1,1.75,0.468319413710339,-6.26022929508361,0.0454936908045809,-3.74748342264347,-28.4272948253772,0.0518988720935077,-189.057080291168,-19.4257940024016,0.163416299987505,0.2975,0.216,0.15,0.16,0.15,0.167,0.04,-4.1964525,-3.29925,-4.01781,-4.156075,-4.6142375,-4.637,-4.5527625,-4.4452375,-4.1767475,95.912374,80.888,-0.1125625,-2.038,-2.42375,-2.63375,-2.18,-1.7925,0.9,0.17875,0.2,-5.86875,1.0275,-1.89425,-1.83,230.2875,299.6125,306.525,312.5375,-0.14,-0.14,-0.73,-0.6625,-0.0645,-1.64625,-1.51875,-0.51,0.26025,-0.31625,-0.23,-0.2,1.4365,1.282,2.2585,3.165125,4.73275,4.84,4.720125,6.189125,1.04975,1.736,1.849875,2.814875,4.723375,5.08705,6.079775,5.710125,0.588825,0.9635,1.31175,2.113375,3.6845,5.674925,6.05425,6.41415,0.12575,0.36955,0.5194,0.719875,1.65655,4.02755,5.0685,6.7117,0.60685,0.4111,1.103125,1.067,2.1695,3.283125,3.846625,5.095875,5.4625,-7.3113,-7.0587,-6.7155,-82.2825,2.94344923446901,3.72062245451197,4.58943032424413,3.11390950856355,5.36294930268858,3.91937668935976,4.59054173124605,3.80188636269349,3.67036706632394,3.89624132130403,3.75436903553267,3.34602665212469,4.05331853432622,4.03906371344248,413.867951715087,408.215368708658,415.363233388062,408.447678686496,416.256312241786,410.257153993,416.459732075854,411.098384191229,412.276180613807,412.514046188444,415.701163594824,419.49741035713,420.908026249703,420.036122227462,1953.93903689222
1,2.25,0.391012206472829,-6.1475397270491,0.0453086515281672,-1.66480132598027,-15.1640656469089,0.0606116409523066,-43.4325464086352,-29.5632408846559,0.162181717546475,0.32875,0.263,0.16,0.14875,0.13875,0.157,0.03625,-4.35931,-3.579875,-4.2249525,-4.21109,-4.471825,-4.4725625,-4.4182,-4.3167375,-4.335435,95.904539,81.802,-0.1156,-2.103,-2.50875,-2.6975,-2.16125,-1.7225,0.85625,0.12875,0.1,-5.99625,1.125,-1.786,-1.84875,230.125,300.3,306.0875,312.5125,-0.14,-0.13125,-0.731,-0.655,-0.059,-1.65125,-1.52125,-0.51,0.27,-0.32,-0.23,-0.19125,1.43525,1.2795,2.255375,3.170125,4.730875,4.83505,4.717125,6.186,1.044375,1.7422,1.86875,2.802625,4.7205,5.07735,6.0813,5.709125,0.590325,0.9495,1.317,2.12,3.6905,5.6763,6.05325,6.414,0.1269,0.3707,0.5218,0.722625,1.6528,4.026725,5.06325,6.6974,0.60775,0.412,1.10285,1.0696,2.17125,3.28305,3.86115,5.0964,5.44705,-7.54555,-7.147425,-6.6369,-81.53875,2.91747000958424,3.97679113898844,3.10449834266568,4.67640113639499,3.38867354064493,3.91131980065959,3.2338907865096,3.93202910225791,3.91868512107157,3.98849632440107,4.04844503625494,3.52349467228015,4.25944004514274,3.92525927824841,414.964355946934,407.211242310704,413.517724783061,403.734074428977,412.141326582676,405.241247304584,413.055023185846,407.049575571789,406.947189478792,407.408503304212,412.612562499046,420.598253378659,418.271808284902,421.479697497805,1949.97792162038
1,2.75,0.372323780936044,-6.73917956999119,0.0267343136021073,-2.26120625811356,-21.1242172821916,0.047567031568577,-106.004088256807,-16.4593705744313,0.135673420904431,0.2475,0.2,0.13,0.14,0.12875,0.14,0.04,-4.48357,-3.6585,-4.339545,-4.29747,-4.34535,-4.515525,-4.508125,-4.381075,-4.50423,95.921195,81.887,-0.098475,-2.235,-2.65125,-2.83875,-2.3025,-1.80875,0.84875,0.10375,0.2,-5.99,1.2175,-1.80975,-1.965,229.6625,299.9,305.9375,312.4875,-0.14,-0.14,-0.73,-0.64625,-0.0645,-1.6625,-1.625,-0.51,0.26025,-0.31625,-0.23,-0.2,1.419,1.2266,2.2508,3.17825,4.7265,4.82805,4.71135,6.18375,1.03845,1.7504,1.88325,2.79835,4.7165,5.0682,6.0762,5.70825,0.588525,0.924125,1.3215,2.126375,3.69655,5.6769,6.051125,6.4115,0.12855,0.372375,0.5242,0.72625,1.65025,4.05035,5.05085,6.7048,0.60875,0.413,1.103,1.0728,2.174125,3.28305,3.862,5.0964,5.4307,-7.7252,-7.21925,-6.5506,-82.2225,2.89935586563556,3.76700528059264,4.52824972450207,3.4883747819299,5.0069977617237,3.69270910643882,4.45179357950681,3.66143968176912,3.70887486943059,3.86089764062799,3.91802739075345,4.71119299775846,4.30376388992322,4.78181519025401,411.837352226081,405.072903985964,415.745417605936,402.970138391216,417.342049607327,408.278387553036,416.94517924486,408.018632844753,408.349230811316,407.94416938992,414.231327147792,417.213761994962,418.886852053875,421.406706795366,1960.33685889396
1,3.25,0.310866513568055,-6.99114285909623,0.0329654562635657,-0.724333281252416,-6.73317861324728,0.0579598098523109,-185.553951108799,-29.0497955959714,0.159353257475878,0.3285,0.2615,0.1385,0.1385,0.1285,0.15825,0.03625,-4.520025,-3.58155,-4.25668,-4.2240975,-4.5585275,-4.690215,-4.708225,-4.603655,-4.6674075,95.9407125,81.7045,-0.1104,-2.3875,-2.809,-3.002,-2.4705,-1.9635,0.844,0.0755,0.185,-5.8735,1.22,-1.829,-1.941,229.25,299,305.83,312.475,-0.14,-0.13,-0.73,-0.639,-0.07475,-1.664,-1.647,-0.51,0.26,-0.2965,-0.23,-0.2,1.33385,1.15355,2.25285,3.18975,4.72335,4.814175,4.70865,6.1788,1.0139,1.759,1.9024,2.79615,4.7138,5.04925,6.07125,5.70755,0.58915,0.91825,1.32215,2.12545,3.70295,5.6782,6.050125,6.412,0.1309,0.37385,0.525825,0.729,1.64785,4.05045,5.04805,6.7122,0.609475,0.413075,1.103675,1.075,2.17425,3.283375,3.86145,5.0963,5.41685,-7.798375,-7.1962,-6.5742,-81.1325,2.88134740381386,3.72634066328813,4.40217303271772,3.13065579713115,5.2685332671794,3.54299052256203,4.68217930167059,3.57007329210063,3.54817017209707,3.56677030933424,3.61923399705822,2.94638504708125,3.87672937166978,3.48318825737691,411.829414148164,409.490298136466,412.269023925492,401.968245803919,411.787032863199,408.222410970145,416.067538179999,410.567210517067,410.699603248408,416.571503134513,412.944723886632,414.294751028071,420.838878830305,422.403557113509,1961.12715527206
1,3.75,0.377826893809568,-6.61234150850117,0.0449920730172205,-2.02689439748787,-21.7248120290609,0.0517966417117955,-123.641778247896,-15.9057297220118,0.168132325770806,0.29,0.23125,0.1555,0.1485,0.14,0.13825,0.03625,-4.45958,-3.54805,-4.27008,-4.3049,-4.75648,-4.850085,-4.84743,-4.698665,-4.7267175,95.9684425,82.5275,-0.107475,-2.5035,-2.885,-3.048,-2.5625,-2.043,0.807,0.088,0.1,-5.763,1.2225,-1.7135,-1.7895,230.08,298.72,305.445,312.35,-0.14725,-0.14,-0.73,-0.619,-0.07,-1.665,-1.6035,-0.51,0.27,-0.32,-0.23,-0.2,1.3462,1.16645,2.2494,3.20125,4.72615,4.811575,4.70595,6.17625,1.01235,1.7584,1.92,2.79615,4.7111,5.0407,6.0668,5.70755,0.59165,0.93385,1.3241,2.1316,3.7024,5.6788,6.0504,6.41185,0.13105,0.376,0.52855,0.7341,1.65435,4.05075,5.0473,6.7056,0.60965,0.41315,1.1043,1.0776,2.17525,3.2834,3.846875,5.0955,5.402,-7.255,-7.4056,-6.5416,-80.826,2.90320031414146,3.79745687215442,3.95325152501534,3.25451990053499,5.71870758264525,3.59640221578737,4.26733919980195,3.55331590429506,3.48984934798971,3.56224826290932,3.58746702608544,4.70195281535932,3.9324254600656,4.18641654458568,413.061837029133,409.387988182366,412.389834451652,406.141128874508,413.960115916799,408.995107684543,413.18111906634,409.147305867026,409.46009396817,411.901495668126,412.632811751385,420.266877568419,417.562897403644,419.974638700255,1961.91745165017
1,4.25,0.483117221769487,-6.70974229916728,0.0424821148679808,-2.39231107393138,-8.2139237258618,0.0515269873032594,-89.6406493697323,-19.4155724181186,0.155964247989996,0.2895,0.21375,0.14,0.15,0.14,0.14,0.0365,-4.36621,-3.48955,-4.17624,-4.16566,-4.68624,-4.853955,-4.85977,-4.725765,-4.6304,95.9946925,82.184,-0.10422,-2.522,-2.8795,-2.958,-2.566,-2.077,0.777,0.1125,0.185,-5.9505,1.2,-1.797,-1.8525,229.91,298.805,305.85,312.105,-0.14,-0.14,-0.73,-0.6105,-0.0595,-1.6735,-1.5475,-0.5085,0.26,-0.33,-0.23,-0.2,1.3318,1.15885,2.25955,3.2126,4.72705,4.81055,4.70325,6.17295,1.01475,1.7572,1.9362,2.79515,4.70755,5.03315,6.05795,5.70655,0.5955,0.9578,1.3296,2.1422,3.6992,5.6794,6.0494,6.4117,0.1254,0.37715,0.532,0.752025,1.661625,4.05075,5.04645,6.705,0.610475,0.414225,1.1046,1.0808,2.17625,3.284,3.846875,5.09475,5.38555,-7.36775,-6.707,-6.605125,-81.27,2.87798610799896,3.8317226618286,3.97203954609697,3.47968523687896,3.9741165191534,3.66938858614817,4.61173940192915,4.10421421000674,3.60405099074824,3.6437965608154,3.63883848982862,4.91630896053904,3.97256764971625,5.17267639831713,413.587472121012,404.767976525691,416.161928943435,402.962351718869,417.504923058142,404.366318685362,420.256823647905,412.174941868574,406.058239155185,407.229166816861,412.435306827105,418.100561308104,416.255950843262,422.021051482799,1960.71185186577
1,4.75,0.338346391450409,-6.53274544743205,0.0316793033928262,-1.56577815535764,-13.2132596919014,0.0521452940010757,-164.339320299083,-19.3209908236394,0.110231828328783,0.2685,0.2125,0.14,0.15,0.13,0.1465,0.0365,-4.260275,-3.4214,-4.06648,-4.06992,-4.7086,-4.85671,-4.88875,-4.75475,-4.3848025,96.025695,80.951,-0.1048325,-2.545,-2.9095,-2.876,-2.6015,-2.119,0.727,0.1325,0.2,-5.6105,1.2,-1.92875,-1.993,229.34,298.815,305.885,311.875,-0.14,-0.13,-0.73,-0.609,-0.0695,-1.665,-1.501,-0.51,0.26,-0.3165,-0.23,-0.1915,1.2946,1.0988,2.24735,3.164,4.72775,4.8088,4.6998,6.16935,1.00115,1.756,1.929975,2.7965,4.704,5.0246,6.049,5.70655,0.5998,0.98275,1.33755,2.15345,3.6973,5.6807,6.0484,6.4107,0.1237,0.3732,0.534725,0.747775,1.66935,4.0509,5.0463,6.7047,0.61155,0.4143,1.1052,1.083,2.17625,3.2834,3.8474,5.093875,5.348075,-7.48625,-6.74,-6.7765,-80.0995,2.87761336472403,3.82373768067584,4.33964189323135,3.49936747841036,4.76610094334591,3.69084165814978,4.19455064548737,3.78899149659419,3.77348806069209,3.72710995364032,4.11254956257095,4.71348849785875,3.97957195149848,4.45666767722398,414.036102215173,405.874199840325,410.716047157516,404.531344098141,411.453585127679,405.479615630783,415.214123292184,408.912542988658,408.934476541576,411.339851516991,415.368656674486,414.116293079854,418.954234198254,420.547123838414,1957.74879664395
