DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,LE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_1_7_1,WS_1_8_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_1_6_1,T_CANOPY_2_6_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_IN_1_8_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,H2O_1_7_2,H2O_1_7_3,H2O_1_8_2,H2O_1_8_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_5_2,CO2_1_6_2,CO2_1_7_2,CO2_1_7_3,CO2_1_8_2,CO2_1_8_3,CH4_1_1_1
1,0.25,1.01726560451985,1.13154014997778,0.2401344465276,0.987222450313071,0.590955789385912,0.158968235294716,-9.32311068053862,-3.35331846807621,0.451499188405523,0.635,0.51,0.32,0.28,0.26,0.28,0.11,1.2882,1.0815,0.9781,0.85375,0.71585,0.6512,0.5566,0.5093,0.3557,97.616505,96.88,0.2267,2.35,2.3,2.455,2.25,2.355,2.005,2.07,0.7,-1.785,1.75,-0.94,-0.075,324.15,322.25,324.1,323.9,0.23,-0.025,0.16,-0.19,0.14,0.21,-0.31,0.34,0.59,-0.02,0,-0.035,2.1855,2.2185,3.516,4.4665,6.1885,6.302,5.857,6.9205,1.834,2.474,3.358,4.626,6.2135,6.713,6.575,6.91,1.73,1.862,2.469,3.3365,4.9505,6.144,6.983,7.0965,1.3985,1.468,2.623,2.5815,3.907,5.7475,6.166,7.13,1.336,2.0985,2.645,2.216,3.16,4.7605,5.452,6.1335,6.249,-2.998,-2.6395,-1.771,-2.985,6.62438487996012,6.7580991794202,6.61500019208069,7.35461279307165,6.5883020840472,6.55038976441508,6.55743754380572,6.61629873004686,6.65861400145301,6.55435786915855,6.72376071310335,6.49909321055447,6.43074194526279,6.58709285927151,424.625301713691,420.017487055849,422.397846983518,417.289075231434,425.822371849644,421.001296032567,423.815129768601,421.667274635744,422.788329289946,426.006794755897,430.42152959938,426.603435219616,440.514664901718,434.257549590749,1980.09908246575
1,0.75,0.99656682088984,1.20464819936865,0.272018415958508,0.943732663708911,0.855819692388854,0.14311592152453,-5.28526669276894,-1.93262154546254,0.47090171514298,0.59,0.46,0.29,0.25,0.24,0.27,0.11,1.04715,1.101,0.79095,0.76,0.5236,0.5737,0.4289,0.4328,0.3274,97.63556,96.66,0.22925,2.32,2.18,2.31,2.24,2.34,1.98,2.08,0.7,-1.9,1.3,-0.94,-0.09,324.5,321.6,324.1,323.5,0.23,-0.01,0.16,-0.2,0.14,0.21,-0.31,0.34,0.605,-0.02,0,-0.03,2.15,2.211,3.516,4.422,6.183,6.303,5.847,6.912,1.825,2.462,3.337,4.602,6.215,6.7125,6.5755,6.954,1.695,1.86,2.462,3.333,4.936,6.173,6.98,7.098,1.392,1.4475,2.617,2.568,3.903,5.736,6.159,7.129,1.328,2.056,2.6525,2.1895,3.158,4.758,5.458,6.134,6.248,-3.117,-2.602,-2.077,-3.29,6.6471742163009,6.49384299065684,6.57907876457987,7.35219856439712,7.13492351113552,6.50909698662971,6.2411428405049,6.47518784327172,6.48495134950048,6.46085305124082,6.49409706704598,6.852456491802,6.48124020324549,6.47885527584377,424.590569447113,419.480883790912,424.457040591219,419.186873400578,426.128645459852,421.872882101817,425.844135601497,422.47923241663,423.654342971511,426.229912975399,429.09824439047,436.380202352777,438.470006969787,448.223132470056,1972.03073801311
1,1.25,0.935787840502115,0.838500353103172,0.267134897003389,0.683967181413204,1.66705926312004,0.129753067999752,-5.59531748817957,-2.53814396753356,0.47138779408545,0.64,0.49,0.31,0.27,0.26,0.28,0.12,1.15795,1.117,0.86765,0.9081,0.3271,0.3276,0.3722,0.2375,0.3128,97.653365,96.56,0.2358,2.28,2.17,2.29,2.16,2.31,1.98,2.05,0.8,-1.84,1.7,-0.94,-0.12,324.4,321.1,324.1,322.7,0.23,-0.01,0.16,-0.2,0.14,0.21,-0.31,0.34,0.6,-0.03,0,-0.03,2.15,2.208,3.497,4.418,6.182,6.304,5.846,6.912,1.824,2.461,3.314,4.603,6.216,6.716,6.577,6.952,1.667,1.844,2.463,3.326,4.927,6.173,6.982,7.097,1.393,1.447,2.6115,2.566,3.906,5.731,6.156,7.129,1.312,2.054,2.646,2.185,3.157,4.758,5.459,6.134,6.248,-3.053,-2.604,-2.014,-2.29,6.61407570397184,6.67981931907117,6.52534615062968,7.6482581958575,6.31280005659676,6.63310365653453,6.45663851707619,6.53146803002434,6.58555786044269,6.44920541454995,6.48711997458621,6.74285870089323,6.47410570515105,6.50685947423164,425.331791024355,420.336742662895,424.440811058135,418.309240339237,429.448903536565,421.662741740309,429.498906442171,423.330815786152,423.921910562,426.776262580931,429.800695853764,431.611815733227,439.124126086271,437.308045934596,1999.48924777553
1,1.75,1.00016685852358,0.841742272600925,0.252134138340522,0.818129041545045,1.57946192738859,0.154535548593972,-8.27244934091446,-1.36513508631737,0.466294588391822,0.62,0.53,0.33,0.275,0.28,0.28,0.12,1.2471,1.104,0.93895,0.85255,0.5522,0.45525,0.33005,0.31175,0.3221,97.63762,96.49,0.28115,2.26,2.125,2.35,2.14,2.3,1.98,2.035,0.7,-1.765,1.4,-0.91,-0.03,324.55,321.2,324.1,322.4,0.23,-0.015,0.16,-0.19,0.14,0.21,-0.31,0.34,0.56,-0.02,0,-0.035,2.161,2.2025,3.514,4.442,6.1745,6.305,5.8565,6.9195,1.804,2.472,3.318,4.6275,6.215,6.715,6.579,6.968,1.69,1.851,2.4695,3.329,4.914,6.172,6.983,7.095,1.401,1.455,2.618,2.5795,3.906,5.729,6.1615,7.128,1.314,2.103,2.65,2.186,3.1355,4.7615,5.489,6.136,6.25,-3.049,-2.769,-2.162,-1.87,6.52329795481625,6.33878696955808,6.23472746376454,7.14059912393845,6.47499270318121,6.40605232199374,6.11694936978662,6.38528995136674,6.42125991592168,6.41188617704528,6.33153670428094,6.47977791415414,6.30271201117057,6.45173400067159,425.879781573096,421.395370274593,423.088145407016,419.507381337725,423.934773889605,422.512097336303,424.620821179425,423.398662345943,424.756231305071,427.191624743144,430.978203056161,427.72391450983,439.206505090053,434.592089043086,1989.4162043498
1,2.25,0.973256941409726,0.671968752241128,0.261950912870663,0.781390183061746,1.09248508069934,0.133122047901729,-7.69571046528951,-1.85493951426791,0.393699723737945,0.635,0.54,0.32,0.27,0.275,0.28,0.11,1.3173,1.1395,0.95045,0.919,0.5369,0.54195,0.29715,0.27025,0.3343,97.65298,96.63,0.2195,2.18,2.095,2.195,2.115,2.26,1.98,2.01,0.75,-1.625,1.5,-0.91,-0.065,324.55,321.35,324.1,322.4,0.23,-0.015,0.16,-0.2,0.13,0.21,-0.31,0.34,0.565,-0.02,0,-0.035,2.1595,2.189,3.513,4.4535,6.1745,6.306,5.854,6.919,1.8035,2.472,3.311,4.6285,6.213,6.715,6.579,6.9645,1.685,1.851,2.469,3.3295,4.909,6.141,6.984,7.094,1.394,1.456,2.617,2.579,3.906,5.7195,6.16,7.127,1.314,2.094,2.65,2.176,3.1345,4.762,5.515,6.138,6.251,-3.01,-2.78,-2.046,-1.735,6.50601672170824,6.57003116519504,6.87029272617828,7.1938534347883,7.57052164782561,6.54454724440801,6.98941701242071,6.44946441492868,6.53403632111983,6.46050373219778,6.44854737186026,6.44213894607087,6.46413271077786,6.5122885539786,426.086369081284,420.96594409441,423.56053246674,418.932691329947,424.522028442742,421.984271128385,423.904069498764,424.182590026233,424.129111237086,426.623347552122,429.934162058354,433.605162380828,438.443940095528,442.711472349537,1979.34316092406
1,2.75,1.05192354332432,0.818526069870103,0.18974630492334,0.888580449782164,1.34763248887987,0.13883631496809,-10.253909260256,-0.731724772695454,0.40055215079219,0.64,0.47,0.31,0.27,0.255,0.28,0.11,1.2054,1.191,0.8546,0.8726,0.501,0.4275,0.28825,0.2641,0.2997,97.6585,96.46,0.2432,2.19,2.055,2.13,2.02,2.215,1.98,2.01,0.75,-1.69,1.5,-0.92,-0.17,324.1,321.3,324.1,322.5,0.23,-0.015,0.16,-0.2,0.13,0.21,-0.32,0.34,0.595,-0.02,0,-0.035,2.143,2.188,3.53,4.467,6.176,6.306,5.851,6.9185,1.796,2.471,3.31,4.647,6.212,6.714,6.581,6.9605,1.6855,1.8505,2.4685,3.329,4.901,6.139,6.9855,7.095,1.392,1.4715,2.617,2.5795,3.9015,5.732,6.17,7.127,1.322,2.093,2.647,2.176,3.1335,4.762,5.491,6.138,6.253,-3.026,-2.607,-1.983,-1.625,6.58006925778537,6.51683073929876,6.35785763778923,7.20659542250548,6.678545964481,6.4339540708216,6.33618690050877,6.44764832931208,6.46654617875261,6.42341021049784,6.42342937293131,6.35436364283007,6.43570699600214,6.37724157699216,425.790671143086,421.24930534523,425.569270016745,420.561883500278,428.583839553594,422.343466301276,429.689285292357,424.652355896947,425.615875130038,427.348473231513,432.202778231072,430.978336010693,439.535265926578,434.636889518561,1976.83909668173
1,3.25,1.02060716716089,0.667293366841136,0.230521878084814,1.05120562228542,2.09995572691934,0.137339551486476,-4.40924523024773,-2.28535753533726,0.397071819058785,0.64,0.52,0.35,0.29,0.26,0.285,0.11,1.3921,1.133,0.9458,0.91545,0.5243,0.3607,0.2847,0.2547,0.26885,97.65772,97.3,0.2267,2.175,2.05,2.06,2.02,2.18,1.98,2.03,0.7,-1.7,1.5,-0.91,-0.12,324.4,321.6,324.1,322.5,0.23,-0.01,0.16,-0.2,0.135,0.21,-0.32,0.34,0.59,-0.02,0,-0.04,2.148,2.183,3.547,4.466,6.174,6.308,5.842,6.922,1.796,2.44,3.3,4.634,6.209,6.896,6.581,6.945,1.683,1.858,2.468,3.334,4.893,6.138,6.9865,7.097,1.371,1.487,2.6655,2.562,3.898,5.719,6.169,7.126,1.3245,2.114,2.655,2.176,3.133,4.76,5.514,6.138,6.255,-2.912,-2.658,-1.9605,-0.81,6.65111692933412,6.4131249465105,6.75999999,7.00917697183108,6.43196729997111,6.42872496527081,6.25518385248183,6.43219222388023,6.43293443295638,6.36322220811987,6.42243944117335,6.6738592580439,6.44583220707053,6.39596513421368,426.268738089884,421.506426572837,423.134243537966,422.099962303757,422.226735912476,422.807929456205,426.247197785606,424.13940491272,424.777546538126,427.991990652518,432.8416724466,432.337103319377,439.350544361076,442.586638780437,1979.25453828522
1,3.75,0.910282190832689,0.599047594966947,0.201197858355489,1.03678232184938,3.10668382580454,0.133268282980431,-9.0823909602761,-1.43655837634597,0.377550325300636,0.66,0.495,0.3,0.27,0.25,0.28,0.12,1.2746,1.217,1.049,0.8926,0.3945,0.2477,0.1698,0.1881,0.29265,97.664265,96.805,0.2246,2.1,2.05,2.02,2.02,2.15,1.98,2,0.7,-1.7,1.5,-0.94,-0.15,323,321.3,324.1,322.6,0.23,-0.02,0.16,-0.2,0.13,0.21,-0.32,0.34,0.58,-0.02,0,-0.05,2.149,2.187,3.5465,4.465,6.171,6.308,5.841,6.921,1.77,2.438,3.292,4.62,6.207,6.895,6.581,6.943,1.635,1.858,2.469,3.334,4.884,6.137,6.99,7.096,1.362,1.488,2.657,2.563,3.894,5.657,6.168,7.125,1.3115,2.1075,2.645,2.177,3.133,4.758,5.4935,6.138,6.256,-3.09,-2.6915,-2.197,-1.57,6.68444871693835,6.31741898410691,6.87563150574687,6.88106257255109,7.40827719339133,6.22463386050786,7.01254729483158,6.34674037584766,6.40684989178122,6.3605877893604,6.39035396367429,6.25789295755427,6.3732203357908,6.33002531573764,426.635026825573,421.206003536609,425.296654514494,420.818151652378,427.123909213884,422.489243150326,426.65110639648,424.244963008098,425.464213941552,427.07877292321,430.587060698888,437.359703716809,439.953359564884,441.301602147248,1981.66997988872
1,4.25,0.888169753695886,0.604279792854584,0.268276740981892,0.908155689190763,1.46609111887616,0.146588082362097,-9.83781187133178,-1.66908248889852,0.435584508314678,0.6,0.495,0.32,0.29,0.26,0.28,0.11,1.2107,0.965,0.7967,0.6788,0.2192,0.0947,0.0813,0.1148,0.2341,97.62941,96.87,0.2209,2.07,2.04,2,2.02,2.14,1.98,1.99,0.8,-1.69,1.45,-0.9,-0.11,323.1,321.3,324.1,322,0.23,-0.02,0.16,-0.2,0.13,0.21,-0.31,0.34,0.6,-0.02,0,-0.05,2.149,2.168,3.528,4.464,6.173,6.3075,5.835,6.919,1.753,2.436,3.289,4.615,6.205,6.8955,6.581,6.941,1.638,1.843,2.47,3.334,4.901,6.135,6.992,7.095,1.36,1.464,2.647,2.574,3.896,5.656,6.168,7.124,1.305,2.1015,2.639,2.177,3.1365,4.758,5.494,6.1355,6.256,-3.07,-2.422,-1.896,-1.89,6.55424640142568,6.52373378509398,6.19460408541443,7.25350112322113,6.54267898839247,6.3927938882044,6.24813565261471,6.36814066082407,6.42547812311966,6.45428216567472,6.45958860562278,6.4457167382669,6.4290898199088,6.35481477015366,427.632263553787,421.711122755133,425.74681775981,420.030520046389,426.450935900221,422.812199707832,429.129420181036,424.65678067485,425.439111177639,429.704642815654,432.451426093953,431.876339242264,439.124308137972,437.044088361933,2010.36937200259
1,4.75,0.985722578953491,0.795921371363079,0.25946480737377,0.880911604370274,2.80072686956447,0.130492449946174,-9.44825017849592,-2.2476770692875,0.412362616392704,0.61,0.51,0.34,0.3,0.27,0.3,0.11,1.155,0.86,0.7838,0.5771,0.1147,0.0342,0.0191,0.0788,0.2276,97.63723,96.99,0.209,2.04,2.03,2,2.02,2.09,1.98,1.97,0.7,-1.8,1.55,-0.94,-0.12,321.1,320.9,324.1,322.1,0.23,-0.01,0.16,-0.2,0.13,0.21,-0.31,0.34,0.65,-0.02,0,-0.04,2.132,2.144,3.527,4.463,6.181,6.3075,5.826,6.918,1.752,2.434,3.291,4.616,6.205,6.896,6.578,6.939,1.616,1.842,2.471,3.334,4.9,6.133,6.994,7.094,1.36,1.459,2.639,2.567,3.8945,5.655,6.158,7.124,1.294,2.05,2.641,2.177,3.14,4.758,5.479,6.1355,6.2545,-2.945,-2.54,-1.941,-1.76,6.59412967566969,6.4821988274525,6.54847902177439,7.10933256719878,7.59474761818406,6.49222553133841,6.27386059771547,6.369340196118,6.43734073031982,6.35905866738272,6.3852328309037,7.02949981472228,6.38301809946372,6.98237304301258,426.354384621068,422.316014456505,423.834823503473,419.540902879734,424.397566157347,423.803998039751,425.500328783492,426.220884235711,427.810346648662,430.883693634777,433.857484767638,432.111313486883,441.486929921877,439.933533320767,1976.14930489345
