DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,416.4768,0.6245,411.899,0.91045,1957.918,415.4456,0.611775,411.5525,1.454,1961.14905,415.929625,0.5833,411.469525,1.843675,1961.6592,415.1082,0.561475,412.06615,0.8095,1967.59955,416.1904,0.48145,413.169,0.6708,1963.990525,0.426675,-23.984775,0.0512,413.17025,1.24715,-0.1335,-0.3286,-0.123225,-23.84945,-4.537475,0.078,-65.28125,-14.8142,0.2273,0.356,0.33,0.3,0.13,-23.722725,-23.6829,-23.5998,-24.57655,-24.782525,-28.03175,77.154925,53.911,0.181,-27.588,-27.955,-25.7525,-21.257,0,-4.909,0.2,-1.537,-1.50075,166.8225,209.295,-68.09075,222.12,222.8875,-0.82625,-0.73,-0.28,-0.43,-0.5,-1.047,-0.08,-0.09,-0.33,-6.988,-6.20865,-5.28725,-4.3852,-1.252,-2.433,-1.87725,-4.74345,-3.9334,-3.455125,-2.31,-10.117925,-9.05665,-7.4524,-5.676675,-1.6518,-3.92665,-2.41085,-3.65515,-3.05875,-2.05075,-1.114,-0.953625,-0.1705,0.004625,0.3125,-9.8758,-9.4144,-7.561825,-6.141,-4.88265,-2.152075,-6.18245,-4.448,-7.9506
1,0.75,415.78275,0.6049,411.653625,0.88725,1967.309875,415.924,0.6056,411.9533,0.9899,1973.409,415.131,0.547775,411.9247,1.8093,1966.588,415.081375,0.5277,411.446,1.897,1959.49615,416.5305,0.4468,411.42735,0.6739,1958.1594,0.39095,-24.743375,0.055375,413.0665,0.726175,-0.897,-0.3635,-0.570875,-7.5816,-2.9735,0.069925,-61.7344,-16.560375,0.1803,0.332,0.3215,0.296,0.1545,-24.457,-24.3094,-23.96565,-25.22755,-24.9771,-28.23225,77.1303,57.10675,0.180675,-27.834,-28.091,-25.98,-21.219,0,-5.112,0.2,-1.448,-1.573,165.98,208.88,-69.755,220.47,222.32,-0.82725,-0.73,-0.27,-0.42,-0.5075,-1.0515,-0.08,-0.09,-0.33,-7.107375,-6.28075,-5.278,-4.40075,-1.26075,-2.44675,-1.8824,-4.7437,-3.9343,-3.46165,-2.3179,-10.1826,-9.0766,-7.47675,-5.678625,-1.65355,-3.9302,-2.420875,-3.6463,-3.0714,-2.054125,-1.1132,-0.9544,-0.1715,0.004575,0.3123,-9.8605,-9.415,-7.63125,-6.1392,-4.9028,-2.15095,-4.96745,-3.9636,-7.06965
1,1.25,415.688,0.58285,411.908525,0.9187,1957.495,415.676625,0.5711,411.8743,0.9612,1966.79905,414.85475,0.5608,411.6252,1.638675,1966.925725,415.2646,0.5202,411.61625,1.69295,1967.3033,415.589,0.449325,414.0285,0.669825,1972.93285,0.4245,-24.813,0.059,412.8031,0.69425,-0.41705,-0.411,-0.4591,-7.33085,-4.279,0.06,-65.31075,-13.7253,0.20025,0.357,0.32025,0.3225,0.15725,-24.570975,-24.68545,-24.4662,-25.505225,-25.35115,-28.468425,77.109,56.42,0.18415,-27.784,-28.3175,-26.20125,-21.557,0,-5.45875,0.1075,-1.3745,-1.59725,166.2275,206.9875,-67.31925,219.465,220.5375,-0.8575,-0.73,-0.28,-0.42,-0.5,-1.055,-0.08,-0.08,-0.33475,-7.129575,-6.3294,-5.26015,-4.4067,-1.264225,-2.4466,-1.8857,-4.718625,-3.939,-3.464175,-2.372125,-10.183825,-9.080825,-7.485275,-5.674225,-1.653575,-3.9316,-2.42005,-3.6341,-3.083175,-2.0638,-1.1146,-0.9559,-0.1705,0.004575,0.311725,-9.80925,-9.410575,-7.7021,-6.11575,-4.8945,-2.152,-5.097,-4.0498,-7.22525
1,1.75,416.1032,0.558275,411.523475,1.207575,1967.4004,415.7824,0.538075,411.3885,0.914375,1969.05435,415.52425,0.51015,411.57475,1.5555,1967.628375,415.4055,0.4836,411.665875,1.627325,1965.7596,416.3858,0.42745,411.391125,1.231,1964.508,0.4868,-24.545,0.0524,412.75875,1.29695,-0.568525,-0.52245,-0.48995,-9.58085,-5.602775,0.06,-73.7255,-11.0436,0.2088,0.38525,0.3305,0.325,0.15625,-25.0075,-24.8485,-25.0727,-25.781575,-25.7989,-28.4736,77.1077,56.16875,0.1649,-27.615,-28.1425,-26.2485,-21.5095,0,-5.637,0.2,-1.4875,-1.51175,162.265,206.04,-67.45025,219.0025,220.3875,-0.8475,-0.73,-0.27,-0.4275,-0.5,-1.1125,-0.08,-0.09,-0.33,-7.2545,-6.3982,-5.2483,-4.42325,-1.269,-2.46255,-1.8881,-4.679125,-3.94015,-3.4734,-2.370975,-10.25625,-9.102,-7.50625,-5.6716,-1.6546,-3.935875,-2.427,-3.617725,-3.0943,-2.07645,-1.118125,-0.97625,-0.1705,0.004,0.3121,-9.8543,-9.4054,-7.7718,-6.11075,-4.906,-2.1509,-6.337,-4.629875,-8.2792
1,2.25,416.03855,0.5737,412.0194,0.7958,1957.0726,415.40575,0.548825,413.27715,0.78225,1959.312125,414.76655,0.53435,412.87225,0.757,1969.3596,415.46965,0.5073,411.7987,1.4439,1967.811675,415.2763,0.430125,414.416,0.7731,1967.19505,0.4262,-24.408,0.065,412.5824,0.65285,-0.84225,-1.37725,-0.867,-12.513125,-4.44975,0.056,-66.557875,-11.3698,0.2002,0.3745,0.34,0.3,0.16075,-24.910875,-24.691575,-24.8322,-26.1067,-25.8451,-28.4974,77.095,58.253,0.174,-27.21,-27.8025,-25.86225,-22.04475,0,-5.1945,0.1,-1.51,-1.54175,163.6825,205.61,-69.26725,218.5225,217.67,-0.915,-0.73,-0.28,-0.43,-0.50775,-1.0775,-0.08,-0.09,-0.33,-7.263,-6.42175,-5.2297,-4.428025,-1.2637,-2.4624,-1.8948,-4.687325,-3.9471,-3.473,-2.322175,-10.233725,-9.106575,-7.5172,-5.6676,-1.65475,-3.934825,-2.415825,-3.60235,-3.095325,-2.076275,-1.1195,-0.9769,-0.169975,0.004,0.3122,-9.738175,-9.328025,-7.792825,-6.0833,-4.90385,-2.146925,-6.33285,-4.7349,-8.5615
1,2.75,415.855,0.5593,411.58415,0.79945,1968.250575,415.364375,0.5558,411.660475,1.453525,1965.8267,415.62175,0.5487,411.3262,1.759925,1963.938,414.924375,0.5263,411.656175,0.675425,1962.19335,415.931,0.46,412.96,0.6075,1965.0024,0.41725,-25.518775,0.057625,412.4418,0.6295,-0.822275,-1.2066,-0.6858,-13.1455,-5.9924,0.060975,-52.1198,-13.29675,0.181475,0.333,0.22,0.2575,0.12725,-25.134375,-24.99625,-25.1745,-26.085525,-26.286175,-28.0636,77.0995,58.875,0.155975,-29.91,-29.1925,-24.84,-21.06,0,-5.22725,0.1,-1.5275,-1.50175,166.0025,205.175,-71.2655,218.45,215.8825,-0.91,-0.73,-0.28,-0.43,-0.51775,-1.0975,-0.09,-0.08475,-0.33,-7.339875,-6.47875,-5.2163,-4.4418,-1.2661,-2.461625,-1.8911,-4.722475,-3.9524,-3.475,-2.368,-10.261225,-9.1344,-7.531,-5.668975,-1.6557,-3.9386,-2.4167,-3.586025,-3.10345,-2.078975,-1.121,-0.978475,-0.1695,0.00315,0.30765,-9.7118,-9.318,-7.88095,-6.073,-4.91335,-2.1484,-6.353325,-4.777,-8.72105
1,3.25,415.95,0.557875,411.9772,0.7688,1958.59935,416.27185,0.5632,413.279675,0.834625,1962.664325,414.84445,0.55185,412.8778,1.5874,1959.91455,414.990875,0.532075,411.311625,1.5099,1967.89945,415.37725,0.5022,411.29085,0.6056,1966.214375,0.50205,-25.3741,0.0596,412.232675,1.159,-0.420175,-0.42975,-0.4665,-6.7216,-3.86575,0.060325,-55.690575,-11.26775,0.185325,0.372,0.32,0.293,0.1345,-25.26235,-25.103,-25.2581,-26.506075,-26.55275,-28.2485,77.07625,59.309,0.166125,-30.05625,-29.517,-25.27475,-19.486,0,-5.302,0.2,-1.48,-1.664,162.75,204.45,-66.849,218.95,220.8,-0.92725,-0.73,-0.27975,-0.42,-0.5145,-1.11725,-0.09,-0.0845,-0.33475,-7.237,-6.492375,-5.203475,-4.449175,-1.266125,-2.46045,-1.884625,-4.7499,-3.9561,-3.4731,-2.351975,-10.2568,-9.12115,-7.536325,-5.66965,-1.6553,-3.93615,-2.4056,-3.566,-3.1083,-2.08225,-1.12165,-0.9788,-0.1416,0.004,0.312,-9.6164,-9.232075,-7.8677,-6.05295,-4.9106,-2.1473,-6.3873,-4.757325,-8.6952
1,3.75,416.2478,0.5895,412.3337,1.2542,1963.0486,415.39785,0.5812,412.0561,1.6291,1970.241,414.4591,0.56175,412.0761,1.65325,1959.50555,414.336275,0.5651,412.9403,1.61675,1959.5344,415.1557,0.50355,414.01225,0.81,1959.5772,0.53,-25.533,0.056,412.222,0.59,-0.7332,-0.3219,-0.59195,-7.705275,-6.5115,0.055,-72.4773,-15.42,0.186,0.402,0.31,0.3,0.16625,-24.6856,-24.71575,-25.207,-26.1431,-26.658325,-28.88625,77.058625,60.37,0.164,-30.02325,-29.649,-25.5885,-19.572,0,-5.215,0.11,-1.44725,-1.644,158.12,203.87,-68.98,219.11,221.12,-0.937,-0.73,-0.27975,-0.42,-0.50725,-1.111,-0.08,-0.09,-0.33475,-7.2323,-6.53365,-5.1975,-4.4632,-1.27,-2.4743,-1.8852,-4.7551,-3.9602,-3.47615,-2.34475,-10.328375,-9.1371,-7.5515,-5.673625,-1.654975,-3.940375,-2.406475,-3.55145,-3.11685,-2.0893,-1.124175,-0.979325,-0.127525,0.004,0.312,-9.583,-9.2148,-7.9372,-6.03855,-4.91495,-2.1452,-6.3653,-4.76785,-8.5175
1,4.25,415.9065,0.61,411.850875,0.794125,1966.311525,416.3245,0.589375,411.48125,0.752,1966.58395,414.897725,0.5702,412.7563,1.32885,1961.9737,414.797275,0.5697,412.119,1.617875,1960.67155,416.001525,0.48195,411.2336,0.9512,1967.702,0.55685,-26.0241,0.05945,412.3125,0.5685,-0.454475,-0.854175,-0.63705,-14.123975,-5.51875,0.05845,-66.541,-13.09525,0.209,0.402,0.3605,0.316,0.19,-24.6894,-24.6274,-24.57925,-26.3643,-26.98835,-29.68325,77.051,60.37525,0.116025,-30.188,-29.928,-26.0485,-20.504,0,-4.984,0.2,-1.54,-1.649,163.12,203.6,-65.91,218.46,218.37,-0.981,-0.73,-0.27975,-0.43,-0.51,-1.152,-0.08,-0.09,-0.33,-7.20245,-6.5576,-5.19725,-4.46555,-1.2671,-2.48365,-1.8795,-4.78585,-3.9638,-3.479375,-2.335975,-10.316,-9.1513,-7.56075,-5.67375,-1.6541,-3.93935,-2.403475,-3.534175,-3.1191,-2.09085,-1.1255,-0.97995,-0.127,0.0022,0.3082,-9.4891,-9.129925,-7.950875,-6.023925,-4.910475,-2.1396,-6.26705,-4.80125,-8.4569
1,4.75,416.34915,0.604925,412.386775,0.835625,1963.40535,415.38265,0.57485,412.862525,0.878,1960.1885,414.1493,0.55355,411.91355,1.5237,1971.858375,415.0762,0.5387,412.21455,1.35695,1966.90525,414.86445,0.47225,413.57485,0.7021,1967.92715,0.5258,-26.4048,0.048,412.0634,1.095975,-0.449775,-0.32025,-0.206,-6.392975,-4.8475,0.0586,-66.9358,-12.826025,0.1853,0.382,0.31975,0.283,0.15725,-25.1582,-25.1121,-25.163575,-26.7241,-27.196525,-29.35875,77.0307,61.218,0.15405,-30.661,-30.126,-25.91975,-19.873,0,-5.073,0.2,-1.519,-1.587,163.71,203.61,-63.146,218.11,220.45,-0.948,-0.73,-0.28,-0.42,-0.5,-1.111,-0.08,-0.09,-0.34,-7.145,-6.5958,-5.1912,-4.4594,-1.2636,-2.4676,-1.8765,-4.82335,-3.9776,-3.4824,-2.2867,-10.3401,-9.1653,-7.5724,-5.6758,-1.6537,-3.93775,-2.3962,-3.52385,-3.12595,-2.0898,-1.12785,-0.981175,-0.157,0.0036,0.312,-9.4666,-9.1188,-8.0254,-6.0134,-4.9144,-2.1388,-6.209775,-4.913025,-8.3925
