DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.180599678185256,-0.516856038544464,0.311940848172963,-15.0839743990043,0.543394636621575,0.716009503275914,416.359308229117,4.60043680352023,422.869038767828,4.35965753276779,418.495441749206,3.91858087489803,422.959068368903,4.3207835917206,418.794553270386,4.70969662335584,423.377684849531,4.32816429859285,419.111594450161,4.34378694896676,422.892269280183,4.37052428821345,419.051927908629,422.050468006761,4.35577998208269,421.723106035032,3.67344477777646,1.48559016629802,-7.34773129719554,0.186513270359988,1.24,0.955,0.78,-6.8455,-6.727,-6.80495,-6.8606,-6.88955,-8.6706,78.55811,78.27,0.78405,-7.51,-7.5,-6.96,-4.98,0.2,-1.63,1,-0.66,0.02,258.4,275.5,285.2,288.1,-0.39,-0.31,0.01,0,-0.24,-0.56,0.1,-0.07,0.07,-1.9335,-1.587,-1.314,-0.831,-0.236,0.133,0.431,-1.48,-1.2225,-1.075,-0.304,-3.103,-2.693,-2.31,-1.494,-1.0785,-0.128,0.182,-2.07,-1.7345,-1.3335,-0.773,-0.666,0.157,0.338,0.746,-3.423,-3.261,-2.954,-2.3845,-2.013,-1.3835,-1.059,-1.543,-0.6,-19.99
1,0.75,0.302516062859176,0.233246307789456,0.289406416110068,-20.0608394125408,-0.829926301643167,0.686043240356986,416.706154363784,4.56021599019732,422.97965172018,4.69959886755502,418.586521234952,3.92470455635373,422.967356013904,4.81305347416544,418.987062907741,4.32641566755776,423.063161574339,4.93641568482028,419.206020985416,4.07662463610944,422.73664004665,4.95327383456512,418.927861648475,423.041825364038,4.61249936090222,420.652647550162,3.68601306679684,1.52596677355006,-7.38023480606038,0.199588717886588,1.295,1.025,0.77,-6.9123,-6.744,-6.8751,-6.92645,-6.9907,-8.3645,78.5732,78.13,0.77975,-7.61,-7.84,-7.04,-4.98,0.2,-1.53,1,-0.7,0.01,258.2,274.9,285.7,288.8,-0.39,-0.32,0.01,0.01,-0.24,-0.56,0.1,-0.07,0.07,-1.926,-1.587,-1.3075,-0.8105,-0.275,0.1325,0.4075,-1.478,-1.227,-1.078,-0.277,-3.098,-2.687,-2.312,-1.495,-1.073,-0.129,0.182,-2.074,-1.737,-1.334,-0.77,-0.667,0.1535,0.332,0.74,-3.432,-3.275,-2.956,-2.366,-2.01,-1.384,-0.993,-1.515,-0.553,-23.71
1,1.25,0.183075481247287,-0.369175384953202,0.285276858078998,-18.3162261370231,-1.0850125706481,0.672943582750887,416.253587440944,4.1827145334073,422.669795683138,4.87965293611594,418.147067883117,3.5415103313238,422.824505406237,4.93058050386709,418.321441251634,4.23410217299646,423.230788232207,4.96669676237172,418.749620240506,4.46620026010922,423.292865895457,4.90378088519115,419.29897348659,421.831391780128,4.10614850682124,419.951664633758,2.81899611471289,1.48971346639637,-7.37034716067342,0.180201089256499,1.22,0.96,0.775,-6.9204,-6.9045,-6.9248,-6.9379,-7.03525,-8.33175,78.586165,77.58,0.8086,-8.61,-7.74,-7.215,-5.08,0.2,-1.635,1,-0.715,-0.02,250.95,277,285.5,288.5,-0.4,-0.32,0.01,0.01,-0.235,-0.56,0.1,-0.07,0.07,-1.919,-1.595,-1.315,-0.832,-0.28,0.113,0.4065,-1.4535,-1.211,-1.079,-0.281,-3.0975,-2.697,-2.322,-1.496,-1.0785,-0.1335,0.183,-2.064,-1.733,-1.331,-0.7725,-0.6675,0.154,0.331,0.741,-3.4285,-3.268,-2.961,-2.362,-2.0115,-1.38,-0.831,-1.529,-0.555,-25.735
1,1.75,0.354614305748266,-0.361502567217181,0.241847601821355,-16.0622800839996,-1.7816506255137,0.63934978407788,416.302125415033,4.31212633533026,423.335194889748,4.65640837136306,418.532836738994,3.83136761658123,423.422250418504,4.96730509472868,418.940086373681,4.05938210837711,423.597592123036,4.48281196339624,419.241072332733,4.86418566834999,423.706911248483,4.43780207878062,419.316876095541,422.356640843003,4.14911294110422,420.792033615894,3.76637946219428,1.49303883728074,-7.37083556119563,0.205177605768441,1.16,0.9,0.805,-6.88665,-6.839,-6.8965,-6.9631,-7.1983,-8.45955,78.60652,79.265,0.7892,-8.53,-7.935,-7.385,-4.965,0.2,-1.63,1,-0.69,0.025,256.8,275.15,285.6,288.65,-0.4,-0.31,0.01,0,-0.24,-0.56,0.1,-0.07,0.07,-1.922,-1.603,-1.314,-0.8315,-0.277,0.092,0.406,-1.418,-1.205,-1.088,-0.3535,-3.075,-2.676,-2.318,-1.497,-1.079,-0.127,0.183,-2.068,-1.739,-1.345,-0.7725,-0.678,0.1545,0.329,0.741,-3.4185,-3.259,-2.967,-2.3285,-2.007,-1.37,-0.975,-1.534,-0.5755,-23.67
1,2.25,0.20911848076514,-0.18386249868341,0.279181178240294,-17.3116040255076,-0.899185243167827,0.663762123777122,416.900402329058,4.30471467388369,423.776308450171,4.03302178151456,418.825689189873,3.62534665002468,423.605713017857,4.05647917264766,419.080449308594,3.69066047809054,423.75360505137,4.12793745813503,418.937878928251,3.96775055871127,423.892851757211,4.10856956961446,419.374834777353,422.46805749725,3.9946286266075,420.758081705329,3.28193972086957,1.36977855528814,-7.26124514870003,0.226227539340603,1.19,0.89,0.76,-6.9995,-7.102,-6.9315,-7.3496,-7.2335,-8.6614,78.60702,79.71,0.7707,-8.335,-8.185,-7.39,-5.125,0.2,-1.785,1,-0.735,0.005,254.25,276.45,285.45,288.85,-0.395,-0.31,0.015,0,-0.24,-0.555,0.1,-0.07,0.07,-1.918,-1.6,-1.3125,-0.831,-0.274,0.111,0.427,-1.437,-1.255,-1.088,-0.3805,-3.0785,-2.671,-2.313,-1.489,-1.078,-0.1265,0.1815,-2.095,-1.737,-1.344,-0.776,-0.668,0.159,0.33,0.7455,-3.429,-3.2605,-2.9685,-2.3445,-2.008,-1.3765,-0.987,-1.501,-0.599,-24.175
1,2.75,0.267138964845389,-1.13051873734126,0.275510076099089,-20.9478256740177,-0.845654292976615,0.697174986669281,417.121196874266,4.34258446820377,423.681379672363,4.03848952097966,418.490491002585,3.8955877612002,423.702180470076,4.05193241792226,418.838850746606,3.9969713839269,424.924249877624,4.01877862047041,419.388682290251,4.03352996505354,423.924196036612,4.05001077446819,418.888802,422.968913600286,3.90770172614675,422.06320700641,3.09269311643334,1.41761468295182,-7.47106839793195,0.206027796209274,1.02,0.87,0.735,-7.26785,-7.228,-7.30095,-7.48985,-7.425,-9.32505,78.57447,78.58,0.7733,-8.81,-8.82,-8.05,-5.27,0.2,-1.875,1,-0.745,0.055,242.55,273.8,284.15,288.6,-0.395,-0.32,0.015,0,-0.24,-0.56,0.1,-0.07,0.07,-1.9135,-1.595,-1.314,-0.828,-0.242,0.1295,0.404,-1.4365,-1.2765,-1.088,-0.355,-3.083,-2.668,-2.324,-1.491,-1.078,-0.119,0.183,-2.094,-1.733,-1.348,-0.779,-0.666,0.159,0.329,0.7455,-3.4295,-3.255,-2.96,-2.341,-2.009,-1.38,-0.898,-1.527,-0.609,-28.29
1,3.25,0.208462968082732,3.58254579438751,0.302208193750944,-21.1155851662942,-1.59394977254044,0.738600452982349,417.12232497008,4.21897610678758,423.920787968422,4.0165673109711,418.805123920886,3.7883301057988,424.218637500969,4.01603580497992,418.954412165118,3.94787966490855,424.475701211192,4.05864116689468,419.869136075694,3.87607714247284,424.723820824718,4.05452968548191,418.954042393892,423.569000987713,3.85761550227233,420.559052850937,3.45531068099573,1.51553090426906,-7.5640665019788,0.23046653067353,1.18,0.95,0.78,-7.1823,-7.3,-7.16365,-7.5572,-7.5103,-9.3867,78.590365,78.9,0.7484,-9.65,-9.76,-8.4,-5.49,0.2,-1.96,1,-0.79,0.05,239.1,273.3,283.3,287.9,-0.39,-0.31,0.01,0,-0.24,-0.56,0.1,-0.07,0.07,-1.906,-1.59,-1.3165,-0.831,-0.2585,0.109,0.425,-1.443,-1.264,-1.056,-0.285,-3.093,-2.739,-2.3365,-1.501,-1.082,-0.136,0.183,-2.086,-1.724,-1.3455,-0.776,-0.663,0.185,0.3375,0.745,-3.436,-3.252,-2.973,-2.347,-2.0255,-1.379,-1.098,-1.601,-0.644,-31.97
1,3.75,0.369798365391061,-1.09193323858306,0.306798571298004,-18.6053196079407,-0.25022376213668,0.766658619135897,417.186027500622,4.139682203383,423.620213997413,4.30034652642627,418.947620953135,3.39916298666836,423.663386499165,4.32514146166849,419.248213409449,3.45620816848483,423.732204816032,4.4583510939889,420.06242352709,3.59519842600298,424.061468670133,4.31337057961364,419.801698128931,424.116547569049,3.93890212837543,420.369510805856,2.38310851986651,1.62401903409868,-7.69183132768913,0.215757721936611,1.255,1,0.83,-7.3661,-7.269,-7.27945,-7.4823,-7.64225,-9.2668,78.60579,78.57,0.7666,-9.19,-9.03,-8.14,-5.61,0.3,-1.59,1.1,-0.72,0.06,249.7,273.3,283.2,287.5,-0.4,-0.31,0.01,0,-0.24,-0.55,0.1,-0.07,0.07,-1.89,-1.5865,-1.314,-0.827,-0.244,0.069,0.4435,-1.447,-1.268,-1.054,-0.284,-3.0795,-2.745,-2.346,-1.497,-1.079,-0.127,0.1825,-2.0875,-1.7305,-1.345,-0.781,-0.663,0.188,0.3375,0.745,-3.4345,-3.248,-2.966,-2.343,-2.006,-1.381,-1.012,-1.557,-0.6175,-25.06
1,4.25,0.246708608620939,0.0732215985023785,0.270635905297384,-16.3699211880357,-0.282721402844543,0.704721270325683,416.753674039579,4.21903708959892,424.072945914561,4.39205860414043,418.9476777,3.68855860466566,424.004292480853,4.25604679417396,419.70272118464,3.88431528237378,423.938088432823,4.40798798300288,419.646481305882,4.61298398933063,424.470984335387,4.39499525607017,419.927350658115,424.168325422811,4.06593487752311,420.8578085,3.43173661951327,1.50478873995059,-7.90387029009213,0.200240735075702,1.11,0.93,0.77,-7.6439,-7.539,-7.29065,-7.6857,-7.51045,-9.2154,78.595785,79.405,0.7522,-8.11,-8.06,-7.46,-5.45,0.2,-1.66,1,-0.68,0.07,250.2,274.3,281.9,287.2,-0.4,-0.31,0.01,0,-0.25,-0.55,0.1,-0.07,0.07,-1.8855,-1.574,-1.328,-0.8305,-0.246,0.088,0.423,-1.452,-1.273,-1.052,-0.285,-3.077,-2.671,-2.336,-1.491,-1.085,-0.138,0.182,-2.09,-1.737,-1.3435,-0.782,-0.664,0.188,0.338,0.745,-3.445,-3.254,-2.971,-2.339,-2.007,-1.385,-0.99,-1.528,-0.5475,-17.96
1,4.75,0.257698458936399,-0.747871077680798,0.282215488499844,-16.7808164684193,0.461002873392005,0.65463154393329,416.782969538743,4.2453298669175,424.332700120777,4.41382912046694,418.711081130346,3.63254546145101,424.08634338024,4.451951922427,418.901940009174,3.58979031052209,424.114607317253,4.51470018691718,419.157030525149,4.19285609904467,424.343792934796,4.44243485612112,419.641049357143,424.089951555742,4.14213396060181,421.760787573809,3.39427464386198,1.35851850466598,-7.7794522135948,0.230823957949843,1.04,0.85,0.76,-7.2653,-7.285,-7.1502,-7.5434,-7.54925,-9.4636,78.58422,78.86,0.7418,-8.32,-8.35,-7.41,-5.45,0.2,-1.51,0.9,-0.64,0.06,259.3,274.8,282,287.1,-0.39,-0.32,0.01,0,-0.24,-0.55,0.1,-0.07,0.07,-1.885,-1.573,-1.332,-0.836,-0.198,0.106,0.422,-1.456,-1.267,-1.0665,-0.2865,-3.075,-2.686,-2.332,-1.49,-1.087,-0.14,0.18,-2.089,-1.744,-1.343,-0.783,-0.664,0.186,0.338,0.745,-3.454,-3.256,-2.969,-2.335,-2.009,-1.388,-0.953,-1.6355,-0.575,-14.83
